,Concept_ID,ru,kv
0,Auge::N,глаз,син
1,Ohr::N,ухо,пель
2,Nase::N,нос,ныр
3,Mund::N,рот,ӧм
4,Zahn::N,зуб,пинь
5,Zunge::N,язык,кыв
6,Lippe::N,губа,тырп
7,Wange::N,щека,рожабан
8,Gesicht::N,лицо,бан
9,Stirn::N,лоб,кымӧс
10,Haar::N,волос,юрси
11,Haar::N,волосы,юрси
12,Schnurrbart::N,ус,уссэз
13,Schnurrbart::N,усы,уссэз
14,Bart::N,борода,тош
15,Kinn::N,подбородок,тшӧка
16,Kiefer[Anatomie]::N,челюсть,ан
17,Kehle::N,горло,юан
18,Hals::N,шея,юан
19,Genick::N,затылок,юр бӧр
20,Kopf::N,голова,юр
21,Rücken::N,спина,мышк
22,Bauch::N,живот,кынӧм
23,Nabel::N,пупок,гӧг
24,Busen::N,женская грудь,морос
25,Brust::N,грудь,морос
26,Schulter::N,плечо,пельпон
27,Arm::N,рука,ки
28,Ellenbogen::N,локоть,гырдзза
29,Hand::N,кисть,кикар
30,Handfläche::N,ладонь,ки пыдӧс
31,Finger::N,палец,чунь
32,Fingernagel::N,ноготь,гыж
33,Nagel[Anatomie]::N,ноготь,гыж
34,Zeh::N,палец,чунь
35,Fuß::N,ступня,кокпыдӧс
36,Ferse::N,пята,кокдзир
37,Ferse::N,пятка,кокдзир
38,Knie::N,колено,пидзӧс
39,Oberschenkel::N,бедро,лядьбей
40,Bein::N,нога,кок
41,Körper::N,тело,вывтыр
42,Haut::N,кожа,кучик
43,Blut::N,кровь,вир
44,Ader::N,вена,сӧн
45,Ader::N,сосуд,сӧн
46,Sehne::N,жила,жила
47,Sehne::N,тетива,жила
48,Sehne::N,сухожилие,жила
49,Knochen::N,кость,коска
50,Gehirn::N,мозг,вем
51,Herz::N,сердце,сьӧлӧм
52,Magen::N,желудок,жӧвдӧк
53,Leber::N,печень,мус
54,Atem::N,дух,лолалӧм
55,Atem::N,дыхание,лолалӧм
56,Hunger::N,голод,тшыг
57,Träne::N,слеза,синва
58,Geschmack::N,вкус,кӧр
59,Geruch::N,запах,дук
60,Schlaf::N,сон,он
61,Traum::N,сновидение,вӧт
62,Himmel::N,небо,небо
63,Sonne::N,солнце,шондi
64,Mond::N,луна,тӧлiсь
65,Stern::N,звезда,кӧдзыв
66,Luft::N,воздух,ру
67,Wind::N,ветер,тӧв
68,Welle::N,волна,гы
69,Wasser::N,вода,ва
70,Stein::N,камень,из
71,Boden::N,почва,му
72,Erde::N,земля,му
73,Staub::N,пыль,бус
74,Rauch::N,дым,тшын
75,Funke::N,искра,бичир
76,Feuer::N,огонь,би
77,Licht::N,свет,би
78,Schatten::N,тень,вуджӧр
79,Wetter::N,погода,погоддя
80,Nebel::N,туман,туман
81,Wolke::N,облако,кымӧр
82,Regen::N,дождь,зэр
83,Schnee::N,снег,лым
84,Eis::N,лед,йы
85,Frost::N,мороз,мороз
86,Kälte::N,холод,кӧдзыт
87,Hitze::N,жара,ӧд
88,Raureif::N,иней,кижа
89,Regenbogen::N,радуга,енӧшка
90,Donner::N,гром,гым
91,Strömung::N,течение,визывтӧм
92,Tropfen::N,капля,тёп
93,Schaum::N,пена,быг
94,Schmutz::N,грязь,нять
95,See::N,озеро,ты
96,Sumpf::N,топь,арай
97,Moor::N,болото,нюр
98,Wiese::N,луг,видз
99,Wald::N,лес,вӧр
100,Hügel::N,холм,мыльк
101,Anhöhe::N,возвышенность,вывтас
102,Anhöhe::N,возвышенность,вылынін
103,Berg::N,гора,керӧс
104,Gipfel::N,вершина,йыв
105,Höhle::N,пещера,нора
106,Abhang::N,склон,покат
107,Quelle::N,источник,больган
108,Bach::N,ручей,шор
109,Fluss::N,река,ю
110,Ufer::N,берег,берег
111,Küste::N,побережье,берег
112,Festland::N,суша,му
113,Meer::N,море,море
114,Bucht::N,бухта,курья
115,Insel::N,остров,
116,Blume::N,цветок,цветок
117,Gras::N,трава,турун
118,Wurzel::N,корень,вуж
119,Baum::N,дерево,пу
120,Stamm::N,ствол,мыр
121,Stamm::N,ствол,кер
122,Rinde::N,кора,кач
123,Ast::N,сук,ув
124,Zweig::N,ветвь,ув
125,Blatt::N,лист,лист
126,Birke::N,береза,кыдз
127,Kiefer[Baum]::N,сосна,пожум
128,Weide[Baum]::N,ива,бадь
129,Tanne::N,ель,кӧз
130,Horn::N,рог,сюр
131,Feder::N,перо,гӧн
132,Fell::N,шкура,кучик
133,Flügel::N,крыло,борд
134,Klaue::N,коготь,гыж
135,Kralle::N,лапа,кабыр
136,Schwanz::N,хвост,бӧж
137,Ei::N,яйцо,кольть
138,Nest::N,гнездо,поз
139,Bau::N,нора,осьта
140,Bau::N,нора,нора
141,Tier::N,животное,зверь
142,Herde::N,стадо,гурт
143,Kuh::N,корова,мӧс
144,Bulle::N,бык,ӧшка
145,Pferd::N,лошадь,вӧв
146,Schaf::N,овца,баля
147,Schwein::N,свинья,порсь
148,Hund::N,собака,пон
149,Katze::N,кошка,кань
150,Bär::N,медведь,ош
151,Eichhörnchen::N,белка,ур
152,Elch::N,лось,вӧр мӧс
