,Concept_ID,mrj,fi
134,Gras::N,шуды,ruoho
135,Wurzel::N,важ,juuri
136,Baum::N,пушӓнгӹ,puu
137,Stamm::N,пушӓнгӹ тӹнг,runko
138,Rinde::N,каргыж,kuori
139,Rinde::N,каргыж,parkki
140,Ast::N,укш,oksa
141,Zweig::N,укш,haara
142,Blatt::N,листӹ,lehti
143,Birke::N,куги,koivu
144,Kiefer[Baum]::N,йӓктӹ,mänty
145,Kiefer[Baum]::N,йӓктӹ,petäjä
146,Weide[Baum]::N,уа,paju
147,Tanne::N,кож,kuusi
148,Horn::N,шур,sarvi
149,Feder::N,пын,sulka
150,Feder::N,пын,höyhen
151,Fell::N,кавашты,talja
152,Flügel::N,шылдыр,siipi
153,Klaue::N,кӹч,kynsi
154,Kralle::N,лапа,kynsi
155,Schwanz::N,пач,häntä
156,Schwanz::N,пач,pyrstö
157,Ei::N,мыны,muna
158,Nest::N,пӹжӓш,pesä
159,Bau::N,ыраж,pesä
160,Tier::N,во́льык,eläin
161,Herde::N,кӹтö,lauma
162,Kuh::N,ышкал,lehmä
163,Bulle::N,ӱшкӱж,sonni
164,Pferd::N,имни,hevonen
165,Schaf::N,шарык,lammas
166,Schwein::N,сасна,sika
167,Hund::N,пи,koira
168,Katze::N,коти,kissa
169,Bär::N,мöскӓ,karhu
170,Eichhörnchen::N,ур,orava
171,Elch::N,шарды,hirvi
172,Fuchs::N,рӹвӹж,kettu
173,Hase::N,морен,jänis
174,Maus::N,каля,hiiri
175,Wolf::N,пирӹ,susi
176,Vogel::N,кек,lintu
177,Schwarm::N,цуца,parvi
178,Huhn::N,цӹвӹ,kana
179,Hahn::N,ӓптӓн,kukko
180,Gans::N,комбы,hanhi
181,Adler::N,кучкыж,kotka
182,Ente::N,лыды,ankka
183,Eule::N,тымана,pöllö
184,Kranich::N,тырня,kurki
185,Kranich::N,тыртня,kurki
186,Krähe::N,лудыгарак,varis
187,Kuckuck::N,куку,käki
188,Schwan::N,йӱксӹ,joutsen
189,Fisch::N,кол,kala
190,Barsch::N,алангы,ahven
191,Hecht::N,нуж,hauki
192,Hecht::N,нужгол,hauki
193,Schlange[Tier]::N,кӹшкы,käärme
194,Wurm::N,шукш,mato
195,Spinne::N,ӓнгӹремшӹ,hämähäkki
196,Ameise::N,кыткы,muurahainen
197,Laus::N,ти,täi
198,Mücke::N,кужнер,sääski
199,Mücke::N,кужнер,hyttynen
200,Mücke::N,кужынер,sääski
201,Mücke::N,кужынер,hyttynen
202,Fliege::N,шӹнгӓ,kärpänen
203,Schmetterling::N,лӹпӹ,perhonen
204,Beere::N,мöр,marja
205,Apfel::N,олма,omena
206,Pilz::N,понгы,sieni
207,Zwiebel::N,охыра,sipuli
208,Saat::N,нӱшмӹ,siemenet
209,Saat::N,нӱшмӱ,siemenet
210,Korn::N,пӹрцӹ,jyvä
211,Korn::N,пӹрцӹ,vilja
212,Heu::N,шуды,heinä
213,Schale::N,аваха,kuori
214,Schale::N,карлангы,kuori
215,Grube::N,йӓм,kuoppa
216,Falle::N,лӱдӹ,loukku
217,Falle::N,лӱдӹш,loukku
218,Schlinge::N,онгы,ansa
219,Spur::N,кишӓ,jälki
220,Asche::N,ломых,tuhka
221,Asche::N,ломпыж,tuhka
222,Dreck::N,лявӹрӓ,lika
223,Eisen::N,кӹртни,rauta
224,Gold::N,шöртни,kulta
225,Gold::N,шöртньӹ,kulta
226,Silber::N,ши,hopea
227,Kohle::N,шӱ,hiili
228,Glas::N,охоница,lasi
229,Lehm::N,шун,savi
230,Sand::N,ошма,hiekka
231,Mensch::N,эдем,ihminen
232,Mann::N,пӱэргӹ,mies
233,Frau::N,ӹдӹрӓмӓш,nainen
234,Kind::N,ӓзӓ,lapsi
235,Kind::N,шачшы,lapsi
236,Junge::N,рвезӹ,poika
237,Junge::N,ӹрвезӹ,poika
238,Mädchen::N,ӹдӹрӓш,tyttö
239,Familie::N,йиш,perhe
240,Familie::N,семня,perhe
241,Großvater::N,тьоти,isoisä
242,Großmutter::N,папа,isoäiti
243,Eltern::N,ӓтя-ӓвӓ,vanhemmat
244,Vater::N,ӓтя,isä
245,Mutter::N,ӓвӓ,äiti
246,Sohn::N,эргӹ,poika
247,Tochter::N,ӹдӹр,tytär
248,Bruder::N,ӹза,veli
249,Schwester::N,ӓкӓ,sisko
250,Onkel::N,кугуза,eno
251,Onkel::N,кугуза,setä
252,Tante::N,куака,täti
253,Ehemann::N,мары,mies
254,Ehemann::N,мары,aviomies
255,Ehefrau::N,вӓтӹ,vaimo
256,Ehefrau::N,вӓтӹ,aviovaimo
