,Concept_ID,ja,uk
0,Auge::N,目,око
1,Ohr::N,耳,вухо
2,Nase::N,鼻,ніс
3,Mund::N,口,рот
4,Zahn::N,歯,зуб
5,Zunge::N,舌,язик
6,Lippe::N,唇,губа
7,Wange::N,頬,щока
8,Gesicht::N,顔,обличчя
9,Stirn::N,額,лоб
10,Haar::N,髪,волосся
11,Schnurrbart::N,口髭,вуса
12,Bart::N,髭,борода
13,Kinn::N,顎,підборіддя
14,Kiefer[Anatomie]::N,顎,щелепа
15,Kehle::N,喉,горло
16,Hals::N,首,шия
17,Genick::N,首,потилиця
18,Kopf::N,頭,голова
19,Rücken::N,背中,спина
20,Bauch::N,腹,живіт
21,Bauch::N,お腹,живіт
22,Nabel::N,へそ,пупок
23,Busen::N,乳房,груди
24,Brust::N,胸,груди
25,Schulter::N,肩,плече
26,Arm::N,腕,рука
27,Ellenbogen::N,肘,лікоть
28,Hand::N,手,рука
29,Handfläche::N,手のひら,долоня
30,Finger::N,指,палець
31,Fingernagel::N,爪,ніготь
32,Nagel[Anatomie]::N,爪,ніготь
33,Zeh::N,足の指,палець на нозі
34,Fuß::N,足,нога
35,Ferse::N,かかと,п’ятка
36,Knie::N,膝,коліно
37,Oberschenkel::N,上腿,стегно
38,Bein::N,足,нога
39,Körper::N,体,тіло
40,Haut::N,皮膚,шкіра
41,Blut::N,血,кров
42,Ader::N,血管,вена
43,Sehne::N,腱,сухожилля
44,Knochen::N,骨,кістка
45,Gehirn::N,脳,мозок
46,Herz::N,心,серце
47,Herz::N,心臓,серце
48,Magen::N,胃,шлунок
49,Leber::N,肝臓,печінка
50,Atem::N,息,дихання
51,Atem::N,呼吸,дихання
52,Hunger::N,空腹,голод
53,Träne::N,涙,сльоза
54,Geschmack::N,味,смак
55,Geruch::N,匂い,запах
56,Schlaf::N,睡眠,сон
57,Schlaf::N,睡眠,сплячка
58,Traum::N,夢,сон
59,Himmel::N,空,небо
60,Sonne::N,太陽,сонце
61,Mond::N,月,місяць
62,Stern::N,星,зірка
63,Luft::N,空気,повітря
64,Wind::N,風,вітер
65,Welle::N,波,хвиля
66,Wasser::N,水,вода
67,Stein::N,石,камінь
68,Boden::N,土地,ґрунт
69,Erde::N,土,земля
70,Staub::N,埃,пил
71,Rauch::N,煙,дим
72,Funke::N,火花,іскра
73,Feuer::N,火,вогонь
74,Licht::N,光,світло
75,Schatten::N,陰,тінь
76,Wetter::N,天気,погода
77,Nebel::N,霧,туман
78,Wolke::N,雲,хмара
79,Regen::N,雨,дощ
80,Schnee::N,雪,сніг
81,Eis::N,氷,лід
82,Frost::N,霜,мороз
83,Kälte::N,寒さ,холод
84,Hitze::N,暑さ,жар
85,Raureif::N,霧氷,іній
86,Regenbogen::N,虹,райдуга
87,Donner::N,雷,грім
88,Strömung::N,流れ,струмина
89,Tropfen::N,滴,крапля
90,Schaum::N,泡,піна
91,Schmutz::N,汚れ,бруд
92,See::N,湖,озеро
93,Sumpf::N,沼,драговина
94,Moor::N,湿原,болото
95,Wiese::N,草原,луг
96,Wiese::N,草原,лука
97,Wald::N,森,ліс
98,Hügel::N,丘,горб
99,Anhöhe::N,高み,височина
100,Berg::N,山,гора
101,Gipfel::N,頂上,вершина
102,Höhle::N,洞窟,печера
103,Abhang::N,斜面,схил
104,Quelle::N,泉,джерело
105,Bach::N,小川,струмок
106,Fluss::N,川,річка
107,Ufer::N,岸,берег
108,Küste::N,海岸,узбережжя
109,Festland::N,陸,суша
110,Meer::N,海,море
111,Bucht::N,湾,бухта
112,Bucht::N,湾,затока
113,Insel::N,島,острів
114,Blume::N,花,квітка
115,Gras::N,草,трава
116,Wurzel::N,根,корінь
117,Baum::N,木,дерево
118,Stamm::N,幹,стовбур
119,Rinde::N,皮層,кора
120,Ast::N,枝,гілка
121,Zweig::N,小枝,галузь
122,Blatt::N,葉,лист
123,Birke::N,樺,береза
124,Kiefer[Baum]::N,松,сосна
125,Weide[Baum]::N,柳,верба
126,Tanne::N,樅,ялиця
127,Horn::N,角,ріг
128,Feder::N,羽根,перо
129,Fell::N,毛皮,хутро
130,Flügel::N,羽,крило
131,Klaue::N,鉤爪,кіготь
132,Kralle::N,爪,лапа
133,Schwanz::N,尻尾,хвіст
134,Ei::N,卵,яйце
135,Nest::N,巣,гніздо
136,Bau::N,穴,лігво
137,Tier::N,動物,тварина
138,Herde::N,群れ,стадо
139,Kuh::N,牛,корова
140,Bulle::N,雄牛,бик
141,Bulle::N,雄牛,бугай
142,Pferd::N,馬,кінь
143,Schaf::N,羊,вівця
144,Schwein::N,豚,свиня
145,Hund::N,犬,собака
146,Katze::N,猫,кішка
147,Bär::N,熊,ведмідь
148,Eichhörnchen::N,栗鼠,білка
149,Elch::N,ヘラジカ,лось
150,Fuchs::N,狐,лисиця
151,Hase::N,兎,заєць
152,Maus::N,鼠,миша
153,Wolf::N,狼,вовк
154,Vogel::N,鳥,птах
155,Schwarm::N,群れ,зграя
156,Huhn::N,鶏,курка
157,Hahn::N,雄鶏,півень
158,Gans::N,ガチョウ,гуска
159,Adler::N,鷲,орел
160,Ente::N,鴨,качка
161,Eule::N,フクロウ,сова
162,Kranich::N,鶴,журавель
163,Krähe::N,烏,ворона
164,Kuckuck::N,郭公,зозуля
165,Schwan::N,白鳥,лебідь
166,Fisch::N,魚,риба
167,Barsch::N,鱸,окунь
168,Hecht::N,川魳,щука
169,Schlange[Tier]::N,蛇,змія
170,Wurm::N,虫,черв’як
171,Spinne::N,蜘蛛,павук
172,Ameise::N,蟻,мурашка
173,Laus::N,虱,воша
174,Mücke::N,蚊,комар
175,Fliege::N,蝿,муха
176,Schmetterling::N,蝶,метелик
177,Beere::N,漿果,ягода
178,Apfel::N,林檎,яблуко
179,Pilz::N,茸,гриб
180,Zwiebel::N,玉葱,цибуля
181,Saat::N,種,сім’я
182,Korn::N,粒,зерно
183,Heu::N,干し草,сіно
184,Schale::N,皮,шкірка
185,Grube::N,穴,яма
186,Falle::N,わな,пастка
187,Schlinge::N,輪,петля
188,Spur::N,跡,слід
189,Asche::N,灰,зола
190,Asche::N,灰,попіл
191,Dreck::N,泥,бруд
192,Eisen::N,鉄,залізо
193,Gold::N,金,золото
194,Silber::N,銀,срібло
195,Kohle::N,炭,вугілля
196,Glas::N,ガラス,скло
197,Lehm::N,ローム,глина
198,Sand::N,砂,пісок
199,Mensch::N,人,людина
200,Mann::N,男,чоловік
201,Mann::N,男性,чоловік
202,Frau::N,女,жінка
203,Frau::N,女性,жінка
204,Kind::N,子,дитина
205,Kind::N,子供,дитина
206,Junge::N,男の子,хлопець
207,Mädchen::N,女の子,дівчина
208,Familie::N,家族,сім’я
209,Familie::N,家族,родина
210,Großvater::N,祖父,дідусь
211,Großvater::N,おじいさん,дідусь
