,Concept_ID,es,ta
0,Auge::N,ojo,கண்
1,Ohr::N,oreja,காது
2,Nase::N,nariz,மூக்கு
3,Mund::N,boca,வாய்
4,Zahn::N,diente,பல்
5,Zunge::N,lengua,நாக்கு
6,Lippe::N,labio,உதடு
7,Wange::N,mejilla,கன்னம்
8,Gesicht::N,cara,முகம்
9,Stirn::N,frente,முன்னெற்றி
10,Haar::N,cabello,முடி
11,Schnurrbart::N,bigote,மீசை
12,Bart::N,barba,தாடி
13,Kinn::N,barbilla,கீழதாடை
14,Kiefer[Anatomie]::N,mandíbula,தாடை
15,Kehle::N,garganta,தொண்டை
16,Hals::N,cuello,கழுத்து
17,Genick::N,nuca,கழுத்து
18,Genick::N,cerviz,கழுத்து
19,Kopf::N,cabeza,தலை
20,Rücken::N,espalda,முதுகு
21,Bauch::N,vientre,வயிறு
22,Nabel::N,ombligo,தொப்புள்
23,Busen::N,pecho,மார்பகம்
24,Brust::N,pecho, மார்பு
25,Schulter::N,hombro,தோள்பட்டை
26,Arm::N,brazo,கரம்
27,Ellenbogen::N,codo,முழங்கை
28,Hand::N,mano,கை
29,Handfläche::N,palma,உள்ளங்கை
30,Finger::N,dedo,விரல்
31,Fingernagel::N,uña,விரல் நகம்
32,Nagel[Anatomie]::N,uña,நகம்
33,Zeh::N,dedo del pie,கால்விரல்
34,Fuß::N,pie,கால்
35,Ferse::N,talón,குதிகால்
36,Knie::N,rodilla,முழங்கால்
37,Oberschenkel::N,muslo,தொடை
38,Bein::N,pierna,கால்
39,Körper::N,cuerpo,உடல்
40,Haut::N,piel,சருமம்
41,Blut::N,sangre,இரத்தம்
42,Ader::N,vena,நாளம்
43,Sehne::N,tendón,தசைநார்
44,Knochen::N,hueso,எலுமபு
45,Gehirn::N,cerebro,மூனை
46,Gehirn::N,encéfalo,மூனை
47,Herz::N,corazón,இதயம
48,Magen::N,estómago,வயிறு
49,Leber::N,hígado,கல்லீரல்
50,Atem::N,aliento,மூச்சு
51,Hunger::N,hambre,பசி
52,Träne::N,lágrima,கண்ணீர்
53,Geschmack::N,gusto,நறுமணம்
54,Geruch::N,olor,துர்நாற்றம்
55,Schlaf::N,sueño,தூக்கம்
56,Traum::N,sueño,கனவு
57,Traum::N,ensueño,கனவு
58,Himmel::N,cielo,வானம்
59,Sonne::N,sol,சூரியன்
60,Mond::N,luna,சந்திரன்
61,Stern::N,estrella,நட்சத்திரம்
62,Luft::N,aire,காறறு
63,Wind::N,viento,காற்று
64,Welle::N,ola,அலை
65,Welle::N,onda,அலை
66,Wasser::N,agua,நீர்
67,Stein::N,piedra,கல்
68,Boden::N,suelo,தரை
69,Erde::N,tierra,மண்
70,Staub::N,polvo,தூசி
71,Rauch::N,humo,புகை
72,Funke::N,chispa,தீப்பொறி
73,Feuer::N,fuego,தீ
74,Licht::N,luz,வெளிச்சம்
75,Schatten::N,sombra,நிழல்
76,Wetter::N,tiempo,வானிலை
77,Nebel::N,niebla,பனிமூட்டம்
78,Wolke::N,nube,மேகம்
79,Regen::N,lluvia,மழை
80,Schnee::N,nieve,உறைபனி
81,Eis::N,hielo,பனிக்கட்டி
82,Frost::N,helada,உறைபனி
83,Kälte::N,frío,குளிர்ந்த
84,Hitze::N,calor,சூடு
85,Raureif::N,escarcha,உறைபனி வெண்திரை
86,Regenbogen::N,arco iris,வானவில்
87,Donner::N,trueno,இடி
88,Strömung::N,corriente,நீரோட்டம்
89,Tropfen::N,gota,துளி
90,Schaum::N,espuma,நுரை
91,Schmutz::N,suciedad,அழுக்கு
92,See::N,lago,ஏரி
93,Sumpf::N,pantano,சதுப்பு நிலம்
94,Moor::N,turbera,முட்புதற்காடு
95,Wiese::N,prado,பசும் புல்தரை
96,Wiese::N,pradera,பசும் புல்தரை
97,Wald::N,bosque,காடு
98,Hügel::N,colina,குன்று
99,Anhöhe::N,cerro,பதுக்கை
100,Berg::N,monte,மலை
101,Berg::N,montaña,மலை
102,Gipfel::N,cima,உச்சி மாநாடு
103,Gipfel::N,cumbre,உச்சி மாநாடு
104,Höhle::N,cueva,குகை
105,Höhle::N,caverna,குகை
106,Abhang::N,cuesta,சரிவு
107,Abhang::N,declive,சரிவு
108,Quelle::N,fuente,மூலம்
109,Quelle::N,manantial,மூலம்
110,Bach::N,arroyo,ஓடை
111,Fluss::N,río,ஆறு
112,Ufer::N,orilla,நீர்க்கரை
113,Küste::N,costa,கடற்கரை
114,Festland::N,tierra firme,நிலம்
115,Meer::N,mar,கடல்
116,Bucht::N,cala,சிறுகுடா
117,Bucht::N,bahía,சிறுகுடா
118,Insel::N,isla,தீவு
119,Blume::N,flor,பூ
120,Gras::N,hierba,புல்தரை
121,Wurzel::N,raíz,வேர்
122,Baum::N,árbol,மரம்
123,Stamm::N,tronco,அடிமரம்
124,Rinde::N,corteza,பட்டை
125,Rinde::N,corteza,மரப்பட்டை
126,Ast::N,rama,கினை
127,Zweig::N,ramo,குச்சி
128,Blatt::N,hoja,இலை
129,Birke::N,abedul,பிர்ச் மரம்
130,Kiefer[Baum]::N,pino,தேவதாரு மரம்
131,Weide[Baum]::N,sauce,மர வகைகளுள் ஒன்று
132,Tanne::N,abeto,சாதிக்கய்
133,Horn::N,asta,கொம்பு
134,Horn::N,cuerno,கொம்பு
135,Feder::N,pluma,இறகு
136,Fell::N,piel,மென்முடி
137,Flügel::N,ala,இறக்கை
138,Klaue::N,garra,நகம்
139,Kralle::N,uña,நகம்
140,Kralle::N,garra,நகம்
141,Schwanz::N,cola,வால்
142,Ei::N,huevo,முட்டை
143,Nest::N,nido,கூடு
144,Bau::N,madriguera,குகை
145,Tier::N,animal,விலங்கு
146,Herde::N,rebaño,கூட்டம்
147,Kuh::N,vaca,பசு
148,Bulle::N,toro,காளை
149,Pferd::N,caballo,குதிரை
150,Schaf::N,oveja,செம்மறிஆடு
151,Schwein::N,cerdo,பன்றி
152,Hund::N,perro,நாய்
153,Katze::N,gato,பூனை
154,Bär::N,oso,கரடி
155,Eichhörnchen::N,ardilla,அணில்
156,Elch::N,alce,கடம்பை
157,Fuchs::N,zorro,நரி
158,Hase::N,liebre,முயல்
159,Maus::N,ratón,எலி
160,Wolf::N,lobo,ஓநாய்
161,Vogel::N,ave,பறவை
162,Vogel::N,pájaro,பறவை
163,Schwarm::N,bandada,தொகுதி
164,Huhn::N,gallina,கோழிக்குஞசு
165,Hahn::N,gallo,சேவல்
166,Gans::N,oca,பெண் வாத்து
167,Gans::N,ganso,பெண் வாத்து
168,Adler::N,águila,பருநது
169,Ente::N,pato,வாத்து
170,Eule::N,lechuza,ஆந்தை
171,Kranich::N,grulla,நாரை
172,Krähe::N,corneja,காகம்
173,Kuckuck::N,cuco,குயில்
174,Schwan::N,cisne,அன்னம்
175,Fisch::N,pez,மீன்
176,Barsch::N,perca,பேர்ச்
177,Hecht::N,lucio,கோலாச்சி மீன்
178,Schlange[Tier]::N,serpiente,பாம்பு
179,Wurm::N,gusano,புழு
180,Spinne::N,araña,சிலந்தி
181,Ameise::N,hormiga,எறும்பு
182,Laus::N,piojo,பேன்
183,Mücke::N,mosquito,கொசுவினப்பூச்சி
184,Fliege::N,mosca,ஈ
185,Schmetterling::N,mariposa,வண்ணத்துப்பூச்சி
186,Beere::N,baya,சதைப்பழம்
187,Apfel::N,manzana,ஆப்பிள பழம்
188,Pilz::N,seta,காளான்
189,Pilz::N,hongo,காளான்
190,Zwiebel::N,cebolla,வெங்காயம்
