,Concept_ID,myv,de
0,Auge::N,сельме,Auge
1,Ohr::N,пиле,Ohr
2,Nase::N,судо,Nase
3,Mund::N,курго,Mund
4,Zahn::N,пей,Zahn
5,Zunge::N,кель,Zunge
6,Lippe::N,турва,Lippe
7,Wange::N,чамабока,Wange
8,Wange::N,чамаумарь,Wange
9,Gesicht::N,чама,Gesicht
10,Stirn::N,коня,Stirn
11,Haar::N,черь,Haar
12,Schnurrbart::N,ус,Schnurrbart
13,Schnurrbart::N,муюк,Schnurrbart
14,Bart::N,сакал,Bart
15,Kinn::N,уло,Kinn
16,Kiefer[Anatomie]::N,пейпакар,Kiefer
17,Kiefer[Anatomie]::N,пейловажа,Kiefer
18,Kehle::N,кирьгапарь,Kehle
19,Hals::N,кирьга,Hals
20,Genick::N,човонь,Genick
21,Kopf::N,пря,Kopf
22,Rücken::N,копорь,Rücken
23,Bauch::N,пеке,Bauch
24,Nabel::N,почо,Nabel
25,Busen::N,поте,Busen
26,Brust::N,меште,Brust
27,Schulter::N,лавтов,Schulter
28,Arm::N,кедь,Arm
29,Ellenbogen::N,кенерепакарь,Ellenbogen
30,Hand::N,кедь,Hand
31,Handfläche::N,кедькуншка,Handfläche
32,Handfläche::N,кедьлапушка,Handfläche
33,Finger::N,сур,Finger
34,Fingernagel::N,кенже,Fingernagel
35,Nagel[Anatomie]::N,кенже,Nagel
36,Zeh::N,пильге сур,Zeh
37,Fuß::N,пильге,Fuß
38,Ferse::N,кочкаря,Ferse
39,Knie::N,эле,Knie
40,Knie::N,эзне,Knie
41,Knie::N,кумажа,Knie
42,Oberschenkel::N,качо,Oberschenkel
43,Bein::N,пильге,Bein
44,Körper::N,рунго,Körper
45,Haut::N,киське,Haut
46,Blut::N,верь,Blut
47,Ader::N,сан,Ader
48,Sehne::N,коське сан,Sehne
49,Knochen::N,пакарь,Knochen
50,Gehirn::N,удем,Gehirn
51,Herz::N,седей,Herz
52,Magen::N,пеке,Magen
53,Leber::N,максо,Leber
54,Atem::N,лексема,Atem
55,Atem::N,оймень таргсема,Atem
56,Hunger::N,вачочи,Hunger
57,Träne::N,селведь,Träne
58,Geschmack::N,тансть,Geschmack
59,Geruch::N,чине,Geruch
60,Schlaf::N,удома,Schlaf
61,Traum::N,он,Traum
62,Himmel::N,менель,Himmel
63,Sonne::N,чи,Sonne
64,Mond::N,ков,Mond
65,Stern::N,теште,Stern
66,Luft::N,кошт,Luft
67,Wind::N,варма,Wind
68,Welle::N,толкун,Welle
69,Wasser::N,ведь,Wasser
70,Stein::N,кев,Stein
71,Boden::N,мода,Boden
72,Erde::N,мастор,Erde
73,Staub::N,пуль,Staub
74,Rauch::N,качамо,Rauch
75,Funke::N,сятко,Funke
76,Feuer::N,тол,Feuer
77,Licht::N,валдо,Licht
78,Schatten::N,сулей,Schatten
79,Schatten::N,сулейкс,Schatten
80,Wetter::N,ушо,Wetter
81,Nebel::N,сув,Nebel
82,Wolke::N,пель,Wolke
83,Regen::N,пиземс,Regen
84,Schnee::N,лов,Schnee
85,Eis::N,эй,Eis
86,Frost::N,кельме,Frost
87,Kälte::N,якшамо,Kälte
88,Hitze::N,пси,Hitze
89,Raureif::N,лекш,Raureif
90,Regenbogen::N,пурьгинечирьке,Regenbogen
91,Regenbogen::N,пурьгинеёнкс,Regenbogen
92,Donner::N,пурьгине,Donner
93,Strömung::N,чудема,Strömung
94,Strömung::N,чудевкс,Strömung
95,Tropfen::N,петнявкс,Tropfen
96,Schaum::N,чов,Schaum
97,Schmutz::N,рудаз,Schmutz
98,See::N,эрьке,See
99,Sumpf::N,чей,Sumpf
100,Moor::N,чей,Moor
101,Wiese::N,луга,Wiese
102,Wald::N,вирь,Wald
103,Hügel::N,губорь,Hügel
104,Hügel::N,пандыне,Hügel
105,Anhöhe::N,губорь,Anhöhe
106,Anhöhe::N,пандыне,Anhöhe
107,Berg::N,пандо,Berg
108,Gipfel::N,пря,Gipfel
109,Höhle::N,пещера,Höhle
110,Abhang::N,пандочама,Abhang
111,Quelle::N,ушодкс,Quelle
112,Bach::N,чудикерькс,Bach
113,Fluss::N,лей,Fluss
114,Ufer::N,чире,Ufer
115,Küste::N,лейчире,Küste
116,Festland::N,мода,Festland
117,Meer::N,моря,Meer
118,Bucht::N,усия,Bucht
119,Insel::N,усия,Insel
120,Blume::N,цеця,Blume
121,Gras::N,тикше,Gras
