,Concept_ID,av,ka
62,Himmel::N,зоб,ცა
63,Sonne::N,бакъ,მზე
64,Mond::N,моцӏ,მთვარე
65,Stern::N,цӏва,ვარსკვლავი
66,Luft::N,гьава,ჰაერი
67,Wind::N,гьури,ქარი
68,Welle::N,карачел,ტალღა
69,Wasser::N,лъим,წყალი
70,Stein::N,гьецӏо,ქვა
71,Boden::N,ракь,მიწა
72,Erde::N,ракь,ნიადაგი
73,Erde::N,дуниял,ნიადაგი
74,Staub::N,хӏур,მტვერი
75,Rauch::N,кӏкӏуй,ბოლი
76,Rauch::N,кӏкӏуй,კვამლი
77,Feuer::N,цӏа,ცეცხლი
78,Licht::N,канлъи,შუქი
79,Licht::N,канлъи,სინათლე
80,Schatten::N,рагӏад,ლანდი
81,Schatten::N,рагӏад,ჩრდილი
82,Wetter::N,гьава-бакъ,ამინდი
83,Nebel::N,гӏодобнакӏкӏ,ნისლი
84,Wolke::N,накӏкӏ,ღრუბელი
85,Regen::N,цӏад,წვიმა
86,Schnee::N,гӏазу,თოვლი
87,Eis::N,цӏер,თოში
88,Eis::N,цӏер,ყინული
89,Frost::N,замгьари,ყინვა
90,Kälte::N,квач,სიცივე
91,Hitze::N,багӏари,სიცხე
92,Raureif::N,мартӏ,ჭირხლი
93,Raureif::N,мартӏ,თრთვილი
94,Regenbogen::N,нур,ცისარტყელა
95,Regenbogen::N,чамбара,ცისარტყელა
96,Donner::N,гъугъай,ქუხილი
97,Donner::N,гъугъади,ქუხილი
98,Strömung::N,чвахи,დინება
99,Tropfen::N,резел,წვეთი
100,Tropfen::N,тӏинкӏ,წვეთი
101,Tropfen::N,къатӏра,წვეთი
102,Tropfen::N,тӏенкӏел,წვეთი
103,Schaum::N,полоп,ქაფი
104,Schaum::N,полоп,დორბლი
105,Schmutz::N,чороклъи,ჭუჭყი
106,Schmutz::N,чороклъи,ტალახი
107,See::N,хӏор,ტბა
108,Sumpf::N,хьуцӏ,ჭაობი
109,Wiese::N,мегъ,ველი
110,Wiese::N,мегъ,მდელო
111,Wiese::N,гӏурдаллъи,ველი
112,Wiese::N,гӏурдаллъи,მდელო
113,Wald::N,рохь,ტყე
114,Hügel::N,гохӏ,ბორცვი
115,Anhöhe::N,сийитма,მაღლობი
116,Berg::N,мегӏер,მთა
117,Gipfel::N,тӏогь,მწვერვალი
118,Höhle::N,нохъо,მღვიმე
119,Höhle::N,нохъо,გამოქვებული
120,Abhang::N,лабаллъи,ფერდობი
121,Quelle::N,ицц,წყარო
122,Quelle::N,ицц,სათავე
123,Bach::N,лъар,რუ
124,Bach::N,лъар,ნაკადული
125,Fluss::N,гӏор,მდინარე
126,Ufer::N,рагӏал,კიდე
127,Ufer::N,рагӏал,ნაპირი
128,Küste::N,рагӏал,ნაპირი
129,Festland::N,ракь,ხმელეთი
130,Festland::N,ракъдаллъи,ხმელეთი
131,Meer::N,ралъад,ზღვა
132,Bucht::N,кӏветӏ,ყურე
133,Insel::N,чӏинкӏиллъи,კუნძული
134,Blume::N,тӏегь,ყვავილი
135,Gras::N,хер,ბალახი
136,Wurzel::N,кьибил,ძირი
137,Wurzel::N,кьибил,ფესვი
138,Baum::N,гъветӏ,ხე
139,Stamm::N,рохти,ტანი
140,Rinde::N,макъар,ქერქი
141,Ast::N,ноцӏ,ტოტი
142,Zweig::N,гӏаркьел,შტო
143,Blatt::N,тӏамах,ფოთოლი
144,Birke::N,мах,არყი
145,Birke::N,махигъветӏ,არყი
146,Kiefer[Baum]::N,накӏкӏигъветӏ,ფიჭვი
147,Weide[Baum]::N,рицӏцӏ,ტირიფი
148,Weide[Baum]::N,рицӏцӏигъветӏ,ტირიფი
149,Tanne::N,ёлка,ნაძვი
150,Horn::N,лълъар,რქა
151,Feder::N,хӏули,ფრთა
152,Fell::N,тӏом,ტყავი
153,Fell::N,цӏоко,ტყავი
154,Flügel::N,кваркьи,ფრთა
155,Klaue::N,галъ,კლანჭი
156,Kralle::N,квачӏ,ტორი
157,Kralle::N,катиквачӏ,ტორი
158,Schwanz::N,рачӏ,კუდი
159,Ei::N,хоно,კვერცხი
160,Nest::N,бусен,ბუდე
161,Bau::N,каратӏ,სორო
162,Tier::N,хӏайван,ნადირი
163,Tier::N,хӏайван,ცხოველი
164,Herde::N,рехъен,ფარა
165,Herde::N,рехъед,ფარა
166,Kuh::N,гӏака,ფური
167,Kuh::N,гӏака,ძროხა
168,Bulle::N,оц,ხარი
169,Pferd::N,чу,რაში
170,Pferd::N,чу,ცხენი
171,Schaf::N,чахъу,ცხვარი
172,Schwein::N,болъон,ღორი
173,Hund::N,гьой,ძაღლი
174,Katze::N,кету,კატა
175,Bär::N,ци,დათვი
176,Eichhörnchen::N,гвангва,ციყვი
177,Fuchs::N,цер,მელა
178,Hase::N,гӏанкӏ,კურდღელი
179,Maus::N,гӏункӏкӏ,თაგვი
180,Wolf::N,бацӏ,მგელი
181,Vogel::N,хӏинчӏ,ჩიტი
182,Vogel::N,хӏинчӏ,ფრინველი
183,Schwarm::N,тӏел,გუნდი
184,Huhn::N,гӏанкӏу,დედალი
185,Hahn::N,хӏелеко,მამალი
186,Gans::N,хъаз,ბატი
187,Adler::N,цӏум,არწივი
188,Ente::N,ордек,იხვი
189,Eule::N,беццаруз,ბუ
190,Kranich::N,къункъра,წერო
191,Krähe::N,гъеду,ყვავი
192,Kuckuck::N,гагу,გუგული
193,Schwan::N,хӏанкъва,გედი
194,Fisch::N,ччугӏа,თევზი
195,Barsch::N,окунь,ქორჭილა
196,Hecht::N,щука,ქარიყლაპია
197,Schlange[Tier]::N,борохь,გველი
198,Wurm::N,хӏапара,ჭია
199,Spinne::N,хъанхъра,ობობა
200,Ameise::N,цӏунцӏра,ჭიანჭველა
201,Laus::N,нацӏ,ტილი
202,Laus::N,нацӏ,მკბენარი
203,Mücke::N,кӏкӏара,კოღო
204,Fliege::N,тӏутӏ,ბუზი
205,Schmetterling::N,кӏалкӏучӏ,პეპელა
206,Apfel::N,гӏеч,ვაშლი
207,Pilz::N,гӏурдахӏан,სოკო
208,Zwiebel::N,кӏочӏопер,ხახვი
209,Saat::N,хьон,თესლი
210,Korn::N,мугь,მარცვალი
211,Heu::N,хер,თივა
212,Schale::N,хъал,ჩენჩო
213,Grube::N,гвенд,ორმო
214,Falle::N,къор,ხაფანგი
215,Falle::N,къотен,ხაფანგი
216,Schlinge::N,кӏичӏ,მახე
217,Spur::N,лъалкӏ,კვალი
218,Asche::N,рахъу,ფერფლი
219,Dreck::N,гъиз,ტალახი
220,Dreck::N,гъиз,სიბინძურე
221,Dreck::N,хӏарщ,ტალახი
222,Dreck::N,хӏарщ,სიბინძურე
223,Eisen::N,махх,რკინა
224,Gold::N,месед,ოქრო
225,Silber::N,гӏарац,ვერცხლი
226,Kohle::N,тӏурччи,ნახშირი
227,Glas::N,цӏер,მინა
228,Lehm::N,хӏатӏ,თიხა
229,Sand::N,сали,ქვიშა
230,Mensch::N,чи,ადამიანი
231,Mann::N,бихьинчи,კაცი
232,Frau::N,гӏадан,ქალი
233,Kind::N,лъимер,ბავშვი
234,Junge::N,вас,ვაჟი
235,Mädchen::N,яс,გოგო
236,Familie::N,хъизан,ოჯახი
237,Großvater::N,кӏудада,პაპა
238,Großvater::N,кӏудада,ბაბუა
239,Großmutter::N,кӏодо,ბებია
240,Großmutter::N,кӏодо,დიდედა
241,Eltern::N,эбел-эмен,მშობლები
242,Vater::N,эмен,მამა
243,Mutter::N,эбел,დედა
244,Sohn::N,вас,ვაჟიშვილი
245,Tochter::N,яс,ქალიშვილი
246,Bruder::N,вац,ძმა
247,Schwester::N,яц,და
248,Onkel::N,даци,ბიძა
249,Tante::N,ада,დეიდა
250,Tante::N,ада,მამიდა
251,Ehemann::N,рос,ქმარი
252,Ehefrau::N,чӏужу,ცოლი
253,Freude::N,ракӏбохи,სიხარული
254,Gelächter::N,релъи,სიცილი
255,Glück::N,талихӏ,ბედნიერება
256,Glück::N,талихӏ-рохел,ბედნიერება
257,Kummer::N,хӏалкъай,მწუხარება
258,Wunsch::N,къасд,წადილი
259,Wunsch::N,къасд,სურვილი
260,Lust::N,гъира,წადილი
261,Geist::N,чӏанкӏ,სული
262,Geist::N,рухӏ-жан,სული
263,Gedanke::N,пикру,ფიქრი
264,Verstand::N,лумалъи,ჭკუა
265,Verstand::N,лумалъи,გონება
266,Verstand::N,цӏодорлъи,ჭკუა
267,Verstand::N,цӏодорлъи,გონება
268,Sinn::N,магӏна,მნიშვნელობა
269,Grund::N,багьана,მიზეზი
270,Wahrheit::N,ритӏухълъи,სიმართლე
271,Wahrheit::N,ритӏухълъи,ჭეშმარიტება
272,Gespräch::N,накъит,ბაასი
273,Gespräch::N,накъит,საუბარი
274,Märchen::N,маргьа,არაკი
275,Märchen::N,маргьа,ზღაპარი
276,Erzählung::N,къиса,თქმულება
277,Nachricht::N,хабар,ცნობა
