,Concept_ID,mn,br
0,Auge::N,нүд,lagad
1,Ohr::N,чих,skouarn
2,Nase::N,хамар,fri
3,Mund::N,ам,genoù
4,Zahn::N,шүд,dant
5,Zunge::N,хэл,teod
6,Lippe::N,уруул,muzell
7,Wange::N,хацар,chot
8,Gesicht::N,царай,dremm
9,Gesicht::N,нүүр,dremm
10,Stirn::N,дух,tal
11,Haar::N,үс,blev
12,Schnurrbart::N,дээд сахал,mourenn
13,Schnurrbart::N,живэр сахал,mourenn
14,Bart::N,сахал,barv
15,Kinn::N,эрүү,groñj
16,Kiefer[Anatomie]::N,эрүү,javed
17,Kehle::N,хоолой,gouzoug
18,Hals::N,хүзүү,gouzoug
19,Genick::N,шил,choug
20,Genick::N,хүзүү,choug
21,Kopf::N,толгой,penn
22,Rücken::N,ар,kein
23,Rücken::N,нуруу,kein
24,Bauch::N,хэвлий,kof
25,Bauch::N,гэдэс,kof
26,Nabel::N,хүйс,begel
27,Busen::N,хөх,bronn
28,Brust::N,цээж,bruched
29,Schulter::N,мөр,skoaz
30,Schulter::N,бугалга,skoaz
31,Arm::N,гар,brec'h
32,Ellenbogen::N,тохой,ilin
33,Hand::N,гар,dorn
34,Hand::N,алга,dorn
35,Handfläche::N,алга,palv
36,Finger::N,хуруу,biz
37,Fingernagel::N,хурууны хумс,ivin
38,Nagel[Anatomie]::N,хумс,ivin
39,Zeh::N,хуруу,biz-troad
40,Fuß::N,хөл,troad
41,Ferse::N,өсгий,seul
42,Knie::N,өвдөг,glin
43,Oberschenkel::N,гуя,morzhed
44,Bein::N,хөл,gar
45,Körper::N,бие,korf
46,Haut::N,арьс,kroc'hen
47,Blut::N,цус,gwad
48,Ader::N,судас,gwazhi
49,Sehne::N,бүлх,stir
50,Sehne::N,шандас,stir
51,Knochen::N,яс,askorn
52,Gehirn::N,тархи,empenn
53,Herz::N,зүрх,kalon
54,Magen::N,ходоод,stomog
55,Leber::N,элэг,avu
56,Atem::N,амьсгаа,anal
57,Hunger::N,өлсгөлөн,naon
58,Träne::N,нулимс,daer
59,Geschmack::N,амт,blaz
60,Geruch::N,үнэр,c'hwezh
61,Schlaf::N,нойр,kousked
62,Traum::N,зүүд,hune
63,Himmel::N,тэнгэр,oabl
64,Himmel::N,огторгуй,oabl
65,Sonne::N,нар,heol
66,Mond::N,сар,loar
67,Stern::N,од,steredenn
68,Luft::N,агаар,aer
69,Wind::N,салхи,avel
70,Welle::N,долгио,houlenn
71,Welle::N,давалгаа,houlenn
72,Wasser::N,ус,dour
73,Stein::N,чулуу,maen
74,Boden::N,хөрс,tachenn
75,Erde::N,газар,douar
76,Erde::N,шороо,douar
77,Staub::N,тоос,poultr
78,Rauch::N,утаа,moged
79,Funke::N,оч,ful
80,Feuer::N,гал,tan
81,Licht::N,гэрэл,gouloù
82,Licht::N,гэгээ,gouloù
83,Schatten::N,сүүдэр,disheol
84,Wetter::N,тэнгэр,amzer
85,Wetter::N,цаг уур,amzer
86,Nebel::N,будан,brumenn
87,Wolke::N,үүл,koumoulenn
88,Regen::N,бороо,glav
89,Schnee::N,цас,erc'h
90,Eis::N,мөс,skorn
91,Frost::N,хүйт,rev
92,Kälte::N,хүйт,yen
93,Hitze::N,халуун,tommder
94,Raureif::N,цан,frim
95,Raureif::N,хяруу,frim
96,Regenbogen::N,солонго,gwareg-ar-glav
97,Donner::N,тэнгэрийн дуу,kurun
98,Strömung::N,урсгал,red
99,Tropfen::N,дусал,bannac'h
100,Tropfen::N,дусал,takenn
101,Schaum::N,хөөс,spoum
102,Schmutz::N,хир,fank
103,Schmutz::N,шавхай,fank
104,See::N,нуур,lenn
105,Sumpf::N,намаг,gwern
106,Sumpf::N,балчиг,gwern
107,Moor::N,хүлрийн намаг,taouarc'heg
108,Wiese::N,нуга,prad
109,Wald::N,ой,koad
110,Hügel::N,болдог,torgenn
