,Concept_ID,zh,da
0,Auge::N,眼睛,øje
1,Ohr::N,耳朵,øre
2,Nase::N,鼻子,næse
3,Mund::N,嘴,mund
4,Zahn::N,牙齿,tand
5,Zunge::N,舌头,tunge
6,Lippe::N,嘴唇,læbe
7,Wange::N,面颊,kind
8,Gesicht::N,脸,ansigt
9,Stirn::N,额,pande
10,Haar::N,头发,hår
11,Schnurrbart::N,髭须,overskæg
12,Bart::N,胡子,skæg
13,Kinn::N,下巴,hage
14,Kiefer[Anatomie]::N,颌,kæbe
15,Kehle::N,嗓子,strube
16,Hals::N,颈,hals
17,Genick::N,后颈,nakke
18,Kopf::N,头,hoved
19,Rücken::N,背,ryg
20,Bauch::N,肚子,mave
21,Nabel::N,肚脐,navle
22,Busen::N,胸脯,barm
23,Brust::N,胸,bryst
24,Schulter::N,肩膀,skulder
25,Arm::N,臂膀,arm
26,Ellenbogen::N,肘,albue
27,Hand::N,手,hånd
28,Handfläche::N,手掌,håndflade
29,Finger::N,手指,finger
30,Fingernagel::N,指甲,fingernegl
31,Nagel[Anatomie]::N,指甲,negl
32,Zeh::N,脚趾,tå
33,Fuß::N,脚,fod
34,Ferse::N,后跟,hæl
35,Knie::N,膝,knæ
36,Oberschenkel::N,大腿,lår
37,Bein::N,腿,ben
38,Körper::N,身体,krop
39,Körper::N,身体,legeme
40,Haut::N,皮肤,hud
41,Blut::N,血,blod
42,Ader::N,血管,åre
43,Sehne::N,腱,sene
44,Knochen::N,骨,ben
45,Gehirn::N,脑,hjerne
46,Herz::N,心,hjerte
47,Magen::N,胃,mave
48,Leber::N,肝,lever
49,Atem::N,呼吸,ånde
50,Hunger::N,饿,sult
51,Träne::N,眼泪,tåre
52,Geschmack::N,味道,smag
53,Geruch::N,气味,lugt
54,Schlaf::N,睡眠,søvn
55,Traum::N,梦,drøm
56,Himmel::N,天空,himmel
57,Sonne::N,太阳,sol
58,Mond::N,月亮,måne
59,Stern::N,星,stjerne
60,Luft::N,空气,luft
61,Wind::N,风,vind
62,Welle::N,波,bølge
63,Wasser::N,水,vand
64,Stein::N,石头,sten
65,Boden::N,地面,jord
66,Erde::N,地,jord
67,Staub::N,灰尘,støv
68,Rauch::N,烟,røg
69,Funke::N,火花,gnist
70,Feuer::N,火,ild
71,Licht::N,光,lys
72,Schatten::N,影子,skygge
73,Wetter::N,天气,vejr
74,Nebel::N,雾,tåge
75,Wolke::N,云,sky
76,Regen::N,雨,regn
77,Schnee::N,雪,sne
78,Eis::N,冰,is
79,Frost::N,霜冻,frost
80,Kälte::N,寒冷,kulde
81,Hitze::N,炎热,hede
82,Raureif::N,霜,rimfrost
83,Regenbogen::N,虹,regnbue
84,Donner::N,雷,torden
85,Strömung::N,水流,strømning
86,Tropfen::N,滴,dråbe
87,Schaum::N,泡沫,skum
88,Schmutz::N,赃物,snavs
89,See::N,湖,sø
90,Sumpf::N,沼泽,sump
91,Moor::N,沼泽,mose
92,Wiese::N,草地,eng
93,Wald::N,森林,skov
94,Hügel::N,丘陵,høj
95,Hügel::N,丘陵,bakke
96,Anhöhe::N,山丘,høj
97,Anhöhe::N,山丘,bakke
98,Berg::N,山,bjerg
99,Gipfel::N,峰,top
100,Höhle::N,洞穴,hule
101,Abhang::N,斜坡,skrænt
102,Abhang::N,斜坡,skråning
103,Quelle::N,泉,kilde
104,Bach::N,溪,bæk
105,Fluss::N,河流,flod
106,Ufer::N,岸,bred
107,Küste::N,海岸,kyst
108,Festland::N,大陆,fastland
109,Meer::N,海,hav
110,Bucht::N,海湾,bugt
111,Insel::N,岛,ø
112,Blume::N,花,blomst
113,Gras::N,草,græs
114,Wurzel::N,根,rod
115,Baum::N,树,træ
116,Stamm::N,树干,stamme
117,Rinde::N,树皮,bark
118,Ast::N,树枝,gren
119,Zweig::N,树枝,kvist
120,Blatt::N,叶子,blad
121,Birke::N,桦木,birk
122,Kiefer[Baum]::N,松树,fyrretræ
123,Weide[Baum]::N,柳树,piletræ
124,Tanne::N,冷杉,gran
125,Horn::N,角,horn
126,Feder::N,羽毛,fjer
127,Fell::N,皮毛,skind
128,Flügel::N,翅膀,vinge
129,Klaue::N,爪子,klov
130,Kralle::N,爪子,klo
131,Schwanz::N,尾巴,hale
132,Ei::N,蛋,æg
133,Nest::N,巢,rede
134,Bau::N,穴,bo
135,Tier::N,动物,dyr
136,Herde::N,群,flok
137,Kuh::N,母牛,ko
138,Bulle::N,公牛,tyr
139,Pferd::N,马,hest
140,Schaf::N,羊,får
141,Schwein::N,猪,gris
142,Hund::N,狗,hund
143,Katze::N,猫,kat
144,Bär::N,熊,bjørn
145,Eichhörnchen::N,松鼠,egern
146,Elch::N,麋鹿,elg
147,Fuchs::N,狐狸,ræv
148,Hase::N,兔子,hare
149,Maus::N,老鼠,mus
150,Wolf::N,狼,ulv
151,Vogel::N,鸟,fugl
152,Schwarm::N,群,sværm
153,Huhn::N,鸡,høne
154,Hahn::N,公鸡,hane
155,Gans::N,鹅,gås
156,Adler::N,鹰,ørn
157,Ente::N,鸭,and
158,Eule::N,猫头鹰,ugle
159,Kranich::N,鹤,trane
160,Krähe::N,乌鸦,krage
161,Kuckuck::N,布谷鸟,gøg
162,Schwan::N,天鹅,svane
163,Fisch::N,鱼,fisk
164,Barsch::N,鲈鱼,aborre
165,Hecht::N,狗鱼,gedde
166,Schlange[Tier]::N,蛇,slange
167,Wurm::N,蠕虫,orm
168,Spinne::N,蜘蛛,edderkop
169,Ameise::N,蚂蚁,myre
170,Laus::N,虱子,lus
171,Mücke::N,蚊子,myg
172,Fliege::N,苍蝇,flue
173,Schmetterling::N,蝴蝶,sommerfugl
174,Beere::N,将果,bær
175,Apfel::N,苹果,æble
176,Pilz::N,蘑菇,svamp
177,Zwiebel::N,洋葱,løg
178,Saat::N,种子,sæd
179,Korn::N,谷粒,korn
180,Heu::N,干草,hø
181,Schale::N,壳,skræl
182,Grube::N,坑,grav
183,Falle::N,圈套,fælde
184,Schlinge::N,活扣,snare
185,Spur::N,踪迹,spor
186,Asche::N,灰烬,aske
187,Dreck::N,污垢,snavs
188,Eisen::N,铁,jern
189,Gold::N,金子,guld
190,Silber::N,银,sølv
191,Kohle::N,煤,kul
192,Glas::N,玻璃,glas
193,Lehm::N,粘土,ler
194,Sand::N,沙,sand
195,Mensch::N,人,mennesge
196,Mann::N,男子,mand
197,Frau::N,妇女,kvinde
198,Kind::N,小孩,barn
199,Junge::N,男孩,dreng
200,Mädchen::N,女孩,pige
201,Familie::N,家庭,familie
202,Großvater::N,祖父,bedstefar
203,Großmutter::N,祖母,bedstemor
204,Eltern::N,父母,forældre
205,Vater::N,父亲,far
206,Mutter::N,母亲,mor
207,Sohn::N,儿子,søn
208,Tochter::N,女儿,datter
209,Bruder::N,兄弟,bror
210,Schwester::N,姐妹,søster
211,Onkel::N,伯父,onkel
212,Tante::N,阿姨,tante
213,Ehemann::N,丈夫,ægtemand
214,Ehefrau::N,妻子,hustru
215,Freude::N,愉快,glæde
216,Gelächter::N,大笑,latter
217,Glück::N,运气,lykke
218,Kummer::N,苦恼,sorg
219,Wunsch::N,愿望,ønske
220,Lust::N,乐趣,lyst
221,Geist::N,精神,ånd
222,Gedanke::N,思想,tanke
223,Gedächtnis::N,记性,hukommelse
224,Verstand::N,理智,forstand
225,Sinn::N,感觉,mening
226,Sinn::N,感觉,betydning
227,Grund::N,理由,grund
228,Wahrheit::N,真理,sandhed
229,Gespräch::N,谈话,samtale
230,Märchen::N,童话,eventyr
231,Erzählung::N,故事,fortælling
232,Nachricht::N,消息,efterretning
233,Neuigkeit::N,新闻,nyhed
234,Name::N,名字,navn
235,Rätsel::N,谜语,gåde
236,Rede::N,讲话,tale
237,Sprache::N,语言,sprog
238,Stimme::N,声音,stemme
239,Wort::N,词,ord
240,Zeichen::N,标记,tegn
241,Ruf::N,呼喊,råb
242,Lärm::N,噪音,larm
243,Laut::N,响声,lyd
244,Ton::N,声音,tone
245,Lied::N,歌曲,sang
246,Ruhe::N,安静,ro
247,Ruhe::N,安静,hvile
248,Leute::N,人们,folk
249,Leute::N,人们,mennesker
250,Volk::N,人民,folk
251,Arbeit::N,劳动,arbejde
252,Gast::N,客人,gæst
253,Geschenk::N,礼物,gave
254,Spiel::N,游戏,leg
255,Gesellschaft::N,陪同,selskab
256,Hilfe::N,帮助,hjælp
257,Freund::N,朋友,ven
258,Kamerad::N,同志,kammerat
259,Angelegenheit::N,事情,sag
260,Angelegenheit::N,事情,anliggende
261,Anzahl::N,数目,antal
262,Art::N,种类,art
263,Stück::N,块,stykke
264,Teil::N,部分,del
265,Hälfte::N,一半,halvdel
266,Kreis::N,圆,cirkel
267,Kreuz::N,十字架,kors
268,Kreuz::N,十字架,kryds
269,Linie::N,线条,linie
270,Strich::N,划,streg
271,Abstand::N,距离,afstand
272,Entfernung::N,距离,afstand
273,Gegend::N,地区,egn
274,Platz::N,场所,plads
275,Ort::N,地点,sted
276,Seite::N,面,side
277,Mitte::N,中间,midte
278,Gegenstand::N,物品,genstand
279,Sache::N,物,sag
280,Rand::N,边,rand
281,Kante::N,棱,kant
282,Ecke::N,角,hjørne
283,Spitze::N,尖,spids
284,Ende::N,结尾,ende
285,Loch::N,洞,hul
286,Winkel::N,角度,vinkel
287,Muster::N,模型,mønster
288,Größe::N,大小,størrelse
289,Länge::N,长度,længde
290,Höhe::N,高度,højde
291,Gewicht::N,重量,vægt
292,Menge::N,数量,mængde
293,Haufen::N,堆,bunke
294,Reihe::N,行,række
295,Boot::N,小船,båd
296,Ruder::N,奖,åre
297,Schlitten::N,雪橇,kælk
298,Schlitten::N,雪橇,slæde
299,Ski::N,雪板,ski
300,Lagerfeuer::N,营火,lejrbål
301,Last::N,负担,last
302,Last::N,负担,byrde
303,Gang::N,行走,gang
304,Schritt::N,步伐,skridt
305,Norden::N,北,nord
306,Süden::N,南,syd
307,Westen::N,西,vest
308,Osten::N,东,øst
309,Holz::N,木材,træ
310,Brett::N,木板,bræt
