,Concept_ID,da,kn
0,Auge::N,øje,ಕಣ್ಣು
1,Ohr::N,øre,ಕಿವಿ
2,Nase::N,næse,ಮೂಗು
3,Mund::N,mund,ಬಾಯಿ
4,Zahn::N,tand,ಹಲ್ಲು
5,Zunge::N,tunge,ನಾಲಿಗೆ
6,Lippe::N,læbe,ತುಟಿ
7,Wange::N,kind,ಗಲ್ಲ
8,Gesicht::N,ansigt,ಮುಖ
9,Stirn::N,pande,ಹಣೆ
10,Haar::N,hår,ಕೂದಲು
11,Schnurrbart::N,overskæg,ಮೀಸೆ
12,Bart::N,skæg,ಗಡ್ಡ
13,Kinn::N,hage,ಗದ್ದ
14,Kiefer[Anatomie]::N,kæbe,ದವಡೆ
15,Kehle::N,strube,ಗಂಟಲು
16,Hals::N,hals,ಕೊರಳು
17,Genick::N,nakke,ಹಿಂಗತ್ತು
18,Kopf::N,hoved,ತಲೆ
19,Rücken::N,ryg,ಬೆನ್ನು
20,Bauch::N,mave,ಹೊಟ್ಟೆ
21,Nabel::N,navle,ಹೊಕ್ಕುಳು
22,Busen::N,barm,ಸ್ತನ
23,Brust::N,bryst,ಎದೆ
24,Schulter::N,skulder,ಭುಜ
25,Arm::N,arm,ತೋಳು
26,Ellenbogen::N,albue,ಮೊಣಕೈ
27,Hand::N,hånd,ಕೈ
28,Handfläche::N,håndflade,ಅಂಗೈ
29,Finger::N,finger,ಕೈಬೆರಳು
30,Fingernagel::N,fingernegl,ಉಗುರು
31,Nagel[Anatomie]::N,negl,ಉಗುರು
32,Zeh::N,tå,ಕಾಲ್ಬೆರಳು
33,Fuß::N,fod,ಪಾದ
34,Ferse::N,hæl,ಹಿಮ್ಮಡಿ
35,Knie::N,knæ,ಮಂಡಿ
36,Oberschenkel::N,lår,ತೊಡೆ
37,Bein::N,ben,ಕಾಲು
38,Körper::N,krop,ದೇಹ
39,Körper::N,legeme,ದೇಹ
40,Haut::N,hud,ಚರ್ಮ
41,Blut::N,blod,ರಕ್ತ
42,Ader::N,åre,ನರ
43,Sehne::N,sene,ನರ
44,Knochen::N,ben,ಮೂಳೆ
45,Gehirn::N,hjerne,ಮಿದುಳು
46,Herz::N,hjerte,ಹೃದಯ
47,Magen::N,mave,ಉದರ
48,Leber::N,lever,ಯಕೃತ್ತು
49,Atem::N,ånde,ಉಸಿರು
50,Hunger::N,sult,ಹಸಿವು
51,Träne::N,tåre,ಕಣ್ಣೀರು
52,Geschmack::N,smag,ರುಚಿ
53,Geruch::N,lugt,ವಾಸನೆ
54,Schlaf::N,søvn,ನಿದ್ರೆ
55,Traum::N,drøm,ಕನಸು
56,Himmel::N,himmel,ಬಾನು
57,Sonne::N,sol,ಸೂರ್ಯ
58,Mond::N,måne,ಚಂದ್ರ
59,Stern::N,stjerne,ಚುಕ್ಕಿ
60,Luft::N,luft,ವಾಯು
61,Wind::N,vind,ಗಾಳಿ
62,Welle::N,bølge,ಅಲೆ
63,Wasser::N,vand,ನೀರು
64,Stein::N,sten,ಕಲ್ಲು
65,Boden::N,jord,ನೆಲ
66,Erde::N,jord,ಭೂಮಿ
67,Staub::N,støv,ದೂಳು
68,Rauch::N,røg,ಹೊಗೆ
69,Funke::N,gnist,ಕಿಡಿ
70,Feuer::N,ild,ಬೆಂಕಿ
71,Licht::N,lys,ಬೆಳಕು
72,Schatten::N,skygge,ನೆರಳು
73,Wetter::N,vejr,ಹವ
74,Nebel::N,tåge,ಮಂಜು
75,Wolke::N,sky,ಮೋಡ
76,Regen::N,regn,ಮಳೆ
77,Schnee::N,sne,ಹಿಮ
78,Eis::N,is,ಮಂಜುಗಡ್ಡೆ
79,Frost::N,frost,ಮಂಜು
80,Kälte::N,kulde,ಹಿಮ
81,Hitze::N,hede,ಉಷ್ಣ
82,Raureif::N,rimfrost,ಇಬ್ಬನಿ
83,Regenbogen::N,regnbue,ಇಂದ್ರಚಾಪ
84,Donner::N,torden,ಗುಡುಗು
85,Strömung::N,strømning,ಪ್ರವಾಹ
86,Tropfen::N,dråbe,ತೊಟ್ಟು
87,Schaum::N,skum,ನೊರೆ
88,Schmutz::N,snavs,ಕಸ
89,See::N,sø,ಸರೋವರ
90,Sumpf::N,sump,ಜೌಗುಸ್ಥಳ
91,Moor::N,mose,ಬಂಜರು ಭೂಮಿ
92,Wiese::N,eng,ಹುಲ್ಲುಗಾವಲು
93,Wald::N,skov,ಕಾಡು
94,Hügel::N,høj,ಗುಡ್ಡೆ
95,Hügel::N,bakke,ಗುಡ್ಡೆ
96,Anhöhe::N,høj,ದಿಬ್ಬ
97,Anhöhe::N,bakke,ದಿಬ್ಬ
98,Berg::N,bjerg,ಮಲೆ
99,Berg::N,bjerg,ಪರ್ವತ
100,Gipfel::N,top,ಶೃಂಗ
101,Höhle::N,hule,ಗುಹೆ
102,Abhang::N,skrænt,ಇಳಿಜಾರು
103,Abhang::N,skråning,ಇಳಿಜಾರು
104,Quelle::N,kilde,ಮೂಲ
105,Bach::N,bæk,ತೊರೆ
106,Fluss::N,flod,ನದಿ
107,Ufer::N,bred,ತೀರ
108,Küste::N,kyst,ದಂಡೆ
109,Festland::N,fastland,ಭೂಮಿ
110,Meer::N,hav,ಕಡಲು
111,Bucht::N,bugt,ಖಾರಿ
112,Insel::N,ø,ದ್ವೀಪ
113,Blume::N,blomst,ಸುಮ
114,Gras::N,græs,ಹುಲ್ಲು
115,Wurzel::N,rod,ಬೇರು
116,Baum::N,træ,ಮರ
117,Stamm::N,stamme,ಕಾಂಡ
118,Rinde::N,bark,ತೂಗಟಿ
119,Ast::N,gren,ಶಾಖೆ
120,Zweig::N,kvist,ರೆಂಬೆ
121,Blatt::N,blad,ಎಲೆ
122,Birke::N,birk,ಬರ್ಚ್ ಮರ
123,Kiefer[Baum]::N,fyrretræ,ದೇವದಾರು ಮರ
124,Weide[Baum]::N,piletræ,ವಿಲೋಮರ
125,Tanne::N,gran,ಭದ್ರದಾರು
126,Horn::N,horn,ಕೊಂಬು
127,Feder::N,fjer,ಪುಕ್ಕ
128,Fell::N,skind,ರೋಮ
129,Flügel::N,vinge,ರೆಕ್ಕೆ
130,Klaue::N,klov,ಪಂಜ
131,Kralle::N,klo,ಉಗುರು
132,Schwanz::N,hale,ಬಾಲ
133,Ei::N,æg,ಮೊಟ್ಟೆ
134,Nest::N,rede,ಗೂಡು
135,Bau::N,bo,ಅಡಗುದಾಣ
136,Tier::N,dyr,ಪ್ರಾಣಿ
137,Herde::N,flok,ಗುಂಪು
138,Kuh::N,ko,ಹಸು
139,Bulle::N,tyr,ಗೂಳಿ
140,Pferd::N,hest,ಕುದುರೆ
141,Schaf::N,får,ಕುರಿ
142,Schwein::N,gris,ಹಂದಿ
143,Hund::N,hund,ನಾಯಿ
144,Katze::N,kat,ಬೆಕ್ಕು
145,Bär::N,bjørn,ಕರಡಿ
146,Eichhörnchen::N,egern,ಉಡುತೆ
147,Elch::N,elg,ಕಡವೆ
148,Fuchs::N,ræv,ನರಿ
149,Hase::N,hare,ಮೊಲ
150,Maus::N,mus,ಇಲಿ
151,Wolf::N,ulv,ತೋಳ
