,Concept_ID,fr,tt
0,Auge::N,œil,күз
1,Ohr::N,oreille,колак
2,Nase::N,nez,борын
3,Mund::N,bouche,авыз
4,Mund::N,bouche,тамак
5,Zahn::N,dent,теш
6,Zunge::N,langue,тел
7,Lippe::N,lèvre,ирен
8,Wange::N,joue,яңак
9,Gesicht::N,face,йөз
10,Gesicht::N,visage,йөз
11,Stirn::N,front,маңгай
12,Haar::N,cheveu,чәч
13,Schnurrbart::N,moustache,мыек
14,Bart::N,barbe,сакал
15,Kinn::N,menton,ияк
16,Kiefer[Anatomie]::N,mâchoire,казналык
17,Kehle::N,gorge,тамак
18,Hals::N,cou,бугаз
19,Genick::N,nuque,җилкә
20,Kopf::N,tête,баш
21,Rücken::N,dos,сырт
22,Bauch::N,ventre,корсак
23,Nabel::N,nombril,кендек
24,Busen::N,sein,түш
25,Brust::N,poitrine,имчәк
26,Brust::N,poitrine,күкрәк
27,Schulter::N,épaule,иңбаш
28,Schulter::N,épaule,кулбаш
29,Arm::N,bras,кул
30,Ellenbogen::N,coude,терсәк
31,Hand::N,main,кул
32,Handfläche::N,paume,уч
33,Finger::N,doigt,бармак
34,Fingernagel::N,ongle,тырнак
35,Nagel[Anatomie]::N,ongle,тырнак
36,Zeh::N,orteil,бармак
37,Zeh::N,doigt de pied,бармак
38,Fuß::N,pied,табан
39,Ferse::N,talon,үкчә
40,Knie::N,genou,тез
41,Oberschenkel::N,cuisse,бот
42,Bein::N,jambe,аяк
43,Körper::N,corps,тән
44,Körper::N,corps,җисем
45,Haut::N,peau,тире
46,Blut::N,sang,кан
47,Ader::N,veine,тамыр
48,Sehne::N,tendon,сеңер
49,Knochen::N,os,сөяк
50,Gehirn::N,cerveau,ми
51,Herz::N,cœur,йөрәк
52,Magen::N,estomac,ашказаны
53,Leber::N,foie,бавыр
54,Atem::N,haleine,сулыш
55,Hunger::N,faim,ачлык
56,Träne::N,larme,яшь
57,Geschmack::N,goût,тәм
58,Geschmack::N,goût,зәвык
59,Geschmack::N,saveur,тәм
60,Geschmack::N,saveur,зәвык
61,Geruch::N,odeur,ис
62,Schlaf::N,sommeil,йокы
63,Traum::N,songe,төш
64,Himmel::N,ciel,күк
65,Sonne::N,soleil,кояш
66,Mond::N,lune,ай
67,Stern::N,étoile,йолдыз
68,Luft::N,air,һава
69,Wind::N,vent,җил
70,Welle::N,vague,дулкын
71,Wasser::N,eau,су
72,Stein::N,pierre,таш
73,Boden::N,sol,туфрак
74,Boden::N,terrain,туфрак
75,Erde::N,terre,җир
76,Staub::N,poussière,тузан
77,Rauch::N,fumée,төтен
78,Funke::N,étincelle,очкын
79,Feuer::N,feu,ут
80,Licht::N,lumière,якты
81,Schatten::N,ombre,күләгә
82,Wetter::N,temps,һава
83,Nebel::N,brume,томан
84,Nebel::N,brouillard,томан
85,Wolke::N,nuage,болыт
86,Regen::N,pluie,яңгыр
87,Schnee::N,neige,кар
88,Eis::N,glace,боз
89,Frost::N,gel,суык
90,Frost::N,gel,салкын
91,Frost::N,gelée,суык
92,Frost::N,gelée,салкын
93,Kälte::N,froid,суык
94,Kälte::N,froid,салкын
95,Hitze::N,chaleur,эсселек
96,Raureif::N,givre,бәс
97,Raureif::N,givre,сыкы
98,Regenbogen::N,arc-en-ciel,салават күпере
99,Donner::N,tonnerre,күкрәү
100,Strömung::N,courant,агыш'агым
101,Tropfen::N,goutte,тамчы
102,Schaum::N,écume,күбек
103,Schaum::N,mousse,күбек
104,Schmutz::N,boue,пычрак
105,Schmutz::N,saleté,пычрак
106,See::N,lac,күл
107,Sumpf::N,marais,саз
108,Sumpf::N,marécage,саз
109,Moor::N,tourbière,торфлык
110,Wiese::N,pré,болын
111,Wald::N,bois,урман
112,Wald::N,forêt,урман
113,Hügel::N,coteau,калку
114,Hügel::N,colline,калку
115,Anhöhe::N,éminence,үр
116,Anhöhe::N,élévation,үр
117,Berg::N,mont,тау
118,Berg::N,montagne,тау
