,Concept_ID,nl,hy
0,Auge::N,oog,աչք
1,Ohr::N,oor,ականջ
2,Nase::N,neus,քիթ
3,Mund::N,mond,բերան
4,Zahn::N,tand,ատամ
5,Zunge::N,tong,լեզու
6,Lippe::N,lip,շրթունք
7,Wange::N,wang,այտ
8,Wange::N,wang,թուշ
9,Gesicht::N,gelaat,դեմք
10,Gesicht::N,gezicht,դեմք
11,Stirn::N,voorhoofd,ճակատ
12,Haar::N,haar,մազ
13,Schnurrbart::N,snor,բեղ
14,Bart::N,baard,մորուք
15,Kinn::N,kin,կզակ
16,Kiefer[Anatomie]::N,kaak,ծնոտ
17,Kehle::N,keel,կոկորդ
18,Kehle::N,strot,կոկորդ
19,Hals::N,hals,վիզ
20,Hals::N,hals,պարանոց
21,Genick::N,nek,ծոծրակ
22,Kopf::N,hoofd,գլուխ
23,Rücken::N,rug,մեջք
24,Bauch::N,buik,փոր
25,Bauch::N,buik,որովայն
26,Nabel::N,navel,պորտ
27,Busen::N,boezem,ծոց
28,Brust::N,borst,կուրծք
29,Schulter::N,schouder,ուս
30,Arm::N,arm,թեւ
31,Arm::N,arm,բազուկ
32,Ellenbogen::N,elleboog,արմունկ
33,Hand::N,hand,ձեռք
34,Handfläche::N,handpalm,ափ
35,Finger::N,vinger,մատ
36,Fingernagel::N,nagel,եղունգ
37,Nagel[Anatomie]::N,nagel,եղունգ
38,Zeh::N,teen,ոտքի մատ
39,Fuß::N,voet,ոտք
40,Ferse::N,hak,գարշապար
41,Ferse::N,hiel,գարշապար
42,Knie::N,knie,ծունկ
43,Oberschenkel::N,dij,ազդր
44,Bein::N,been,ոտք
45,Körper::N,lichaam,մարմին
46,Haut::N,huid,մաշկ
47,Blut::N,bloed,արյուն
48,Ader::N,ader,երակ
49,Sehne::N,pees,ջիղ
50,Sehne::N,pees,ձգտան
51,Knochen::N,bot,ոսկոր
52,Knochen::N,been,ոսկոր
53,Knochen::N,knook,ոսկոր
54,Gehirn::N,hersenen,խելք
55,Herz::N,hart,սիրտ
56,Magen::N,maag,ստամոքս
57,Leber::N,lever,լյարդ
58,Atem::N,adem,շունչ
59,Hunger::N,honger,քաղց
60,Träne::N,traan,արտասուք
61,Geschmack::N,smaak,համ
62,Geschmack::N,smaak,բուրմունք
63,Geruch::N,geur,հոտ
64,Geruch::N,geur,բուրում
65,Schlaf::N,slaap,քուն
66,Traum::N,droom,երազ
67,Himmel::N,hemel,երկինք
68,Sonne::N,zon,արեւ
69,Mond::N,maan,լուսին
70,Stern::N,ster,աստղ
71,Luft::N,lucht,օդ
72,Wind::N,wind,քամի
73,Welle::N,golf,ալիք
74,Wasser::N,water,ջուր
75,Stein::N,steen,քար
76,Boden::N,grond,գետին
77,Erde::N,aarde,հող
78,Staub::N,stof,փոշի
79,Rauch::N,rook,ծուխ
80,Funke::N,vonk,կայծ
81,Feuer::N,vuur,կրակ
82,Feuer::N,vuur,հրդեհ
83,Licht::N,licht,լույս
84,Schatten::N,schaduw,ստվեր
85,Wetter::N,weer,եղանակ
86,Nebel::N,mist,մեգ
87,Nebel::N,mist,մառախուղ
88,Nebel::N,nevel,մեգ
89,Nebel::N,nevel,մառախուղ
90,Wolke::N,wolk,ամպ
91,Regen::N,regen,անձրև
92,Schnee::N,sneeuw,ձյուն
93,Eis::N,ijs,սառույց
94,Frost::N,vorst,սառնամանիք
95,Kälte::N,kou,դող
96,Kälte::N,koude,դող
97,Hitze::N,hitte,շոգ
98,Raureif::N,rijp,ցօղեղեամ
99,Regenbogen::N,regenboog,ծիածան
100,Donner::N,donder,որոտ
101,Strömung::N,stroming,հոսանք
102,Tropfen::N,druppel,կաթիլ
103,Schaum::N,schuim,փրփուր
104,Schmutz::N,vuil,կեղտ
105,See::N,meer,լիճ
106,Sumpf::N,moeras,ճահիճ
107,Moor::N,veen,ճահիճ
108,Wiese::N,wei,մարգագետին
109,Wiese::N,weide,մարգագետին
110,Wald::N,bos,անտառ
111,Hügel::N,heuvel,բլուր
112,Anhöhe::N,hoogte,բարձունք
113,Berg::N,berg,լեռ
114,Gipfel::N,top,գագաթ
115,Gipfel::N,top,կատար
116,Höhle::N,hol,քարայր
117,Abhang::N,helling,լանջ
118,Abhang::N,helling,զառիվայր
119,Quelle::N,bron,աղբյուր
120,Bach::N,beek,վտակ
121,Fluss::N,stroom,գետ
122,Ufer::N,wal,ծովափ
123,Ufer::N,oever,ծովափ
124,Küste::N,kust,ափ
125,Küste::N,kust,ծովափ
126,Festland::N,vasteland,ցամաք
127,Meer::N,zee,ծով
128,Bucht::N,baai,հաչիւն
129,Bucht::N,inham,հաչիւն
130,Insel::N,eiland,վղզի
131,Blume::N,bloem,ծաղիկ
132,Gras::N,gras,խոտ
133,Wurzel::N,wortel,արմատ
134,Baum::N,boom,ծառ
135,Stamm::N,stam,իրան
136,Rinde::N,schors,կեղեւ
137,Rinde::N,schors,հաչոց
138,Ast::N,tak,ճյուղ
139,Zweig::N,twijg,ճյուղ
140,Blatt::N,blad,տերեւ
141,Birke::N,berk,ցարասի
142,Kiefer[Baum]::N,den,սոճի
143,Weide[Baum]::N,wilg,ուռենի
144,Tanne::N,spar,եղեւին
145,Horn::N,hoorn,
146,Feder::N,veer,փետուր
147,Feder::N,pluim,փետուր
148,Fell::N,vel,մորթի
149,Flügel::N,vleugel,թեւ
150,Klaue::N,klauw,չանչ
151,Kralle::N,klauw,ճանկ
152,Schwanz::N,staart,պոչ
153,Ei::N,ei,ձու
154,Nest::N,nest,բույն
155,Bau::N,hol,որջ
156,Bau::N,hol,բայոց
157,Tier::N,dier,կենդանի
158,Herde::N,kudde,հոտ
159,Kuh::N,koe,կով
160,Bulle::N,stier,ցուլ
161,Pferd::N,paard,ձի
162,Schaf::N,schaap,ոչխար
163,Schwein::N,varken,խոզ
164,Hund::N,hond,շուն
165,Katze::N,kat,կատու
166,Bär::N,beer,արջ
167,Eichhörnchen::N,eekhoorntje,սկյուռ
168,Elch::N,eland,հիւսիսային եղջերու
169,Fuchs::N,vos,աղվես
170,Hase::N,haas,նապաստակ
171,Maus::N,muis,մուկ
172,Wolf::N,wolf,գայլ
173,Vogel::N,vogel,թռչուն
174,Schwarm::N,zwerm,երամ
175,Huhn::N,kip,հավ
176,Huhn::N,hoen,հավ
177,Hahn::N,haan,աքաղաղ
178,Gans::N,gans,սագ
179,Adler::N,arend,արծիվ
180,Ente::N,eend,բադ
181,Eule::N,uil,բու
182,Kranich::N,kraanvogel,կռունկ
183,Krähe::N,kraai,ագռավ
184,Kuckuck::N,koekoek,կուկու
185,Schwan::N,zwaan,կարապ
186,Fisch::N,vis,ձուկ
187,Barsch::N,baars,պերկես
188,Hecht::N,snoek,գայլաձուկ
189,Schlange[Tier]::N,slang,օձ
190,Wurm::N,worm,որդ
191,Wurm::N,worm,ճիճու
192,Spinne::N,spin,սարդ
193,Ameise::N,mier,միջյուն
194,Laus::N,luis,ոջիլ
195,Mücke::N,mug,մժղուկ
196,Fliege::N,vlieg,ճանճ
197,Schmetterling::N,vlinder,թիթեռ
198,Beere::N,bes,հատապտուղ
199,Apfel::N,appel,խնձոր
200,Pilz::N,paddestoel,սունկ
201,Zwiebel::N,ui,սոխ
202,Saat::N,zaad,սերմ
203,Korn::N,graan,հատիկ
204,Korn::N,korrel,հատիկ
205,Heu::N,hooi,խոտ
206,Schale::N,schil,կեղեւ
207,Grube::N,kuil,փոս
208,Falle::N,val,ծուղակ
209,Schlinge::N,strop,խեղդան
210,Spur::N,spoor,հետք
211,Asche::N,as,մոխիր
212,Dreck::N,drek,աղտ
213,Eisen::N,ijzer,երկաթ
214,Gold::N,goud,ոսկի
215,Silber::N,zilver,արծաթ
216,Kohle::N,kool,քարածուխ
217,Glas::N,glas,ապակի
218,Lehm::N,klei,կավ
219,Sand::N,zand,ավազ
220,Mensch::N,mens,մարդ
221,Mann::N,man,մարդ
222,Mann::N,man,տղամարդ
223,Frau::N,vrouw,կին
224,Kind::N,kind,զավակ
225,Junge::N,jongen,տղա
226,Mädchen::N,meisje,աղջիկ
227,Familie::N,gezin,ընտանիք
228,Familie::N,familie,ընտանիք
229,Großvater::N,grootvader,պապ
230,Großmutter::N,grootmoeder,տատ
231,Eltern::N,ouders,ծնողներ
