,Concept_ID,no,bg
0,Auge::N,øye,око
1,Ohr::N,øre,ухо
2,Nase::N,nese,нос
3,Mund::N,munn,уста
4,Zahn::N,tann,зъб
5,Zunge::N,tunge,език
6,Lippe::N,leppe,устна
7,Wange::N,kinn,буза
8,Gesicht::N,fjes,лице
9,Gesicht::N,fjes,образ
10,Gesicht::N,ansikt,лице
11,Gesicht::N,ansikt,образ
12,Stirn::N,panne,чело
13,Haar::N,hår,коса
14,Haar::N,hår,косъм
15,Schnurrbart::N,bart,мустаци
16,Bart::N,skjegg,брада
17,Kinn::N,hake,брада
18,Kinn::N,hake,брадичка
19,Kiefer[Anatomie]::N,kjeve,челюст
20,Kehle::N,strupe,гърло
21,Hals::N,hals,врат
22,Genick::N,nakke,тил
23,Kopf::N,hode,глава
24,Rücken::N,rygg,гръб
25,Bauch::N,buk,корем
26,Bauch::N,mage,корем
27,Nabel::N,navle,пъп
28,Busen::N,barm,бозка
29,Brust::N,bryst,гръд
30,Schulter::N,skulder,рамо
31,Schulter::N,skulder,плещи
32,Arm::N,arm,ръка
33,Ellenbogen::N,albue,лакът
34,Hand::N,hånd,ръка
35,Hand::N,hånd,китка
36,Handfläche::N,håndflate,длан
37,Finger::N,finger,пръст
38,Fingernagel::N,fingernegl,нокът
39,Nagel[Anatomie]::N,negl,нокът
40,Zeh::N,tå,пръст на крак
41,Fuß::N,fot,крак
42,Fuß::N,fot,нога
43,Ferse::N,hæl,пета
44,Knie::N,kne,коляно
45,Oberschenkel::N,lår,бедро
46,Bein::N,bein,крак
47,Bein::N,bein,нога
48,Körper::N,kropp,тяло
49,Körper::N,legeme,тяло
50,Haut::N,hud,кожа
51,Haut::N,skinn,кожа
52,Blut::N,blod,кръв
53,Ader::N,åre,вена
54,Ader::N,åre,артерия
55,Sehne::N,sene,жила
56,Sehne::N,sene,сухожилие
57,Knochen::N,bein,кост
58,Knochen::N,knokkel,кост
59,Gehirn::N,hjerne,мозък
60,Herz::N,hjerte,сърце
61,Magen::N,mage,стомах
62,Leber::N,lever,черен дроб
63,Atem::N,pust,дишане
64,Hunger::N,sult,глад
65,Träne::N,tåre,сълза
66,Geschmack::N,smak,вкус
67,Geruch::N,lukt,миризма
68,Schlaf::N,søvn,сън
69,Traum::N,drøm,сън
70,Himmel::N,himmel,небе
71,Sonne::N,sol,слънце
72,Mond::N,måne,луна
73,Mond::N,måne,месец
74,Stern::N,stjerne,звезда
75,Luft::N,luft,въздух
76,Wind::N,vind,вятър
77,Welle::N,bølge,вълна
78,Wasser::N,vann,вода
79,Stein::N,stein,камък
80,Boden::N,bakke,земя
81,Boden::N,bakke,почва
82,Erde::N,jord,земя
83,Erde::N,jord,почва
84,Staub::N,støv,прах
85,Rauch::N,røyk,дим
86,Rauch::N,røyk,пушек
87,Funke::N,gnist,искра
88,Feuer::N,ild,огън
89,Licht::N,lys,светлина
90,Schatten::N,skygge,сянка
91,Wetter::N,vær,време
92,Nebel::N,tåke,мъгла
93,Wolke::N,sky,облак
94,Regen::N,regn,дъжд
95,Schnee::N,snø,сняг
96,Eis::N,is,лед
97,Frost::N,frost,мраз
98,Kälte::N,kulde,студ
99,Hitze::N,hete,жега
100,Hitze::N,hete,горещина
101,Raureif::N,rimfrost,скреж
102,Raureif::N,rimfrost,слана
103,Regenbogen::N,regnbue,дъга
104,Donner::N,torden,гръм
105,Strömung::N,strømning,течение
106,Tropfen::N,dråpe,капка
107,Schaum::N,skum,пяна
108,Schmutz::N,søl,кал
109,Schmutz::N,søl,мръсотия
110,Schmutz::N,skitt,кал
111,Schmutz::N,skitt,мръсотия
112,See::N,sjø,езеро
113,Sumpf::N,sump,блато
114,Sumpf::N,myrlende,блато
115,Moor::N,myr,мочурище
116,Moor::N,myrhei,мочурище
117,Wiese::N,eng,ливада
118,Wald::N,skog,гора
119,Hügel::N,haug,рид
120,Hügel::N,haug,хълм
121,Hügel::N,bakke,рид
122,Hügel::N,bakke,хълм
123,Anhöhe::N,haug,могила
124,Anhöhe::N,haug,възвишение
125,Anhöhe::N,bakke,могила
126,Anhöhe::N,bakke,възвишение
127,Berg::N,berg,планина
128,Berg::N,fjell,планина
129,Gipfel::N,topp,връх
130,Höhle::N,hule,пещера
131,Abhang::N,li,склон
132,Abhang::N,li,стръмнина
133,Abhang::N,skråning,склон
134,Abhang::N,skråning,стръмнина
135,Quelle::N,kilde,извор
136,Bach::N,bekk,поток
137,Fluss::N,elv,река
138,Ufer::N,bredd,бряг
139,Küste::N,kyst,бряг
140,Küste::N,kyst,крайбрежие
141,Festland::N,fastland,суша
142,Meer::N,hav,море
143,Bucht::N,bukt,залив
144,Insel::N,øy,остров
145,Blume::N,blomst,цвете
146,Gras::N,gress,трева
147,Wurzel::N,rot,корен
148,Baum::N,tre,дърво
149,Stamm::N,stamme,стъбло
150,Rinde::N,bark,кора
151,Ast::N,gren,клон
152,Zweig::N,kvist,клон
153,Blatt::N,blad,лист
154,Birke::N,bjørk,бреза
155,Kiefer[Baum]::N,furu,бор
156,Weide[Baum]::N,selje,върба
157,Weide[Baum]::N,piletre,върба
158,Tanne::N,gran,ела
159,Horn::N,horn,рог
160,Feder::N,fjær,перо
161,Fell::N,skinn,кожа
162,Flügel::N,vinge,крило
163,Klaue::N,klauv,нокът
164,Kralle::N,klo,нокът
165,Schwanz::N,hale,опашка
166,Ei::N,egg,яйце
167,Nest::N,rede,гнездо
168,Bau::N,hi,дупка
169,Tier::N,dyr,животно
170,Herde::N,flokk,стадо
171,Kuh::N,ku,крава
172,Bulle::N,tyr,бик
173,Pferd::N,hest,кон
174,Schaf::N,får,овца
175,Schwein::N,gris,свиня
176,Hund::N,hund,куче
177,Katze::N,katt,котка
178,Bär::N,bjørn,мечка
179,Eichhörnchen::N,ekorn,катерица
180,Elch::N,elg,лос
181,Fuchs::N,rev,лисица
182,Hase::N,hare,заек
183,Maus::N,mus,мишка
184,Wolf::N,ulv,вълк
185,Wolf::N,varg,вълк
186,Vogel::N,fugl,птица
187,Schwarm::N,sverm,рой
188,Schwarm::N,sverm,рояк
189,Huhn::N,høne,кокошка
190,Hahn::N,hane,петел
191,Gans::N,gås,гъска
192,Adler::N,ørn,орел
193,Ente::N,and,патица
194,Eule::N,ugle,сова
195,Kranich::N,trane,жерав
196,Krähe::N,kråke,врана
197,Kuckuck::N,gjøk,кукувица
198,Schwan::N,svane,лебед
199,Fisch::N,fisk,риба
200,Barsch::N,abbor,костур
201,Hecht::N,gjedde,щука
202,Schlange[Tier]::N,orm,змия
203,Schlange[Tier]::N,slange,змия
204,Wurm::N,orm,червей
205,Wurm::N,mark,червей
206,Spinne::N,edderkopp,паяк
207,Ameise::N,maur,мравка
208,Laus::N,lus,въшка
209,Mücke::N,mygg,комар
210,Fliege::N,flue,муха
211,Schmetterling::N,sommerfugl,пеперуда
212,Beere::N,bær,плод
213,Apfel::N,eple,ябълка
214,Pilz::N,sopp,гъба
215,Zwiebel::N,løk,лук
216,Zwiebel::N,løk,кромид
217,Saat::N,sæd,семе
218,Korn::N,korn,зърно
219,Heu::N,høy,сено
220,Schale::N,skall,кора
221,Grube::N,grop,яма
222,Grube::N,grop,дупка
223,Falle::N,felle,примка
224,Schlinge::N,snare,клуп
225,Spur::N,spor,диря
226,Spur::N,spor,следа
227,Asche::N,aske,пепел
228,Dreck::N,møkk,кал
229,Dreck::N,skitt,кал
230,Eisen::N,jern,желязо
231,Gold::N,gull,злато
232,Silber::N,sølv,сребро
233,Kohle::N,kol,въглища
234,Kohle::N,kull,въглища
235,Glas::N,glass,стъкло
236,Lehm::N,leire,глина
237,Sand::N,sand,пясък
238,Mensch::N,menneske,човек
239,Mann::N,mann,мъж
240,Frau::N,kvinne,жена
241,Kind::N,barn,дете
242,Junge::N,gutt,момче
243,Mädchen::N,pike,момиче
244,Mädchen::N,jente,момиче
245,Familie::N,familie,фамилия
246,Familie::N,familie,семейство
247,Großvater::N,bestefar,дядо
248,Großmutter::N,bestemor,баба
249,Eltern::N,foreldre,родители
250,Vater::N,far,баща
251,Mutter::N,mor,майка
252,Sohn::N,sønn,син
253,Tochter::N,datter,дъщеря
254,Bruder::N,bror,брат
255,Schwester::N,søster,сестра
256,Onkel::N,onkel,чичо
257,Onkel::N,onkel,вуйчо
258,Tante::N,tante,леля
259,Ehemann::N,ektemann,съпруг
260,Ehefrau::N,hustru,съпруга
261,Freude::N,glede,радост
262,Gelächter::N,latter,смях
263,Glück::N,lykke,щастие
264,Kummer::N,sorg,тъга
265,Wunsch::N,ønske,желание
266,Lust::N,lyst,желание
267,Geist::N,ånd,дух
268,Gedanke::N,tanke,мисъл
269,Gedächtnis::N,minne,памет
270,Gedächtnis::N,hukommelse,памет
271,Verstand::N,forstand,ум
272,Verstand::N,forstand,разум
273,Sinn::N,mening,смисъл
274,Sinn::N,betydning,смисъл
275,Grund::N,grunn,причина
276,Wahrheit::N,sannhet,правда
277,Gespräch::N,samtale,разговор
278,Märchen::N,eventyr,приказка
279,Erzählung::N,fortelling,разказ
280,Nachricht::N,melding,вест
281,Nachricht::N,melding,известие
282,Neuigkeit::N,nyhet,новина
283,Name::N,navn,име
284,Rätsel::N,gåte,гатанка
285,Rede::N,tale,реч
286,Rede::N,tale,слово
287,Sprache::N,språk,език
288,Stimme::N,stemme,глас
289,Wort::N,ord,дума
290,Zeichen::N,tegn,знак
291,Ruf::N,rop,зов
292,Lärm::N,bråk,шум
293,Lärm::N,bråk,глъчка
294,Laut::N,lyd,звук
295,Ton::N,tone,тон
296,Lied::N,vise,песен
297,Ruhe::N,ro,тишина
298,Ruhe::N,ro,спокойствие
299,Leute::N,folk,хора
300,Volk::N,folk,народ
301,Arbeit::N,arbeid,труд
302,Arbeit::N,arbeid,работа
303,Gast::N,gjest,гост
304,Geschenk::N,gave,дар
305,Geschenk::N,gave,подарък
306,Spiel::N,lek,игра
307,Spiel::N,spill,игра
308,Gesellschaft::N,selskap,общество
309,Hilfe::N,hjelp,помощ
310,Freund::N,venn,приятел
311,Kamerad::N,kamerat,другар
312,Angelegenheit::N,sak,работа
313,Angelegenheit::N,anliggende,работа
314,Anzahl::N,antall,брой
315,Anzahl::N,antall,количество
316,Art::N,art,вид
317,Art::N,slag,вид
318,Stück::N,stykke,къс
319,Stück::N,stykke,парче
320,Teil::N,del,дял
321,Teil::N,del,част
322,Hälfte::N,halvdel,половина
323,Kreis::N,ring,кръг
324,Kreis::N,sirkel,кръг
325,Kreuz::N,kors,кръст
326,Kreuz::N,kryss,кръст
327,Linie::N,linje,черта
328,Strich::N,strek,щрих
329,Strich::N,strek,черта
330,Abstand::N,avstand,дистанция
331,Abstand::N,avstand,разстояние
332,Entfernung::N,avstand,разстояние
333,Gegend::N,strøk,местност
334,Platz::N,plass,място
335,Ort::N,sted,място
336,Seite::N,side,страна
337,Mitte::N,midte,среда
338,Gegenstand::N,gjenstand,предмет
339,Sache::N,sak,вещ
340,Rand::N,rand,ръб
341,Kante::N,kant,ръб
342,Kante::N,kant,кант
343,Ecke::N,hjørne,ъгъл
344,Spitze::N,spiss,връх
345,Spitze::N,spiss,острие
346,Ende::N,ende,край
347,Loch::N,hull,дупка
348,Winkel::N,vinkel,кът
349,Winkel::N,vinkel,ъгъл
350,Muster::N,mønster,десен
351,Muster::N,mønster,образец
352,Größe::N,størrelse,големина
353,Länge::N,lengde,дължина
354,Höhe::N,høyde,висота
355,Höhe::N,høyde,височина
356,Gewicht::N,vekt,тегло
357,Gewicht::N,vekt,тежест
358,Menge::N,mengde,количество
359,Haufen::N,haug,куп
360,Haufen::N,haug,грамада
361,Haufen::N,bunke,куп
362,Haufen::N,bunke,грамада
363,Reihe::N,rekke,ред
364,Reihe::N,rekke,редица
365,Boot::N,båt,лодка
366,Ruder::N,åre,весло
367,Ruder::N,åre,гребло
368,Schlitten::N,slede,шейна
369,Schlitten::N,kjelke,шейна
370,Ski::N,ski,ски
371,Lagerfeuer::N,leirbål,огнище
372,Last::N,bør,товар
373,Last::N,last,товар
374,Gang::N,gang,ход
375,Gang::N,gang,вървеж
376,Schritt::N,steg,стъпка
377,Schritt::N,skritt,стъпка
378,Norden::N,nord,север
379,Süden::N,sør,юг
380,Westen::N,vest,запад
381,Osten::N,øst,изток
382,Holz::N,tre,дърво
383,Brett::N,fjøl,дъска
384,Brett::N,brett,дъска
385,Platte::N,plate,
386,Stütze::N,støtte,
387,Stange::N,stang,прът
388,Stange::N,stang,върлина
389,Stock::N,pinne,прът
390,Stock::N,pinne,тояга
391,Stab::N,stav,прът
392,Stab::N,kjepp,прът
393,Rohr::N,rør,цев
394,Rohr::N,rør,тръба
395,Haus::N,hus,къща
396,Heim::N,hjem,дом
397,Ofen::N,ovn,печка
398,Fußboden::N,gulv,под
399,Tisch::N,bord,маса
400,Stuhl::N,stol,стол
401,Wiege::N,vogge,люлка
402,Bett::N,seng,легло
403,Bett::N,seng,креват
404,Regal::N,reol,рафт
405,Regal::N,reol,етажерка
406,Regal::N,hylle,рафт
407,Regal::N,hylle,етажерка
408,Kiste::N,kasse,кутия
409,Kiste::N,kasse,сандък
410,Fenster::N,vindu,прозорец
411,Tür::N,dør,врата
412,Tor::N,port,врата
413,Zaun::N,gjerde,ограда
414,Dach::N,tak,покрив
415,Leiter::N,stige,стълба
416,Besen::N,kost,метла
417,Spaten::N,spade,лопата
418,Schaufel::N,skuffe,лопата
419,Gabel::N,gaffel,вилица
420,Löffel::N,skje,лъжица
421,Messer::N,kniv,нож
422,Nagel::N,spiker,гвоздей
423,Netz::N,nett,мрежа
424,Haken::N,krok,кука
425,Haken::N,krok,закачалка
426,Griff::N,tak,ръчка
427,Griff::N,tak,дръжка
428,Griff::N,håndtak,ръчка
429,Griff::N,håndtak,дръжка
430,Schloss::N,lås,брава
431,Schloss::N,lås,ключалка
432,Bild::N,bilde,картина
433,Figur::N,figur,фигура
434,Puppe::N,dukke,кукла
435,Beutel::N,pose,кесия
436,Bündel::N,bylt,връзка
437,Tasche::N,veske,чанта
438,Eimer::N,bøtte,кофа
439,Deckel::N,lokk,капак
440,Deckel::N,lokk,похлупак
441,Geschirr::N,kjøkkentøy,съдове
442,Sack::N,sekk,чувал
443,Tasse::N,kopp,чаша
444,Topf::N,gryte,гърне
445,Topf::N,gryte,тенджера
446,Kessel::N,kjele,котел
447,Essen::N,mål,ядене
448,Nahrung::N,mat,храна
449,Nahrung::N,næring,храна
450,Speise::N,matrett,ястие
451,Fleisch::N,kjøtt,месо
452,Getreide::N,korn,зърнено храни
453,Brei::N,grøt,каша
454,Brot::N,brød,хляб
455,Scheibe::N,skive,резен
456,Fett::N,fett,мазнина
457,Butter::N,smør,масло
458,Öl::N,olje,олио
459,Öl::N,olje,оливия
460,Salz::N,salt,сол
461,Suppe::N,suppe,супа
462,Honig::N,honning,мед
463,Milch::N,melk,мляко
464,Tee::N,te,чай
465,Leder::N,lær,кожа
466,Leder::N,skinn,кожа
467,Wolle::N,ull,вълна
468,Stoff::N,tøy,плат
469,Stoff::N,tøy,материал
470,Stoff::N,stoff,плат
471,Stoff::N,stoff,материал
472,Nadel::N,nål,игла
473,Faden::N,tråd,конец
474,Knopf::N,knapp,копче
475,Knoten::N,knute,възел
476,Farbe::N,farge,боя
477,Kleidung::N,påkledning,дрехи
478,Kleidung::N,påkledning,облекло
479,Hemd::N,skjorte,риза
480,Kragen::N,krage,яка
481,Ärmel::N,erme,ръкав
482,Hose::N,bukse,панталони
483,Gürtel::N,belte,пояс
484,Gürtel::N,belte,колан
485,Mütze::N,lue,каскет
486,Mütze::N,lue,фуражка
487,Schuh::N,sko,обувка
488,Stiefel::N,støvel,ботуш
489,Ring::N,ring,пръстен
490,Band::N,band,лента
491,Band::N,band,връзка
492,Kamm::N,kam,гребен
493,Spiegel::N,speil,огледало
494,Riemen::N,rem,каиш
495,Riemen::N,rem,ремък
496,Schnur::N,snor,връв
497,Leine::N,line,връв
498,Leine::N,line,въже
499,Decke::N,teppe,покривка
500,Kissen::N,pute,възглавница
501,Tuch::N,tøy,сукно
502,Handtuch::N,håndkle,пешкир
503,Handtuch::N,håndkle,кърпа за лице
504,Kraft::N,kraft,мощ
505,Kraft::N,kraft,сила
506,Stärke::N,styrke,сила
507,Gesundheit::N,helse,здраве
508,Gesundheit::N,sunnhet,здраве
509,Krankheit::N,syke,болест
510,Krankheit::N,sykdom,болест
511,Schmerz::N,smerte,болка
512,Wunde::N,sår,рана
513,Fieber::N,feber,треска
514,Fieber::N,feber,температура
515,Arznei::N,medisin,лек
516,Arznei::N,medisin,лекарство
517,Arznei::N,legemiddel,лек
518,Arznei::N,legemiddel,лекарство
519,Brücke::N,bro,мост
520,Brunnen::N,brønn,чешма
521,Brunnen::N,brønn,кладенец
522,Weide::N,beite,паша
523,Weide::N,beite,пасище
524,Pfad::N,sti,пътека
525,Weg::N,vei,път
526,Straße::N,gate,шосе
527,Dorf::N,landsby,село
528,Stadt::N,by,град
529,Brief::N,brev,писмо
530,Buch::N,bok,книга
531,Buchstabe::N,bokstav,буква
532,Zeitung::N,avis,вестник
533,Leben::N,liv,живот
534,Tod::N,død,смърт
535,Grab::N,grav,гроб
536,Kirche::N,kirke,църква
537,Sünde::N,synd,грях
538,Gott::N,gud,бог
539,Arbeiter::N,arbeider,работник
540,Chef::N,sjef,шеф
541,Chef::N,sjef,началник
542,Meister::N,mester,майстор
543,Arzt::N,lege,лекар
544,Lehrer::N,lærer,учител
545,Geld::N,penger,пари
546,Geschäft::N,forretning,сделка
547,Laden::N,butikk,дюкян
548,Laden::N,butikk,магазин
549,Preis::N,pris,цена
550,Ware::N,vare,стока
551,Nutzen::N,nytte,полза
552,Nutzen::N,nytte,облага
553,Reichtum::N,rikdom,богатство
554,Welt::N,verden,свят
555,Land::N,land,страна
556,Staat::N,stat,щат
557,Staat::N,stat,държава
558,König::N,konge,крал
559,Macht::N,makt,мощ
560,Macht::N,makt,власт
561,Grenze::N,grense,граница
562,Krieg::N,krig,война
563,Feind::N,fiende,враг
564,Feind::N,fiende,неприятел
565,Gewalt::N,vold,сила
566,Gewalt::N,vold,насилие
567,Kampf::N,kamp,борба
568,Kampf::N,kamp,сражение
569,Bogen[Waffe]::N,bue,лък
570,Pfeil::N,pil,стрела
571,Gewehr::N,gevær,пушка
572,Fehler::N,feil,грешка
573,Lüge::N,løgn,лъжа
574,Schaden::N,skade,повреда
575,Unglück::N,uhell,нещастие
576,Schuld::N,skyld,вина
577,Alter::N,alder,възраст
578,Schluss::N,slutt,край
579,Zeit::N,tid,време
580,Tag::N,dag,ден
581,Morgen::N,morgen,утро
582,Morgen::N,morgen,сутрин
583,Mittag::N,middag,обед
584,Mittag::N,middag,пладне
585,Abend::N,aften,вечер
586,Nacht::N,natt,нощ
587,Woche::N,uke,седмица
588,Monat::N,måned,месец
589,Jahr::N,år,година
590,Frühling::N,vår,пролет
591,Sommer::N,sommer,лято
592,Herbst::N,høst,есен
593,Winter::N,vinter,зима
594,Januar::N,januar,януари
595,Februar::N,februar,февруари
596,März::N,mars,март
597,April::N,april,април
598,Mai::N,mai,май
599,Juni::N,juni,юни
600,Juli::N,juli,юли
601,August::N,august,август
602,September::N,september,септември
603,Oktober::N,oktober,октомври
604,November::N,november,ноември
605,Dezember::N,desember,декември
606,Montag::N,mandag,понеделник
607,Dienstag::N,tirsdag,вторник
608,Mittwoch::N,onsdag,сряда
609,Donnerstag::N,torsdag,четвъртък
610,Freitag::N,fredag,петък
611,Samstag::N,lørdag,събота
612,Sonntag::N,søndag,неделя
613,groß::A,stor,едър
614,groß::A,stor,голям
615,klein::A,liten,малък
616,klein::A,liten,дребен
617,lang::A,lang,дълъг
618,kurz::A,kort,къс
619,breit::A,bred,широк
620,schmal::A,smal,тесен
621,dicht::A,tett,гъст
622,dick[Gegenstand]::A,tykk,дебел
623,dünn::A,tynn,тънък
624,fein::A,fin,фин
625,fein::A,fin,тънък
626,fest::A,fast,твърд
627,fest::A,fast,плътен
628,flach::A,flat,равен
629,flach::A,flat,плосък
630,glatt::A,glatt,гладък
631,hart::A,hard,твърд
632,hart::A,hard,корав
633,weich::A,myk,мек
634,weich::A,bløt,мек
635,rund::A,rund,кръгъл
636,spitz::A,spiss,островръх
637,scharf::A,kvass,остър
638,stumpf::A,stubb,тъп
639,schwer::A,tung,тежък
640,schön::A,pen,хубав
641,schön::A,pen,красив
642,schön::A,vakker,хубав
643,schön::A,vakker,красив
644,heiß::A,het,жарък
645,warm::A,varm,топъл
646,kalt::A,kald,студен
647,kühl::A,kjølig,хладен
648,frisch::A,fersk,свеж
649,feucht::A,fuktig,влажен
650,nass::A,våt,мокър
651,trocken::A,tørr,сух
652,voll::A,full,пълен
653,leer::A,tom,празен
654,offen::A,åpen,откровен
655,geschlossen::A,lukket,закрит
656,geschlossen::A,lukket,затворен
657,sauber::A,ren,чист
658,schmutzig::A,skitten,мръсен
659,roh::A,rå,суров
660,reif::A,moden,зрял
661,lecker::A,lekker,вкусен
662,süß::A,søt,сладък
663,bitter::A,besk,горчив
664,bitter::A,bitter,горчив
665,sauer::A,sur,кисел
666,hell::A,lys,ясен
667,hell::A,lys,светъл
668,dunkel::A,mørk,тъмен
669,schwarz::A,svart,черен
670,weiß::A,hvit,бял
671,rot::A,rød,червен
672,gelb::A,gul,жълт
673,blau::A,blå,син
674,grün::A,grønn,зелен
675,grau::A,grå,сив
676,bunt::A,broket,шарен
677,bunt::A,broket,пъстър
678,billig::A,billig,евтин
679,teuer::A,dyr,скъп
680,wertvoll::A,verdifull,ценен
681,blind::A,blind,сляп
682,taub::A,døv,глух
683,kräftig::A,kraftig,силен
684,stark::A,sterk,здрав
685,stark::A,sterk,силен
686,schwach::A,svak,слаб
687,fett::A,fet,тлъст
688,schlank::A,slank,тънък
689,schlank::A,slank,строен
690,hübsch::A,pen,хубав
691,böse::A,slem,зъл
692,dumm::A,dum,глупав
693,faul::A,lat,ленив
694,faul::A,lat,мързелив
695,faul::A,doven,ленив
696,faul::A,doven,мързелив
697,fleißig::A,flittig,прилежен
698,geizig::A,gjerrig,скъпернически
699,klug::A,klok,умен
700,klug::A,klok,разумен
701,geschickt::A,hendig,умел
702,geschickt::A,hendig,сръчен
703,geschickt::A,skikket,умел
704,geschickt::A,skikket,сръчен
705,lieb::A,kjær,мил
706,lieb::A,kjær,драг
707,lieb::A,snill,мил
708,lieb::A,snill,драг
709,lustig::A,morsom,весел
710,sanft::A,blid,нежен
711,sanft::A,blid,кротък
712,hungrig::A,sulten,гладен
713,krank::A,syk,болен
714,nackt::A,naken,гол
715,traurig::A,sørgmodig,тъжен
716,traurig::A,sørgmodig,печален
717,lebendig::A,levende,жив
718,gut::A,god,добър
719,schlecht::A,dårlig,лош
720,richtig::A,riktig,правилен
721,schlimm::A,slem,лош
722,wahr::A,sann,верен
723,wahr::A,sann,истински
724,alt::A,gammel,стар
725,alt::A,gammel,древен
726,neu::A,ny,нов
727,ehemalig::A,forhenværende,бивш
728,alt[Lebewesen]::A,gammel,стар
729,jung::A,ung,млад
730,arm::A,fattig,беден
731,reich::A,rik,богат
732,bekannt::A,kjent,познат
733,bekannt::A,kjent,известен
734,berühmt::A,berømt,почут
735,berühmt::A,berømt,известен
736,fremd::A,fremmed,чужд
737,verschieden::A,forskjellig,разен
738,verschieden::A,forskjellig,различен
739,nah::A,nær,близък
740,fern::A,fjern,далечен
741,linker::A,venstre,ляв
742,rechter::A,høyre,прав
743,anderer::A,annen,друг
744,erster::A,første,пръв
745,erster::A,første,първи
746,zweiter::A,annen,втори
747,dritter::A,tredje,трети
748,letzter::A,sist,последен
749,allein::ADV,alene,само
750,auf einmal::ADV,med ett,същевременно
751,zusammen::ADV,sammen,заедно
752,lange::ADV,lenge,дълго
753,plötzlich::ADV,plutselig,изведнъж
754,sofort::ADV,straks,веднага
755,später::ADV,senere,по-късно
756,jetzt::ADV,nå,сега
757,heute::ADV,i dag,днес
758,morgen::ADV,i morgen,утре
759,bald::ADV,snart,скоро
760,dann::ADV,så,после
761,dann::ADV,så,тогава
762,gestern::ADV,i går,вчера
763,einst::ADV,engang,някога
764,damals::ADV,den gang,тогава
765,danach::ADV,deretter,после
766,danach::ADV,deretter,след това
767,vorher::ADV,før,преди
768,vorher::ADV,før,преди това
769,vorher::ADV,i forveien,преди
770,vorher::ADV,i forveien,преди това
771,zuerst::ADV,først,най-напред
772,einmal::ADV,en gang,веднъж
773,einmal::ADV,en gang,един път
774,manchmal::ADV,somme tider,понякога
775,oft::ADV,ofte,често
776,immer::ADV,alltid,винаги
777,niemals::ADV,aldri,никога
778,hier::ADV,her,тук
779,hier::ADV,her,тука
780,hierhin::ADV,hit,насам
781,von hier::ADV,herfra,оттук
782,von hier::ADV,herfra,оттука
783,dort::ADV,der,там
784,dorthin::ADV,dit,натам
785,dorthin::ADV,dit,нататък
786,geradeaus::ADV,rett fram,направо
787,vorwärts::ADV,fram,напред
788,vorwärts::ADV,framover,напред
789,rückwärts::ADV,baklengs,назад
790,zurück::ADV,tilbake,обратно
791,unten::ADV,nede,долу
792,hinab::ADV,ned,надолу
793,hinab::ADV,nedover,надолу
794,oben::ADV,oppe,горе
795,oben::ADV,ovenpå,горе
796,hinauf::ADV,opp,нагоре
797,hinauf::ADV,oppover,нагоре
798,überall::ADV,overalt,навсякъде
799,nicht::ADV,ikke,не
800,ein wenig::ADV,litt,малко
801,kaum::ADV,neppe,едва
802,kaum::ADV,neppe,едвам
803,sehr::ADV,svært,много
804,sehr::ADV,svært,твърде
805,so::ADV,så,тъй
806,so::ADV,så,така
807,noch::ADV,enda,още
808,nur::ADV,bare,само
809,schon::ADV,alt,вече
810,schon::ADV,allerede,вече
811,wieder::ADV,igjen,пак
812,wieder::ADV,igjen,отново
813,vergebens::ADV,forgjeves,напразно
814,vor::PRP,foran,пред
815,vor::PRP,utenfor,пред
816,hinter::PRP,bak,зад
817,hinter::PRP,bakom,зад
818,unter::PRP,under,под
819,durch::PRP,gjennom,през
820,durch::PRP,igjennom,през
821,neben::PRP,ved siden av,до
