,Concept_ID,mrj,mn
0,Auge::N,сӹнзӓ,нүд
1,Ohr::N,пӹлӹш,чих
2,Nase::N,нер,хамар
3,Mund::N,ышма,ам
4,Zahn::N,пӱ,шүд
5,Zunge::N,йӹлмӹ,хэл
6,Lippe::N,тӹрвӹ,уруул
7,Wange::N,шӹргӹ,хацар
8,Gesicht::N,лицӓ,царай
9,Gesicht::N,лицӓ,нүүр
10,Stirn::N,лепкӓ,дух
11,Haar::N,ӱп,үс
12,Schnurrbart::N,öрш,дээд сахал
13,Schnurrbart::N,öрш,живэр сахал
14,Bart::N,пандаш,сахал
15,Kinn::N,онгылаш,эрүү
16,Kiefer[Anatomie]::N,пӱ арата,эрүү
17,Kehle::N,логер,хоолой
18,Hals::N,шӱ,хүзүү
19,Genick::N,ланга,шил
20,Genick::N,ланга,хүзүү
21,Kopf::N,вуй,толгой
22,Rücken::N,туп,ар
23,Rücken::N,туп,нуруу
24,Bauch::N,мӹшкӹр,хэвлий
25,Bauch::N,мӹшкӹр,гэдэс
26,Nabel::N,кӹлӹмдӹ,хүйс
27,Busen::N,цӹзӹ,хөх
28,Brust::N,мел,цээж
29,Schulter::N,ӹнгӹжӓ,мөр
30,Schulter::N,ӹнгӹжӓ,бугалга
31,Arm::N,кид,гар
32,Ellenbogen::N,кӹнервуй,тохой
33,Hand::N,лапа,гар
34,Hand::N,лапа,алга
35,Handfläche::N,кид лапа,алга
36,Finger::N,парня,хуруу
37,Fingernagel::N,кӹч,хурууны хумс
38,Nagel[Anatomie]::N,кӹч,хумс
39,Zeh::N,парня,хуруу
40,Fuß::N,ял лапа,хөл
41,Ferse::N,ялгавал,өсгий
42,Ferse::N,ял кавал,өсгий
43,Knie::N,пылвуй,өвдөг
44,Oberschenkel::N,ӓрдӹ,гуя
45,Bein::N,ял,хөл
46,Körper::N,монгыр,бие
47,Haut::N,кавашты,арьс
48,Blut::N,вӹр,цус
49,Ader::N,вӹршӓр,судас
50,Sehne::N,кукшышӱн,бүлх
51,Sehne::N,кукшышӱн,шандас
52,Knochen::N,лу,яс
53,Gehirn::N,вим,тархи
54,Herz::N,шӱм,зүрх
55,Magen::N,шӱм,ходоод
56,Leber::N,мокш,элэг
57,Atem::N,шӱлӹш,амьсгаа
58,Hunger::N,шужымаш,өлсгөлөн
59,Träne::N,сӹнзӓвӹд,нулимс
