,Concept_ID,cy,kv
0,Auge::N,llygad,син
1,Ohr::N,clust,пель
2,Nase::N,trwyn,ныр
3,Mund::N,ceg,ӧм
4,Zahn::N,dant,пинь
5,Zunge::N,tafod,кыв
6,Lippe::N,gwefus,тырп
7,Wange::N,boch,рожабан
8,Gesicht::N,wyneb,бан
9,Stirn::N,talcen,кымӧс
10,Haar::N,blew,юрси
11,Schnurrbart::N,mwstas,уссэз
12,Bart::N,barf,тош
13,Kinn::N,gên,тшӧка
14,Kiefer[Anatomie]::N,gên,ан
15,Kehle::N,gwddf,юан
16,Hals::N,gwddf,юан
17,Genick::N,gwar,юр бӧр
18,Genick::N,gwegil,юр бӧр
19,Kopf::N,pen,юр
20,Rücken::N,cefn,мышк
21,Bauch::N,bol,кынӧм
22,Nabel::N,bogail,гӧг
23,Busen::N,bron,морос
24,Brust::N,brest,морос
25,Schulter::N,ysgwydd,пельпон
26,Arm::N,braich,ки
27,Ellenbogen::N,penelin,гырдзза
28,Hand::N,llaw,кикар
29,Handfläche::N,palf,ки пыдӧс
30,Finger::N,bys,чунь
31,Fingernagel::N,ewin,гыж
32,Nagel[Anatomie]::N,ewin,гыж
33,Zeh::N,bys troed,чунь
34,Fuß::N,troed,кокпыдӧс
35,Ferse::N,sawdl,кокдзир
36,Knie::N,glin,пидзӧс
37,Oberschenkel::N,clun,лядьбей
38,Bein::N,coes,кок
39,Körper::N,corff,вывтыр
40,Haut::N,croen,кучик
41,Blut::N,gwaed,вир
42,Ader::N,gwythïen,сӧн
43,Sehne::N,gewyn,жила
44,Knochen::N,asgwrn,коска
45,Gehirn::N,ymennydd,вем
46,Herz::N,calon,сьӧлӧм
47,Magen::N,cylla,жӧвдӧк
48,Magen::N,stumog,жӧвдӧк
49,Leber::N,iau,мус
50,Atem::N,anadl,лолалӧм
51,Hunger::N,newyn,тшыг
52,Träne::N,deigryn,синва
53,Geschmack::N,cyflas,кӧр
54,Geruch::N,aroglau,дук
55,Schlaf::N,cwsg,он
56,Traum::N,breuddwyd,вӧт
57,Himmel::N,awyr,небо
58,Sonne::N,haul,шондi
59,Mond::N,lleuad,тӧлiсь
60,Stern::N,seren,кӧдзыв
61,Luft::N,awyr,ру
62,Wind::N,gwynt,тӧв
63,Welle::N,ton,гы
64,Wasser::N,dŵr,ва
65,Stein::N,carreg,из
66,Boden::N,llawr,му
67,Erde::N,pridd,му
68,Staub::N,llwch,бус
69,Rauch::N,mwg,тшын
70,Funke::N,gwreichioni,бичир
71,Feuer::N,tân,би
72,Licht::N,golau,би
73,Schatten::N,cysgod,вуджӧр
74,Wetter::N,tywydd,погоддя
75,Nebel::N,niwl,туман
76,Wolke::N,cwmwl,кымӧр
77,Regen::N,glaw,зэр
78,Schnee::N,ôd,лым
79,Schnee::N,eira,лым
80,Eis::N,iâ,йы
81,Frost::N,rhew,мороз
82,Kälte::N,oerni,кӧдзыт
83,Kälte::N,annwyd,кӧдзыт
84,Hitze::N,gwres,ӧд
85,Raureif::N,barrug,кижа
86,Regenbogen::N,enfys,енӧшка
87,Donner::N,tyrfau,гым
88,Strömung::N,cerrynt,визывтӧм
89,Tropfen::N,dafn,тёп
90,Tropfen::N,diferyn,тёп
91,Schaum::N,ewyn,быг
92,Schmutz::N,baw,нять
93,Schmutz::N,budreddi,нять
94,See::N,llyn,ты
95,Sumpf::N,cors,арай
96,Moor::N,rhos,нюр
