,Concept_ID,myv,ka
0,Auge::N,сельме,თვალი
1,Ohr::N,пиле,ყური
2,Nase::N,судо,ცხვირი
3,Mund::N,курго,პირი
4,Zahn::N,пей,კბილი
5,Zunge::N,кель,ენა
6,Lippe::N,турва,ბაგე
7,Wange::N,чамабока,ლოყა
8,Wange::N,чамаумарь,ლოყა
9,Gesicht::N,чама,სახე
10,Stirn::N,коня,შუბლი
11,Haar::N,черь,თმა
12,Schnurrbart::N,ус,ულვაში
13,Schnurrbart::N,муюк,ულვაში
14,Bart::N,сакал,წვერი
15,Kinn::N,уло,ნიკაპი
16,Kiefer[Anatomie]::N,пейпакар,ყბა
17,Kiefer[Anatomie]::N,пейловажа,ყბა
18,Kehle::N,кирьгапарь,ყელი
19,Hals::N,кирьга,ყელი
20,Hals::N,кирьга,კისერი
21,Genick::N,човонь,კეფა
22,Kopf::N,пря,თავი
23,Rücken::N,копорь,ზურგი
24,Bauch::N,пеке,მუცელი
25,Nabel::N,почо,ჭიპი
26,Busen::N,поте,ძუძუ
27,Brust::N,меште,მკერდი
28,Schulter::N,лавтов,მხარი
29,Schulter::N,лавтов,მკლავი
30,Arm::N,кедь,ხელი
31,Ellenbogen::N,кенерепакарь,იდაყვი
32,Hand::N,кедь,ხელი
33,Handfläche::N,кедькуншка,ნები
34,Handfläche::N,кедькуншка,ხელისგული
35,Handfläche::N,кедьлапушка,ნები
36,Handfläche::N,кедьлапушка,ხელისგული
37,Finger::N,сур,თითი
38,Fingernagel::N,кенже,ფრჩხილი
39,Nagel[Anatomie]::N,кенже,ფრჩხილი
40,Zeh::N,пильге сур,ფეხის თითი
41,Fuß::N,пильге,ტერფი
42,Fuß::N,пильге,ფეხისგული
43,Ferse::N,кочкаря,ქუსლი
44,Knie::N,эле,მუხლი
45,Knie::N,эзне,მუხლი
46,Knie::N,кумажа,მუხლი
47,Oberschenkel::N,качо,ბარძაყი
48,Bein::N,пильге,ფეხი
49,Körper::N,рунго,ტანი
50,Körper::N,рунго,სხეული
51,Haut::N,киське,კანი
52,Blut::N,верь,სისხლი
53,Ader::N,сан,ძარღვი
54,Sehne::N,коське сан,მყესი
55,Knochen::N,пакарь,ძვალი
56,Gehirn::N,удем,ტვინი
57,Herz::N,седей,გული
58,Magen::N,пеке,კუჭი
59,Leber::N,максо,ღვიძლი
60,Atem::N,лексема,სუნთქვა
61,Atem::N,оймень таргсема,სუნთქვა
62,Hunger::N,вачочи,შიმშილი
63,Träne::N,селведь,ცრემლი
64,Geschmack::N,тансть,გემო
65,Geruch::N,чине,სუნი
66,Schlaf::N,удома,ძილი
67,Traum::N,он,სიზმარი
68,Himmel::N,менель,ცა
69,Sonne::N,чи,მზე
70,Mond::N,ков,მთვარე
71,Stern::N,теште,ვარსკვლავი
72,Luft::N,кошт,ჰაერი
73,Wind::N,варма,ქარი
74,Welle::N,толкун,ტალღა
75,Wasser::N,ведь,წყალი
76,Stein::N,кев,ქვა
77,Boden::N,мода,მიწა
78,Erde::N,мастор,ნიადაგი
79,Staub::N,пуль,მტვერი
80,Rauch::N,качамо,ბოლი
81,Rauch::N,качамо,კვამლი
82,Funke::N,сятко,ნაკვესი
83,Feuer::N,тол,ცეცხლი
84,Licht::N,валдо,შუქი
85,Licht::N,валдо,სინათლე
86,Schatten::N,сулей,ლანდი
87,Schatten::N,сулей,ჩრდილი
88,Schatten::N,сулейкс,ლანდი
89,Schatten::N,сулейкс,ჩრდილი
90,Wetter::N,ушо,ამინდი
91,Nebel::N,сув,ნისლი
92,Wolke::N,пель,ღრუბელი
93,Regen::N,пиземс,წვიმა
94,Schnee::N,лов,თოვლი
95,Eis::N,эй,თოში
96,Eis::N,эй,ყინული
97,Frost::N,кельме,ყინვა
98,Kälte::N,якшамо,სიცივე
99,Hitze::N,пси,სიცხე
100,Raureif::N,лекш,ჭირხლი
101,Raureif::N,лекш,თრთვილი
102,Regenbogen::N,пурьгинечирьке,ცისარტყელა
103,Regenbogen::N,пурьгинеёнкс,ცისარტყელა
104,Donner::N,пурьгине,ქუხილი
105,Strömung::N,чудема,დინება
106,Strömung::N,чудевкс,დინება
107,Tropfen::N,петнявкс,წვეთი
108,Schaum::N,чов,ქაფი
109,Schaum::N,чов,დორბლი
110,Schmutz::N,рудаз,ჭუჭყი
111,Schmutz::N,рудаз,ტალახი
112,See::N,эрьке,ტბა
113,Sumpf::N,чей,ჭაობი
114,Moor::N,чей,ტორფნარი
115,Wiese::N,луга,ველი
116,Wiese::N,луга,მდელო
117,Wald::N,вирь,ტყე
118,Hügel::N,губорь,ბორცვი
119,Hügel::N,пандыне,ბორცვი
120,Anhöhe::N,губорь,მაღლობი
121,Anhöhe::N,пандыне,მაღლობი
122,Berg::N,пандо,მთა
123,Gipfel::N,пря,მწვერვალი
124,Höhle::N,пещера,მღვიმე
125,Höhle::N,пещера,გამოქვებული
126,Abhang::N,пандочама,ფერდობი
127,Quelle::N,ушодкс,წყარო
128,Quelle::N,ушодкс,სათავე
129,Bach::N,чудикерькс,რუ
130,Bach::N,чудикерькс,ნაკადული
131,Fluss::N,лей,მდინარე
132,Ufer::N,чире,კიდე
133,Ufer::N,чире,ნაპირი
134,Küste::N,лейчире,ნაპირი
135,Festland::N,мода,ხმელეთი
136,Meer::N,моря,ზღვა
137,Bucht::N,усия,ყურე
138,Insel::N,усия,კუნძული
139,Blume::N,цеця,ყვავილი
140,Gras::N,тикше,ბალახი
141,Wurzel::N,юр,ძირი
142,Wurzel::N,юр,ფესვი
143,Wurzel::N,ундокс,ძირი
144,Wurzel::N,ундокс,ფესვი
145,Baum::N,чувто,ხე
146,Stamm::N,рунго,ტანი
147,Rinde::N,суд,ქერქი
148,Rinde::N,керь,ქერქი
149,Ast::N,морго,ტოტი
150,Zweig::N,тарад,შტო
151,Blatt::N,лопа,ფოთოლი
152,Birke::N,килей,არყი
153,Kiefer[Baum]::N,пиче,ფიჭვი
154,Weide[Baum]::N,каль,ტირიფი
155,Tanne::N,куз,ნაძვი
156,Horn::N,сюро,რქა
157,Feder::N,толга,ფრთა
158,Fell::N,пона,ტყავი
159,Flügel::N,сёлмо,ფრთა
160,Klaue::N,кенже,კლანჭი
161,Kralle::N,кенже,ტორი
162,Schwanz::N,пуло,კუდი
163,Ei::N,ал,კვერცხი
164,Nest::N,пизэ,ბუდე
165,Bau::N,варя,სორო
166,Bau::N,пизе,სორო
167,Tier::N,ракша,ნადირი
168,Tier::N,ракша,ცხოველი
169,Herde::N,стада,ფარა
170,Kuh::N,скал,ფური
171,Kuh::N,скал,ძროხა
172,Bulle::N,бука,ხარი
173,Pferd::N,лишме,რაში
174,Pferd::N,лишме,ცხენი
175,Schaf::N,реве,ცხვარი
176,Schwein::N,туво,ღორი
177,Hund::N,пине,ძაღლი
178,Hund::N,киска,ძაღლი
179,Katze::N,псака,კატა
180,Bär::N,овто,დათვი
181,Eichhörnchen::N,ур,ციყვი
182,Elch::N,сярдо,ცხენ-ირემი
183,Fuchs::N,ривезь,მელა
184,Hase::N,нумоло,კურდღელი
185,Maus::N,чеерь,თაგვი
186,Wolf::N,верьгиз,მგელი
187,Vogel::N,нармунь,ჩიტი
188,Vogel::N,нармунь,ფრინველი
189,Schwarm::N,полк,გუნდი
190,Schwarm::N,стада,გუნდი
191,Huhn::N,сараз,დედალი
192,Hahn::N,атякш,მამალი
193,Gans::N,гала,ბატი
194,Gans::N,мацей,ბატი
195,Adler::N,куцькан,არწივი
196,Adler::N,тумоатякш,არწივი
197,Ente::N,яксярго,იხვი
198,Eule::N,корж,ბუ
199,Kranich::N,карго,წერო
200,Krähe::N,варака,ყვავი
201,Kuckuck::N,куко,გუგული
202,Schwan::N,локсей,გედი
203,Fisch::N,кал,თევზი
204,Barsch::N,окунь,ქორჭილა
205,Hecht::N,щука,ქარიყლაპია
206,Schlange[Tier]::N,гуй,გველი
207,Wurm::N,сукс,ჭია
208,Spinne::N,шанжав,ობობა
209,Ameise::N,коткудав,ჭიანჭველა
210,Laus::N,сий,ტილი
211,Laus::N,сий,მკბენარი
212,Mücke::N,сеське,კოღო
213,Fliege::N,карво,ბუზი
214,Schmetterling::N,нимиляв,პეპელა
215,Beere::N,умарь,კენკრა
216,Apfel::N,умарь,ვაშლი
217,Pilz::N,панго,სოკო
218,Zwiebel::N,чурька,ხახვი
219,Saat::N,видьметь,თესლი
220,Korn::N,сюро,მარცვალი
221,Heu::N,тикше,თივა
222,Schale::N,кедь,ჩენჩო
223,Schale::N,ваткавкс,ჩენჩო
224,Grube::N,латко,ორმო
225,Falle::N,тувор,ხაფანგი
226,Falle::N,кундамка,ხაფანგი
227,Schlinge::N,килькш,მახე
228,Spur::N,челькс,კვალი
229,Spur::N,пильгеки,კვალი
230,Asche::N,кулов,ფერფლი
231,Dreck::N,рудаз,ტალახი
232,Dreck::N,рудаз,სიბინძურე
233,Eisen::N,кшни,რკინა
234,Gold::N,сырне,ოქრო
235,Silber::N,сия,ვერცხლი
236,Kohle::N,сэдь,ნახშირი
237,Kohle::N,уголия,ნახშირი
238,Glas::N,сулика,მინა
239,Lehm::N,сёвонь,თიხა
240,Sand::N,човар,ქვიშა
241,Mensch::N,ломань,ადამიანი
242,Mann::N,аля,კაცი
243,Mann::N,цёраломань,კაცი
244,Frau::N,ава,ქალი
245,Kind::N,эйкакш,ბავშვი
246,Junge::N,цёрыне,ვაჟი
247,Mädchen::N,тейтерне,გოგო
248,Familie::N,семия,ოჯახი
249,Großvater::N,покштя,პაპა
250,Großvater::N,покштя,ბაბუა
251,Großmutter::N,баба,ბებია
252,Großmutter::N,баба,დიდედა
253,Eltern::N,тетят-ават,მშობლები
254,Vater::N,тетя,მამა
255,Mutter::N,ава,დედა
256,Sohn::N,цёра,ვაჟიშვილი
257,Tochter::N,тейтерь,ქალიშვილი
258,Bruder::N,леля,ძმა
259,Bruder::N,ялакс,ძმა
260,Schwester::N,сазор,და
261,Onkel::N,леля,ბიძა
262,Tante::N,патя,დეიდა
263,Tante::N,патя,მამიდა
264,Ehemann::N,мирде,ქმარი
265,Ehefrau::N,ни,ცოლი
266,Freude::N,кеняркс,სიხარული
267,Gelächter::N,ракамо,სიცილი
268,Gelächter::N,пейдема,სიცილი
269,Glück::N,уцяска,ბედნიერება
270,Kummer::N,рискс,მწუხარება
271,Kummer::N,мелявкс,მწუხარება
272,Wunsch::N,мель,წადილი
273,Wunsch::N,мель,სურვილი
274,Wunsch::N,бажамо,წადილი
275,Wunsch::N,бажамо,სურვილი
276,Lust::N,бажамо,წადილი
277,Geist::N,ойме,სული
278,Gedanke::N,мель,ფიქრი
279,Gedächtnis::N,мель,მეხსიერება
280,Verstand::N,прев,ჭკუა
281,Verstand::N,прев,გონება
282,Sinn::N,толк,მნიშვნელობა
283,Sinn::N,смысла,მნიშვნელობა
284,Grund::N,тувтал,მიზეზი
285,Wahrheit::N,видечи,სიმართლე
286,Wahrheit::N,видечи,ჭეშმარიტება
287,Gespräch::N,кортнема,ბაასი
288,Gespräch::N,кортнема,საუბარი
289,Märchen::N,ёвкс,არაკი
290,Märchen::N,ёвкс,ზღაპარი
291,Erzählung::N,ёвтнема,თქმულება
292,Nachricht::N,куля,ცნობა
293,Nachricht::N,куля,ამბავი
294,Neuigkeit::N,куля,სიახლე
295,Name::N,лем,სახელი
296,Rätsel::N,содамоёвкс,გამოცანა
297,Rede::N,кортамо,სიტყვა
298,Sprache::N,кель,ენა
299,Stimme::N,ваигель,ხმა
300,Wort::N,вал,სიტყვა
301,Zeichen::N,теште,ნიშანი
302,Ruf::N,тердема,ძახილი
303,Lärm::N,шалнома,ხმაური
304,Laut::N,вайгель,ხმა
305,Laut::N,вайгель,ბგერა
306,Ton::N,гайнема,ტონი
307,Lied::N,моро,სიმღერა
308,Ruhe::N,оймамо,სიწყნარე
309,Leute::N,ломанть,ადამიანები
310,Volk::N,народ,ერი
311,Volk::N,народ,ხალხი
312,Arbeit::N,тев,მუშაობა
313,Gast::N,инже,სტუმარი
314,Geschenk::N,казне,საჩუქარი
315,Spiel::N,налксема,თამაში
316,Gesellschaft::N,община,საზოგადოება
317,Hilfe::N,лездамо,შველა
318,Hilfe::N,лездамо,დახმარება
319,Freund::N,оя,მეგობარი
320,Freund::N,ялга,მეგობარი
321,Kamerad::N,оя,ამხანაგი
322,Kamerad::N,ялга,ამხანაგი
323,Angelegenheit::N,тев,საქმე
324,Anzahl::N,ламоксчи,ოდენობა
325,Art::N,вид,სახეობა
326,Stück::N,пакш,ნატეხი
327,Stück::N,пелькс,ნატეხი
328,Teil::N,часть,წილი
329,Teil::N,пелькс,წილი
330,Hälfte::N,пель,ნახევარი
331,Hälfte::N,пелькс,ნახევარი
332,Kreis::N,кирькс,წრე
333,Kreuz::N,крёст,ჯვარი
334,Linie::N,кикс,ხაზი
335,Strich::N,межа,შტრიხი
336,Abstand::N,ютко,მანძილი
337,Entfernung::N,ютко,სიშორე
338,Gegend::N,тарка,არე
339,Gegend::N,тарка,მხარე
340,Gegend::N,пертьпелькс,არე
341,Gegend::N,пертьпелькс,მხარე
342,Platz::N,васолкс,ფართობი
343,Ort::N,тарка,ადგილი
344,Seite::N,ён,მხარე
345,Seite::N,чире,მხარე
346,Mitte::N,куншка,შუა
347,Gegenstand::N,предмет,საგანი
348,Sache::N,тев,ნივთი
349,Sache::N,веща,ნივთი
350,Rand::N,пе,კიდე
351,Rand::N,чире,კიდე
352,Kante::N,ирдез,ნაწიბული
353,Ecke::N,ужо,კუთხე
354,Spitze::N,пряне,წვეტი
355,Spitze::N,пе,წვეტი
356,Ende::N,пе,ბოლო
357,Loch::N,варя,ხვრელი
358,Winkel::N,ужо,კუთხე
359,Muster::N,сёрма,მოხატულობა
360,Größe::N,сэрь,ზომა
361,Größe::N,сэрь,სიდიდე
362,Größe::N,покшолма,ზომა
363,Größe::N,покшолма,სიდიდე
364,Länge::N,кувалмо,სიგრძე
365,Höhe::N,сэрь,სიმაღლე
366,Höhe::N,пандо,სიმაღლე
367,Gewicht::N,сталмо,წონა
368,Menge::N,лововкс,რაოდენობა
369,Haufen::N,мар,გროვა
370,Haufen::N,валявкс,გროვა
371,Reihe::N,ряд,რიგი
372,Reihe::N,ряд,წყება
373,Boot::N,венч,გემი
374,Ruder::N,милё,ხოფი
375,Ruder::N,милё,ნიჩაბი
376,Schlitten::N,нурдт,მარხილი
377,Ski::N,сокс,თხილამური
378,Lagerfeuer::N,толбандя,კოცონი
379,Last::N,сталмо,ტვირთი
380,Last::N,кандома,ტვირთი
381,Gang::N,молема,სვლა
382,Gang::N,якамо,სვლა
383,Schritt::N,эскелькс,ბიჯი
384,Norden::N,якшамо ёнкс,ჩრდილოეთი
385,Süden::N,лембе ёнкс,სამხრეთი
386,Westen::N,чивалгома,დასავლეთი
387,Osten::N,чилисема,აღმოსავლეთი
388,Holz::N,чувто,ხე
389,Brett::N,лаз,დაფა
390,Brett::N,лаз,ფიცარი
391,Platte::N,плита,თლილი ქვა
392,Stütze::N,неже,საყრდენი
393,Stange::N,олга,ჭოკი
394,Stock::N,мандо,კეტი
395,Stab::N,олога,ლატანი
396,Rohr::N,турба,მილაკი
397,Haus::N,кудо,სახლი
398,Heim::N,кудо,ოჯახის კერა
399,Ofen::N,каштомо,ღუმელი
400,Fußboden::N,киякс,იატაკი
401,Tisch::N,столь,სუფრა
402,Tisch::N,столь,მაგიდა
403,Stuhl::N,стул,სკამი
404,Wiege::N,лавсь,აკვანი
405,Wiege::N,нурямот,აკვანი
406,Bett::N,ацамо,საწოლი
407,Bett::N,ацамо,სარეცელი
408,Regal::N,лався,თაროები
409,Regal::N,лавсяланго,თაროები
410,Kiste::N,горобия,ყუთი
411,Kiste::N,горобия,სკივრი
412,Kiste::N,сундук,ყუთი
413,Kiste::N,сундук,სკივრი
414,Fenster::N,вальма,ფანჯარა
415,Fenster::N,вальма,სარკმელი
416,Tür::N,кенкш,ბჭე
417,Tür::N,кенкш,კარი
418,Tor::N,ортат,ჭიშკარი
419,Zaun::N,пирявт,ღობე
420,Zaun::N,пирявт,გალავანი
421,Zaun::N,пирвякс,ღობე
422,Zaun::N,пирвякс,გალავანი
423,Dach::N,кудопря,სახურავი
424,Leiter::N,кузтема,კიბე
425,Besen::N,тенсть,ცოცხი
426,Spaten::N,койме,ნიჩაბი
427,Schaufel::N,кече,ბარი
428,Schaufel::N,келей койме,ბარი
429,Gabel::N,сянгине,ჩანგალი
430,Löffel::N,пенч,კოვზი
431,Messer::N,пеель,დანა
432,Nagel::N,эске,ლურსმანი
433,Netz::N,алтыма,ბადე
434,Haken::N,кечказ,კავი
435,Haken::N,кечказ,კაუჭი
436,Griff::N,кедне,ტარი
437,Schloss::N,замок,კლიტე
438,Schloss::N,замок,საკეტი
439,Schloss::N,панжома,კლიტე
440,Schloss::N,панжома,საკეტი
441,Bild::N,картина,სურათი
442,Figur::N,рунго,ფიგურა
443,Puppe::N,няка,თოჯინა
444,Beutel::N,кескав,პარკი
445,Bündel::N,керькс,გალა
446,Bündel::N,керькс,ასხმა
447,Tasche::N,юдма,ჩანთა
448,Eimer::N,ведра,ჩამჩა
449,Deckel::N,велькс,ხუფი
450,Deckel::N,велькс,სარქველი
451,Geschirr::N,кедьге,ჭურჭელი
452,Sack::N,кескав,ტომარა
453,Tasse::N,чакш,ფინჯანი
454,Topf::N,кастрюля,ქოთანი
455,Kessel::N,котёл,ქვაბი
456,Essen::N,ярсамо,ჭამა
457,Nahrung::N,ярсамопель,საზრდო
458,Nahrung::N,ярсамопель,საკვები
459,Speise::N,ярсамопель,საჭმელი
460,Fleisch::N,сывель,ხორცი
461,Getreide::N,сюро,მარცვლოვანი
462,Brei::N,каша,ფაფა
463,Brot::N,кши,პური
464,Scheibe::N,кочом,ნაჭერი
465,Scheibe::N,сускомо,ნაჭერი
466,Fett::N,куя,ქონი
467,Fett::N,куя,ცხიმი
468,Butter::N,ой,კარაქი
469,Öl::N,ой,ზეთი
470,Salz::N,сал,მარილი
471,Suppe::N,ям,სუფი
472,Honig::N,медь,თაფლი
473,Milch::N,ловсо,რძე
474,Tee::N,чай,ჩაი
475,Leder::N,киське,ტყავი
476,Wolle::N,пона,მატყლი
477,Stoff::N,коцт,ქსოვილი
478,Nadel::N,салмукс,ნემსი
479,Faden::N,суре,ძაფი
480,Faden::N,суре,მკედი
