,Concept_ID,hr,ta
0,Auge::N,oko,கண்
1,Ohr::N,uho,காது
2,Nase::N,nos,மூக்கு
3,Mund::N,usta,வாய்
4,Zahn::N,zub,பல்
5,Zunge::N,jezik,நாக்கு
6,Lippe::N,usna,உதடு
7,Wange::N,obraz,கன்னம்
8,Gesicht::N,lice,முகம்
9,Stirn::N,čelo,முன்னெற்றி
10,Haar::N,kosa,முடி
11,Schnurrbart::N,brkovi,மீசை
12,Bart::N,brada,தாடி
13,Kinn::N,brada,கீழதாடை
14,Kinn::N,podbradak,கீழதாடை
15,Kiefer[Anatomie]::N,čeljust,தாடை
16,Kehle::N,grlo,தொண்டை
17,Hals::N,vrat,கழுத்து
18,Genick::N,zatiljak,கழுத்து
19,Kopf::N,glava,தலை
20,Rücken::N,leđa,முதுகு
21,Rücken::N,hrbat,முதுகு
22,Bauch::N,trbuh,வயிறு
23,Nabel::N,pupak,தொப்புள்
24,Busen::N,sisa,மார்பகம்
25,Busen::N,njedra,மார்பகம்
26,Brust::N,prsa, மார்பு
27,Schulter::N,rame,தோள்பட்டை
28,Schulter::N,pleći,தோள்பட்டை
29,Arm::N,ruka,கரம்
30,Ellenbogen::N,lakat,முழங்கை
31,Hand::N,ruka,கை
32,Handfläche::N,dlan,உள்ளங்கை
33,Finger::N,prst,விரல்
34,Fingernagel::N,nokat,விரல் நகம்
35,Nagel[Anatomie]::N,nokat,நகம்
36,Zeh::N,nozni prst,கால்விரல்
37,Fuß::N,noga,கால்
38,Fuß::N,stopalo,கால்
39,Ferse::N,peta,குதிகால்
40,Knie::N,koljeno,முழங்கால்
41,Oberschenkel::N,bedro,தொடை
42,Bein::N,noga,கால்
43,Körper::N,tijelo,உடல்
44,Haut::N,put,சருமம்
45,Haut::N,koža,சருமம்
46,Blut::N,krv,இரத்தம்
47,Ader::N,žila,நாளம்
48,Sehne::N,tetiva,தசைநார்
49,Knochen::N,kost,எலுமபு
50,Herz::N,srce,இதயம
51,Magen::N,stomak,வயிறு
52,Magen::N,želudac,வயிறு
53,Leber::N,jetra,கல்லீரல்
54,Atem::N,dah,மூச்சு
55,Hunger::N,glad,பசி
56,Träne::N,suza,கண்ணீர்
57,Geschmack::N,ukus,நறுமணம்
58,Geruch::N,njuh,துர்நாற்றம்
59,Geruch::N,miris,துர்நாற்றம்
60,Schlaf::N,san,தூக்கம்
61,Traum::N,san,கனவு
62,Himmel::N,nebo,வானம்
63,Sonne::N,sunce,சூரியன்
64,Mond::N,mjesec,சந்திரன்
65,Stern::N,zvijezda,நட்சத்திரம்
66,Luft::N,zrak,காறறு
67,Wind::N,vjetar,காற்று
68,Welle::N,val,அலை
69,Welle::N,talas,அலை
70,Wasser::N,voda,நீர்
71,Stein::N,kamen,கல்
72,Boden::N,tlo,தரை
73,Boden::N,zemlja,தரை
74,Erde::N,zemlja,மண்
75,Staub::N,prah,தூசி
76,Staub::N,prašina,தூசி
77,Rauch::N,dim,புகை
78,Funke::N,iskra,தீப்பொறி
79,Funke::N,varnica,தீப்பொறி
80,Feuer::N,vatra,தீ
81,Licht::N,svjetlo,வெளிச்சம்
82,Schatten::N,hlad,நிழல்
83,Schatten::N,sjena,நிழல்
84,Wetter::N,vrijeme,வானிலை
85,Nebel::N,magla,பனிமூட்டம்
86,Wolke::N,oblak,மேகம்
87,Regen::N,kiša,மழை
88,Schnee::N,snijeg,உறைபனி
89,Eis::N,led,பனிக்கட்டி
90,Frost::N,mraz,உறைபனி
91,Kälte::N,studen,குளிர்ந்த
92,Kälte::N,hladnoća,குளிர்ந்த
93,Hitze::N,vrućina,சூடு
94,Raureif::N,inje,உறைபனி வெண்திரை
95,Regenbogen::N,duga,வானவில்
96,Donner::N,grom,இடி
97,Donner::N,grmljavina,இடி
98,Strömung::N,struja,நீரோட்டம்
99,Strömung::N,strujanje,நீரோட்டம்
100,Tropfen::N,kap,துளி
101,Tropfen::N,kaplja,துளி
102,Schaum::N,pjena,நுரை
103,Schmutz::N,nečistoća,அழுக்கு
104,Schmutz::N,prljavština,அழுக்கு
105,See::N,jezero,ஏரி
106,Sumpf::N,bara,சதுப்பு நிலம்
107,Moor::N,močvara,முட்புதற்காடு
108,Wiese::N,livada,பசும் புல்தரை
109,Wald::N,šuma,காடு
110,Hügel::N,brijeg,குன்று
111,Hügel::N,brežuljak,குன்று
112,Anhöhe::N,uzvišica,பதுக்கை
113,Berg::N,brdo,மலை
114,Gipfel::N,vrh,உச்சி மாநாடு
115,Höhle::N,pećina,குகை
116,Höhle::N,spilja,குகை
117,Abhang::N,obronak,சரிவு
118,Abhang::N,nizbrdica,சரிவு
119,Quelle::N,izvor,மூலம்
120,Quelle::N,vrelo,மூலம்
121,Bach::N,potok,ஓடை
122,Fluss::N,rijeka,ஆறு
123,Ufer::N,obala,நீர்க்கரை
124,Küste::N,obala,கடற்கரை
125,Küste::N,morska obala,கடற்கரை
126,Festland::N,kopno,நிலம்
127,Meer::N,more,கடல்
128,Bucht::N,zaliv,சிறுகுடா
129,Insel::N,ada,தீவு
130,Insel::N,otok,தீவு
131,Blume::N,cvijet,பூ
132,Gras::N,trava,புல்தரை
133,Wurzel::N,korijen,வேர்
134,Baum::N,drvo,மரம்
135,Baum::N,stablo,மரம்
136,Stamm::N,deblo,அடிமரம்
137,Stamm::N,stablo,அடிமரம்
138,Rinde::N,kora,பட்டை
139,Rinde::N,kora,மரப்பட்டை
140,Ast::N,grana,கினை
141,Zweig::N,grana,குச்சி
142,Blatt::N,list,இலை
143,Birke::N,breza,பிர்ச் மரம்
144,Kiefer[Baum]::N,bor,தேவதாரு மரம்
145,Weide[Baum]::N,iva,மர வகைகளுள் ஒன்று
146,Weide[Baum]::N,vŕba,மர வகைகளுள் ஒன்று
147,Tanne::N,jela,சாதிக்கய்
148,Horn::N,rog,கொம்பு
149,Feder::N,pero,இறகு
150,Fell::N,koža,மென்முடி
151,Flügel::N,krilo,இறக்கை
152,Klaue::N,papak,நகம்
153,Kralle::N,pandža,நகம்
154,Schwanz::N,rep,வால்
155,Ei::N,jaje,முட்டை
156,Nest::N,gnijezdo,கூடு
157,Bau::N,jazbina,குகை
158,Tier::N,životinja,விலங்கு
159,Herde::N,krdo,கூட்டம்
160,Herde::N,stado,கூட்டம்
161,Kuh::N,krava,பசு
162,Bulle::N,bik,காளை
163,Pferd::N,konj,குதிரை
164,Schaf::N,ovca,செம்மறிஆடு
165,Schwein::N,svinja,பன்றி
166,Hund::N,pas,நாய்
167,Hund::N,pseto,நாய்
168,Katze::N,mačka,பூனை
169,Bär::N,medvjed,கரடி
170,Eichhörnchen::N,vjeverica,அணில்
171,Elch::N,los,கடம்பை
172,Fuchs::N,lisica,நரி
173,Hase::N,zec,முயல்
174,Maus::N,miš,எலி
175,Wolf::N,vuk,ஓநாய்
176,Wolf::N,kurjak,ஓநாய்
177,Vogel::N,ptica,பறவை
178,Schwarm::N,roj,தொகுதி
179,Schwarm::N,jato,தொகுதி
180,Huhn::N,kokoš,கோழிக்குஞசு
181,Hahn::N,kokot,சேவல்
182,Hahn::N,pijevac,சேவல்
183,Gans::N,guska,பெண் வாத்து
184,Adler::N,orao,பருநது
185,Ente::N,patka,வாத்து
186,Eule::N,sova,ஆந்தை
187,Kranich::N,ždral,நாரை
188,Krähe::N,vrana,காகம்
189,Kuckuck::N,kukavica,குயில்
190,Schwan::N,labud,அன்னம்
191,Fisch::N,riba,மீன்
192,Barsch::N,grgeč,பேர்ச்
193,Hecht::N,štuka,கோலாச்சி மீன்
194,Schlange[Tier]::N,guja,பாம்பு
195,Schlange[Tier]::N,zmija,பாம்பு
196,Wurm::N,crv,புழு
197,Spinne::N,pauk,சிலந்தி
198,Ameise::N,mrav,எறும்பு
199,Laus::N,uš,பேன்
200,Mücke::N,komarac,கொசுவினப்பூச்சி
201,Fliege::N,muha,ஈ
202,Schmetterling::N,leptir,வண்ணத்துப்பூச்சி
203,Beere::N,boba,சதைப்பழம்
204,Beere::N,bobica,சதைப்பழம்
205,Apfel::N,jabuka,ஆப்பிள பழம்
206,Pilz::N,pečurka,காளான்
207,Zwiebel::N,luk,வெங்காயம்
208,Zwiebel::N,kapula,வெங்காயம்
209,Saat::N,sjemenje,விதை
210,Korn::N,zrno,தானியம்
211,Heu::N,sijeno,வைக்கோல்
212,Schale::N,kora,தோல்
213,Schale::N,ljuska,தோல்
214,Grube::N,jama,குழி
215,Falle::N,zamka,பொறி
216,Falle::N,klopka,பொறி
217,Schlinge::N,uzao,கண்ணி
218,Schlinge::N,petlja,கண்ணி
219,Spur::N,trag,சுவடு
220,Spur::N,slijed,சுவடு
221,Asche::N,pepeo,சாம்பல்
222,Dreck::N,blato,அழுக்கு
223,Eisen::N,željezo,இரும்பு
224,Gold::N,zlato,தங்கம்
225,Silber::N,srebro,வெள்ளி
226,Kohle::N,ugalj,நிலக்கரி
227,Kohle::N,ugljen,நிலக்கரி
228,Glas::N,staklo,கண்ணாடி
229,Lehm::N,glina,களிமண்
230,Lehm::N,ilovača,களிமண்
231,Sand::N,pijesak,மணல்
232,Mensch::N,čovjek,மனிதர்கள்
233,Mann::N,muškarac,மனிதன்
234,Frau::N,žena,பெண்
235,Kind::N,čedo,குழந்தை
236,Kind::N,dijete,குழந்தை
237,Junge::N,momče,பையன்
238,Junge::N,dječak,பையன்
239,Mädchen::N,djevojka,சிறுமி
240,Mädchen::N,djevojčica,சிறுமி
241,Familie::N,obitelj,குடும்பம்
242,Familie::N,porodica,குடும்பம்
243,Großvater::N,djed,தாத்தா
244,Großmutter::N,baka,பாட்டி
245,Eltern::N,roditelji,பெற்றோர்
246,Vater::N,otac,தந்தை
247,Mutter::N,majka,தாய்
248,Sohn::N,sin,மகன்
249,Tochter::N,kći,மகள்
250,Tochter::N,kćerka,மகள்
251,Bruder::N,brat,சகோதரன்
252,Schwester::N,sestra,அக்கா
253,Onkel::N,čika,தாய் மாமன்
254,Onkel::N,ujak,தாய் மாமன்
255,Tante::N,ujna,அத்தை
256,Tante::N,tetka,அத்தை
257,Ehemann::N,muž,கணவன்
258,Ehemann::N,suprug,கணவன்
259,Ehefrau::N,žena,மனைவி
260,Ehefrau::N,supruga,மனைவி
261,Freude::N,radost,கொண்டாட்டம்
262,Gelächter::N,grohot,சிரிப்பு
263,Glück::N,sreća,மகிழ்ச்சி
264,Kummer::N,jad,துயரம்
265,Kummer::N,briga,துயரம்
266,Wunsch::N,želja,விருப்பம்
267,Lust::N,volja,விருப்பம்
268,Geist::N,duh,ஆன்மா
269,Gedanke::N,misao,எண்ணம்
270,Gedächtnis::N,pamćenje,ஞாபகம்
271,Verstand::N,um,மனம்
272,Verstand::N,razum,மனம்
273,Sinn::N,smisao,அர்த்தம்
274,Sinn::N,značenje,அர்த்தம்
275,Grund::N,razlog,காரணம்
276,Wahrheit::N,istina,உண்நை
277,Gespräch::N,razgovor,பெசு
278,Märchen::N,bajka,நம்பத்தகாத கதை
279,Erzählung::N,priča,கதை
280,Erzählung::N,pripovijest,கதை
281,Nachricht::N,vijest,செய்தி
282,Neuigkeit::N,novost,செய்தி
283,Name::N,ime,பெயர்
284,Rätsel::N,zagonetka,புதிர்
285,Rede::N,govor,பேச்சு
286,Rede::N,besjeda,பேச்சு
287,Sprache::N,jezik,மொழி
288,Stimme::N,glas,குரல்
289,Wort::N,riječ,வார்த்தை
290,Zeichen::N,znak,குறி
291,Ruf::N,povik,அழைப்பு
292,Ruf::N,poklik,அழைப்பு
293,Lärm::N,buka,சத்தம்
294,Lärm::N,galama,சத்தம்
295,Laut::N,zvuk,ஒலி
296,Ton::N,ton,குரல்
297,Lied::N,pjesma,பாட்டு
298,Ruhe::N,tišina,அமைதி
299,Ruhe::N,počinak,அமைதி
300,Leute::N,ljudi,மக்கள்
301,Volk::N,puk,மக்கள்
302,Volk::N,narod,மக்கள்
303,Arbeit::N,rad,வேலை
304,Arbeit::N,posao,வேலை
305,Gast::N,gost,விருந்தாளி
306,Geschenk::N,dar,பரிசுப் பொருள்
307,Geschenk::N,poklon,பரிசுப் பொருள்
308,Spiel::N,igra,விளையாட்டு
309,Gesellschaft::N,društvo,சமுதாயம்
310,Gesellschaft::N,kompanija,சமுதாயம்
311,Hilfe::N,pomoć,உதவி
312,Freund::N,prijatelj,நண்பன்
313,Kamerad::N,drug,உடனிருப்பவன்
314,Kamerad::N,drugar,உடனிருப்பவன்
315,Angelegenheit::N,posao,செய்தி
316,Anzahl::N,broj,எண்ணிக்கை
317,Anzahl::N,brojnost,எண்ணிக்கை
318,Art::N,vid,வகை
319,Art::N,vrst,வகை
320,Stück::N,komad,துண்டம்
321,Teil::N,dio,பகுதி
322,Hälfte::N,polovina,பாதி
323,Kreis::N,krug,வட்டம்
324,Kreuz::N,križ,சிலுவை
325,Linie::N,crta,கோடு
326,Strich::N,crta,வாத நோய்
327,Abstand::N,razmak,இடைவெளி
328,Abstand::N,odstojanje,இடைவெளி
329,Entfernung::N,udaljenost,தூரம்
330,Gegend::N,kraj,வட்டாரம்
331,Gegend::N,predeo,வட்டாரம்
332,Platz::N,mjesto,வெற்றிடம்
333,Ort::N,mjesto,இடம்
334,Seite::N,bok,பக்கம்
335,Seite::N,strana,பக்கம்
336,Mitte::N,sredina,இடைப்பகுதி
337,Gegenstand::N,predmet,உருப்படி
338,Sache::N,posao,பொருள்
339,Rand::N,rub,தொங்கு
340,Rand::N,kraj,தொங்கு
341,Kante::N,brid,விளிம்பு
342,Kante::N,ivica,விளிம்பு
343,Ecke::N,ugao,மூலை
344,Spitze::N,vrh,முனை
345,Spitze::N,šiljak,முனை
346,Ende::N,konac,முடிவு
347,Loch::N,rupa,துளை
348,Winkel::N,kut,கோணம்
349,Winkel::N,ugao,கோணம்
350,Muster::N,uzor,பாங்கு
351,Größe::N,veličina,அளவு
352,Länge::N,duljina,நீளம்
353,Höhe::N,visina,உயரம்
354,Gewicht::N,težina,எடை
355,Menge::N,mnoštvo,தொகை
356,Menge::N,količina,தொகை
357,Haufen::N,hrpa,குவியல்
358,Haufen::N,gomila,குவியல்
359,Reihe::N,red,வரிசை
360,Boot::N,čun,படகு
361,Boot::N,čamac,படகு
362,Ruder::N,veslo,துடுப்பு
363,Schlitten::N,saone,சகடையிலா வண்டி
364,Ski::N,ski,பனிச் சறுக்கல்
365,Ski::N,smučka,பனிச் சறுக்கல்
366,Lagerfeuer::N,logorska vatra,மூட்டம்
367,Last::N,tovar,பாரம்
368,Gang::N,hod,நடை
369,Schritt::N,korak,காலடி
370,Norden::N,sjever,வடக்கு
371,Süden::N,jug,தெற்கு
372,Westen::N,zapad,மேற்கு திசை
373,Osten::N,istok,கிழக்கு
374,Holz::N,drvo,மரக்கட்டை
375,Brett::N,daska,பலகை
376,Platte::N,ploča,பலகம்
377,Stütze::N,potpora,அடைப்புகன்
378,Stange::N,motka,கம்பம்
379,Stock::N,štap,குச்சி
380,Stock::N,palica,குச்சி
381,Stab::N,štap,கம்பு
382,Stab::N,šipka,கம்பு
383,Rohr::N,cijev,குழாய்
384,Haus::N,kuća,வீடு
385,Heim::N,dom,வீடு
386,Ofen::N,peć,அடுப்பு
387,Fußboden::N,pod,தரை
388,Tisch::N,stol,மேசை
389,Tisch::N,trpeza,மேசை
390,Stuhl::N,stolac,நாற்காலி
