,Concept_ID,av,cy
0,Ohr::N,гӏин,clust
1,Nase::N,мегӏер,trwyn
2,Mund::N,кӏал,ceg
3,Zahn::N,гӏус,dant
4,Zunge::N,мацӏ,tafod
5,Lippe::N,кӏветӏ,gwefus
6,Wange::N,гӏоно,boch
7,Gesicht::N,гьумер,wyneb
8,Stirn::N,нодо,talcen
9,Haar::N,рас,blew
10,Schnurrbart::N,михъ,mwstas
11,Bart::N,мегеж,barf
12,Kinn::N,нилъу,gên
13,Kiefer[Anatomie]::N,чанагъ,gên
14,Kehle::N,щекъер,gwddf
15,Hals::N,габур,gwddf
16,Genick::N,гъванща,gwar
17,Genick::N,гъванща,gwegil
18,Kopf::N,бетӏер,pen
19,Rücken::N,мугъ,cefn
20,Bauch::N,чехь,bol
21,Nabel::N,цӏину,bogail
22,Busen::N,керен,bron
23,Brust::N,керен,brest
24,Schulter::N,гъажазубетӏер,ysgwydd
25,Arm::N,гъеж,braich
26,Ellenbogen::N,гӏункӏрукь,penelin
27,Hand::N,квер,llaw
28,Handfläche::N,огъохъат,palf
29,Handfläche::N,жанисахъат,palf
30,Finger::N,килищ,bys
31,Fingernagel::N,малъ,ewin
32,Nagel[Anatomie]::N,малъ,ewin
33,Zeh::N,килищ,bys troed
34,Fuß::N,хӏетӏ,troed
35,Fuß::N,хӏетӏе,troed
36,Ferse::N,эгъе,sawdl
37,Knie::N,наку,glin
38,Oberschenkel::N,мачӏ,clun
39,Bein::N,бох,coes
40,Körper::N,къаркъала,corff
41,Haut::N,тӏом,croen
42,Blut::N,би,gwaed
43,Ader::N,бидурихь,gwythïen
44,Knochen::N,ракьа,asgwrn
45,Gehirn::N,гӏадалнах,ymennydd
46,Herz::N,ракӏ,calon
47,Magen::N,кванирукъ,cylla
48,Magen::N,кванирукъ,stumog
49,Leber::N,тӏул,iau
50,Atem::N,хӏухь,anadl
51,Hunger::N,ракъи,newyn
52,Träne::N,магӏу,deigryn
53,Geschmack::N,тату,cyflas
54,Geruch::N,махӏ,aroglau
55,Schlaf::N,макьу,cwsg
56,Traum::N,макьу,breuddwyd
57,Himmel::N,зоб,awyr
58,Sonne::N,бакъ,haul
59,Mond::N,моцӏ,lleuad
60,Stern::N,цӏва,seren
61,Luft::N,гьава,awyr
62,Wind::N,гьури,gwynt
63,Welle::N,карачел,ton
64,Wasser::N,лъим,dŵr
65,Stein::N,гьецӏо,carreg
66,Boden::N,ракь,llawr
67,Erde::N,ракь,pridd
68,Erde::N,дуниял,pridd
69,Staub::N,хӏур,llwch
70,Rauch::N,кӏкӏуй,mwg
71,Feuer::N,цӏа,tân
72,Licht::N,канлъи,golau
73,Schatten::N,рагӏад,cysgod
74,Wetter::N,гьава-бакъ,tywydd
75,Nebel::N,гӏодобнакӏкӏ,niwl
76,Wolke::N,накӏкӏ,cwmwl
77,Regen::N,цӏад,glaw
78,Schnee::N,гӏазу,ôd
79,Schnee::N,гӏазу,eira
80,Eis::N,цӏер,iâ
81,Frost::N,замгьари,rhew
82,Kälte::N,квач,oerni
83,Kälte::N,квач,annwyd
84,Hitze::N,багӏари,gwres
85,Raureif::N,мартӏ,barrug
86,Regenbogen::N,нур,enfys
87,Regenbogen::N,чамбара,enfys
88,Donner::N,гъугъай,tyrfau
89,Donner::N,гъугъади,tyrfau
90,Strömung::N,чвахи,cerrynt
91,Tropfen::N,резел,dafn
92,Tropfen::N,резел,diferyn
93,Tropfen::N,тӏинкӏ,dafn
94,Tropfen::N,тӏинкӏ,diferyn
95,Tropfen::N,къатӏра,dafn
96,Tropfen::N,къатӏра,diferyn
97,Tropfen::N,тӏенкӏел,dafn
98,Tropfen::N,тӏенкӏел,diferyn
99,Schaum::N,полоп,ewyn
100,Schmutz::N,чороклъи,baw
101,Schmutz::N,чороклъи,budreddi
102,See::N,хӏор,llyn
103,Sumpf::N,хьуцӏ,cors
104,Wiese::N,мегъ,dôl
