,Concept_ID,lez,mn
0,Auge::N,вил,нүд
1,Ohr::N,яб,чих
2,Nase::N,нер,хамар
3,Mund::N,сив,ам
4,Zahn::N,сас,шүд
5,Zahn::N,свах,шүд
6,Zunge::N,мез,хэл
7,Lippe::N,пӏуз,уруул
8,Wange::N,хъвехъ,хацар
9,Gesicht::N,ччин,царай
10,Gesicht::N,ччин,нүүр
11,Stirn::N,пел,дух
12,Haar::N,чӏар,үс
13,Schnurrbart::N,спел,дээд сахал
14,Schnurrbart::N,спел,живэр сахал
15,Schnurrbart::N,спелар,дээд сахал
16,Schnurrbart::N,спелар,живэр сахал
17,Bart::N,ччуру,сахал
18,Kinn::N,чене,эрүү
19,Kiefer[Anatomie]::N,чене,эрүү
20,Kehle::N,туьд,хоолой
21,Hals::N,гардан,хүзүү
22,Genick::N,кьам,шил
23,Genick::N,кьам,хүзүү
24,Kopf::N,кьил,толгой
25,Rücken::N,далу,ар
26,Rücken::N,далу,нуруу
27,Bauch::N,руфун,хэвлий
28,Bauch::N,руфун,гэдэс
29,Nabel::N,пицӏ,хүйс
30,Busen::N,мам,хөх
31,Brust::N,хур,цээж
32,Schulter::N,къуьн,мөр
33,Schulter::N,къуьн,бугалга
34,Arm::N,гъил,гар
35,Ellenbogen::N,кьуьнт,тохой
36,Hand::N,капаш,гар
37,Hand::N,капаш,алга
38,Handfläche::N,капан юкь,алга
39,Finger::N,тӏуб,хуруу
40,Fingernagel::N,кек,хурууны хумс
41,Nagel[Anatomie]::N,кек,хумс
42,Zeh::N,кул,хуруу
43,Fuß::N,кӏвач,хөл
44,Ferse::N,дабан,өсгий
45,Knie::N,мет,өвдөг
46,Bein::N,кӏвач,хөл
47,Körper::N,беден,бие
48,Haut::N,хам,арьс
49,Blut::N,иви,цус
50,Ader::N,дамар,судас
51,Sehne::N,кьуру дамар,бүлх
52,Sehne::N,кьуру дамар,шандас
53,Knochen::N,кӏараб,яс
54,Gehirn::N,мефт,тархи
55,Herz::N,рикӏ,зүрх
56,Magen::N,хук,ходоод
57,Leber::N,лекь,элэг
58,Atem::N,ял,амьсгаа
59,Atem::N,нефес,амьсгаа
60,Hunger::N,каш,өлсгөлөн
61,Träne::N,вилин нагъв,нулимс
62,Geschmack::N,дад,амт
63,Geschmack::N,тӏям,амт
64,Geruch::N,ни,үнэр
65,Schlaf::N,ахвар,нойр
66,Traum::N,ахвар,зүүд
67,Himmel::N,цав,тэнгэр
68,Himmel::N,цав,огторгуй
69,Sonne::N,рагъ,нар
70,Mond::N,варз,сар
71,Stern::N,гъед,од
72,Luft::N,гьава,агаар
73,Wind::N,гар,салхи
74,Welle::N,лепе,долгио
75,Welle::N,лепе,давалгаа
76,Wasser::N,яд,ус
77,Stein::N,къван,чулуу
78,Boden::N,накьв,хөрс
79,Erde::N,ччил,газар
80,Erde::N,ччил,шороо
81,Staub::N,руг,тоос
82,Rauch::N,гум,утаа
83,Funke::N,цӏелхем,оч
84,Feuer::N,цӏай,гал
85,Licht::N,экв,гэрэл
86,Licht::N,экв,гэгээ
87,Schatten::N,серин,сүүдэр
88,Wetter::N,гьава,тэнгэр
89,Wetter::N,гьава,цаг уур
90,Nebel::N,ччилин циф,будан
91,Wolke::N,циф,үүл
92,Regen::N,марф,бороо
93,Schnee::N,жив,цас
94,Eis::N,мурк,мөс
95,Frost::N,аяз,хүйт
96,Kälte::N,мекь,хүйт
97,Kälte::N,мекьивал,хүйт
98,Hitze::N,зегьем,халуун
99,Raureif::N,къирав,цан
100,Raureif::N,къирав,хяруу
101,Regenbogen::N,яргъируш,солонго
102,Donner::N,цавун ван,тэнгэрийн дуу
103,Tropfen::N,стӏал,дусал
104,Schaum::N,каф,хөөс
105,Schmutz::N,чирк,хир
106,Schmutz::N,чирк,шавхай
107,Schmutz::N,кьуруш,хир
108,Schmutz::N,кьуруш,шавхай
109,See::N,вир,нуур
110,Sumpf::N,уьлен,намаг
111,Sumpf::N,уьлен,балчиг
112,Wiese::N,векь,нуга
113,Wald::N,там,ой
114,Hügel::N,кӏунтӏ,болдог
115,Anhöhe::N,тепе,гүвээ
116,Anhöhe::N,гьуьндуьрвал,гүвээ
117,Berg::N,дагъ,уул
118,Gipfel::N,кӏукӏ,орой
119,Gipfel::N,кӏукӏ,оргил
120,Höhle::N,кьветӏ,агуй
121,Abhang::N,гуьне,хүр
122,Quelle::N,чешме,булаг
123,Bach::N,булах,горхи
124,Fluss::N,вацӏ,гол
125,Fluss::N,вацӏ,мөрөн
126,Ufer::N,къерех,эрэг
127,Küste::N,къерех,эрэг
128,Festland::N,кьурамат,хуурай газар
129,Meer::N,гьуьл,далай
130,Meer::N,гьуьл,тэнгис
131,Bucht::N,бухта,булан
132,Bucht::N,бухта,далайн тохой
133,Insel::N,остров,арал
134,Blume::N,цуьк,цэцэг
135,Gras::N,хъач,өвс
136,Gras::N,хъач,ногоо
137,Wurzel::N,дувул,үндэс
138,Baum::N,ттар,мод
139,Stamm::N,тан,иш
140,Stamm::N,тан,гуалин
141,Rinde::N,чкал,холтос
142,Ast::N,тӏур,гишүү
143,Zweig::N,хел,салаа
144,Blatt::N,пеш,навч
145,Birke::N,верх,хус
