,Concept_ID,ro,lez
0,Auge::N,ochi,вил
1,Ohr::N,ureche,яб
2,Nase::N,nas,нер
3,Mund::N,gură,сив
4,Zahn::N,dinte,сас
5,Zahn::N,dinte,свах
6,Zunge::N,limbă,мез
7,Lippe::N,buză,пӏуз
8,Wange::N,bucă,хъвехъ
9,Wange::N,obraz,хъвехъ
10,Gesicht::N,față,ччин
11,Gesicht::N,figură,ччин
12,Stirn::N,frunte,пел
13,Haar::N,păr,чӏар
14,Schnurrbart::N,mustață,спел
15,Schnurrbart::N,mustață,спелар
16,Bart::N,barbă,ччуру
17,Kinn::N,bărbie,чене
18,Kiefer[Anatomie]::N,falcă,чене
19,Kehle::N,beregată,туьд
20,Hals::N,gât,гардан
21,Genick::N,ceafă,кьам
22,Kopf::N,cap,кьил
23,Rücken::N,dos,далу
24,Rücken::N,spate,далу
25,Rücken::N,spinare,далу
26,Bauch::N,burtă,руфун
27,Bauch::N,pântece,руфун
28,Nabel::N,buric,пицӏ
29,Busen::N,sân,мам
30,Brust::N,piept,хур
31,Schulter::N,umăr,къуьн
32,Schulter::N,spate,къуьн
33,Arm::N,braț,гъил
34,Ellenbogen::N,cot,кьуьнт
35,Hand::N,mână,капаш
36,Handfläche::N,palmă,капан юкь
37,Finger::N,deget,тӏуб
38,Fingernagel::N,unghie,кек
39,Nagel[Anatomie]::N,unghie,кек
40,Zeh::N,deget de la picior,кул
41,Fuß::N,picior,кӏвач
42,Ferse::N,călcâi,дабан
43,Knie::N,genunchi,мет
44,Oberschenkel::N,coapsă,
45,Bein::N,picior,кӏвач
46,Körper::N,corp,беден
47,Haut::N,piele,хам
48,Blut::N,sânge,иви
49,Ader::N,vână,дамар
50,Ader::N,arteră,дамар
51,Sehne::N,tendon,кьуру дамар
52,Knochen::N,os,кӏараб
53,Gehirn::N,creier,мефт
54,Herz::N,inimă,рикӏ
55,Magen::N,stomac,хук
56,Leber::N,ficat,лекь
57,Atem::N,răsuflare,ял
58,Atem::N,răsuflare,нефес
59,Atem::N,respirație,ял
60,Atem::N,respirație,нефес
61,Hunger::N,foame,каш
62,Träne::N,lacrimă,вилин нагъв
63,Geschmack::N,gust,дад
64,Geschmack::N,gust,тӏям
65,Geruch::N,miros,ни
66,Schlaf::N,somn,ахвар
