,Concept_ID,ko,mhr
0,Auge::N,눈,шинча́
1,Ohr::N,귀,пы́лыш
2,Nase::N,코,нер
3,Mund::N,입,умша́
4,Zahn::N,이,пӱй
5,Zunge::N,혀,йы́лме
6,Lippe::N,입술,тӱ́рвӧ
7,Wange::N,뺨,шӱ́ргӧ
8,Gesicht::N,얼굴,чури́й
9,Stirn::N,이마,саҥга́
10,Haar::N,털,ӱп
11,Schnurrbart::N,윗수몀,ӧ́рыш
12,Schnurrbart::N,코밑수염,ӧ́рыш
13,Bart::N,수엄,понда́ш
14,Kinn::N,아래턱,оҥыла́ш
15,Kiefer[Anatomie]::N,턱,пӱйдӱ́ҥ
16,Kiefer[Anatomie]::N,턱,пӱйората́
17,Kehle::N,인후,лога́р
18,Hals::N,목,шӱй
19,Genick::N,먹덜이,шӱйло́дыш
20,Kopf::N,머리,вуй
21,Rücken::N,든,туп
22,Bauch::N,배,мӱ́шкыр
23,Nabel::N,배꼽,кы́лымде
24,Busen::N,가슴속,чы́зе
25,Brust::N,가슴,оҥ
26,Schulter::N,어깨,ва́че
27,Arm::N,팔,кид
28,Ellenbogen::N,팔쿰치,кынерву́й
29,Hand::N,손,кид
30,Hand::N,손,копа́
31,Handfläche::N,손바닥,со́во
32,Finger::N,속가락,парня́
33,Fingernagel::N,손톱,кидкӱ́ч
34,Fingernagel::N,손톱,парнягӱ́ч
35,Nagel[Anatomie]::N,손톱,кӱч
36,Zeh::N,발가락,йолварня́
37,Fuß::N,발,йол
38,Fuß::N,발,йолкопа́
39,Ferse::N,발꿈치,тага́н
40,Knie::N,무릎,пулву́й
41,Oberschenkel::N,허벅다리,э́рде
42,Bein::N,다리,йол
43,Körper::N,구간,кап
44,Haut::N,살갗,кова́ште
45,Blut::N,피,вӱр
46,Ader::N,정맥,шӧн
47,Sehne::N,현,шӧн
48,Sehne::N,현,кӱсе́н
49,Knochen::N,뼈,лу
50,Gehirn::N,뇌,вем
51,Gehirn::N,뇌,вуйве́м
52,Gehirn::N,뇌수,вем
53,Gehirn::N,뇌수,вуйве́м
54,Herz::N,염통,шӱм
55,Magen::N,위,пага́р
56,Leber::N,간,мокш
57,Atem::N,기식,шӱ́лыш
58,Hunger::N,공복,шужыма́ш
59,Träne::N,눈물,шинчавӱ́д
60,Geschmack::N,기호,там
61,Geruch::N,냄새,пуш
62,Schlaf::N,수면,о́мо
63,Traum::N,쿰,йӱдо́мо
64,Himmel::N,하늘,кава́
65,Sonne::N,해,ке́че
66,Mond::N,달,ты́лзе
67,Stern::N,별,шӱ́дыр
68,Luft::N,동준,юж
69,Luft::N,가스채,юж
70,Wind::N,바람,марде́ж
71,Welle::N,물결,то́лкын
72,Wasser::N,물,вӱд
73,Stein::N,돌,кӱ
74,Boden::N,바닥,рок
75,Erde::N,흙,мла́нде
76,Staub::N,먼지,пура́к
77,Rauch::N,연기,шикш
78,Funke::N,불티,сеске́м
79,Funke::N,불티,тулйы́п
80,Feuer::N,불,тул
81,Licht::N,불,со́то
82,Schatten::N,어스레함,ӱ́мыл
83,Wetter::N,기상,иге́че
84,Nebel::N,안개,тӱтыра́
85,Wolke::N,구름,пыл
86,Regen::N,비,йӱр
87,Schnee::N,눈,лум
88,Eis::N,얼음,ий
89,Frost::N,혹한,чатлама́
90,Kälte::N,추위,йӱ́штӧ
91,Kälte::N,차가움,йӱ́штӧ
92,Hitze::N,고온,шо́кшо
93,Hitze::N,더위,шо́кшо
94,Regenbogen::N,무지개,шонанпы́л
95,Donner::N,뇌명,кӱ́дырчӧ
96,Strömung::N,유동,йо́гын
97,Tropfen::N,물방울,чӱча́лтыш
98,Schaum::N,포말,шоҥ
99,Schmutz::N,때,лавыра́
100,See::N,호수,ер
101,Sumpf::N,습지,лӱ́кӧ
102,Moor::N,저습지,куп
103,Wiese::N,목초지,о́лык
104,Wald::N,숲,чодыра́
105,Hügel::N,언덕,арка́
106,Anhöhe::N,언덕,тӧва́
107,Anhöhe::N,언덕,кӱкшака́
108,Berg::N,산,ку́рык
109,Gipfel::N,졀졍,чаҥга́
110,Gipfel::N,졀졍,курыкву́й
111,Höhle::N,공동,пеще́р
112,Höhle::N,공동,курыкпо́мыш
113,Abhang::N,몰매,та́йыл
114,Quelle::N,근원,важ
115,Quelle::N,근원,вӱдшинча́
116,Bach::N,내,изэҥе́р
117,Fluss::N,강,эҥе́р
