,Concept_ID,ps,cs
0,Auge::N,سترګه,oko
1,Ohr::N,غوږ,ucho
2,Nase::N,پوزه,nos
3,Mund::N,خوله,pusa
4,Zahn::N,غاښ,zub
5,Zunge::N,جبه,jazyk
6,Lippe::N,شونډه,ret
7,Wange::N,باړخو,tvář
8,Gesicht::N,مخ,obličej
9,Stirn::N,تندی,čelo
10,Stirn::N,وچولی,čelo
11,Haar::N,وېښته,vlas
12,Haar::N,وېښته,vlasy
13,Schnurrbart::N,برېت,kníry
14,Bart::N,ږیره,vousy
15,Kinn::N,زنه,brada
16,Kiefer[Anatomie]::N,جامه,čelist
17,Kehle::N,غاړه,hrdlo
18,Hals::N,غاړه,krk
19,Genick::N,ورمېږ,týl
20,Kopf::N,سر,hlava
21,Rücken::N,شا,záda
22,Rücken::N,شا,hřbet
23,Bauch::N,نس,břicho
24,Bauch::N,ګېډه,břicho
25,Nabel::N,نوم,pupek
26,Busen::N,تی,ňadra
27,Brust::N,سینه,prsa
28,Schulter::N,اوږه,plece
29,Schulter::N,اوږه,rameno
30,Arm::N,لاس,ruka
31,Ellenbogen::N,څنګل,loket
32,Hand::N,لاس,ruka
33,Handfläche::N,ورغوی,dlaň
34,Finger::N,ګوته,prst
35,Fingernagel::N,نوک,nehet
36,Nagel[Anatomie]::N,نوک,nehet
37,Zeh::N,ګوته,prst u nohy
38,Fuß::N,پښه,noha
39,Ferse::N,پونده,pata
40,Knie::N,زنګون,koleno
41,Oberschenkel::N,پتون,stehno
42,Bein::N,پښه,noha
43,Körper::N,ځان,tělo
44,Haut::N,پوټکی,kůže
45,Blut::N,وینه,krev
46,Ader::N,رګ,céva
47,Sehne::N,پله,šlacha
48,Knochen::N,هډوکی,kost
49,Gehirn::N,ماغزه,mozek
50,Herz::N,زړه,srdce
51,Magen::N,معده,žaludek
52,Leber::N,ينه,játra
53,Leber::N,ځیګر,játra
54,Atem::N,نفس,dech
55,Hunger::N,ولږه,hlad
56,Träne::N,اوښکه,slza
57,Geschmack::N,مزه,vkus
58,Geschmack::N,خوند,vkus
59,Geruch::N,بوی,vůně
60,Geruch::N,بوی,zápach
61,Schlaf::N,خوب,spánek
62,Traum::N,خوب,sen
63,Himmel::N,اسمان,nebe
64,Sonne::N,لمر,slunce
65,Mond::N,سپوږمۍ,měsíc
66,Stern::N,ستوری,hvězda
67,Luft::N,هوا,vzduch
68,Wind::N,ورښ,vítr
69,Welle::N,موج,vlna
70,Wasser::N,اوبه,voda
71,Stein::N,ډبره,kámen
72,Boden::N,مځکه,půda
73,Erde::N,خاوره,země
74,Staub::N,ګرد,prach
75,Staub::N,خاوره,prach
76,Rauch::N,دود,dým
