,Concept_ID,myv,fr
0,Auge::N,сельме,œil
1,Ohr::N,пиле,oreille
2,Nase::N,судо,nez
3,Mund::N,курго,bouche
4,Zahn::N,пей,dent
5,Zunge::N,кель,langue
6,Lippe::N,турва,lèvre
7,Wange::N,чамабока,joue
8,Wange::N,чамаумарь,joue
9,Gesicht::N,чама,face
10,Gesicht::N,чама,visage
11,Stirn::N,коня,front
12,Haar::N,черь,cheveu
13,Schnurrbart::N,ус,moustache
14,Schnurrbart::N,муюк,moustache
15,Bart::N,сакал,barbe
16,Kinn::N,уло,menton
17,Kiefer[Anatomie]::N,пейпакар,mâchoire
18,Kiefer[Anatomie]::N,пейловажа,mâchoire
19,Kehle::N,кирьгапарь,gorge
20,Hals::N,кирьга,cou
21,Genick::N,човонь,nuque
22,Kopf::N,пря,tête
23,Rücken::N,копорь,dos
24,Bauch::N,пеке,ventre
25,Nabel::N,почо,nombril
26,Busen::N,поте,sein
27,Brust::N,меште,poitrine
28,Schulter::N,лавтов,épaule
29,Arm::N,кедь,bras
30,Ellenbogen::N,кенерепакарь,coude
31,Hand::N,кедь,main
32,Handfläche::N,кедькуншка,paume
33,Handfläche::N,кедьлапушка,paume
34,Finger::N,сур,doigt
35,Fingernagel::N,кенже,ongle
36,Nagel[Anatomie]::N,кенже,ongle
37,Zeh::N,пильге сур,orteil
38,Zeh::N,пильге сур,doigt de pied
39,Fuß::N,пильге,pied
40,Ferse::N,кочкаря,talon
41,Knie::N,эле,genou
42,Knie::N,эзне,genou
43,Knie::N,кумажа,genou
44,Oberschenkel::N,качо,cuisse
45,Bein::N,пильге,jambe
46,Körper::N,рунго,corps
47,Haut::N,киське,peau
48,Blut::N,верь,sang
49,Ader::N,сан,veine
50,Sehne::N,коське сан,tendon
51,Knochen::N,пакарь,os
52,Gehirn::N,удем,cerveau
53,Herz::N,седей,cœur
54,Magen::N,пеке,estomac
55,Leber::N,максо,foie
56,Atem::N,лексема,haleine
57,Atem::N,оймень таргсема,haleine
58,Hunger::N,вачочи,faim
59,Träne::N,селведь,larme
60,Geschmack::N,тансть,goût
61,Geschmack::N,тансть,saveur
62,Geruch::N,чине,odeur
63,Schlaf::N,удома,sommeil
64,Traum::N,он,songe
65,Himmel::N,менель,ciel
66,Sonne::N,чи,soleil
67,Mond::N,ков,lune
68,Stern::N,теште,étoile
69,Luft::N,кошт,air
70,Wind::N,варма,vent
71,Welle::N,толкун,vague
72,Wasser::N,ведь,eau
73,Stein::N,кев,pierre
74,Boden::N,мода,sol
75,Boden::N,мода,terrain
76,Erde::N,мастор,terre
77,Staub::N,пуль,poussière
78,Rauch::N,качамо,fumée
79,Funke::N,сятко,étincelle
80,Feuer::N,тол,feu
81,Licht::N,валдо,lumière
82,Schatten::N,сулей,ombre
83,Schatten::N,сулейкс,ombre
84,Wetter::N,ушо,temps
85,Nebel::N,сув,brume
86,Nebel::N,сув,brouillard
87,Wolke::N,пель,nuage
88,Regen::N,пиземс,pluie
89,Schnee::N,лов,neige
90,Eis::N,эй,glace
91,Frost::N,кельме,gel
92,Frost::N,кельме,gelée
93,Kälte::N,якшамо,froid
94,Hitze::N,пси,chaleur
95,Raureif::N,лекш,givre
96,Regenbogen::N,пурьгинечирьке,arc-en-ciel
97,Regenbogen::N,пурьгинеёнкс,arc-en-ciel
98,Donner::N,пурьгине,tonnerre
99,Strömung::N,чудема,courant
100,Strömung::N,чудевкс,courant
101,Tropfen::N,петнявкс,goutte
102,Schaum::N,чов,écume
103,Schaum::N,чов,mousse
104,Schmutz::N,рудаз,boue
105,Schmutz::N,рудаз,saleté
106,See::N,эрьке,lac
107,Sumpf::N,чей,marais
108,Sumpf::N,чей,marécage
109,Moor::N,чей,tourbière
110,Wiese::N,луга,pré
111,Wald::N,вирь,bois
112,Wald::N,вирь,forêt
113,Hügel::N,губорь,coteau
114,Hügel::N,губорь,colline
115,Hügel::N,пандыне,coteau
116,Hügel::N,пандыне,colline
117,Anhöhe::N,губорь,éminence
118,Anhöhe::N,губорь,élévation
119,Anhöhe::N,пандыне,éminence
120,Anhöhe::N,пандыне,élévation
121,Berg::N,пандо,mont
122,Berg::N,пандо,montagne
123,Gipfel::N,пря,cime
124,Gipfel::N,пря,sommet
125,Höhle::N,пещера,caverne
126,Abhang::N,пандочама,pente
127,Abhang::N,пандочама,versant
128,Quelle::N,ушодкс,source
129,Quelle::N,ушодкс,fontaine
130,Bach::N,чудикерькс,ruisseau
131,Fluss::N,лей,fleuve
132,Fluss::N,лей,rivière
133,Ufer::N,чире,bord
134,Ufer::N,чире,rivage
135,Küste::N,лейчире,côte
136,Festland::N,мода,terre ferme
137,Meer::N,моря,mer
138,Bucht::N,усия,baie
139,Insel::N,усия,île
140,Blume::N,цеця,fleur
141,Gras::N,тикше,herbe
142,Wurzel::N,юр,racine
143,Wurzel::N,ундокс,racine
144,Baum::N,чувто,arbre
145,Stamm::N,рунго,tronc
146,Rinde::N,суд,écorce
147,Rinde::N,керь,écorce
148,Ast::N,морго,branche
149,Zweig::N,тарад,rameau
150,Blatt::N,лопа,feuille
151,Birke::N,килей,bouleau
152,Kiefer[Baum]::N,пиче,pin
153,Weide[Baum]::N,каль,saule
154,Tanne::N,куз,sapin
155,Horn::N,сюро,corne
156,Feder::N,толга,plume
157,Fell::N,пона,peau
158,Flügel::N,сёлмо,aile
159,Klaue::N,кенже,serre
160,Kralle::N,кенже,ongle
161,Kralle::N,кенже,griffe
162,Schwanz::N,пуло,queue
163,Ei::N,ал,œuf
164,Nest::N,пизэ,nid
165,Bau::N,варя,terrier
166,Bau::N,пизе,terrier
167,Tier::N,ракша,animal
168,Herde::N,стада,troupeau
169,Kuh::N,скал,vache
170,Bulle::N,бука,taureau
171,Pferd::N,лишме,cheval
172,Schaf::N,реве,mouton
173,Schwein::N,туво,porc
174,Schwein::N,туво,cochon
175,Hund::N,пине,chien
176,Hund::N,киска,chien
177,Katze::N,псака,chat
178,Bär::N,овто,ours
179,Eichhörnchen::N,ур,écureuil
180,Elch::N,сярдо,élan
181,Fuchs::N,ривезь,renard
182,Hase::N,нумоло,lièvre
183,Maus::N,чеерь,souris
184,Wolf::N,верьгиз,loup
185,Vogel::N,нармунь,oiseau
186,Schwarm::N,полк,nuée
187,Schwarm::N,полк,volée
188,Schwarm::N,стада,nuée
189,Schwarm::N,стада,volée
190,Huhn::N,сараз,poule
191,Hahn::N,атякш,coq
192,Gans::N,гала,oie
193,Gans::N,мацей,oie
194,Adler::N,куцькан,aigle
195,Adler::N,тумоатякш,aigle
196,Ente::N,яксярго,canard
197,Eule::N,корж,hibou
198,Kranich::N,карго,grue
199,Krähe::N,варака,corneille
200,Kuckuck::N,куко,coucou
201,Schwan::N,локсей,cygne
202,Fisch::N,кал,poisson
203,Barsch::N,окунь,perche
204,Hecht::N,щука,brochet
205,Schlange[Tier]::N,гуй,serpent
206,Wurm::N,сукс,ver
207,Spinne::N,шанжав,araignée
208,Ameise::N,коткудав,fourmi
209,Laus::N,сий,pou
210,Mücke::N,сеське,moucheron
211,Fliege::N,карво,mouche
212,Schmetterling::N,нимиляв,papillon
213,Beere::N,умарь,baie
214,Apfel::N,умарь,pomme
215,Pilz::N,панго,champignon
216,Zwiebel::N,чурька,oignon
217,Saat::N,видьметь,semence
218,Korn::N,сюро,grain
219,Heu::N,тикше,foin
220,Schale::N,кедь,pelure
221,Schale::N,ваткавкс,pelure
222,Grube::N,латко,fosse
223,Falle::N,тувор,piège
224,Falle::N,кундамка,piège
225,Schlinge::N,килькш,lacs
226,Spur::N,челькс,trace
227,Spur::N,пильгеки,trace
228,Asche::N,кулов,cendre
229,Dreck::N,рудаз,crotte
230,Eisen::N,кшни,fer
231,Gold::N,сырне,or
232,Silber::N,сия,argent
233,Kohle::N,сэдь,charbon
234,Kohle::N,уголия,charbon
235,Glas::N,сулика,verre
236,Lehm::N,сёвонь,glaise
237,Sand::N,човар,sable
238,Mensch::N,ломань,homme
239,Mann::N,аля,homme
240,Mann::N,цёраломань,homme
241,Frau::N,ава,femme
242,Kind::N,эйкакш,enfant
243,Junge::N,цёрыне,garçon
244,Mädchen::N,тейтерне,fille
245,Mädchen::N,тейтерне,jeune fille
246,Familie::N,семия,famille
247,Großvater::N,покштя,grand-père
248,Großmutter::N,баба,grand-mère
249,Eltern::N,тетят-ават,parents
250,Vater::N,тетя,père
251,Mutter::N,ава,mère
252,Sohn::N,цёра,fils
253,Tochter::N,тейтерь,fille
254,Bruder::N,леля,frère
255,Bruder::N,ялакс,frère
256,Schwester::N,сазор,sœur
257,Onkel::N,леля,oncle
258,Tante::N,патя,tante
259,Ehemann::N,мирде,mari
260,Ehemann::N,мирде,époux
261,Ehefrau::N,ни,femme
262,Ehefrau::N,ни,épouse
263,Freude::N,кеняркс,joie
264,Freude::N,кеняркс,plaisir
265,Gelächter::N,ракамо,rires
266,Gelächter::N,пейдема,rires
267,Glück::N,уцяска,bonheur
268,Kummer::N,рискс,peine
269,Kummer::N,рискс,chagrin
270,Kummer::N,мелявкс,peine
271,Kummer::N,мелявкс,chagrin
272,Wunsch::N,мель,désir
273,Wunsch::N,бажамо,désir
274,Lust::N,бажамо,envie
275,Geist::N,ойме,esprit
276,Gedanke::N,мель,idée
277,Gedanke::N,мель,pensée
278,Gedächtnis::N,мель,mémoire
279,Verstand::N,прев,raison
280,Sinn::N,толк,sens
281,Sinn::N,смысла,sens
282,Grund::N,тувтал,cause
283,Grund::N,тувтал,raison
284,Wahrheit::N,видечи,vérité
285,Gespräch::N,кортнема,conversation
286,Märchen::N,ёвкс,conte
287,Märchen::N,ёвкс,conte de fées
288,Erzählung::N,ёвтнема,conte
289,Erzählung::N,ёвтнема,narration
290,Nachricht::N,куля,message
291,Neuigkeit::N,куля,nouvelle
292,Name::N,лем,nom
293,Rätsel::N,содамоёвкс,énigme
294,Rätsel::N,содамоёвкс,devinette
295,Rede::N,кортамо,parole
296,Rede::N,кортамо,discours
297,Sprache::N,кель,langue
298,Sprache::N,кель,langage
299,Stimme::N,ваигель,voix
300,Wort::N,вал,mot
301,Zeichen::N,теште,signe
302,Ruf::N,тердема,cri
303,Ruf::N,тердема,appel
304,Lärm::N,шалнома,bruit
305,Laut::N,вайгель,son
306,Ton::N,гайнема,ton
307,Lied::N,моро,chant
308,Lied::N,моро,chanson
309,Ruhe::N,оймамо,calme
310,Ruhe::N,оймамо,tranquillité
311,Leute::N,ломанть,gens
312,Volk::N,народ,peuple
313,Arbeit::N,тев,travail
314,Gast::N,инже,hôte
315,Gast::N,инже,invité
316,Geschenk::N,казне,cadeau
317,Geschenk::N,казне,présent
318,Spiel::N,налксема,jeu
319,Gesellschaft::N,община,compagnie
320,Hilfe::N,лездамо,aide
321,Hilfe::N,лездамо,secours
322,Freund::N,оя,ami
323,Freund::N,ялга,ami
324,Kamerad::N,оя,copain
325,Kamerad::N,оя,camarade
326,Kamerad::N,ялга,copain
327,Kamerad::N,ялга,camarade
328,Angelegenheit::N,тев,affaire
329,Anzahl::N,ламоксчи,nombre
330,Art::N,вид,sorte
331,Art::N,вид,espèce
332,Stück::N,пакш,morceau
333,Stück::N,пелькс,morceau
334,Teil::N,часть,part
335,Teil::N,часть,partie
336,Teil::N,пелькс,part
337,Teil::N,пелькс,partie
338,Hälfte::N,пель,moitié
339,Hälfte::N,пелькс,moitié
340,Kreis::N,кирькс,cercle
341,Kreuz::N,крёст,croix
342,Linie::N,кикс,ligne
343,Strich::N,межа,trait
344,Abstand::N,ютко,écart
345,Entfernung::N,ютко,distance
346,Gegend::N,тарка,région
347,Gegend::N,тарка,contrée
348,Gegend::N,пертьпелькс,région
349,Gegend::N,пертьпелькс,contrée
350,Platz::N,васолкс,place
351,Ort::N,тарка,lieu
352,Ort::N,тарка,endroit
353,Seite::N,ён,côté
354,Seite::N,чире,côté
355,Mitte::N,куншка,milieu
356,Gegenstand::N,предмет,objet
357,Sache::N,тев,chose
358,Sache::N,веща,chose
359,Rand::N,пе,bord
360,Rand::N,чире,bord
361,Kante::N,ирдез,arête
362,Ecke::N,ужо,coin
363,Ecke::N,ужо,tournant
364,Spitze::N,пряне,cime
365,Spitze::N,пряне,pointe
366,Spitze::N,пе,cime
367,Spitze::N,пе,pointe
368,Ende::N,пе,bout
369,Loch::N,варя,trou
370,Winkel::N,ужо,coin
371,Winkel::N,ужо,réduit
372,Muster::N,сёрма,dessin
373,Größe::N,сэрь,grandeur
374,Größe::N,покшолма,grandeur
375,Länge::N,кувалмо,longueur
376,Höhe::N,сэрь,hauteur
377,Höhe::N,сэрь,altitude
378,Höhe::N,пандо,hauteur
379,Höhe::N,пандо,altitude
380,Gewicht::N,сталмо,poids
381,Menge::N,лововкс,quantité
382,Haufen::N,мар,tas
383,Haufen::N,валявкс,tas
384,Reihe::N,ряд,file
385,Reihe::N,ряд,rangée
386,Boot::N,венч,canot
387,Boot::N,венч,bateau
388,Ruder::N,милё,rame
389,Ruder::N,милё,aviron
390,Schlitten::N,нурдт,traîneau
391,Ski::N,сокс,ski
392,Lagerfeuer::N,толбандя,feu de camp
393,Last::N,сталмо,charge
394,Last::N,сталмо,fardeau
395,Last::N,кандома,charge
396,Last::N,кандома,fardeau
397,Gang::N,молема,tour
398,Gang::N,молема,marche
399,Gang::N,якамо,tour
400,Gang::N,якамо,marche
401,Schritt::N,эскелькс,pas
402,Norden::N,якшамо ёнкс,nord
403,Süden::N,лембе ёнкс,sud
404,Westen::N,чивалгома,ouest
405,Westen::N,чивалгома,occident
406,Osten::N,чилисема,est
407,Osten::N,чилисема,orient
408,Holz::N,чувто,bois
409,Brett::N,лаз,planche
410,Platte::N,плита,plaque
411,Stütze::N,неже,appui
412,Stütze::N,неже,soutien
413,Stange::N,олга,barre
414,Stange::N,олга,perche
415,Stock::N,мандо,canne
416,Stab::N,олога,bâton
417,Rohr::N,турба,tube
418,Rohr::N,турба,tuyau
419,Haus::N,кудо,maison
420,Heim::N,кудо,maison
421,Ofen::N,каштомо,poêle
422,Fußboden::N,киякс,plancher
423,Tisch::N,столь,table
424,Stuhl::N,стул,chaise
425,Wiege::N,лавсь,berceau
426,Wiege::N,нурямот,berceau
427,Bett::N,ацамо,lit
428,Regal::N,лався,étagère
429,Regal::N,лавсяланго,étagère
430,Kiste::N,горобия,caisse
431,Kiste::N,сундук,caisse
432,Fenster::N,вальма,fenêtre
433,Tür::N,кенкш,porte
434,Tor::N,ортат,porte
435,Tor::N,ортат,portail
436,Zaun::N,пирявт,clôture
437,Zaun::N,пирвякс,clôture
