,Concept_ID,uz,uk
0,Auge::N,ko'z,око
1,Ohr::N,quloq,вухо
2,Nase::N,burun,ніс
3,Mund::N,og'iz,рот
4,Zahn::N,tish,зуб
5,Zunge::N,til,язик
6,Lippe::N,dudoq,губа
7,Wange::N,bet,щока
8,Gesicht::N,yuz,обличчя
9,Stirn::N,manglay,лоб
10,Haar::N,soch,волосся
11,Schnurrbart::N,mo'ylov,вуса
12,Bart::N,soqol,борода
13,Kinn::N,ängak,підборіддя
14,Kiefer[Anatomie]::N,iyak,щелепа
15,Kehle::N,bo'g'iz,горло
16,Hals::N,bo'yin,шия
17,Genick::N,gardan,потилиця
18,Kopf::N,bosh,голова
19,Rücken::N,orqa,спина
20,Bauch::N,qorin,живіт
21,Nabel::N,kindik,пупок
22,Busen::N,ämchak,груди
23,Brust::N,ko'krak,груди
24,Schulter::N,elka,плече
25,Arm::N,bilak,рука
26,Ellenbogen::N,tirsak,лікоть
27,Hand::N,qo'l,рука
28,Handfläche::N,kaft,долоня
29,Finger::N,barmoq,палець
30,Fingernagel::N,tirnoq,ніготь
31,Nagel[Anatomie]::N,tirnoq,ніготь
32,Zeh::N,oyoq barmog'i,палець на нозі
33,Fuß::N,oyoq,нога
34,Ferse::N,tovon,п’ятка
35,Knie::N,tiz,коліно
36,Oberschenkel::N,son,стегно
37,Bein::N,oyoq,нога
38,Körper::N,badna,тіло
39,Haut::N,teri,шкіра
40,Blut::N,qon,кров
41,Ader::N,qon tomir,вена
42,Sehne::N,tomir,сухожилля
43,Knochen::N,suyak,кістка
44,Gehirn::N,miya,мозок
45,Herz::N,qalb,серце
46,Magen::N,oshqozon,шлунок
47,Leber::N,bag'ir,печінка
48,Atem::N,dam,дихання
49,Hunger::N,ochlik,голод
50,Träne::N,yosh,сльоза
51,Geschmack::N,tam,смак
52,Geruch::N,jid,запах
53,Schlaf::N,uyqu,сон
54,Schlaf::N,uyqu,сплячка
55,Traum::N,tush,сон
56,Himmel::N,osmon,небо
57,Sonne::N,quyosh,сонце
58,Mond::N,oy,місяць
59,Stern::N,yulduz,зірка
60,Luft::N,havo,повітря
61,Wind::N,el,вітер
62,Welle::N,to'lqin,хвиля
63,Wasser::N,suv,вода
64,Stein::N,tosh,камінь
65,Boden::N,tuproq,ґрунт
66,Erde::N,er,земля
67,Staub::N,chang,пил
68,Rauch::N,tutun,дим
69,Funke::N,yalt,іскра
70,Feuer::N,o't,вогонь
71,Licht::N,yorug',світло
72,Schatten::N,soya,тінь
73,Wetter::N,havo,погода
74,Nebel::N,tuman,туман
75,Wolke::N,bulut,хмара
76,Regen::N,yomg'ir,дощ
77,Schnee::N,qor,сніг
78,Eis::N,muz,лід
79,Frost::N,ajoz,мороз
80,Kälte::N,ajoz,холод
81,Hitze::N,issiq,жар
82,Raureif::N,qirov,іній
83,Regenbogen::N,kamalak,райдуга
84,Donner::N,guldur,грім
85,Strömung::N,oqim,струмина
86,Tropfen::N,tomchi,крапля
