,Concept_ID,kl,ja
0,Auge::N,isi,目
1,Ohr::N,siut,耳
2,Mund::N,paaq,口
3,Mund::N,qaneq,口
4,Zahn::N,kigut,歯
5,Zunge::N,oqaq,舌
6,Lippe::N,qarloq,唇
7,Wange::N,ersaq,頬
8,Gesicht::N,kiinaq,顔
9,Stirn::N,qaaq,額
10,Haar::N,meqqoq,髪
11,Bart::N,umik,髭
12,Kinn::N,talloq,顎
13,Kiefer[Anatomie]::N,alleroq,顎
14,Kehle::N,malaq,喉
15,Hals::N,qungaseq,首
16,Genick::N,pukusuk,首
17,Kopf::N,niaqoq,頭
18,Rücken::N,qimerlut,背中
19,Bauch::N,naaq,腹
20,Bauch::N,naaq,お腹
21,Nabel::N,qalaseq,へそ
22,Busen::N,iviangeq,乳房
23,Brust::N,iviangeq,胸
24,Schulter::N,ersik,肩
25,Schulter::N,assaqqoq,肩
26,Arm::N,taleq,腕
27,Ellenbogen::N,ikusik,肘
28,Hand::N,assak,手
29,Handfläche::N,itumak,手のひら
30,Finger::N,inuak,指
31,Fingernagel::N,kikiak,爪
32,Nagel[Anatomie]::N,kukik,爪
33,Zeh::N,isigak,足の指
34,Ferse::N,kimmik,かかと
35,Knie::N,seeqqoq,膝
36,Oberschenkel::N,uppat,上腿
37,Oberschenkel::N,quttoraq,上腿
38,Bein::N,isigak,足
39,Körper::N,timi,体
40,Haut::N,mattak,皮膚
41,Blut::N,aak,血
42,Ader::N,taqaq,血管
43,Sehne::N,ujalu,腱
44,Sehne::N,ujaloq,腱
45,Knochen::N,saanikut,骨
46,Gehirn::N,qarasaq,脳
47,Herz::N,uummat,心
48,Herz::N,uummat,心臓
49,Magen::N,aqajaroq,胃
50,Leber::N,tinguk,肝臓
51,Atem::N,anerneq,息
52,Atem::N,anerneq,呼吸
53,Hunger::N,kaanneq,空腹
54,Träne::N,qia,涙
55,Träne::N,qiak,涙
56,Geschmack::N,qilanaartuut,味
57,Geruch::N,tipi,匂い
58,Geruch::N,tipik,匂い
59,Traum::N,sinnattoq,夢
60,Traum::N,sinnattugaq,夢
61,Himmel::N,qilak,空
62,Sonne::N,seqineq,太陽
63,Mond::N,qaammat,月
64,Stern::N,ulloriaq,星
65,Luft::N,silaannaq,空気
66,Wind::N,anori,風
67,Wind::N,anorsarik,風
68,Welle::N,aalappaa,波
69,Wasser::N,imeq,水
70,Stein::N,ujarak,石
71,Boden::N,nateq,土地
72,Erde::N,issoq,土
73,Staub::N,pujualanerit,埃
74,Staub::N,pujoralanerit,埃
75,Rauch::N,iseq,煙
76,Rauch::N,pujoq,煙
77,Funke::N,illoorneq,火花
78,Feuer::N,inneq,火
79,Licht::N,qaamaneq,光
80,Schatten::N,tarraq,陰
81,Wetter::N,sila,天気
82,Nebel::N,pujoq,霧
83,Wolke::N,nuia,雲
84,Regen::N,sialuk,雨
85,Schnee::N,aput,雪
86,Eis::N,siku,氷
87,Frost::N,issi,霜
88,Frost::N,issik,霜
89,Kälte::N,issi,寒さ
90,Hitze::N,kianneq,暑さ
91,Hitze::N,kiassuseq,暑さ
92,Raureif::N,kaneq,霧氷
93,Regenbogen::N,neriusaaq,虹
94,Donner::N,kalleq,雷
95,Tropfen::N,kuseriarneq,滴
96,Schaum::N,qapuk,泡
97,Schmutz::N,minguk,汚れ
98,See::N,taseq,湖
99,Sumpf::N,maqulluk,沼
100,Wiese::N,masarsuk,草原
101,Hügel::N,qattuneq,丘
102,Hügel::N,majuariaq,丘
103,Hügel::N,majorajaaq,丘
104,Hügel::N,qaqqannguaq,丘
105,Berg::N,qaqqaq,山
106,Höhle::N,qaarusuk,洞窟
107,Abhang::N,ippik,斜面
108,Abhang::N,sivinganeq,斜面
109,Abhang::N,sivingajaaq,斜面
110,Abhang::N,kussangajaaq,斜面
111,Bach::N,kuunnguaq,小川
112,Fluss::N,kuuk,川
113,Ufer::N,sissap sinaa,岸
114,Küste::N,sineriak,海岸
115,Meer::N,imaq,海
116,Bucht::N,ikeq,湾
117,Bucht::N,kangerluk,湾
118,Bucht::N,kangerliumaneq,湾
119,Insel::N,qeqertaq,島
120,Blume::N,naasoq,花
121,Gras::N,ivigaq,草
122,Wurzel::N,niulutaq,根
123,Baum::N,orpik,木
124,Stamm::N,kanaartaq,幹
125,Rinde::N,ameraq,皮層
126,Ast::N,avalequt,枝
127,Zweig::N,avalequt,小枝
128,Blatt::N,pilutaq,葉
129,Birke::N,patitsit,樺
130,Weide[Baum]::N,palleq,柳
131,Tanne::N,orsuerneq,樅
132,Horn::N,nassuk,角
133,Feder::N,suluk,羽根
134,Fell::N,ameq,毛皮
135,Flügel::N,suluk,羽
136,Flügel::N,isaroq,羽
137,Klaue::N,kukik,鉤爪
138,Kralle::N,kukik,爪
139,Schwanz::N,pamioq,尻尾
140,Schwanz::N,paperuusaq,尻尾
141,Ei::N,mannik,卵
142,Nest::N,ullut,巣
143,Bau::N,ini,穴
144,Tier::N,uumasoq,動物
145,Herde::N,unguukkat,群れ
146,Kuh::N,ussik,牛
147,Bulle::N,angukulak,雄牛
148,Bulle::N,anguteralak,雄牛
149,Bulle::N,angutikulooq,雄牛
150,Schaf::N,sava,羊
151,Schwein::N,puuluki,豚
152,Hund::N,qimmeq,犬
153,Katze::N,puisaaq,猫
154,Bär::N,allaq,熊
155,Eichhörnchen::N,sissinnguaq,栗鼠
156,Fuchs::N,terianniaq,狐
157,Hase::N,ukaleq,兎
158,Maus::N,teriannguaq,鼠
159,Wolf::N,amaroq,狼
160,Vogel::N,timmiaq,鳥
161,Huhn::N,kukkukooq,鶏
162,Huhn::N,marloraaqaaq,鶏
163,Hahn::N,kiasiusaq,雄鶏
164,Gans::N,nerleq,ガチョウ
165,Adler::N,nattoralik,鷲
166,Eule::N,uppik,フクロウ
167,Kranich::N,qorlorfik,鶴
168,Krähe::N,tuluatsiaq,烏
169,Kuckuck::N,kukkooq,郭公
170,Schwan::N,qussuk,白鳥
171,Fisch::N,aalisagaq,魚
172,Schlange[Tier]::N,pulateriarsuk,蛇
173,Schlange[Tier]::N,pulateriaarsuk,蛇
174,Spinne::N,aasiaq,蜘蛛
175,Spinne::N,nissavaarsuk,蜘蛛
176,Ameise::N,uniaaluk,蟻
177,Laus::N,kumak,虱
178,Mücke::N,ippernaq,蚊
179,Fliege::N,ippernaq,蝿
180,Schmetterling::N,paluaq,蝶
181,Schmetterling::N,pakkaluaq,蝶
182,Schmetterling::N,utsuppaluaq,蝶
183,Schmetterling::N,taqaleqisaaq,蝶
184,Beere::N,paarmaq,漿果
185,Beere::N,paarngaq,漿果
186,Apfel::N,iipili,林檎
187,Pilz::N,anngiusaq,茸
188,Zwiebel::N,uanitsoq,玉葱
189,Saat::N,naatsiiassaq,種
190,Korn::N,maannineq,粒
191,Schale::N,niutsivik,皮
192,Schale::N,ilulissaq qaartussaq,皮
193,Grube::N,itersaq,穴
194,Falle::N,pualavoq,わな
195,Schlinge::N,orseq,輪
196,Schlinge::N,norloq,輪
197,Spur::N,tumaa,跡
198,Asche::N,arsat,灰
199,Dreck::N,minguk,泥
200,Eisen::N,savimineq,鉄
201,Eisen::N,saffiugassaq,鉄
202,Gold::N,kuulti,金
203,Silber::N,siilviuvoq,銀
204,Kohle::N,aamarsuit aamaruutissat,炭
205,Glas::N,igalaaq,ガラス
206,Glas::N,imertarfik,ガラス
207,Glas::N,igalaamineq,ガラス
208,Lehm::N,marraq,ローム
209,Sand::N,sioqqat,砂
210,Mensch::N,inuk,人
211,Mensch::N,silamiu,人
212,Mann::N,angut,男
213,Mann::N,angut,男性
214,Frau::N,arnaq,女
