,Concept_ID,ca,et
195,Fisch::N,peix,kala
196,Barsch::N,perca,ahven
197,Hecht::N,lluç,haug
198,Schlange[Tier]::N,serp,uss
199,Wurm::N,cuc,uss
200,Wurm::N,cuc,vagel
201,Spinne::N,aranya,ämblik
202,Ameise::N,formiga,sipelgas
203,Laus::N,poll,täi
204,Mücke::N,mosquit,sääsk
205,Fliege::N,mosca,kärbes
206,Schmetterling::N,papallona,liblikas
207,Beere::N,baia,mari
208,Apfel::N,poma,õun
209,Pilz::N,bolet,seen
210,Zwiebel::N,ceba,sibul
211,Saat::N,sembra,seeme
212,Korn::N,gra,iva
213,Korn::N,gra,tera
214,Heu::N,fenc,hein
215,Schale::N,closca,koor
216,Grube::N,sot,kaevand
217,Grube::N,clot,kaevand
218,Falle::N,trampa,lõks
219,Falle::N,trampa,püünis
220,Schlinge::N,baga,aas
221,Spur::N,traça,jälg
222,Asche::N,cendra,tuhk
223,Dreck::N,llot,saast
224,Dreck::N,llot,mustus
225,Eisen::N,ferro,raud
226,Gold::N,or,kuld
227,Silber::N,plata,hõbe
228,Kohle::N,carbó,süsi
229,Glas::N,vidre,klaas
230,Lehm::N,fang,savi
231,Lehm::N,argila,savi
232,Sand::N,arena,liiv
233,Mensch::N,humà,inimene
234,Mensch::N,persona,inimene
235,Mann::N,home,mees
236,Frau::N,dona,naine
237,Kind::N,nen,laps
238,Junge::N,noi,poiss
239,Mädchen::N,noia,tüdruk
240,Familie::N,família,perekond
241,Großvater::N,avi,vanaisa
242,Großmutter::N,àvia,vanaema
243,Eltern::N,pares,vanemad
244,Vater::N,pare,isa
245,Mutter::N,mare,ema
246,Sohn::N,fill,poeg
247,Tochter::N,filla,tütar
248,Bruder::N,germà,vend
249,Schwester::N,germana,õde
250,Onkel::N,oncle,onu
251,Tante::N,tia,tädi
252,Ehemann::N,espòs,mees
253,Ehemann::N,espòs,abikaasa
254,Ehefrau::N,muller,naine
255,Ehefrau::N,muller,abikaasa
256,Freude::N,goig,rõõm
257,Freude::N,alegria,rõõm
258,Gelächter::N,riallada,naer
259,Glück::N,felicitat,õnn
260,Kummer::N,pena,mure
261,Kummer::N,pena,kurbus
262,Wunsch::N,desig,soov
263,Lust::N,ganes,himu
264,Geist::N,ment,vaim
265,Geist::N,esperit,vaim
266,Gedanke::N,pensament,mõte
267,Gedächtnis::N,memòria,mälu
268,Verstand::N,raó,aru
269,Verstand::N,raó,mõistus
270,Verstand::N,seny,aru
271,Verstand::N,seny,mõistus
272,Sinn::N,solta,tähendus
273,Sinn::N,sentit,tähendus
274,Grund::N,raó,põhjus
275,Grund::N,causa,põhjus
276,Wahrheit::N,veritāt,tõde
277,Gespräch::N,conversa,kõne
278,Gespräch::N,conversa,vestlus
279,Märchen::N,conte,muinasjutt
280,Erzählung::N,narració,jutustus
281,Nachricht::N,missatge,teade
282,Neuigkeit::N,novetat,uudis
283,Name::N,nom,nimi
284,Rätsel::N,endevinalla,mõistatus
285,Rede::N,discurs,kõne
286,Sprache::N,llēngua,keel
287,Stimme::N,veu,hääl
288,Wort::N,mot,sõna
289,Wort::N,paraula,sõna
290,Zeichen::N,signe,märk
291,Zeichen::N,senyal,märk
292,Ruf::N,crida,hüüe
293,Lärm::N,sorōll,müra
294,Laut::N,so,hääl
295,Ton::N,to,toon
296,Lied::N,cançó,laul
297,Ruhe::N,calma,rahu
298,Ruhe::N,calma,vaikus
299,Ruhe::N,silenci,rahu
300,Ruhe::N,silenci,vaikus
301,Leute::N,gent,inimesed
302,Volk::N,poble,rahvas
303,Arbeit::N,labor,töö
304,Arbeit::N,treball,töö
305,Gast::N,hoste,külaline
306,Geschenk::N,regal,kingitus
