,Concept_ID,it,sv
0,Auge::N,occhio,öga
1,Ohr::N,orecchio,öra
2,Nase::N,naso,näsa
3,Mund::N,bocca,mun
4,Zahn::N,dente,tand
5,Zunge::N,lingua,tunga
6,Lippe::N,labbro,läpp
7,Wange::N,guancia,kind
8,Gesicht::N,viso,syn
9,Gesicht::N,viso,ansikte
10,Gesicht::N,faccia,syn
11,Gesicht::N,faccia,ansikte
12,Stirn::N,fronte,panna
13,Haar::N,capello,hår
14,Schnurrbart::N,baffi,mustasch
15,Schnurrbart::N,mustacchi,mustasch
16,Bart::N,barba,skägg
17,Kinn::N,mento,haka
18,Kiefer[Anatomie]::N,mascella,käke
19,Kehle::N,gola,strupe
20,Hals::N,collo,hals
21,Genick::N,nuca,nacke
22,Kopf::N,capo,huvud
23,Kopf::N,testa,huvud
24,Rücken::N,dorso,rygg
25,Rücken::N,schiena,rygg
26,Bauch::N,ventre,buk
27,Bauch::N,ventre,mage
28,Nabel::N,ombelico,navel
29,Busen::N,seno,barm
30,Brust::N,petto,bröst
31,Schulter::N,spalla,skuldra
32,Arm::N,braccio,arm
33,Ellenbogen::N,gomito,armbåge
34,Hand::N,mano,hand
35,Handfläche::N,palma,handflata
36,Finger::N,dito,finger
37,Fingernagel::N,unghia,fingernagel
38,Nagel[Anatomie]::N,unghia,nagel
39,Zeh::N,dito del piede,tå
40,Fuß::N,piede,fot
41,Ferse::N,tallone,häl
42,Ferse::N,calcagno,häl
43,Knie::N,ginocchio,knä
44,Oberschenkel::N,fèmore,lår
45,Bein::N,gamba,ben
46,Körper::N,corpo,kropp
47,Haut::N,pelle,hud
48,Haut::N,pelle,skinn
49,Blut::N,sangue,blod
50,Ader::N,vena,åder
51,Sehne::N,tèndine,sena
52,Knochen::N,osso,ben
53,Gehirn::N,cervello,hjärna
54,Herz::N,cuore,hjärta
55,Magen::N,stòmaco,mage
56,Leber::N,fegato,lever
57,Atem::N,fiato,anda
58,Atem::N,fiato,andedräkt
59,Atem::N,respiro,anda
60,Atem::N,respiro,andedräkt
61,Hunger::N,fame,svält
62,Hunger::N,fame,hunger
63,Träne::N,làcrima,tår
64,Geschmack::N,gusto,smak
65,Geschmack::N,sapore,smak
66,Geruch::N,odore,lukt
67,Schlaf::N,sonno,sömn
68,Traum::N,sogno,dröm
69,Himmel::N,cielo,himmel
70,Sonne::N,sole,sol
71,Mond::N,luna,måne
72,Stern::N,stella,stjärna
73,Luft::N,aria,luft
74,Wind::N,vento,vind
75,Welle::N,onda,våg
76,Welle::N,onda,bölja
77,Wasser::N,acqua,vatten
78,Stein::N,sasso,sten
79,Stein::N,pietra,sten
80,Boden::N,suolo,mark
81,Boden::N,terreno,mark
82,Erde::N,terra,jord
83,Staub::N,polvere,damm
84,Rauch::N,fumo,rök
85,Funke::N,scintilla,gnista
86,Feuer::N,fuoco,eld
87,Licht::N,luce,ljus
88,Schatten::N,ombra,skugga
89,Wetter::N,tempo,väder
90,Nebel::N,nebbia,dimma
91,Nebel::N,nebbia,töcken
92,Wolke::N,nube,sky
93,Wolke::N,nube,moln
94,Wolke::N,nùvola,sky
95,Wolke::N,nùvola,moln
96,Regen::N,pioggia,regn
97,Schnee::N,neve,snö
98,Eis::N,ghiaccio,is
99,Frost::N,gelo,frost
100,Kälte::N,freddo,köld
101,Hitze::N,caldo,hetta
102,Hitze::N,calura,hetta
103,Raureif::N,brina,rimfrost
104,Regenbogen::N,arcobaleno,regnbåge
105,Donner::N,tuono,åska
106,Donner::N,tuono,dunder
107,Strömung::N,corrente,strömning
108,Tropfen::N,goccia,dropper
109,Schaum::N,spuma,skum
110,Schaum::N,schiuma,skum
111,Schmutz::N,sudiciume,lort
112,Schmutz::N,sudiciume,smuts
113,See::N,lago,sjö
114,Sumpf::N,palude,träsk
115,Moor::N,torbiera,myr
116,Moor::N,torbiera,mosse
117,Wiese::N,prato,äng
118,Wald::N,bosco,skog
119,Wald::N,foresta,skog
120,Hügel::N,colle,höjd
121,Hügel::N,colle,kulle
122,Hügel::N,collina,höjd
123,Hügel::N,collina,kulle
124,Anhöhe::N,altura,höjd
125,Anhöhe::N,altura,backe
126,Berg::N,monte,berg
127,Berg::N,monte,fjäll
128,Berg::N,montagna,berg
129,Berg::N,montagna,fjäll
130,Gipfel::N,cima,topp
131,Höhle::N,grotta,håla
132,Höhle::N,grotta,grotta
133,Höhle::N,caverna,håla
134,Höhle::N,caverna,grotta
135,Abhang::N,pendìo,slänt
136,Abhang::N,pendìo,sluttning
137,Quelle::N,sorgente,källa
138,Bach::N,ruscello,bäck
139,Fluss::N,fiume,älv
140,Fluss::N,fiume,flod
141,Ufer::N,riva,strand
142,Küste::N,costa,kust
143,Festland::N,terraferma,fastland
144,Meer::N,mare,hav
145,Bucht::N,cala,vik
146,Bucht::N,cala,bukt
147,Insel::N,ìsola,ö
148,Blume::N,fiore,blomma
149,Blume::N,fiore,blomster
150,Gras::N,erba,gräs
151,Wurzel::N,radice,rot
152,Baum::N,àlbero,träd
153,Stamm::N,tronco,stam
154,Rinde::N,corteccia,bark
155,Ast::N,ramo,gren
156,Zweig::N,ramo,kvist
157,Blatt::N,foglia,löv
158,Blatt::N,foglia,blad
159,Birke::N,betulla,björk
160,Kiefer[Baum]::N,pino,tall
161,Weide[Baum]::N,sàlice,pil
162,Weide[Baum]::N,sàlice,vide
163,Tanne::N,abete,gran
164,Horn::N,corno,horn
165,Feder::N,penna,fjäder
166,Fell::N,manto,fäll
167,Fell::N,manto,skinn
168,Fell::N,pelame,fäll
169,Fell::N,pelame,skinn
170,Flügel::N,ala,vinge
171,Klaue::N,grinfia,klöv
172,Kralle::N,unghia,klo
173,Kralle::N,artiglio,klo
174,Schwanz::N,coda,svans
175,Schwanz::N,coda,stjärt
176,Ei::N,uovo,ägg
177,Nest::N,nido,rede
178,Nest::N,nido,näste
179,Bau::N,covo,bo
180,Tier::N,bestia,djur
181,Tier::N,animale,djur
182,Herde::N,gregge,flock
183,Kuh::N,vacca,ko
184,Bulle::N,toro,tjur
185,Pferd::N,cavallo,häst
186,Schaf::N,pècora,får
187,Schwein::N,porco,svin
188,Schwein::N,maiale,svin
189,Hund::N,cane,hund
190,Katze::N,gatta,katt
191,Bär::N,orso,björn
192,Eichhörnchen::N,scoiàttolo,ekorre
193,Elch::N,alce,älg
194,Fuchs::N,volpe,räv
195,Hase::N,lepre,hare
196,Maus::N,topo,mus
197,Maus::N,sorcio,mus
198,Wolf::N,lupo,varg
199,Vogel::N,uccello,fågel
200,Schwarm::N,stormo,svärm
201,Huhn::N,gallina,höns
202,Hahn::N,gallo,tupp
203,Gans::N,oca,gås
204,Adler::N,àquila,örn
205,Ente::N,ànatra,anka
206,Eule::N,gufo,uggla
207,Eule::N,civetta,uggla
208,Kranich::N,gru,trana
209,Krähe::N,cornacchia,kråka
210,Kuckuck::N,cuccù,gök
211,Kuckuck::N,cùculo,gök
212,Schwan::N,cigno,svan
213,Fisch::N,pesce,fisk
214,Barsch::N,pèrsico,abborre
215,Hecht::N,luccio,gädda
216,Schlange[Tier]::N,serpente,orm
217,Wurm::N,baco,mask
218,Wurm::N,verme,mask
219,Spinne::N,ragno,spindel
220,Ameise::N,formica,myra
221,Laus::N,pidocchio,lus
222,Mücke::N,zanzara,mygga
223,Fliege::N,mosca,fluga
224,Schmetterling::N,farfalla,fjäril
225,Beere::N,bacca,bär
226,Apfel::N,mela,äpple
227,Pilz::N,fungo,svamp
228,Zwiebel::N,cipolla,lök
229,Saat::N,semente,sådd
230,Korn::N,grano,korn
231,Heu::N,fieno,hö
232,Schale::N,buccia,skal
233,Grube::N,cava,grop
234,Grube::N,fossa,grop
235,Falle::N,tràppola,fälla
236,Schlinge::N,laccio,snara
237,Spur::N,traccia,spår
238,Asche::N,cenere,aska
239,Dreck::N,fango,lort
240,Eisen::N,ferro,järn
241,Gold::N,oro,guld
242,Silber::N,argento,silver
243,Kohle::N,carbone,kol
244,Glas::N,vetro,glas
245,Lehm::N,argilla,lera
246,Sand::N,arena,sand
247,Sand::N,sabbia,sand
248,Mensch::N,uomo,människa
249,Mensch::N,èssere umano,människa
250,Mann::N,uomo,man
251,Frau::N,donna,kvinna
252,Kind::N,bambino,barn
253,Junge::N,ragazzo,pojke
254,Mädchen::N,ragazza,flicka
255,Familie::N,famiglia,familj
256,Großvater::N,nonno,morfar
257,Großmutter::N,nonna,farmor
258,Eltern::N,genitori,föräldrar
259,Vater::N,padre,far
260,Mutter::N,madre,mor
261,Sohn::N,figlio,son
262,Tochter::N,figlia,dotter
263,Bruder::N,fratello,bror
264,Schwester::N,sorella,syster
265,Onkel::N,zio,morbror
