,Concept_ID,ady,mrj
0,Auge::N,нэ,сӹнзӓ
1,Ohr::N,тхьакӏу́м,пӹлӹш
2,Nase::N,пэ,нер
3,Mund::N,жэ,ышма
4,Zahn::N,цэ,пӱ
5,Zunge::N,бзэгу,йӹлмӹ
6,Lippe::N,ӏупшӏэ́,тӹрвӹ
7,Wange::N,нэкӏу́шъу,шӹргӹ
8,Gesicht::N,нэ́гу,лицӓ
9,Stirn::N,натӏэ́,лепкӓ
10,Haar::N,шъхьацы́,ӱп
11,Bart::N,жакӏэ́,пандаш
12,Kinn::N,жэкӏэпэпкъ,онгылаш
13,Kiefer[Anatomie]::N,жэпкъы́,пӱ арата
14,Kehle::N,чый,логер
15,Hals::N,пшъэ,шӱ
16,Genick::N,шъхьэпхэтыку,ланга
17,Kopf::N,шъхьэ́,вуй
18,Rücken::N,кӏыбы́,туп
19,Bauch::N,ныбэ́,мӹшкӹр
20,Busen::N,бгъэ́,цӹзӹ
21,Brust::N,бгъэ́,мел
22,Schulter::N,блыпкъ,ӹнгӹжӓ
23,Arm::N,ӏэ,кид
24,Ellenbogen::N,ӏэнтэ́гъу,кӹнервуй
25,Hand::N,ӏэтхьэцу,лапа
26,Handfläche::N,ӏэ́гу,кид лапа
27,Finger::N,ӏэхъуа́мб,парня
28,Fingernagel::N,ӏэбжъа́н,кӹч
29,Nagel[Anatomie]::N,ӏэбжъа́н,кӹч
30,Zeh::N,ӏэхъуа́мб,парня
31,Fuß::N,лъэгу,ял лапа
32,Ferse::N,лъэдакъэ,ялгавал
33,Ferse::N,лъэдакъэ,ял кавал
34,Knie::N,лъагуа́ндж,пылвуй
35,Oberschenkel::N,ко,ӓрдӹ
36,Bein::N,лъакъо́,ял
37,Körper::N,пкъышъол,монгыр
38,Haut::N,кӏы́шъу,кавашты
39,Blut::N,лъы,вӹр
40,Ader::N,льытф,вӹршӓр
41,Sehne::N,фэ,кукшышӱн
42,Knochen::N,къупшъхьэ́,лу
43,Gehirn::N,куцӏы,вим
44,Herz::N,гу,шӱм
45,Magen::N,мышкӏу,шӱм
46,Leber::N,шӏу,мокш
47,Atem::N,къэщэныр,шӱлӹш
48,Hunger::N,гъаблэ́,шужымаш
49,Träne::N,нэпсы,сӹнзӓвӹд
50,Geschmack::N,ӏэшӏугъа́кӏ,тот
51,Geruch::N,мэ,пыш
52,Schlaf::N,пчыхьы́пӏ,ом
53,Traum::N,пчыхьы́пӏ,ом
54,Himmel::N,уашъо́,пӹлгом
55,Sonne::N,тыгъэ,кечӹ
56,Mond::N,мазэ,тӹлзӹ
57,Stern::N,жъуагъо́,шӹдӹр
58,Luft::N,жьы,юж
59,Luft::N,жьы,воздух
60,Wind::N,жьыбгъэ́,мардеж
61,Welle::N,ор,ко
62,Welle::N,ор,коэ
63,Welle::N,оры,ко
64,Welle::N,оры,коэ
65,Wasser::N,псы,вӹд
66,Stein::N,мыжъо́,кӱ
67,Boden::N,чӏ́ыгу,рок
68,Erde::N,чӏ́ыгу,свет
69,Staub::N,сап,пырак
70,Rauch::N,ӏугъо́,шӹкш
71,Funke::N,мэшӏуа́ч,ип
72,Funke::N,мэшӏуа́ч,тылип
73,Feuer::N,машӏо́,тыл
74,Licht::N,нэфы,соты
75,Licht::N,нэфы,валгыды
76,Licht::N,нэфын,соты
77,Licht::N,нэфын,валгыды
78,Schatten::N,жьау́,ӹмӹл
79,Schatten::N,ныбжьыкъу,ӹмӹл
80,Nebel::N,пща́гъу,тӹтӹрӓ
81,Wolke::N,ошъуапщэ,пӹл
82,Regen::N,ощхы,юр
83,Schnee::N,осы́,лым
84,Eis::N,мылы,и
85,Kälte::N,чъыӏэ́,ӱштӹ
86,Hitze::N,фэба́е,шокшы
87,Regenbogen::N, лэгъупэкъо́пс,шанавӹл
88,Donner::N,шыблэ́,хӹдӹртӹш
89,Strömung::N,ток,йогы
90,Tropfen::N,ткӏопс,капльы
91,Tropfen::N,ткӏопс,капльык
92,Tropfen::N,гъуаткӏу,капльы
93,Tropfen::N,гъуаткӏу,капльык
94,Schaum::N,тхъурбэ,шонг
95,Schmutz::N,псынжъы,лявӹрӓ
96,See::N,хыку́м,йӓр
97,See::N,псыхъура́й,йӓр
98,Sumpf::N,орыжъ,лӱкӹ
99,Moor::N,орыжъ,куп
100,Wiese::N,хъупӏэ́,алык
101,Wiese::N,мэкъупӏ,алык
102,Wald::N,мэзы́,шӹргӹ
103,Hügel::N,ӏуашъхь,пӱгӹрикӓ
104,Anhöhe::N,чӏыӏэтыгъ,кӱкшикӓ
105,Berg::N,къушъхьэ́,кырык
106,Gipfel::N,шыгу,неркӓ
107,Höhle::N,гъочӏэгъ,ы́раж
108,Abhang::N,чапэ,полом
