,Concept_ID,kk,kn
0,Auge::N,көз,ಕಣ್ಣು
1,Ohr::N,құлақ,ಕಿವಿ
2,Nase::N,мұрын,ಮೂಗು
3,Mund::N,ауыз,ಬಾಯಿ
4,Zahn::N,тіс,ಹಲ್ಲು
5,Zunge::N,тіл,ನಾಲಿಗೆ
6,Lippe::N,ерін,ತುಟಿ
7,Wange::N,ұрт,ಗಲ್ಲ
8,Gesicht::N,бет-аузы,ಮುಖ
9,Stirn::N,маңдай,ಹಣೆ
10,Haar::N,қыл,ಕೂದಲು
11,Schnurrbart::N,мұрт,ಮೀಸೆ
12,Bart::N,сақал,ಗಡ್ಡ
13,Kinn::N,иек,ಗದ್ದ
14,Kiefer[Anatomie]::N,жақ,ದವಡೆ
15,Kehle::N,алқым,ಗಂಟಲು
16,Hals::N,мойын,ಕೊರಳು
17,Genick::N,желке,ಹಿಂಗತ್ತು
18,Kopf::N,кәллә,ತಲೆ
19,Rücken::N,арқа,ಬೆನ್ನು
20,Bauch::N,қарын,ಹೊಟ್ಟೆ
21,Nabel::N,кіндік,ಹೊಕ್ಕುಳು
22,Busen::N,омырау,ಸ್ತನ
23,Brust::N,кеуде,ಎದೆ
24,Schulter::N,иық,ಭುಜ
25,Arm::N,қол,ತೋಳು
26,Ellenbogen::N,шынтақ,ಮೊಣಕೈ
27,Hand::N,қол,ಕೈ
28,Handfläche::N,алақан,ಅಂಗೈ
29,Finger::N,саусақ,ಕೈಬೆರಳು
30,Fingernagel::N,тырнақ,ಉಗುರು
31,Nagel[Anatomie]::N,тырнақ,ಉಗುರು
32,Zeh::N,тырнақ,ಕಾಲ್ಬೆರಳು
33,Zeh::N,тұяқ,ಕಾಲ್ಬೆರಳು
34,Fuß::N,аяқ-басы,ಪಾದ
35,Ferse::N,өкше,ಹಿಮ್ಮಡಿ
36,Ferse::N,өкшелік,ಹಿಮ್ಮಡಿ
37,Knie::N,тізе,ಮಂಡಿ
38,Oberschenkel::N,жамбас,ತೊಡೆ
39,Bein::N,аяқ,ಕಾಲು
40,Körper::N,дене,ದೇಹ
41,Haut::N,тері,ಚರ್ಮ
42,Blut::N,қан,ರಕ್ತ
43,Ader::N,көктамыр,ನರ
44,Ader::N,күретамыр,ನರ
45,Sehne::N,сіңір,ನರ
46,Knochen::N,жілік,ಮೂಳೆ
47,Gehirn::N,ми,ಮಿದುಳು
48,Herz::N,жүрек,ಹೃದಯ
49,Magen::N,асқазан,ಉದರ
50,Leber::N,бауыр,ಯಕೃತ್ತು
51,Atem::N,леп,ಉಸಿರು
52,Hunger::N,ашаршылық,ಹಸಿವು
53,Träne::N,жас,ಕಣ್ಣೀರು
54,Geschmack::N,дәм,ರುಚಿ
55,Geschmack::N,татым,ರುಚಿ
56,Geschmack::N,талғам,ರುಚಿ
57,Geruch::N,иіс,ವಾಸನೆ
58,Schlaf::N,ұйқы,ನಿದ್ರೆ
59,Schlaf::N,ұйықтау,ನಿದ್ರೆ
60,Traum::N,түс,ಕನಸು
61,Himmel::N,аспан,ಬಾನು
62,Himmel::N,көқ,ಬಾನು
63,Himmel::N,таңдай,ಬಾನು
64,Sonne::N,күн,ಸೂರ್ಯ
65,Mond::N,ай,ಚಂದ್ರ
66,Stern::N,жұлдыз,ಚುಕ್ಕಿ
67,Luft::N,әуе,ವಾಯು
68,Wind::N,жел,ಗಾಳಿ
69,Welle::N,толқын,ಅಲೆ
70,Wasser::N,су,ನೀರು
71,Stein::N,тас,ಕಲ್ಲು
72,Boden::N,қыртыс,ನೆಲ
73,Erde::N,топырақ,ಭೂಮಿ
74,Staub::N,шаң,ದೂಳು
75,Rauch::N,түтін,ಹೊಗೆ
76,Funke::N,ұшқын,ಕಿಡಿ
77,Feuer::N,алау,ಬೆಂಕಿ
78,Licht::N,шұғыла,ಬೆಳಕು
79,Schatten::N,көлеңке,ನೆರಳು
80,Wetter::N,ауа райы,ಹವ
81,Nebel::N,тұман,ಮಂಜು
82,Wolke::N,бұлт,ಮೋಡ
83,Regen::N,жаңбыр,ಮಳೆ
84,Schnee::N,қар,ಹಿಮ
85,Eis::N,мұз,ಮಂಜುಗಡ್ಡೆ
86,Frost::N,суық,ಮಂಜು
87,Kälte::N,ызғар,ಹಿಮ
88,Kälte::N,суықтық,ಹಿಮ
89,Hitze::N,аптап,ಉಷ್ಣ
90,Raureif::N,қырау,ಇಬ್ಬನಿ
91,Regenbogen::N,кемпірқосақ,ಇಂದ್ರಚಾಪ
92,Donner::N,күн күркіреу,ಗುಡುಗು
93,Strömung::N,ағын,ಪ್ರವಾಹ
94,Tropfen::N,тамшы,ತೊಟ್ಟು
95,Schaum::N,көбік,ನೊರೆ
96,Schmutz::N,кір,ಕಸ
97,See::N,көл,ಸರೋವರ
98,Sumpf::N,саз,ಜೌಗುಸ್ಥಳ
99,Moor::N,саз,ಬಂಜರು ಭೂಮಿ
100,Wiese::N,шалғын,ಹುಲ್ಲುಗಾವಲು
101,Wald::N,орман,ಕಾಡು
102,Hügel::N,төбе,ಗುಡ್ಡೆ
103,Hügel::N,белес,ಗುಡ್ಡೆ
104,Hügel::N,белес-белес,ಗುಡ್ಡೆ
105,Anhöhe::N,дөң,ದಿಬ್ಬ
106,Anhöhe::N,адыр,ದಿಬ್ಬ
107,Anhöhe::N,қырат,ದಿಬ್ಬ
108,Berg::N,тау,ಮಲೆ
109,Berg::N,тау,ಪರ್ವತ
110,Gipfel::N,төбе,ಶೃಂಗ
111,Höhle::N,үңгір,ಗುಹೆ
112,Abhang::N,бауыр,ಇಳಿಜಾರು
113,Quelle::N,қайнар,ಮೂಲ
114,Bach::N,жылға,ತೊರೆ
115,Fluss::N,өзен,ನದಿ
116,Ufer::N,жиек,ತೀರ
