,Concept_ID,,fr
0,Auge::N,,œil
1,Ohr::N,,oreille
2,Nase::N,,nez
3,Mund::N,,bouche
4,Zahn::N,,dent
5,Zunge::N,,langue
6,Lippe::N,,lèvre
7,Wange::N,,joue
8,Gesicht::N,,face
9,Gesicht::N,,visage
10,Stirn::N,,front
11,Haar::N,,cheveu
12,Schnurrbart::N,,moustache
13,Bart::N,,barbe
14,Kinn::N,,menton
15,Kiefer[Anatomie]::N,,mâchoire
16,Kehle::N,,gorge
17,Hals::N,,cou
18,Genick::N,,nuque
19,Kopf::N,,tête
20,Rücken::N,,dos
21,Bauch::N,,ventre
22,Nabel::N,,nombril
23,Busen::N,,sein
24,Brust::N,,poitrine
25,Schulter::N,,épaule
26,Arm::N,,bras
27,Ellenbogen::N,,coude
28,Hand::N,,main
29,Handfläche::N,,paume
30,Finger::N,,doigt
31,Fingernagel::N,,ongle
32,Nagel[Anatomie]::N,,ongle
33,Zeh::N,,orteil
34,Zeh::N,,doigt de pied
35,Fuß::N,,pied
36,Ferse::N,,talon
37,Knie::N,,genou
38,Oberschenkel::N,,cuisse
39,Bein::N,,jambe
40,Körper::N,,corps
41,Haut::N,,peau
42,Blut::N,,sang
43,Ader::N,,veine
44,Sehne::N,,tendon
45,Knochen::N,,os
46,Gehirn::N,,cerveau
47,Herz::N,,cœur
48,Magen::N,,estomac
49,Leber::N,,foie
50,Atem::N,,haleine
51,Hunger::N,,faim
52,Träne::N,,larme
53,Geschmack::N,,goût
54,Geschmack::N,,saveur
55,Geruch::N,,odeur
56,Schlaf::N,,sommeil
57,Traum::N,,songe
58,Himmel::N,,ciel
59,Sonne::N,,soleil
60,Mond::N,,lune
61,Stern::N,,étoile
62,Luft::N,,air
63,Wind::N,,vent
64,Welle::N,,vague
65,Wasser::N,,eau
66,Stein::N,,pierre
67,Boden::N,,sol
68,Boden::N,,terrain
69,Erde::N,,terre
70,Staub::N,,poussière
71,Rauch::N,,fumée
72,Funke::N,,étincelle
73,Feuer::N,,feu
74,Licht::N,,lumière
75,Schatten::N,,ombre
76,Wetter::N,,temps
77,Nebel::N,,brume
78,Nebel::N,,brouillard
79,Wolke::N,,nuage
80,Regen::N,,pluie
81,Schnee::N,,neige
82,Eis::N,,glace
83,Frost::N,,gel
84,Frost::N,,gelée
85,Kälte::N,,froid
86,Hitze::N,,chaleur
87,Raureif::N,,givre
88,Regenbogen::N,,arc-en-ciel
89,Donner::N,,tonnerre
