,Concept_ID,ga,hi
0,Auge::N,súil,आँख
1,Auge::N,súil,चक्षु
2,Ohr::N,cluas,कान
3,Ohr::N,cluas,कर्ण
4,Nase::N,soc,नाक
5,Nase::N,soc,नासा
6,Mund::N,béal,मुख
7,Mund::N,béal,मुँह
8,Zahn::N,fiacail,दंत
9,Zahn::N,fiacail,दाँत
10,Zunge::N,teanga,जीभ
11,Zunge::N,teanga,ज़बान
12,Zunge::N,teanga,जिह्वा
13,Lippe::N,liopa,ओंठ
14,Lippe::N,liopa,होंठ
15,Wange::N,grua,गाल
16,Wange::N,grua,कपोल
17,Wange::N,leiceann,गाल
18,Wange::N,leiceann,कपोल
19,Gesicht::N,éadan,मुँह
20,Gesicht::N,éadan,चेहरा
21,Gesicht::N,aghaidh,मुँह
22,Gesicht::N,aghaidh,चेहरा
23,Stirn::N,baithis,माथा
24,Stirn::N,baithis,मस्तक
25,Stirn::N,clár éadain,माथा
26,Stirn::N,clár éadain,मस्तक
27,Haar::N,gruaig,बाल
28,Schnurrbart::N,croiméal,मूँछें
29,Bart::N,féasóg,दाढ़ी
30,Kinn::N,smig,चिबुक
31,Kiefer[Anatomie]::N,giall,जबड़ा
32,Kehle::N,scornach,गला
33,Hals::N,muinéal,गला
34,Hals::N,muinéal,गरदन
35,Genick::N,baic,गरदन
36,Genick::N,baic,ग्रीवा
37,Kopf::N,ceann,सिर
38,Kopf::N,ceann,शीर्ष
39,Rücken::N,droim,पीठ
40,Bauch::N,bolg,उदर
41,Nabel::N,imleacán,नाभि
42,Nabel::N,imleacán,ढोंढी
43,Busen::N,cíoch,कुच
44,Busen::N,cíoch,स्तन
45,Brust::N,brollach,वक्ष
46,Schulter::N,gualainn,कंधा
47,Schulter::N,gualainn,स्कंध
48,Arm::N,lámh,बाँह
49,Arm::N,lámh,बाज़ू
50,Ellenbogen::N,uillinn,कुहनी
51,Hand::N,lámh,हाथ
52,Hand::N,lámh,हस्त
53,Handfläche::N,bos,हथेली
54,Finger::N,méar,उँगली
55,Finger::N,méar,अँगुली
56,Fingernagel::N,ionga,नख
57,Fingernagel::N,ionga,नाख़ून
58,Nagel[Anatomie]::N,ionga,नख
59,Nagel[Anatomie]::N,ionga,नाख़ून
60,Zeh::N,ladhar,उँगली
61,Zeh::N,ladhar,पाँव की उँगली
62,Fuß::N,cos,चरण
63,Fuß::N,cos,पाँव
64,Fuß::N,troigh,चरण
65,Fuß::N,troigh,पाँव
66,Ferse::N,sáil,एड़ी
67,Knie::N,glúin,जानु
68,Knie::N,glúin,घुटना
69,Oberschenkel::N,ceathrú,उरु
70,Bein::N,cos,टाँग
71,Körper::N,corp,तन
72,Körper::N,corp,देह
73,Körper::N,corp,शरीर
74,Körper::N,colainn,तन
75,Körper::N,colainn,देह
76,Körper::N,colainn,शरीर
77,Haut::N,cneas,चर्म
78,Haut::N,cneas,त्वचा
79,Haut::N,craiceann,चर्म
80,Haut::N,craiceann,त्वचा
81,Blut::N,fuil,लहू
82,Blut::N,fuil,ख़ून
83,Sehne::N,teannán,कंडरा
84,Sehne::N,teannán,स्नायु
85,Sehne::N,féitheog,कंडरा
86,Sehne::N,féitheog,स्नायु
87,Knochen::N,cnámh,अस्थि
88,Gehirn::N,inchinn,दिमाग़
89,Gehirn::N,inchinn,मस्तिष्क
90,Herz::N,croí,दिल
91,Herz::N,croí,हृदय
92,Magen::N,bolg,मेदा
93,Magen::N,bolg,अमाशय
94,Magen::N,goile,मेदा
95,Magen::N,goile,अमाशय
96,Leber::N,ae,जिगर
97,Leber::N,ae,यकृत्
98,Atem::N,anáil,दम
99,Atem::N,anáil,साँस
100,Atem::N,anáil,श्वास
101,Hunger::N,ocras,भूख
102,Hunger::N,ocras,क्षुधा
103,Träne::N,deoir,आँसू
104,Träne::N,deoir,अश्रु
105,Geschmack::N,blas,स्वाद
106,Geschmack::N,blas,ज़ायक़ा
107,Geruch::N,boladh,बू
108,Geruch::N,boladh,गंध
109,Schlaf::N,suan,नींद
110,Schlaf::N,suan,निद्रा
111,Schlaf::N,codladh,नींद
112,Schlaf::N,codladh,निद्रा
113,Traum::N,taibhreamh,सपना
114,Traum::N,taibhreamh,स्वप्न
115,Himmel::N,spéir,आकाश
116,Himmel::N,spéir,आसमान
117,Sonne::N,grian,रवि
118,Sonne::N,grian,सूरज
