,Concept_ID,br,sl
0,Auge::N,lagad,okó
1,Ohr::N,skouarn,uhó
2,Nase::N,fri,nós
3,Mund::N,genoù,ústa
4,Zahn::N,dant,zób
5,Zunge::N,teod,jêzik
6,Lippe::N,muzell,ústnica
7,Wange::N,chot,líce
8,Gesicht::N,dremm,oblíčje
9,Stirn::N,tal,čêlo
10,Haar::N,blev,lás
11,Schnurrbart::N,mourenn,bŕki
12,Bart::N,barv,bráda
13,Kinn::N,groñj,bráda
14,Kiefer[Anatomie]::N,javed,čeljúst
15,Kehle::N,gouzoug,gŕlo
16,Hals::N,gouzoug,vrát
17,Genick::N,choug,zatílnik
18,Kopf::N,penn,gláva
19,Rücken::N,kein,hrbèt
20,Bauch::N,kof,trébuh
21,Nabel::N,begel,pópek
22,Busen::N,bronn,nédrja
23,Brust::N,bruched,pŕsi
24,Schulter::N,skoaz,ráma
25,Schulter::N,skoaz,plêče
26,Arm::N,brec'h,rôka
27,Ellenbogen::N,ilin,komólec
28,Hand::N,dorn,rôka
29,Handfläche::N,palv,dlán
30,Finger::N,biz,pŕst
31,Fingernagel::N,ivin,nóht na rôki
32,Nagel[Anatomie]::N,ivin,nóht
33,Zeh::N,biz-troad,pŕst na nôgi
34,Fuß::N,troad,nôga
35,Ferse::N,seul,pêta
36,Knie::N,glin,koléno
37,Oberschenkel::N,morzhed,stêgno
38,Bein::N,gar,nôga
39,Körper::N,korf,teló
40,Haut::N,kroc'hen,kóža
41,Blut::N,gwad,krí
42,Ader::N,gwazhi,žíla
43,Sehne::N,stir,kíta
44,Knochen::N,askorn,kóst
45,Gehirn::N,empenn,možgáni
46,Herz::N,kalon,srcé
47,Magen::N,stomog,želódec
48,Leber::N,avu,jétra
49,Atem::N,anal,díh
50,Hunger::N,naon,glád
51,Träne::N,daer,sólza
52,Geschmack::N,blaz,okús
53,Geruch::N,c'hwezh,vónj
54,Schlaf::N,kousked,sèn
55,Schlaf::N,kousked,spánec
56,Traum::N,hune,sánje
57,Himmel::N,oabl,nebó
58,Sonne::N,heol,sónce
59,Mond::N,loar,lúna
60,Mond::N,loar,mésec
61,Stern::N,steredenn,zvézda
62,Luft::N,aer,zràk
63,Wind::N,avel,véter
64,Welle::N,houlenn,vál
65,Wasser::N,dour,vôda
66,Stein::N,maen,kámen
67,Boden::N,tachenn,tlà
68,Erde::N,douar,pŕst
69,Erde::N,douar,zêmlja
70,Staub::N,poultr,práh
71,Rauch::N,moged,dìm
72,Funke::N,ful,ískra
73,Feuer::N,tan,ôgenj
74,Licht::N,gouloù,lúč
75,Schatten::N,disheol,sénca
76,Wetter::N,amzer,vrême
77,Nebel::N,brumenn,meglà
78,Wolke::N,koumoulenn,oblák
79,Regen::N,glav,dèž
80,Schnee::N,erc'h,snég
81,Eis::N,skorn,léd
82,Frost::N,rev,zmrzál
83,Kälte::N,yen,mràz
84,Hitze::N,tommder,pripéka
85,Raureif::N,frim,ívje
86,Raureif::N,frim,slána
87,Regenbogen::N,gwareg-ar-glav,mávrica
88,Donner::N,kurun,gròm
89,Strömung::N,red,strúja
90,Tropfen::N,bannac'h,káplja
91,Tropfen::N,takenn,káplja
92,Schaum::N,spoum,péna
93,Schmutz::N,fank,nesnága
94,See::N,lenn,jézero
95,Sumpf::N,gwern,močvírje
96,Moor::N,taouarc'heg,bárje
97,Wiese::N,prad,trávnik
98,Wald::N,koad,lés
99,Wald::N,koad,gòzd
100,Hügel::N,torgenn,brég
101,Hügel::N,torgenn,goríca
102,Anhöhe::N,run,gríč
103,Anhöhe::N,run,višína
104,Berg::N,menez,gôra
105,Berg::N,menez,planína
106,Gipfel::N,barr,vŕh
107,Höhle::N,kav,jáma
108,Höhle::N,kav,votlína
109,Abhang::N,naou,pobóčje
110,Quelle::N,feunteun,izvír
111,Bach::N,gwazh,pôtok
112,Fluss::N,stêr,réka
113,Ufer::N,ribl,brég
114,Küste::N,aod,obála
115,Küste::N,aod,obréžje
116,Festland::N,douar,celína
117,Festland::N,douar,kopnína
118,Meer::N,mor,mórje
119,Bucht::N,mor-bihan,zalív
120,Insel::N,enez,ôtok
121,Blume::N,bleunienn,cvetlíca
122,Gras::N,geot,tráva
123,Wurzel::N,gwrizienn,korenína
124,Baum::N,gwezenn,drevó
125,Stamm::N,kef,dêblo
126,Rinde::N,rusk,lúbje
127,Rinde::N,rusk,skórja
128,Ast::N,barr,véja
129,Zweig::N,bod,véja
130,Blatt::N,delienn,líst
131,Birke::N,bezvenn,bréza
132,Kiefer[Baum]::N,pinenn,bòr
133,Weide[Baum]::N,halegenn,vŕba
134,Tanne::N,sapenn,hója
135,Horn::N,korn,róg
136,Feder::N,pluñv,peró
137,Fell::N,kreoñ,kŕzno
138,Flügel::N,askell,krílo
139,Klaue::N,skilf,párkelj
140,Kralle::N,skilf,krémpelj
141,Schwanz::N,lost,rèp
142,Ei::N,vi,jájce
143,Nest::N,neizh,gnézdo
144,Bau::N,douarenn,brlòg
145,Tier::N,loen,živál
146,Herde::N,tropell,čréda
147,Kuh::N,buoc'h,kráva
148,Bulle::N,tarv,bìk
149,Pferd::N,marc'h,kònj
150,Schaf::N,dañvad,ôvca
151,Schwein::N,pemoc'h,svínja
152,Hund::N,ki,pès
153,Katze::N,kazh,máčka
154,Bär::N,arzh,mêdved
155,Eichhörnchen::N,gwiñver,véverica
156,Elch::N,karv-dour,lós
157,Fuchs::N,louarn,lisíca
158,Hase::N,gad,zájec
159,Maus::N,logodenn,mìš
160,Wolf::N,bleiz,vólk
161,Vogel::N,labous,ptìč
