,Concept_ID,cs,fi
0,Auge::N,oko,silmä
1,Ohr::N,ucho,korva
2,Nase::N,nos,nenä
3,Mund::N,pusa,suu
4,Zahn::N,zub,hammas
5,Zunge::N,jazyk,kieli
6,Lippe::N,ret,huuli
7,Wange::N,tvář,poski
8,Gesicht::N,obličej,naama
9,Gesicht::N,obličej,kasvot
10,Stirn::N,čelo,otsa
11,Haar::N,vlas,hius
12,Haar::N,vlas,tukka
13,Haar::N,vlasy,hius
14,Haar::N,vlasy,tukka
15,Schnurrbart::N,kníry,viikset
16,Bart::N,vousy,parta
17,Kinn::N,brada,leuka
18,Kiefer[Anatomie]::N,čelist,leukaluu
19,Kehle::N,hrdlo,kurkku
20,Hals::N,krk,kaula
21,Genick::N,týl,niska
22,Kopf::N,hlava,pää
23,Rücken::N,záda,selkä
24,Rücken::N,hřbet,selkä
25,Bauch::N,břicho,maha
26,Bauch::N,břicho,vatsa
27,Nabel::N,pupek,napa
28,Busen::N,ňadra,rinta
29,Brust::N,prsa,rinta
30,Schulter::N,plece,olka
31,Schulter::N,plece,hartia
32,Schulter::N,plece,olkapää
33,Schulter::N,rameno,olka
34,Schulter::N,rameno,hartia
35,Schulter::N,rameno,olkapää
36,Arm::N,ruka,käsivarsi
37,Ellenbogen::N,loket,kyynärpää
38,Hand::N,ruka,käsi
39,Handfläche::N,dlaň,kämmen
40,Finger::N,prst,sormi
41,Fingernagel::N,nehet,kynsi
42,Nagel[Anatomie]::N,nehet,kynsi
43,Zeh::N,prst u nohy,varvas
44,Fuß::N,noha,jalka
45,Ferse::N,pata,kantapää
46,Knie::N,koleno,polvi
47,Oberschenkel::N,stehno,reisi
48,Bein::N,noha,jalka
49,Körper::N,tělo,keho
50,Körper::N,tělo,ruumis
51,Haut::N,kůže,iho
52,Blut::N,krev,veri
53,Ader::N,céva,suoni
54,Sehne::N,šlacha,jänne
55,Knochen::N,kost,luu
56,Gehirn::N,mozek,aivot
57,Herz::N,srdce,sydän
58,Magen::N,žaludek,maha
59,Magen::N,žaludek,vatsa
60,Leber::N,játra,maksa
61,Atem::N,dech,henki
62,Atem::N,dech,hengitys
63,Hunger::N,hlad,nälkä
64,Träne::N,slza,kyynel
65,Geschmack::N,vkus,maku
66,Geruch::N,vůně,haju
67,Geruch::N,zápach,haju
68,Schlaf::N,spánek,uni
69,Traum::N,sen,uni
70,Himmel::N,nebe,taivas
71,Sonne::N,slunce,aurinko
72,Mond::N,měsíc,kuu
73,Stern::N,hvězda,tähti
74,Luft::N,vzduch,ilma
75,Wind::N,vítr,tuuli
76,Welle::N,vlna,aalto
77,Wasser::N,voda,vesi
78,Stein::N,kámen,kivi
79,Boden::N,půda,maa
80,Boden::N,půda,maaperä
81,Erde::N,země,maa
82,Staub::N,prach,pöly
83,Rauch::N,dým,savu
84,Rauch::N,kouř,savu
85,Funke::N,jiskra,kipinä
86,Feuer::N,oheň,tuli
87,Licht::N,světlo,valo
88,Schatten::N,stín,varjo
89,Wetter::N,počasí,sää
90,Nebel::N,mlha,sumu
91,Wolke::N,mrak,pilvi
92,Wolke::N,oblak,pilvi
93,Regen::N,déšť,sade
94,Schnee::N,sníh,lumi
95,Eis::N,led,jää
96,Frost::N,mráz,halla
97,Frost::N,mráz,pakkanen
98,Kälte::N,chlad,vilu
99,Kälte::N,chlad,kylmyys
100,Hitze::N,horko,helle
101,Hitze::N,horko,kuumuus
102,Raureif::N,jinovatka,huurre
103,Regenbogen::N,duha,sateenkaari
104,Donner::N,hrom,jyrinä
105,Strömung::N,proudění,virtaus
106,Tropfen::N,kapka,tippa
107,Tropfen::N,kapka,pisara
108,Schaum::N,pěna,vaahto
109,Schmutz::N,špína,loka
110,See::N,jezero,järvi
111,Sumpf::N,močál,suo
112,Sumpf::N,bažina,suo
113,Moor::N,bažina,räme
114,Moor::N,slatina,räme
115,Wiese::N,louka,niitty
116,Wald::N,les,metsä
117,Hügel::N,kopec,mäki
118,Hügel::N,kopec,kumpu
119,Hügel::N,kopec,kukkula
120,Anhöhe::N,pahorek,mäki
121,Anhöhe::N,pahorek,kumpare
122,Berg::N,hora,mäki
123,Berg::N,hora,vuori
124,Gipfel::N,vrchol,laki
125,Gipfel::N,vrchol,huippu
126,Höhle::N,jeskyně,luola
127,Abhang::N,svah,rinne
128,Abhang::N,stráň,rinne
129,Quelle::N,pramen,lähde
130,Bach::N,potok,puro
131,Fluss::N,řeka,joki
132,Ufer::N,břeh,ranta
133,Küste::N,pobřeží,rannikko
134,Festland::N,souš,manner
135,Festland::N,pevnina,manner
136,Meer::N,moře,meri
137,Bucht::N,záliv,lahti
138,Bucht::N,zátoka,lahti
139,Insel::N,ostrov,saari
140,Blume::N,květina,kukka
141,Gras::N,tráva,ruoho
142,Wurzel::N,kořen,juuri
143,Baum::N,strom,puu
144,Stamm::N,kmen,runko
145,Rinde::N,kůra,kuori
146,Rinde::N,kůra,parkki
147,Ast::N,větev,oksa
148,Zweig::N,větev,haara
149,Blatt::N,lupen,lehti
150,Birke::N,bříza,koivu
151,Kiefer[Baum]::N,sosna,mänty
152,Kiefer[Baum]::N,sosna,petäjä
153,Kiefer[Baum]::N,borovice,mänty
154,Kiefer[Baum]::N,borovice,petäjä
155,Weide[Baum]::N,vrba,paju
156,Tanne::N,jedle,kuusi
157,Horn::N,roh,sarvi
158,Feder::N,pero,sulka
159,Feder::N,pero,höyhen
160,Fell::N,srst,talja
161,Flügel::N,křídlo,siipi
162,Klaue::N,dráp,kynsi
