,Concept_ID,eu,ps
0,Auge::N,begi,سترګه
1,Ohr::N,belarri,غوږ
2,Nase::N,sudur,پوزه
3,Mund::N,aho,خوله
4,Zahn::N,hortz,غاښ
5,Zunge::N,mihi,جبه
6,Lippe::N,ezpain,شونډه
7,Wange::N,masail,باړخو
8,Gesicht::N,aurpegi,مخ
9,Stirn::N,bekoki,تندی
10,Stirn::N,bekoki,وچولی
11,Haar::N,ile,وېښته
12,Haar::N,bilo,وېښته
13,Schnurrbart::N,bibote,برېت
14,Schnurrbart::N,sudurpeko,برېت
15,Bart::N,bizar,ږیره
16,Kinn::N,kokots,زنه
17,Kiefer[Anatomie]::N,masailezur,جامه
18,Kehle::N,eztarri,غاړه
19,Hals::N,sama,غاړه
20,Genick::N,garondo,ورمېږ
21,Kopf::N,buru,سر
22,Rücken::N,bizkar,شا
23,Bauch::N,sabel,نس
24,Bauch::N,sabel,ګېډه
25,Nabel::N,zilbor,نوم
26,Busen::N,titi,تی
27,Busen::N,ugatz,تی
28,Brust::N,bular,سینه
29,Schulter::N,besaburu,اوږه
30,Arm::N,beso,لاس
31,Ellenbogen::N,ukondo,څنګل
32,Hand::N,esku,لاس
33,Handfläche::N,ahur,ورغوی
34,Finger::N,hatz,ګوته
35,Fingernagel::N,azazkal,نوک
36,Nagel[Anatomie]::N,azazkal,نوک
37,Zeh::N,behatz,ګوته
38,Fuß::N,oin,پښه
39,Ferse::N,orpo,پونده
40,Ferse::N,oinburu,پونده
41,Knie::N,belaun,زنګون
42,Oberschenkel::N,izter,پتون
43,Bein::N,zango,پښه
44,Körper::N,soin,ځان
45,Haut::N,azal,پوټکی
46,Blut::N,odol,وینه
47,Ader::N,zain,رګ
48,Sehne::N,gihar-zain,پله
49,Knochen::N,hezur,هډوکی
50,Gehirn::N,garun,ماغزه
51,Gehirn::N,burmuin,ماغزه
52,Herz::N,bihotz,زړه
53,Magen::N,urdail,معده
54,Leber::N,gibel,ينه
55,Leber::N,gibel,ځیګر
56,Atem::N,hats,نفس
57,Atem::N,arnasa,نفس
58,Hunger::N,gose,ولږه
59,Träne::N,malko,اوښکه
60,Geschmack::N,dasta,مزه
61,Geschmack::N,dasta,خوند
62,Geruch::N,usain,بوی
63,Schlaf::N,lo,خوب
64,Traum::N,amets,خوب
65,Himmel::N,zeru,اسمان
66,Sonne::N,eguzki,لمر
67,Mond::N,ilargi,سپوږمۍ
68,Stern::N,izar,ستوری
69,Luft::N,aire,هوا
70,Wind::N,haize,ورښ
71,Welle::N,uhin,موج
72,Welle::N,olatu,موج
73,Wasser::N,ur,اوبه
74,Stein::N,harri,ډبره
75,Boden::N,lur,مځکه
76,Boden::N,zoru,مځکه
77,Erde::N,lur,خاوره
78,Staub::N,hauts,ګرد
79,Staub::N,hauts,خاوره
80,Rauch::N,ke,دود
81,Rauch::N,ke,لوګی
82,Funke::N,zirta,سپرغۍ
83,Funke::N,txinparta,سپرغۍ
84,Feuer::N,su,اور
85,Licht::N,argi,رڼا
86,Schatten::N,itzal,سیوری
87,Schatten::N,geriza,سیوری
88,Wetter::N,eguraldi,هوا
89,Nebel::N,laino,لړه
90,Wolke::N,hodei,ورېځ
91,Regen::N,euri,وریا
92,Regen::N,euri,باران
93,Schnee::N,elur,واوره
94,Eis::N,horma,یخ
95,Eis::N,horma,کنګل
96,Frost::N,izotzaldi,یخ
97,Kälte::N,hotz,ساړه
98,Hitze::N,bero,تودوخي
99,Raureif::N,antzigar,سپینه پرخه
100,Regenbogen::N,ostadar,بوډۍ ټال
101,Regenbogen::N,ostadar,سره زرغونه
102,Regenbogen::N,ortzadar,بوډۍ ټال
103,Regenbogen::N,ortzadar,سره زرغونه
104,Donner::N,ostots,تالنده
105,Donner::N,ihurtzuri,تالنده
106,Strömung::N,laster,بهېدنه
107,Tropfen::N,xorta,قطره
108,Tropfen::N,xorta,څاڅکی
109,Schaum::N,bits,ځګ
110,Schmutz::N,lohi,ناپاکي
111,Schmutz::N,zikin,ناپاکي
112,See::N,laku,جهیل
113,See::N,aintzira,جهیل
114,Sumpf::N,zingira,جبه
115,Moor::N,zohikaztegi,جبه
116,Wiese::N,larre,چمن
117,Wiese::N,larre,شنېلی
118,Wiese::N,belardi,چمن
119,Wiese::N,belardi,شنېلی
120,Wald::N,baso,ځنګل
121,Wald::N,oihan,ځنګل
122,Hügel::N,muino,تپه
123,Hügel::N,pentoka,تپه
124,Anhöhe::N,garai,غونډۍ
125,Anhöhe::N,goragune,غونډۍ
126,Berg::N,mendi,غ‍‍‍‍‍ر
127,Gipfel::N,gain,څوکه
128,Gipfel::N,tontor,څوکه
129,Höhle::N,kobazulo,کاز
130,Abhang::N,aldapa,لمن
131,Quelle::N,iturri,چینه
132,Quelle::N,iturbegi,چینه
133,Bach::N,lats,واله
134,Bach::N,erreka,واله
135,Fluss::N,ibai,سیند
136,Fluss::N,uhaitz,سیند
137,Ufer::N,bazter,غاړه
138,Küste::N,itsasalde,ساحل
139,Festland::N,lehor,وچه
140,Meer::N,itsaso,بحر
141,Meer::N,itsaso,سمندر
142,Bucht::N,golko,کارۍ
143,Insel::N,irla,ټاپو
144,Insel::N,irla,جزيره
145,Insel::N,uharte,ټاپو
146,Insel::N,uharte,جزيره
147,Blume::N,lili,ګل
148,Gras::N,belar,واښه
149,Wurzel::N,zuztar,ریښه
150,Wurzel::N,sustrai,ریښه
151,Baum::N,zuhaitz,ونه
152,Stamm::N,enbor,ډډ
153,Rinde::N,azal,پوستکی
154,Ast::N,adar,ښاخ
155,Zweig::N,abar,څانګه
156,Blatt::N,hosto,پاڼه
157,Birke::N,urki,توس
158,Kiefer[Baum]::N,ler,نښتر
159,Weide[Baum]::N,zume,وله
160,Weide[Baum]::N,sahats,وله
161,Tanne::N,izei,ناجو
162,Horn::N,adar,ښکر
163,Feder::N,luma,بڼکه
164,Feder::N,hegaki,بڼکه
165,Fell::N,ile,پوستکی
166,Fell::N,larru,پوستکی
167,Flügel::N,hego,وزر
168,Klaue::N,atzapar,پنجه
169,Klaue::N,atzapar,منګول
170,Kralle::N,erpe,پنجه
171,Kralle::N,erpe,منګول
172,Kralle::N,atzapar,پنجه
173,Kralle::N,atzapar,منګول
174,Schwanz::N,isats,لکۍ
175,Schwanz::N,buztan,لکۍ
176,Ei::N,arrautza,وۍ
177,Ei::N,arrautza,هګۍ
178,Nest::N,habia,جاله
179,Bau::N,ohantze,کاز
180,Tier::N,abere,ژوی
181,Tier::N,abere,حیوان
182,Tier::N,piztia,ژوی
183,Tier::N,piztia,حیوان
184,Herde::N,saldo,رمه
185,Herde::N,saldo,غېله
186,Herde::N,abere talde,رمه
187,Herde::N,abere talde,غېله
188,Kuh::N,behi,غوا
189,Bulle::N,zezen,غوئی
190,Pferd::N,zaldi,آس
191,Schaf::N,ardi,پسه
192,Schwein::N,urde,سرکوزی
193,Schwein::N,txerri,سرکوزی
194,Hund::N,txakur,سپی
195,Katze::N,katu,پشه
196,Bär::N,hartz,خرس
197,Eichhörnchen::N,urtxintxa,خړ لمی
198,Elch::N,altze,ګوزن
199,Fuchs::N,azeri,سپلم
200,Hase::N,erbi,سوی
201,Maus::N,sagu,مږک
202,Wolf::N,otso,لېوه
203,Vogel::N,txori,مرغه
204,Vogel::N,hegazti,مرغه
205,Schwarm::N,aldra,سېل
206,Huhn::N,oilo,چرګه
207,Hahn::N,oilar,چرګ
208,Gans::N,antzara,بته
209,Adler::N,arrano,عقاب
210,Ente::N,ahate,ایلۍ
211,Eule::N,hontza,ګونګی
212,Kranich::N,kurrilo,کلنګ
213,Krähe::N,bele,کارغه
214,Kuckuck::N,kuku,فاخته
215,Schwan::N,beltxarga,قو
216,Fisch::N,arrain,کب
217,Fisch::N,arrain,ماهی
218,Barsch::N,perka,
219,Hecht::N,lutxo,
220,Schlange[Tier]::N,suge,مار
221,Wurm::N,har,چینجی
222,Spinne::N,armiarma,غڼه
223,Spinne::N,armiarma,تارکښ
224,Ameise::N,inurri,مېږی
225,Laus::N,zorri,سپږه
226,Mücke::N,eltxo,ماشی
227,Fliege::N,euli,مچ
228,Schmetterling::N,pinpirin,پتنګ
229,Schmetterling::N,tximeleta,پتنګ
230,Beere::N,baia,مېوۍ
231,Apfel::N,sagar,مڼه
232,Pilz::N,onddo,خرېړی
233,Pilz::N,perretxiko,خرېړی
234,Zwiebel::N,tipula,پیاز
235,Saat::N,haziak,تخم
236,Korn::N,ale,تخم
237,Korn::N,ale,دانه
238,Korn::N,pikor,تخم
239,Korn::N,pikor,دانه
240,Heu::N,belar ondu,بوس
241,Heu::N,belar ondu,پروړه
242,Schale::N,azal,پوستکی
243,Grube::N,hobi,کنده
244,Falle::N,harrapagailu,دام
245,Falle::N,harrapagailu,لومه
246,Schlinge::N,bilur,کړۍ
247,Schlinge::N,xedera,کړۍ
248,Spur::N,lorratz,نښه
249,Asche::N,errauts,آس
250,Asche::N,errauts,ایره
251,Dreck::N,satsukeria,ناپاکي
252,Eisen::N,burdina,اوسپنه
253,Gold::N,urre,سره زر
254,Gold::N,urregorri,سره زر
255,Silber::N,zilar,نقره
256,Silber::N,zilar,سپین زر
257,Silber::N,urrezuri,نقره
258,Silber::N,urrezuri,سپین زر
