,Concept_ID,sq,ar
0,Auge::N,sy,عين
1,Ohr::N,vesh,أذن
2,Nase::N,hundë,أنف
3,Mund::N,gojë,فم
4,Zahn::N,dhëmb,سن
5,Zunge::N,gjuhë,لسان
6,Lippe::N,buzë,شفة
7,Wange::N,faqe,خد
8,Wange::N,faqe,وجنة
9,Wange::N,mollëz,خد
10,Wange::N,mollëz,وجنة
11,Gesicht::N,fytyrë,وجه
12,Stirn::N,ballë,جبين
13,Haar::N,flokë,شعر
14,Schnurrbart::N,mustaqe,شارب
15,Bart::N,mjekër,لحية
16,Kinn::N,mjekër,ذقن
17,Kiefer[Anatomie]::N,nofull,فك
18,Kehle::N,fyt,حلق
19,Kehle::N,grykë,حلق
20,Hals::N,qafë,عنق
21,Hals::N,qafë,رقبة
22,Genick::N,arrëz,قفا
23,Kopf::N,kokë,رأس
24,Rücken::N,kurriz,ظهر
25,Bauch::N,bark,بطن
26,Nabel::N,kërthizë,سرة
27,Busen::N,gji,ثدي
28,Brust::N,gjoks,صدر
29,Brust::N,kraharor,صدر
30,Schulter::N,sup,كتف
31,Schulter::N,krah,كتف
32,Arm::N,krah,ذراع
33,Ellenbogen::N,bërryl,كوع
34,Hand::N,dorë,يد
35,Handfläche::N,pëllëmbë,كف
36,Finger::N,gisht,إصبع
37,Fingernagel::N,thua,ظفر
38,Nagel[Anatomie]::N,thua,ظفر
39,Zeh::N,gisht i këmbës,إصبع القدم
40,Fuß::N,këmbë,قدم
41,Ferse::N,thembër,كعب
42,Knie::N,gju,ركبة
43,Oberschenkel::N,kofshë,فخذ
44,Bein::N,këmbë,ساق
45,Körper::N,trup,جسم
46,Haut::N,lëkurë,بشرة
47,Blut::N,gjak,دم
48,Ader::N,venë,عرق
49,Sehne::N,dell,طنب
50,Knochen::N,asht,عظم
51,Knochen::N,kockë,عظم
52,Gehirn::N,tru,دماغ
53,Herz::N,zemër,قلب
54,Magen::N,stomak,معدة
55,Leber::N,mëlçi,كبد
56,Atem::N,frymë,نفس
57,Hunger::N,uri,جوع
58,Träne::N,lot,دمعة
59,Geschmack::N,shije,طعم
60,Geschmack::N,shije,مذاق
61,Geruch::N,erë,رائحة
62,Schlaf::N,gjumë,نوم
63,Schlaf::N,gjumë,منام
64,Traum::N,ëndërr,حلم
65,Himmel::N,qiell,سماء
66,Sonne::N,diell,شمس
67,Mond::N,hënë,قمر
68,Stern::N,yll,نجم
69,Stern::N,yll,كوكب
70,Luft::N,ajër,هواء
71,Wind::N,erë,ريح
72,Welle::N,valë,موجة
73,Welle::N,dallgë,موجة
74,Wasser::N,ujë,ماء
