,Concept_ID,fa,is
0,Auge::N,چشم,auga
1,Ohr::N,گوش,eyra
2,Nase::N,بینی,nef
3,Mund::N,دهان,munnur
4,Zahn::N,دندان,tönn
5,Zunge::N,زبان,tunga
6,Lippe::N,لب,vör
7,Wange::N,لپ,kinn
8,Wange::N,لپ,vangi
9,Gesicht::N,رو,andlit
10,Gesicht::N,چهره,andlit
11,Stirn::N,پیشانی,enni
12,Haar::N,مو,hár
13,Schnurrbart::N,سبیل,yfirskegg
14,Bart::N,ریش,skegg
15,Kinn::N,چانه,haka
16,Kiefer[Anatomie]::N,فک,kjálki
17,Kiefer[Anatomie]::N,فک,skoltur
18,Kiefer[Anatomie]::N,آرواره,kjálki
19,Kiefer[Anatomie]::N,آرواره,skoltur
20,Kehle::N,حلق,kverk
21,Hals::N,گردن,háls
22,Genick::N,پشت گردن,hnakki
23,Kopf::N,سر,höfuð
24,Kopf::N,کله,höfuð
25,Rücken::N,پشت,hryggur
26,Bauch::N,شکم,kviður
27,Nabel::N,ناف,nafli
28,Busen::N,پستان,barmur
29,Brust::N,سینه,brjóst
30,Schulter::N,دوش,öxl
31,Schulter::N,شانه,öxl
32,Arm::N,بازو,armur
33,Ellenbogen::N,آرنج,olnbogi
34,Hand::N,دست,hönd
35,Handfläche::N,کف دست,lófi
36,Finger::N,انگشت,fingur
37,Fingernagel::N,ناخن دست,fingurnögl
38,Nagel[Anatomie]::N,ناخن,nögl
39,Zeh::N,انگشت پا,tá
40,Fuß::N,پا,fótur
41,Ferse::N,پاشنه,hæll
42,Knie::N,زانو,kné
43,Oberschenkel::N,ران,læri
44,Bein::N,پا,fótleggur
45,Bein::N,لنگ,fótleggur
46,Körper::N,تن,búkur
47,Körper::N,تن,líkami
48,Körper::N,بدن,búkur
49,Körper::N,بدن,líkami
50,Haut::N,پوست,húð
51,Haut::N,پوست,skinn
52,Blut::N,خون,blóð
53,Ader::N,رگ,æð
54,Sehne::N,زردپی,sin
55,Knochen::N,استخوان,bein
56,Gehirn::N,مخ,heili
57,Gehirn::N,مغز,heili
58,Herz::N,دل,hjarta
59,Herz::N,قلب,hjarta
60,Magen::N,معده,magi
61,Leber::N,کبد,lifur
62,Atem::N,نفس,andi
63,Atem::N,نفس,andardráttur
64,Hunger::N,گرسنگی,hungur
65,Träne::N,اشک,tár
66,Geschmack::N,مزه,smekkur
67,Geruch::N,بو,lykt
68,Schlaf::N,خواب,svefn
69,Traum::N,رؤیا,draumur
70,Himmel::N,فلک,himinn
71,Himmel::N,آسمان,himinn
72,Sonne::N,آفتاب,sól
73,Sonne::N,خورشید,sól
74,Mond::N,ماه,tungl
75,Stern::N,ستاره,stjarna
76,Luft::N,هوا,loft
77,Wind::N,باد,vindur
78,Welle::N,موج,alda
79,Welle::N,موج,bylgja
80,Wasser::N,آب,vatn
81,Stein::N,سنگ,steinn
82,Boden::N,زمین,botn
83,Erde::N,خاک,jörð
84,Erde::N,زمین,jörð
85,Staub::N,گرد,ryk
86,Staub::N,گرد,duft
87,Staub::N,غبار,ryk
88,Staub::N,غبار,duft
89,Rauch::N,دود,reykur
90,Funke::N,جرقه,neisti
91,Feuer::N,آتش,eldur
92,Licht::N,نور,ljós
93,Licht::N,روشنی,ljós
94,Schatten::N,سایه,skuggi
95,Wetter::N,هوا,veður
96,Nebel::N,مه,þoka
97,Wolke::N,ابر,ský
98,Regen::N,باران,regn
99,Schnee::N,برف,snjór
100,Eis::N,یخ,ís
101,Frost::N,یخبندان,frost
102,Kälte::N,سرما,kuldi
103,Hitze::N,گرما,hiti
104,Hitze::N,حرارت,hiti
