,Concept_ID,te,et
0,Auge::N,కన్ను,silm
1,Ohr::N,చెవి,kõrv
2,Nase::N,ముక్కు,nina
3,Mund::N,నోరు,suu
4,Zahn::N,పల్లు,hammas
5,Zunge::N,నాలుక,keel
6,Lippe::N,పెదవి,huul
7,Wange::N,చెంప,põsk
8,Gesicht::N,ముఖము,nägu
9,Stirn::N,నుదురు,otsmik
10,Haar::N,వెండ్రుక,juus
11,Schnurrbart::N,మీసము,vurrud
12,Schnurrbart::N,మీసము,vuntsid
13,Bart::N,గడ్డము,habe
14,Kinn::N,గడ్డము,lõug
15,Kiefer[Anatomie]::N,దౌడ,lõualuu
16,Kehle::N,గొంతు,kõri
17,Hals::N,మెడ,kael
18,Genick::N,మూపు,kukal
19,Kopf::N,తల,pea
20,Rücken::N,వెన్ను,selg
21,Bauch::N,కడుపు,kõht
22,Nabel::N,బొడ్డు,naba
23,Busen::N,స్తనము,rind
24,Brust::N,ఱొమ్ము,rind
25,Schulter::N,భుజము,õlg
26,Arm::N,చేయి,käsivars
27,Ellenbogen::N,మోచేయి,küünarnukk
28,Hand::N,చేయి,käsi
29,Handfläche::N,అరచేయు,pihk
30,Finger::N,చేతిప్రేలు,sõrm
31,Fingernagel::N,గోరు,küüs
32,Nagel[Anatomie]::N,గోరు,küüs
33,Zeh::N,కాలిప్రేలు,varvas
34,Fuß::N,అడుగు,jalg
35,Ferse::N,మడమ,kand
36,Knie::N,మోకాలు,põlv
37,Oberschenkel::N,తొడ,reis
38,Bein::N,కాలు,jalg
39,Körper::N,కాయము,ihu
40,Körper::N,కాయము,keha
41,Haut::N,చర్మము,nahk
42,Blut::N,రక్తము,veri
43,Ader::N,సిర,veen
44,Sehne::N,స్నాయువు,kõõlus
45,Knochen::N,ఎముక,luu
46,Gehirn::N,మెదడు,aju
47,Herz::N,హృదయము,süda
48,Magen::N,కడుపు,magu
49,Leber::N,కాలేయము,maks
50,Atem::N,ఉపిరి,hingeõhk
51,Atem::N,ఉపిరి,hingamine
52,Hunger::N,ఆకలి,nälg
53,Träne::N,కన్నీటిచుక్క,pisar
54,Geschmack::N,రుచి,maitse
55,Geruch::N,వాసన,lõhn
56,Schlaf::N,నిద్ర,uni
57,Traum::N,కల,unenägu
58,Himmel::N,ఆకాశము,taevas
59,Sonne::N,సూర్యుడు,päike
60,Mond::N,చంద్రుడు,kuu
61,Stern::N,నక్షత్రము,täht
62,Luft::N,గాలి,õhk
