,Concept_ID,fi,fa
0,Auge::N,silmä,چشم
1,Ohr::N,korva,گوش
2,Nase::N,nenä,بینی
3,Mund::N,suu,دهان
4,Zahn::N,hammas,دندان
5,Zunge::N,kieli,زبان
6,Lippe::N,huuli,لب
7,Wange::N,poski,لپ
8,Gesicht::N,naama,رو
9,Gesicht::N,naama,چهره
10,Gesicht::N,kasvot,رو
11,Gesicht::N,kasvot,چهره
12,Stirn::N,otsa,پیشانی
13,Haar::N,hius,مو
14,Haar::N,tukka,مو
15,Schnurrbart::N,viikset,سبیل
16,Bart::N,parta,ریش
17,Kinn::N,leuka,چانه
18,Kiefer[Anatomie]::N,leukaluu,فک
19,Kiefer[Anatomie]::N,leukaluu,آرواره
20,Kehle::N,kurkku,حلق
21,Hals::N,kaula,گردن
22,Genick::N,niska,پشت گردن
23,Kopf::N,pää,سر
24,Kopf::N,pää,کله
25,Rücken::N,selkä,پشت
26,Bauch::N,maha,شکم
27,Bauch::N,vatsa,شکم
28,Nabel::N,napa,ناف
29,Busen::N,rinta,پستان
30,Brust::N,rinta,سینه
31,Schulter::N,olka,دوش
32,Schulter::N,olka,شانه
33,Schulter::N,hartia,دوش
34,Schulter::N,hartia,شانه
35,Schulter::N,olkapää,دوش
36,Schulter::N,olkapää,شانه
37,Arm::N,käsivarsi,بازو
38,Ellenbogen::N,kyynärpää,آرنج
39,Hand::N,käsi,دست
40,Handfläche::N,kämmen,کف دست
41,Finger::N,sormi,انگشت
42,Fingernagel::N,kynsi,ناخن دست
43,Nagel[Anatomie]::N,kynsi,ناخن
44,Zeh::N,varvas,انگشت پا
45,Fuß::N,jalka,پا
46,Ferse::N,kantapää,پاشنه
47,Knie::N,polvi,زانو
48,Oberschenkel::N,reisi,ران
49,Bein::N,jalka,پا
50,Bein::N,jalka,لنگ
51,Körper::N,keho,تن
52,Körper::N,keho,بدن
53,Körper::N,ruumis,تن
54,Körper::N,ruumis,بدن
55,Haut::N,iho,پوست
56,Blut::N,veri,خون
57,Ader::N,suoni,رگ
58,Sehne::N,jänne,زردپی
59,Knochen::N,luu,استخوان
60,Gehirn::N,aivot,مخ
61,Gehirn::N,aivot,مغز
62,Herz::N,sydän,دل
63,Herz::N,sydän,قلب
64,Magen::N,maha,معده
65,Magen::N,vatsa,معده
66,Leber::N,maksa,کبد
67,Atem::N,henki,نفس
68,Atem::N,hengitys,نفس
69,Hunger::N,nälkä,گرسنگی
70,Träne::N,kyynel,اشک
71,Geschmack::N,maku,مزه
72,Geruch::N,haju,بو
73,Schlaf::N,uni,خواب
74,Traum::N,uni,رؤیا
75,Himmel::N,taivas,فلک
76,Himmel::N,taivas,آسمان
77,Sonne::N,aurinko,آفتاب
78,Sonne::N,aurinko,خورشید
79,Mond::N,kuu,ماه
80,Stern::N,tähti,ستاره
81,Luft::N,ilma,هوا
82,Wind::N,tuuli,باد
83,Welle::N,aalto,موج
84,Wasser::N,vesi,آب
85,Stein::N,kivi,سنگ
86,Boden::N,maa,زمین
87,Boden::N,maaperä,زمین
88,Erde::N,maa,خاک
89,Erde::N,maa,زمین
90,Staub::N,pöly,گرد
91,Staub::N,pöly,غبار
92,Rauch::N,savu,دود
93,Funke::N,kipinä,جرقه
94,Feuer::N,tuli,آتش
95,Licht::N,valo,نور
96,Licht::N,valo,روشنی
97,Schatten::N,varjo,سایه
98,Wetter::N,sää,هوا
99,Nebel::N,sumu,مه
100,Wolke::N,pilvi,ابر
101,Regen::N,sade,باران
102,Schnee::N,lumi,برف
103,Eis::N,jää,یخ
104,Frost::N,halla,یخبندان
105,Frost::N,pakkanen,یخبندان
106,Kälte::N,vilu,سرما
107,Kälte::N,kylmyys,سرما
108,Hitze::N,helle,گرما
109,Hitze::N,helle,حرارت
110,Hitze::N,kuumuus,گرما
111,Hitze::N,kuumuus,حرارت
112,Raureif::N,huurre,برف ریزه
113,Regenbogen::N,sateenkaari,رنگین‌کمان
114,Donner::N,jyrinä,رعد
115,Strömung::N,virtaus,جریان
116,Tropfen::N,tippa,قطره
117,Tropfen::N,pisara,قطره
118,Schaum::N,vaahto,کف
119,Schmutz::N,loka,گل
120,Schmutz::N,loka,کثافت
121,See::N,järvi,دریاچه
122,Sumpf::N,suo,مرداب
123,Sumpf::N,suo,باتلاق
124,Moor::N,räme,باتلاق
125,Wiese::N,niitty,چمن
126,Wald::N,metsä,جنگل
127,Hügel::N,mäki,تل
128,Hügel::N,mäki,تپه
129,Hügel::N,kumpu,تل
130,Hügel::N,kumpu,تپه
131,Hügel::N,kukkula,تل
132,Hügel::N,kukkula,تپه
133,Anhöhe::N,mäki,بلندی
134,Anhöhe::N,kumpare,بلندی
135,Berg::N,mäki,کوه
136,Berg::N,vuori,کوه
137,Gipfel::N,laki,قله
138,Gipfel::N,huippu,قله
139,Höhle::N,luola,غار
140,Abhang::N,rinne,سرازیری
141,Quelle::N,lähde,چشمه
142,Bach::N,puro,نهر
143,Fluss::N,joki,رود
144,Ufer::N,ranta,ساحل
145,Ufer::N,ranta,کرانه
146,Küste::N,rannikko,ساحل
147,Festland::N,manner,خشکی
148,Meer::N,meri,دریا
149,Bucht::N,lahti,خلیج
150,Insel::N,saari,جزیره
151,Blume::N,kukka,گل
152,Gras::N,ruoho,علف
153,Wurzel::N,juuri,ریشه
154,Baum::N,puu,درخت
155,Stamm::N,runko,تنه
156,Rinde::N,kuori,توژ
157,Rinde::N,kuori,پوست
158,Rinde::N,parkki,توژ
159,Rinde::N,parkki,پوست
160,Ast::N,oksa,شاخه
161,Zweig::N,haara,شاخه
162,Blatt::N,lehti,برگ
163,Birke::N,koivu,غان
164,Kiefer[Baum]::N,mänty,کاج
165,Kiefer[Baum]::N,petäjä,کاج
166,Weide[Baum]::N,paju,بید
167,Tanne::N,kuusi,صنوبر
168,Horn::N,sarvi,شاخ
169,Feder::N,sulka,پر
170,Feder::N,höyhen,پر
171,Fell::N,talja,خز
172,Flügel::N,siipi,پر
173,Flügel::N,siipi,بال
174,Klaue::N,kynsi,چنگ
175,Klaue::N,kynsi,پنجه
176,Kralle::N,kynsi,پنجه
177,Schwanz::N,häntä,دم
178,Schwanz::N,pyrstö,دم
179,Ei::N,muna,تخم
180,Nest::N,pesä,لانه
181,Bau::N,pesä,بنا
182,Bau::N,pesä,ساختمان
183,Tier::N,eläin,هیوان
184,Herde::N,lauma,رمه
185,Kuh::N,lehmä,گاو
186,Bulle::N,sonni,گاو نر
187,Pferd::N,hevonen,اسب
188,Schaf::N,lammas,گوسفند
189,Schwein::N,sika,خوک
190,Hund::N,koira,سگ
191,Katze::N,kissa,گربه
192,Bär::N,karhu,خرس
193,Eichhörnchen::N,orava,سنجاب
194,Elch::N,hirvi,گوزن شمالی
195,Fuchs::N,kettu,روباه
196,Hase::N,jänis,خرگوش
197,Maus::N,hiiri,موش
198,Wolf::N,susi,گرگ
199,Vogel::N,lintu,پرنده
200,Schwarm::N,parvi,دسته
201,Huhn::N,kana,مرغ
202,Hahn::N,kukko,خروس
203,Gans::N,hanhi,غاز
204,Adler::N,kotka,عقاب
205,Ente::N,ankka,اردک
206,Ente::N,ankka,مرغابی
207,Eule::N,pöllö,جغد
208,Kranich::N,kurki,درنا
209,Krähe::N,varis,زاغ
210,Krähe::N,varis,کلاغ
211,Kuckuck::N,käki,فاخته
212,Schwan::N,joutsen,قو
213,Fisch::N,kala,ماهی
214,Barsch::N,ahven,ماهی خاردار
215,Hecht::N,hauki,اردک ماهی
216,Schlange[Tier]::N,käärme,مار
217,Wurm::N,mato,کرم
218,Spinne::N,hämähäkki,عنکبوت
219,Ameise::N,muurahainen,مورچه
220,Laus::N,täi,شپش
221,Mücke::N,sääski,پشه
222,Mücke::N,hyttynen,پشه
223,Fliege::N,kärpänen,مگس
224,Schmetterling::N,perhonen,پروانه
225,Beere::N,marja,گیله
226,Apfel::N,omena,سیب
227,Pilz::N,sieni,قارچ
228,Zwiebel::N,sipuli,پیاز
229,Saat::N,siemenet,بذر
230,Korn::N,jyvä,تخم
231,Korn::N,jyvä,دانه
232,Korn::N,vilja,تخم
233,Korn::N,vilja,دانه
234,Heu::N,heinä,علف خشک
235,Schale::N,kuori,پوست
236,Grube::N,kuoppa,گودال
237,Falle::N,loukku,دام
238,Schlinge::N,ansa,حلقه
239,Spur::N,jälki,رد
240,Asche::N,tuhka,خاکستر
241,Dreck::N,lika,کثافت
242,Eisen::N,rauta,آهن
243,Gold::N,kulta,زر
244,Gold::N,kulta,طلا
245,Silber::N,hopea,نقره
246,Kohle::N,hiili,زغال
247,Glas::N,lasi,شیشه
248,Lehm::N,savi,گل
249,Sand::N,hiekka,شن
250,Sand::N,hiekka,ماسه
251,Mensch::N,ihminen,آدم
252,Mensch::N,ihminen,انسان
253,Mann::N,mies,مرد
254,Frau::N,nainen,زن
255,Kind::N,lapsi,بچه
256,Kind::N,lapsi,کودک
257,Junge::N,poika,پسر
258,Mädchen::N,tyttö,دختر
259,Familie::N,perhe,فامیل
260,Familie::N,perhe,خانواده
261,Großvater::N,isoisä,پدربزرگ
262,Großmutter::N,isoäiti,مادر‌بزرگ
263,Eltern::N,vanhemmat,والدین
264,Eltern::N,vanhemmat,پدر‌و‌مادر
265,Vater::N,isä,پدر
266,Mutter::N,äiti,مادر
267,Sohn::N,poika,پسر
268,Tochter::N,tytär,دختر
269,Bruder::N,veli,برادر
270,Schwester::N,sisko,خواهر
271,Onkel::N,eno,عمو
272,Onkel::N,eno,دایی
273,Onkel::N,setä,عمو
274,Onkel::N,setä,دایی
275,Tante::N,täti,عمه
276,Tante::N,täti,خاله
277,Ehemann::N,mies,همسر
278,Ehemann::N,aviomies,همسر
279,Ehefrau::N,vaimo,همسر
280,Ehefrau::N,aviovaimo,همسر
281,Freude::N,ilo,شادی
282,Freude::N,riemu,شادی
283,Gelächter::N,nauru,خنده
284,Gelächter::N,nauru,قاه‌قاه
285,Glück::N,onni,اقبال
286,Kummer::N,suru,غم
287,Kummer::N,suru,غصه
288,Kummer::N,murhe,غم
289,Kummer::N,murhe,غصه
290,Wunsch::N,toive,آرزو
291,Wunsch::N,toivomus,آرزو
292,Lust::N,himo,هوس
293,Geist::N,henki,روح
294,Gedanke::N,aate,فکر
295,Gedanke::N,ajatus,فکر
296,Gedächtnis::N,muisti,حافظه
297,Verstand::N,äly,هوش
298,Verstand::N,järki,هوش
299,Verstand::N,ymmärrys,هوش
300,Sinn::N,merkitys,معنا
301,Sinn::N,merkitys,مفهوم
302,Grund::N,syy,سبب
303,Grund::N,syy,دلیل
304,Grund::N,peruste,سبب
305,Grund::N,peruste,دلیل
306,Wahrheit::N,tosi,حقیقت
307,Wahrheit::N,totuus,حقیقت
308,Gespräch::N,puhelu,صحبت
309,Gespräch::N,puhelu,گفتگو
310,Gespräch::N,keskustelu,صحبت
311,Gespräch::N,keskustelu,گفتگو
312,Märchen::N,satu,قصه
313,Märchen::N,satu,افسانه
314,Erzählung::N,tarina,داستان
315,Erzählung::N,kertomus,داستان
316,Nachricht::N,tieto,خبر
317,Nachricht::N,ilmoitus,خبر
318,Neuigkeit::N,uutinen,خبر تازه
319,Name::N,nimi,اسم
320,Rätsel::N,arvoitus,معما
321,Rede::N,puhe,سخن
322,Sprache::N,kieli,زبان
323,Stimme::N,ääni,صدا
324,Wort::N,sana,کلمه
325,Zeichen::N,merkki,نشان
326,Zeichen::N,merkki,علامت
327,Ruf::N,kutsu,صدا
328,Lärm::N,melu,هیاهو
329,Lärm::N,hälinä,هیاهو
330,Laut::N,ääni,صدا
331,Ton::N,sävel,آهنگ
