,Concept_ID,it,kk
0,Auge::N,occhio,көз
1,Ohr::N,orecchio,құлақ
2,Nase::N,naso,мұрын
3,Mund::N,bocca,ауыз
4,Zahn::N,dente,тіс
5,Zunge::N,lingua,тіл
6,Lippe::N,labbro,ерін
7,Wange::N,guancia,ұрт
8,Gesicht::N,viso,бет-аузы
9,Gesicht::N,faccia,бет-аузы
10,Stirn::N,fronte,маңдай
11,Haar::N,capello,қыл
12,Schnurrbart::N,baffi,мұрт
13,Schnurrbart::N,mustacchi,мұрт
14,Bart::N,barba,сақал
15,Kinn::N,mento,иек
16,Kiefer[Anatomie]::N,mascella,жақ
17,Kehle::N,gola,алқым
18,Hals::N,collo,мойын
19,Genick::N,nuca,желке
20,Kopf::N,capo,кәллә
21,Kopf::N,testa,кәллә
22,Rücken::N,dorso,арқа
23,Rücken::N,schiena,арқа
24,Bauch::N,ventre,қарын
25,Nabel::N,ombelico,кіндік
26,Busen::N,seno,омырау
27,Brust::N,petto,кеуде
28,Schulter::N,spalla,иық
29,Arm::N,braccio,қол
30,Ellenbogen::N,gomito,шынтақ
31,Hand::N,mano,қол
32,Handfläche::N,palma,алақан
33,Finger::N,dito,саусақ
34,Fingernagel::N,unghia,тырнақ
35,Nagel[Anatomie]::N,unghia,тырнақ
36,Zeh::N,dito del piede,тырнақ
37,Zeh::N,dito del piede,тұяқ
38,Fuß::N,piede,аяқ-басы
39,Ferse::N,tallone,өкше
40,Ferse::N,tallone,өкшелік
41,Ferse::N,calcagno,өкше
42,Ferse::N,calcagno,өкшелік
43,Knie::N,ginocchio,тізе
44,Oberschenkel::N,fèmore,жамбас
45,Bein::N,gamba,аяқ
46,Körper::N,corpo,дене
47,Haut::N,pelle,тері
48,Blut::N,sangue,қан
49,Ader::N,vena,көктамыр
50,Ader::N,vena,күретамыр
51,Sehne::N,tèndine,сіңір
52,Knochen::N,osso,жілік
53,Gehirn::N,cervello,ми
54,Herz::N,cuore,жүрек
55,Magen::N,stòmaco,асқазан
56,Leber::N,fegato,бауыр
57,Atem::N,fiato,леп
58,Atem::N,respiro,леп
59,Hunger::N,fame,ашаршылық
60,Träne::N,làcrima,жас
61,Geschmack::N,gusto,дәм
62,Geschmack::N,gusto,татым
63,Geschmack::N,gusto,талғам
64,Geschmack::N,sapore,дәм
65,Geschmack::N,sapore,татым
66,Geschmack::N,sapore,талғам
67,Geruch::N,odore,иіс
68,Schlaf::N,sonno,ұйқы
69,Schlaf::N,sonno,ұйықтау
70,Traum::N,sogno,түс
71,Himmel::N,cielo,аспан
72,Himmel::N,cielo,көқ
73,Himmel::N,cielo,таңдай
74,Sonne::N,sole,күн
75,Mond::N,luna,ай
76,Stern::N,stella,жұлдыз
77,Luft::N,aria,әуе
78,Wind::N,vento,жел
79,Welle::N,onda,толқын
80,Wasser::N,acqua,су
81,Stein::N,sasso,тас
82,Stein::N,pietra,тас
83,Boden::N,suolo,қыртыс
84,Boden::N,terreno,қыртыс
85,Erde::N,terra,топырақ
86,Staub::N,polvere,шаң
87,Rauch::N,fumo,түтін
88,Funke::N,scintilla,ұшқын
89,Feuer::N,fuoco,алау
90,Licht::N,luce,шұғыла
91,Schatten::N,ombra,көлеңке
92,Wetter::N,tempo,ауа райы
93,Nebel::N,nebbia,тұман
94,Wolke::N,nube,бұлт
95,Wolke::N,nùvola,бұлт
96,Regen::N,pioggia,жаңбыр
97,Schnee::N,neve,қар
98,Eis::N,ghiaccio,мұз
99,Frost::N,gelo,суық
100,Kälte::N,freddo,ызғар
101,Kälte::N,freddo,суықтық
102,Hitze::N,caldo,аптап
103,Hitze::N,calura,аптап
104,Raureif::N,brina,қырау
105,Regenbogen::N,arcobaleno,кемпірқосақ
106,Donner::N,tuono,күн күркіреу
107,Strömung::N,corrente,ағын
108,Tropfen::N,goccia,тамшы
109,Schaum::N,spuma,көбік
110,Schaum::N,schiuma,көбік
111,Schmutz::N,sudiciume,кір
112,See::N,lago,көл
113,Sumpf::N,palude,саз
114,Moor::N,torbiera,саз
115,Wiese::N,prato,шалғын
116,Wald::N,bosco,орман
117,Wald::N,foresta,орман
118,Hügel::N,colle,төбе
