,Concept_ID,cs,sk
0,Auge::N,oko,oko
1,Ohr::N,ucho,ucho
2,Nase::N,nos,nos
3,Mund::N,pusa,ústa
4,Zahn::N,zub,zub
5,Zunge::N,jazyk,jazyk
6,Lippe::N,ret,pera
7,Wange::N,tvář,líce
8,Gesicht::N,obličej,tvár
9,Gesicht::N,obličej,obličaj
10,Stirn::N,čelo,čelo
11,Haar::N,vlas,vlas
12,Haar::N,vlasy,vlas
13,Schnurrbart::N,kníry,fúzy
14,Bart::N,vousy,brada
15,Kinn::N,brada,brada
16,Kiefer[Anatomie]::N,čelist,čeľusť
17,Kehle::N,hrdlo,hrdlo
18,Hals::N,krk,krk
19,Genick::N,týl,väzy
20,Kopf::N,hlava,hlava
21,Rücken::N,záda,chrbát
22,Rücken::N,hřbet,chrbát
23,Bauch::N,břicho,brucho
24,Nabel::N,pupek,pupok
25,Busen::N,ňadra,prsia
26,Brust::N,prsa,hruď
27,Schulter::N,plece,plece
28,Schulter::N,rameno,plece
29,Arm::N,ruka,rameno
30,Ellenbogen::N,loket,lakeť
31,Hand::N,ruka,ruka
32,Handfläche::N,dlaň,dlaň
33,Finger::N,prst,prst
34,Fingernagel::N,nehet,necht
35,Nagel[Anatomie]::N,nehet,necht
36,Zeh::N,prst u nohy,prst na nohe
37,Fuß::N,noha,noha
38,Ferse::N,pata,päta
39,Knie::N,koleno,koleno
40,Oberschenkel::N,stehno,stehno
41,Bein::N,noha,noha
42,Körper::N,tělo,telo
43,Haut::N,kůže,koža
44,Blut::N,krev,krv
45,Ader::N,céva,žila
46,Sehne::N,šlacha,šľacha
47,Knochen::N,kost,kosť
48,Gehirn::N,mozek,mozog
49,Herz::N,srdce,srdce
50,Magen::N,žaludek,žalúdok
51,Leber::N,játra,pečeň
52,Atem::N,dech,dych
53,Hunger::N,hlad,hlad
54,Träne::N,slza,slza
55,Geschmack::N,vkus,chuť
56,Geruch::N,vůně,pach
57,Geruch::N,zápach,pach
58,Schlaf::N,spánek,spánok
59,Traum::N,sen,sen
60,Himmel::N,nebe,nebo
61,Sonne::N,slunce,slnko
62,Mond::N,měsíc,mesiac
63,Stern::N,hvězda,hviezda
64,Luft::N,vzduch,vzduch
65,Wind::N,vítr,vietor
66,Welle::N,vlna,vlna
67,Wasser::N,voda,voda
68,Stein::N,kámen,kameň
69,Boden::N,půda,zem
70,Boden::N,půda,pôda
71,Erde::N,země,zem
72,Staub::N,prach,prach
73,Rauch::N,dým,dym
74,Rauch::N,kouř,dym
75,Funke::N,jiskra,iskra
76,Feuer::N,oheň,oheň
77,Licht::N,světlo,svetlo
78,Schatten::N,stín,tieň
79,Wetter::N,počasí,počasie
80,Nebel::N,mlha,hmla
81,Wolke::N,mrak,oblak
82,Wolke::N,mrak,mračno
83,Wolke::N,oblak,oblak
84,Wolke::N,oblak,mračno
85,Regen::N,déšť,dážď
86,Schnee::N,sníh,sneh
87,Eis::N,led,ľad
88,Frost::N,mráz,mráz
89,Kälte::N,chlad,zima
90,Kälte::N,chlad,chlad
91,Hitze::N,horko,horúčava
92,Raureif::N,jinovatka,srieň
93,Raureif::N,jinovatka,inovať
94,Regenbogen::N,duha,dúha
95,Donner::N,hrom,hrom
96,Strömung::N,proudění,prúdenie
97,Tropfen::N,kapka,kvapka
98,Schaum::N,pěna,pena
99,Schmutz::N,špína,špina
100,Schmutz::N,špína,nečistota
101,See::N,jezero,jazero
102,Sumpf::N,močál,bahno
103,Sumpf::N,bažina,bahno
104,Moor::N,bažina,močiar
105,Moor::N,slatina,močiar
106,Wiese::N,louka,lúka
107,Wald::N,les,les
108,Wald::N,les,hora
109,Hügel::N,kopec,vŕšok
110,Anhöhe::N,pahorek,výšina
111,Anhöhe::N,pahorek,vyvýšenina
112,Berg::N,hora,hora
113,Gipfel::N,vrchol,vrchol
114,Höhle::N,jeskyně,jaskyňa
115,Abhang::N,svah,úbočie
116,Abhang::N,stráň,úbočie
117,Quelle::N,pramen,prameň
118,Bach::N,potok,potok
119,Fluss::N,řeka,rieka
120,Ufer::N,břeh,breh
121,Küste::N,pobřeží,pobrežie
122,Festland::N,souš,pevnina
123,Festland::N,pevnina,pevnina
124,Meer::N,moře,more
125,Bucht::N,záliv,záliv
126,Bucht::N,záliv,zátoka
127,Bucht::N,zátoka,záliv
128,Bucht::N,zátoka,zátoka
129,Insel::N,ostrov,ostrov
130,Blume::N,květina,kvet
131,Blume::N,květina,kvetina
132,Gras::N,tráva,tráva
133,Wurzel::N,kořen,koreň
134,Baum::N,strom,strom
135,Stamm::N,kmen,kmeň
136,Rinde::N,kůra,kôra
137,Ast::N,větev,konár
138,Zweig::N,větev,vetva
139,Blatt::N,lupen,list
140,Birke::N,bříza,breza
141,Kiefer[Baum]::N,sosna,sosna
142,Kiefer[Baum]::N,sosna,borovica
143,Kiefer[Baum]::N,borovice,sosna
144,Kiefer[Baum]::N,borovice,borovica
145,Weide[Baum]::N,vrba,vŕba
146,Tanne::N,jedle,jedľa
147,Horn::N,roh,roh
148,Feder::N,pero,pero
149,Fell::N,srst,koža
150,Fell::N,srst,kožušina
151,Flügel::N,křídlo,krídlo
152,Klaue::N,dráp,paznecht
153,Klaue::N,pazneht,paznecht
154,Kralle::N,dráp,pazúr
155,Schwanz::N,ocas,chvost
156,Ei::N,vejce,vajce
157,Ei::N,vejce,vajíčko
158,Nest::N,hnízdo,hniezdo
159,Bau::N,nora,nora
160,Tier::N,zvíře,zviera
161,Herde::N,stádo,stádo
162,Kuh::N,kráva,krava
163,Bulle::N,býk,býk
164,Pferd::N,kůň,kôň
165,Schaf::N,ovce,ovca
166,Schwein::N,vepř,sviňa
167,Schwein::N,prase,sviňa
168,Hund::N,pes,pes
169,Katze::N,kočka,mačka
170,Bär::N,medvěd,medveď
171,Eichhörnchen::N,veverka,veverička
172,Elch::N,los,los
173,Fuchs::N,liška,líška
174,Hase::N,zajíc,zajac
175,Maus::N,myš,myš
176,Wolf::N,vlk,vlk
177,Vogel::N,pták,vták
178,Schwarm::N,roj,roj
179,Schwarm::N,hejno,roj
180,Huhn::N,kuře,kurča
181,Huhn::N,kuře,sliepka
182,Huhn::N,slepice,kurča
183,Huhn::N,slepice,sliepka
184,Hahn::N,kohout,kohút
185,Gans::N,husa,hus
186,Adler::N,orel,orol
187,Ente::N,kachna,kačka
188,Ente::N,kachna,kačica
189,Eule::N,sova,sova
190,Kranich::N,jeřáb,žeriav
191,Krähe::N,vrána,vrana
192,Kuckuck::N,kukačka,kukučka
193,Schwan::N,labuť,labuť
194,Fisch::N,ryba,ryba
195,Barsch::N,okoun,ostriež
196,Hecht::N,štika,šťuka
197,Schlange[Tier]::N,had,had
198,Wurm::N,červ,červ
