,Concept_ID,ab,az
0,Auge::N,ала,göz
1,Ohr::N,алымҳа,qulaq
2,Nase::N,аҧынҵа,burun
3,Mund::N,аҧышə,ağız
4,Zahn::N,ахаҧыц,diş
5,Zunge::N,абз,dil
6,Lippe::N,ақьышə,dodaq
7,Wange::N,аӡамҩа,yanaq
8,Gesicht::N,аҿы,üz
9,Stirn::N,алахь,alın
10,Haar::N,ахəыц,saç
11,Schnurrbart::N,аҧаҵа,bığ
12,Bart::N,ажакьа,saqqal
13,Kinn::N,ацламкəыгə,çənə
14,Kiefer[Anatomie]::N,ацламҳəа,çənə
15,Kehle::N,ахəда,boğaz
16,Hals::N,ахəда,boyun
17,Genick::N,ахəдаџьал,ənsə
18,Kopf::N,ахы,baş
19,Rücken::N,азқəа,bel
20,Bauch::N,амгəа,qarın
21,Nabel::N,аҷапан,göbək
22,Busen::N,агəыҧҳəы,məmə
23,Brust::N,агəышҧы,döş
24,Schulter::N,ажəҩахыр,çiyin
25,Arm::N,амахəар,qol
26,Ellenbogen::N,амашьхəылҵ,dirsək
27,Hand::N,анапы,əl
28,Handfläche::N,анапсаргəыҵа,ovuc
29,Finger::N,анацəа,barmaq
30,Fingernagel::N,анапхыц,barmaq dırnağı
31,Nagel[Anatomie]::N,ашьапхыц,dırnak
32,Zeh::N,ашьацəа,ayaq barmağı
33,Fuß::N,ашьапсыргəыҵа,ayaq
34,Ferse::N,ашьхəа,daban
35,Knie::N,ашьамхы,diz
36,Oberschenkel::N,ауаҭəа,bud
37,Bein::N,ашьапы,qıç
38,Körper::N,ацəеижь,əndam
39,Haut::N,ацəа,dəri
40,Blut::N,ашьа,qan
41,Ader::N,ада,damar
42,Sehne::N,адаш,vətər
43,Knochen::N,абаҩ,sümük
44,Gehirn::N,ахшлыбаҩ,beyin
45,Gehirn::N,ахшыбаҩ,beyin
46,Herz::N,агəы,ürək
47,Magen::N,аца,mədə
48,Magen::N,ацар,mədə
49,Leber::N,агəаҵəа,qara ciyər
50,Atem::N,аҧсыҧлагаҩгара,nəfəs
51,Hunger::N,амла,aclıq
52,Träne::N,алабжыш,göz yaşı
53,Geschmack::N,агьама,tam
54,Geschmack::N,агьама,ləzzət
55,Geruch::N,афҩы,qoxu
56,Schlaf::N,ацəа,yuxu
57,Traum::N,аҧхыӡ,röya
58,Himmel::N,ажəҩан,göy
59,Himmel::N,ажəҩан,səma
60,Sonne::N,амра,günəş
61,Mond::N,амза,ay
62,Stern::N,аеҵəа,ulduz
63,Luft::N,аҳаир,hava
64,Wind::N,аҧша,yel
65,Wind::N,аҧша,külək
66,Welle::N,ацəқəырҧа,dalğa
67,Wasser::N,аӡы,su
68,Stein::N,ахаҳə,daş
69,Boden::N,адгьыл,yer
70,Boden::N,адгьыл,zəmin
71,Erde::N,адгьыл,yer torpaq
72,Staub::N,асаба,toz
73,Rauch::N,алҩа,tüstü
74,Funke::N,акəиц,qığılcım
75,Funke::N,ацҧхь,qığılcım
76,Feuer::N,амца,od
77,Licht::N,алашара,işıq
78,Schatten::N,ашəшьыра,kölgə
79,Wetter::N,амш,hava
80,Nebel::N,анаҟəа,duman
81,Wolke::N,аҧсҭҳəа,bulud
82,Regen::N,ақəа,yağış
83,Regen::N,ақəа,yağmur
84,Schnee::N,асы,qar
85,Eis::N,аҵаа,buz
86,Frost::N,аҵаа,ayaz
87,Kälte::N,ахьҭа,soyuq
88,Hitze::N,ашоура,coşğunluq
89,Raureif::N,аҵааҧшқа,qırov
90,Regenbogen::N,ацəаҟəа,göy qurşağı
91,Donner::N,адыд,göy gurultusu
92,Strömung::N,аиасра,axın
93,Strömung::N,амҩасра,axın
94,Tropfen::N,ацəыкəбар,damcı
95,Schaum::N,ашəах,köpük
96,Schmutz::N,алымт,çamır
97,See::N,аӡиа,göl
98,Sumpf::N,аӡмах,bataqlıq
99,Wiese::N,адəы,çəmən
100,Wald::N,абна,meşə
101,Hügel::N,ахəы,təpə
102,Anhöhe::N,аҳаракыра,təpə
103,Berg::N,ашьха,dağ
104,Gipfel::N,ацəқəа,zirvə
105,Höhle::N,аҳаҧы,mağara
106,Abhang::N,анаара,yamac
107,Quelle::N,аҵҵырҭа,bulaq
108,Bach::N,акəараҷҷа,kiçik çay
109,Fluss::N,аӡиас,çay
110,Ufer::N,ахықə,kənar
111,Küste::N,ахықə,sahil
112,Festland::N,абарра,materik
113,Meer::N,амшын,dəniz
114,Bucht::N,аӡбжьахала,körfəz
115,Insel::N,адгьылбжьаха,ada
116,Blume::N,ашəҭ,çiçək
117,Gras::N,аҳасакьын,ot
118,Wurzel::N,адац,kök
119,Baum::N,аҵла,ağac
120,Stamm::N,ашьапы,gövdə
121,Rinde::N,ацəа,qabıq
122,Ast::N,амахə,şax
123,Ast::N,амахəҭа,şax
124,Zweig::N,амахə,budaq
125,Zweig::N,амахəҭа,budaq
126,Blatt::N,абҕьы,yarpaq
127,Birke::N,аҵааҵла,tozağacı
128,Kiefer[Baum]::N,амза,şam
129,Weide[Baum]::N,аҧслыш,söyüd
130,Tanne::N,аҧсаӡ,küknar
131,Horn::N,атəыҩа,buynuz
132,Feder::N,ахӡы,tük
