,Concept_ID,lbe,it
0,Auge::N,я,occhio
1,Ohr::N,вичӏи,orecchio
2,Nase::N,май,naso
3,Mund::N,кьацӏ,bocca
4,Zahn::N,ккарччи,dente
5,Zunge::N,маз,lingua
6,Lippe::N,мурччи,labbro
7,Wange::N,чӏав,guancia
8,Gesicht::N,лажин,viso
9,Gesicht::N,лажин,faccia
10,Stirn::N,ненттабакӏ,fronte
11,Haar::N,чӏара,capello
12,Schnurrbart::N,ссирссилтту,baffi
13,Schnurrbart::N,ссирссилтту,mustacchi
14,Bart::N,чӏири,barba
15,Kinn::N,лунттубакӏ,mento
16,Kiefer[Anatomie]::N,ххинчулул,mascella
17,Kehle::N,кьакьари,gola
18,Hals::N,ссурссу,collo
19,Genick::N,махъабакӏ,nuca
20,Kopf::N,бакӏ,capo
21,Kopf::N,бакӏ,testa
22,Rücken::N,ттиликӏ,dorso
23,Rücken::N,ттиликӏ,schiena
24,Bauch::N,лякьа,ventre
25,Nabel::N,цӏумуккутӏ,ombelico
26,Busen::N,ккукку,seno
27,Brust::N,хъазам,petto
28,Schulter::N,хъачӏ,spalla
29,Arm::N,ка,braccio
30,Ellenbogen::N,ссюрхъ,gomito
31,Hand::N,бартка,mano
32,Handfläche::N,хъат,palma
33,Handfläche::N,битӏянхъ,palma
34,Finger::N,кӏисса,dito
35,Fingernagel::N,михь,unghia
36,Nagel[Anatomie]::N,михь,unghia
37,Zeh::N,кӏисса,dito del piede
38,Fuß::N,чӏанччан,piede
39,Ferse::N,никъа,tallone
40,Ferse::N,никъа,calcagno
41,Knie::N,ник,ginocchio
42,Oberschenkel::N,жира,fèmore
43,Bein::N,ччан,gamba
44,Körper::N,чурх,corpo
45,Haut::N,бурчу,pelle
46,Blut::N,оь,sangue
47,Ader::N,тунну,vena
48,Sehne::N,хьхьа,tèndine
49,Knochen::N,ттаркӏ,osso
50,Gehirn::N,ня,cervello
51,Herz::N,дакӏ,cuore
52,Herz::N,къюкӏ,cuore
53,Magen::N,лякьа,stòmaco
54,Atem::N,ссихӏ ласаву,fiato
55,Atem::N,ссихӏ ласаву,respiro
56,Atem::N,ссихӏ бигьаву,fiato
57,Atem::N,ссихӏ бигьаву,respiro
58,Hunger::N,ккаши,fame
59,Träne::N,макь,làcrima
60,Geschmack::N,тӏин,gusto
61,Geschmack::N,тӏин,sapore
62,Geschmack::N,тӏааьн,gusto
63,Geschmack::N,тӏааьн,sapore
64,Geruch::N,кьанкь,odore
65,Schlaf::N,шану,sonno
66,Traum::N,макӏру,sogno
67,Himmel::N,ссав,cielo
68,Sonne::N,баргъ,sole
69,Mond::N,барз,luna
70,Stern::N,цӏуку,stella
71,Luft::N,гьава,aria
72,Wind::N,марч,vento
73,Welle::N,щатӏи,onda
74,Wasser::N,щин,acqua
75,Stein::N,чару,sasso
76,Stein::N,чару,pietra
77,Boden::N,аьрщи,suolo
78,Boden::N,аьрщи,terreno
79,Erde::N,аьрщи,terra
80,Staub::N,ххит,polvere
81,Rauch::N,пуркӏу,fumo
82,Funke::N,пиягь,scintilla
83,Feuer::N,цӏу,fuoco
84,Licht::N,чани,luce
85,Schatten::N,ххют,ombra
86,Wetter::N,гьава,tempo
87,Nebel::N,шархь ттурлу,nebbia
88,Wolke::N,ттурлу,nube
89,Wolke::N,ттурлу,nùvola
90,Regen::N,гъарал,pioggia
91,Schnee::N,марххала,neve
92,Eis::N,микӏ,ghiaccio
93,Frost::N,дяркъу,gelo
94,Frost::N,замгьар,gelo
95,Kälte::N,дяркъу,freddo
96,Hitze::N,кӏиришиву,caldo
97,Hitze::N,кӏиришиву,calura
98,Raureif::N,сил,brina
99,Raureif::N,бурса,brina
100,Regenbogen::N,ссурул ккуртта,arcobaleno
101,Donner::N,къув,tuono
102,Strömung::N,экьинанаву,corrente
103,Tropfen::N,кӏунтӏ,goccia
104,Schaum::N,хьама,spuma
105,Schaum::N,хьама,schiuma
106,Schmutz::N,кьяркьи,sudiciume
