,Concept_ID,az,tt
0,Auge::N,göz,күз
1,Ohr::N,qulaq,колак
2,Nase::N,burun,борын
3,Mund::N,ağız,авыз
4,Mund::N,ağız,тамак
5,Zahn::N,diş,теш
6,Zunge::N,dil,тел
7,Lippe::N,dodaq,ирен
8,Wange::N,yanaq,яңак
9,Gesicht::N,üz,йөз
10,Stirn::N,alın,маңгай
11,Haar::N,saç,чәч
12,Schnurrbart::N,bığ,мыек
13,Bart::N,saqqal,сакал
14,Kinn::N,çənə,ияк
15,Kiefer[Anatomie]::N,çənə,казналык
16,Kehle::N,boğaz,тамак
17,Hals::N,boyun,бугаз
18,Genick::N,ənsə,җилкә
19,Kopf::N,baş,баш
20,Rücken::N,bel,сырт
21,Bauch::N,qarın,корсак
22,Nabel::N,göbək,кендек
23,Busen::N,məmə,түш
24,Brust::N,döş,имчәк
25,Brust::N,döş,күкрәк
26,Schulter::N,çiyin,иңбаш
27,Schulter::N,çiyin,кулбаш
28,Arm::N,qol,кул
29,Ellenbogen::N,dirsək,терсәк
30,Hand::N,əl,кул
31,Handfläche::N,ovuc,уч
32,Finger::N,barmaq,бармак
33,Fingernagel::N,barmaq dırnağı,тырнак
34,Nagel[Anatomie]::N,dırnak,тырнак
35,Zeh::N,ayaq barmağı,бармак
36,Fuß::N,ayaq,табан
37,Ferse::N,daban,үкчә
38,Knie::N,diz,тез
39,Oberschenkel::N,bud,бот
40,Bein::N,qıç,аяк
41,Körper::N,əndam,тән
42,Körper::N,əndam,җисем
43,Haut::N,dəri,тире
44,Blut::N,qan,кан
45,Ader::N,damar,тамыр
46,Sehne::N,vətər,сеңер
47,Knochen::N,sümük,сөяк
48,Gehirn::N,beyin,ми
49,Herz::N,ürək,йөрәк
50,Magen::N,mədə,ашказаны
51,Leber::N,qara ciyər,бавыр
52,Atem::N,nəfəs,сулыш
53,Hunger::N,aclıq,ачлык
54,Träne::N,göz yaşı,яшь
55,Geschmack::N,tam,тәм
56,Geschmack::N,tam,зәвык
57,Geschmack::N,ləzzət,тәм
58,Geschmack::N,ləzzət,зәвык
59,Geruch::N,qoxu,ис
60,Schlaf::N,yuxu,йокы
61,Traum::N,röya,төш
62,Himmel::N,göy,күк
63,Himmel::N,səma,күк
64,Sonne::N,günəş,кояш
65,Mond::N,ay,ай
66,Stern::N,ulduz,йолдыз
67,Luft::N,hava,һава
68,Wind::N,yel,җил
69,Wind::N,külək,җил
70,Welle::N,dalğa,дулкын
71,Wasser::N,su,су
72,Stein::N,daş,таш
73,Boden::N,yer,туфрак
74,Boden::N,zəmin,туфрак
75,Erde::N,yer torpaq,җир
76,Staub::N,toz,тузан
77,Rauch::N,tüstü,төтен
78,Funke::N,qığılcım,очкын
79,Feuer::N,od,ут
80,Licht::N,işıq,якты
81,Schatten::N,kölgə,күләгә
82,Wetter::N,hava,һава
83,Nebel::N,duman,томан
84,Wolke::N,bulud,болыт
85,Regen::N,yağış,яңгыр
86,Regen::N,yağmur,яңгыр
87,Schnee::N,qar,кар
88,Eis::N,buz,боз
89,Frost::N,ayaz,суык
90,Frost::N,ayaz,салкын
91,Kälte::N,soyuq,суык
92,Kälte::N,soyuq,салкын
93,Hitze::N,coşğunluq,эсселек
94,Raureif::N,qırov,бәс
95,Raureif::N,qırov,сыкы
96,Regenbogen::N,göy qurşağı,салават күпере
97,Donner::N,göy gurultusu,күкрәү
98,Strömung::N,axın,агыш'агым
99,Tropfen::N,damcı,тамчы
100,Schaum::N,köpük,күбек
101,Schmutz::N,çamır,пычрак
102,See::N,göl,күл
103,Sumpf::N,bataqlıq,саз
104,Moor::N,bataqlıq,торфлык
105,Wiese::N,çəmən,болын
106,Wald::N,meşə,урман
107,Hügel::N,təpə,калку
108,Anhöhe::N,təpə,үр
109,Berg::N,dağ,тау
110,Gipfel::N,zirvə,оч
111,Höhle::N,mağara,мәгарә
112,Abhang::N,yamac,кабырга
113,Quelle::N,bulaq,чишмә
114,Bach::N,kiçik çay,елга
115,Fluss::N,çay,дәрья
116,Ufer::N,kənar,су кырые
117,Küste::N,sahil,яр буе
118,Festland::N,materik,коры җир
119,Meer::N,dəniz,диңгез
120,Bucht::N,körfəz,бухта
121,Bucht::N,körfəz,култык
122,Insel::N,ada,атау
123,Insel::N,ada,утрау
124,Blume::N,çiçək,чәчкә
125,Gras::N,ot,үлән
126,Wurzel::N,kök,тамыр
127,Baum::N,ağac,агач
128,Stamm::N,gövdə,кәүсә
129,Rinde::N,qabıq,кабык
130,Ast::N,şax,ботак
131,Zweig::N,budaq,ботак
132,Zweig::N,budaq,тармак
133,Blatt::N,yarpaq,яфрак
134,Birke::N,tozağacı,каен
135,Kiefer[Baum]::N,şam,нарат
136,Weide[Baum]::N,söyüd,тал
