,Concept_ID,myv,vep
0,Auge::N,сельме,sil'm
1,Ohr::N,пиле,korv
2,Nase::N,судо,nena
3,Mund::N,курго,su
4,Zahn::N,пей,pi
5,Zahn::N,пей,hambaz
6,Zunge::N,кель,kel'
7,Lippe::N,турва,hul'
8,Wange::N,чамабока,modpolišk
9,Wange::N,чамаумарь,modpolišk
10,Gesicht::N,чама,mod
11,Stirn::N,коня,oc
12,Haar::N,черь,tuk
13,Haar::N,черь,hibuz
14,Schnurrbart::N,ус,habinod
15,Schnurrbart::N,муюк,habinod
16,Bart::N,сакал,bard
17,Kinn::N,уло,löug
18,Kiefer[Anatomie]::N,пейпакар,hambazlu
19,Kiefer[Anatomie]::N,пейловажа,hambazlu
20,Kehle::N,кирьгапарь,kurk
21,Hals::N,кирьга,kagl
22,Genick::N,човонь,tagarai
23,Kopf::N,пря,pä
24,Rücken::N,копорь,sel'g
25,Bauch::N,пеке,vac
26,Bauch::N,пеке,koht
27,Nabel::N,почо,naba
28,Busen::N,поте,niža
29,Brust::N,меште,rind
30,Schulter::N,лавтов,oug
31,Arm::N,кедь,käzi
32,Ellenbogen::N,кенерепакарь,künambruz
33,Hand::N,кедь,käzi
34,Hand::N,кедь,käzitera
35,Handfläche::N,кедькуншка,kämen
36,Handfläche::N,кедьлапушка,kämen
37,Finger::N,сур,sor'm
38,Fingernagel::N,кенже,künz'
39,Nagel[Anatomie]::N,кенже,künz'
40,Zeh::N,пильге сур,barbaz
41,Fuß::N,пильге,jaug
42,Ferse::N,кочкаря,kand
43,Knie::N,эле,komb
44,Knie::N,эле,pol'v
45,Knie::N,эзне,komb
46,Knie::N,эзне,pol'v
47,Knie::N,кумажа,komb
48,Knie::N,кумажа,pol'v
49,Oberschenkel::N,качо,riiže
50,Bein::N,пильге,jaug
51,Körper::N,рунго,hibj
52,Haut::N,киське,nahk
53,Blut::N,верь,čak
54,Blut::N,верь,veri
55,Ader::N,сан,son'
56,Sehne::N,коське сан,jände
57,Knochen::N,пакарь,lu
58,Gehirn::N,удем,aivod
59,Herz::N,седей,südäin
60,Magen::N,пеке,südäikoht
61,Leber::N,максо,maks
62,Atem::N,лексема,hengaiduz
63,Atem::N,оймень таргсема,hengaiduz
64,Hunger::N,вачочи,näl'g
65,Träne::N,селведь,kündal'
66,Geschmack::N,тансть,magu
67,Geruch::N,чине,haju
68,Schlaf::N,удома,uni
69,Traum::N,он,unikuva
70,Himmel::N,менель,taivaz
71,Sonne::N,чи,päiväine
72,Mond::N,ков,kudmaine
73,Stern::N,теште,tähtaz
74,Luft::N,кошт,il'm
75,Wind::N,варма,döl
76,Wind::N,варма,tullei
77,Welle::N,толкун,ald
78,Welle::N,толкун,laineh
79,Wasser::N,ведь,vezi
80,Stein::N,кев,kivi
81,Boden::N,мода,ma
82,Boden::N,мода,pohj
83,Erde::N,мастор,ma
84,Staub::N,пуль,pölü
85,Rauch::N,качамо,savu
86,Funke::N,сятко,kibin
87,Feuer::N,тол,lämoi
88,Licht::N,валдо,vauktuz
89,Schatten::N,сулей,pil'vez
90,Schatten::N,сулей,kuvahaine
91,Schatten::N,сулейкс,pil'vez
92,Schatten::N,сулейкс,kuvahaine
93,Wetter::N,ушо,sä
94,Nebel::N,сув,sumeg
95,Wolke::N,пель,pil'v
96,Regen::N,пиземс,vihm
97,Schnee::N,лов,lumi
98,Eis::N,эй,jä
99,Frost::N,кельме,hala
100,Frost::N,кельме,pakaine
101,Kälte::N,якшамо,vilu
102,Hitze::N,пси,räk
103,Raureif::N,лекш,hüde
104,Regenbogen::N,пурьгинечирьке,jumalanbembel'
105,Regenbogen::N,пурьгинеёнкс,jumalanbembel'
106,Donner::N,пурьгине,juru
107,Donner::N,пурьгине,jumalanjuru
108,Strömung::N,чудема,joksmuz
109,Strömung::N,чудевкс,joksmuz
110,Tropfen::N,петнявкс,tilkuine
111,Schaum::N,чов,vaht
112,Schmutz::N,рудаз,redu
113,Schmutz::N,рудаз,pačak
114,See::N,эрьке,järv
115,Sumpf::N,чей,so
116,Moor::N,чей,so
117,Wiese::N,луга,nit
118,Wald::N,вирь,mec
119,Hügel::N,губорь,kukaz
120,Hügel::N,пандыне,kukaz
121,Anhöhe::N,губорь,kukaz
122,Anhöhe::N,пандыне,kukaz
123,Berg::N,пандо,mägi
124,Gipfel::N,пря,ladv
125,Höhle::N,пещера,mägionduz
126,Abhang::N,пандочама,paute
127,Quelle::N,ушодкс,lähte
128,Bach::N,чудикерькс,oja
129,Fluss::N,лей,jogi
130,Ufer::N,чире,rand
131,Küste::N,лейчире,randišt
132,Festland::N,мода,kuivma
133,Meer::N,моря,meri
134,Bucht::N,усия,laht
135,Insel::N,усия,sar'
136,Blume::N,цеця,änik
137,Gras::N,тикше,hein
138,Wurzel::N,юр,jur'
139,Wurzel::N,ундокс,jur'
