,Concept_ID,cv,bg
0,Auge::N,куҫ,око
1,Ohr::N,хӑлха,ухо
2,Nase::N,сӑмса,нос
3,Mund::N,ҫӑвар,уста
4,Zahn::N,шӑл,зъб
5,Zunge::N,чӗлхе,език
6,Lippe::N,тута,устна
7,Wange::N,пит ҫӑмарти,буза
8,Gesicht::N,пит,лице
9,Gesicht::N,пит,образ
10,Gesicht::N,пит-куҫ,лице
11,Gesicht::N,пит-куҫ,образ
12,Stirn::N,ҫамка,чело
13,Haar::N,ҫӳҫ,коса
14,Haar::N,ҫӳҫ,косъм
15,Schnurrbart::N,усси,мустаци
16,Bart::N,сухал,брада
17,Kinn::N,янах,брада
18,Kinn::N,янах,брадичка
19,Kiefer[Anatomie]::N,янах,челюст
20,Kehle::N,пыр,гърло
21,Kehle::N,карланкӑ,гърло
22,Hals::N,пыр,врат
23,Genick::N,ӗнсе,тил
24,Kopf::N,пуҫ,глава
25,Rücken::N,ҫурӑм,гръб
26,Nabel::N,кӑвапа,пъп
27,Busen::N,кӑкӑр,бозка
28,Brust::N,умӗ,гръд
29,Schulter::N,хул пуҫҫи,рамо
30,Schulter::N,хул пуҫҫи,плещи
31,Arm::N,алӑ,ръка
32,Ellenbogen::N,чавса,лакът
33,Hand::N,алӑ сыппи,ръка
34,Hand::N,алӑ сыппи,китка
35,Handfläche::N,ал лаппи,длан
36,Finger::N,пӳрне,пръст
37,Fingernagel::N,чӗрне,нокът
38,Nagel[Anatomie]::N,чӗрне,нокът
39,Zeh::N,пӳрне,пръст на крак
40,Fuß::N,ура лаппи,крак
41,Fuß::N,ура лаппи,нога
42,Ferse::N,кӗле,пета
43,Knie::N,чӗркуҫҫи,коляно
44,Oberschenkel::N,пӗҫӗ,бедро
45,Bein::N,ура,крак
46,Bein::N,ура,нога
47,Körper::N,ӳт,тяло
48,Körper::N,ӳт-пӳ,тяло
49,Haut::N,тир,кожа
50,Blut::N,юн,кръв
51,Ader::N,вена,вена
52,Ader::N,вена,артерия
53,Sehne::N,шӑнӑр,жила
54,Sehne::N,шӑнӑр,сухожилие
55,Knochen::N,шӑмӑ,кост
56,Gehirn::N,миме,мозък
57,Herz::N,чӗре,сърце
58,Magen::N,хырӑмлӑх,стомах
59,Leber::N,пӗвер,черен дроб
60,Atem::N,сывлав,дишане
61,Hunger::N,выҫлӑх,глад
62,Träne::N,куҫҫуль,сълза
63,Geschmack::N,техӗм,вкус
64,Geruch::N,шӑршӑ,миризма
65,Schlaf::N,ыйхӑ,сън
66,Traum::N,тӗлӗк,сън
67,Himmel::N,пӗлӗт,небе
68,Sonne::N,хӗвел,слънце
69,Mond::N,уйӑх,луна
70,Mond::N,уйӑх,месец
71,Stern::N,ҫӑлтӑр,звезда
72,Luft::N,сывлӑш,въздух
73,Wind::N,ҫил,вятър
74,Welle::N,хум,вълна
75,Wasser::N,шыв,вода
76,Wasser::N,шыв-шур,вода
77,Stein::N,чул,камък
78,Boden::N,тӑпра,земя
79,Boden::N,тӑпра,почва
80,Erde::N,ҫӗр,земя
81,Erde::N,ҫӗр,почва
82,Staub::N,тусан,прах
83,Rauch::N,тӗтӗм,дим
84,Rauch::N,тӗтӗм,пушек
85,Funke::N,хӗм,искра
86,Feuer::N,вут,огън
87,Feuer::N,ҫулӑм,огън
88,Licht::N,ҫутӑ,светлина
89,Schatten::N,сулхӑн,сянка
90,Wetter::N,ҫанталӑк,време
91,Nebel::N,тӗтре,мъгла
92,Wolke::N,пӗлӗт,облак
93,Regen::N,ҫумӑр,дъжд
94,Schnee::N,юр,сняг
95,Eis::N,пӑр,лед
96,Frost::N,сивӗ,мраз
97,Kälte::N,сивӗ,студ
98,Hitze::N,вӗри,жега
99,Hitze::N,вӗри,горещина
100,Hitze::N,шӑрӑх,жега
101,Hitze::N,шӑрӑх,горещина
102,Raureif::N,пас,скреж
103,Raureif::N,пас,слана
104,Regenbogen::N,асамат кӗперӗ,дъга
105,Donner::N,аслати,гръм
106,Strömung::N,юхӑ,течение
107,Tropfen::N,тумлам,капка
108,Schaum::N,кӑпӑк,пяна
109,Schmutz::N,пылчӑк,кал
110,Schmutz::N,пылчӑк,мръсотия
111,See::N,кӳлӗ,езеро
112,Sumpf::N,шур,блато
113,Sumpf::N,шурлӑх,блато
114,Moor::N,торфлӑ шурлӑх,мочурище
115,Wiese::N,улӑх,ливада
116,Wiese::N,ҫаран,ливада
117,Wald::N,вӑрман,гора
118,Hügel::N,сӑрт,рид
119,Hügel::N,сӑрт,хълм
120,Hügel::N,тӗмеске,рид
121,Hügel::N,тӗмеске,хълм
122,Anhöhe::N,сӑрт,могила
123,Anhöhe::N,сӑрт,възвишение
124,Berg::N,ту,планина
125,Gipfel::N,тӳпе,връх
126,Höhle::N,ҫӗр хӑвӑлӗ,пещера
127,Abhang::N,тӑвайкки,склон
128,Abhang::N,тӑвайкки,стръмнина
129,Quelle::N,ҫӑл куҫ,извор
130,Bach::N,пӗчӗк шыв,поток
131,Fluss::N,юхан шыв,река
132,Ufer::N,ҫыран,бряг
133,Küste::N,тинӗс ҫыранӗ,бряг
134,Küste::N,тинӗс ҫыранӗ,крайбрежие
135,Festland::N,тип ҫӗр,суша
136,Meer::N,тинӗс,море
137,Bucht::N,тинӗс кукӑрӗ,залив
138,Insel::N,утрав,остров
139,Blume::N,чечек,цвете
140,Gras::N,курӑк,трева
141,Wurzel::N,тымар,корен
142,Baum::N,йывӑҫ,дърво
143,Stamm::N,вулӑ,стъбло
144,Rinde::N,хуйӑр,кора
145,Ast::N,турат,клон
146,Zweig::N,турат,клон
147,Blatt::N,ҫулҫӑ,лист
148,Birke::N,хурӑн,бреза
149,Kiefer[Baum]::N,хыр,бор
150,Weide[Baum]::N,хӑва,върба
151,Tanne::N,чӑрӑш,ела
152,Horn::N,мӑйрака,рог
153,Feder::N,тӗк,перо
154,Fell::N,ҫӑм,кожа
155,Flügel::N,ҫунат,крило
156,Klaue::N,чӗрне,нокът
157,Kralle::N,ура,нокът
158,Schwanz::N,хӳре,опашка
159,Ei::N,ҫӑмарта,яйце
160,Nest::N,йӑва,гнездо
161,Bau::N,йӗнӗ,дупка
162,Tier::N,выльӑх,животно
163,Herde::N,кӗтӳ,стадо
164,Kuh::N,ӗне,крава
165,Bulle::N,вӑкӑр,бик
166,Pferd::N,лаша,кон
167,Schaf::N,сурӑх,овца
168,Schwein::N,сысна,свиня
169,Hund::N,йытӑ,куче
170,Katze::N,кушак,котка
171,Bär::N,упа,мечка
172,Eichhörnchen::N,пакша,катерица
173,Elch::N,пӑши,лос
174,Fuchs::N,тилӗ,лисица
175,Hase::N,куян,заек
176,Hase::N,мулкач,заек
177,Maus::N,шӑши,мишка
178,Wolf::N,кашкӑр,вълк
179,Vogel::N,кайӑк,птица
180,Vogel::N,вӗҫен кайӑк,птица
181,Schwarm::N,ушкӑн,рой
182,Schwarm::N,ушкӑн,рояк
183,Huhn::N,чӑх,кокошка
184,Huhn::N,чӑхӑ,кокошка
185,Hahn::N,автан,петел
186,Gans::N,хур,гъска
187,Adler::N,ӑмӑрт кайӑк,орел
188,Ente::N,кӑвакал,патица
189,Eule::N,тӑмана,сова
190,Kranich::N,тӑрна,жерав
191,Krähe::N,ула курак,врана
192,Kuckuck::N,куккук,кукувица
193,Schwan::N,акӑш,лебед
194,Fisch::N,пулӑ,риба
195,Barsch::N,уланкӑ,костур
196,Hecht::N,ҫӑрттан,щука
197,Schlange[Tier]::N,ҫӗлен,змия
198,Wurm::N,ӑман,червей
199,Spinne::N,эрешмен,паяк
200,Ameise::N,кӑткӑ,мравка
201,Laus::N,пыйтӑ,въшка
202,Mücke::N,вӑрӑм туна,комар
203,Fliege::N,шӑна,муха
204,Schmetterling::N,лӗпӗш,пеперуда
205,Beere::N,ҫырла,плод
206,Apfel::N,улма,ябълка
207,Apfel::N,пан улми,ябълка
208,Pilz::N,кӑмпа,гъба
209,Zwiebel::N,сухан,лук
210,Zwiebel::N,сухан,кромид
211,Saat::N,вӑрӑ,семе
212,Korn::N,тӗшӗ,зърно
213,Korn::N,пӗрчӗ,зърно
214,Heu::N,утӑ,сено
215,Schale::N,хупӑ,кора
216,Grube::N,шӑтӑк,яма
217,Grube::N,шӑтӑк,дупка
218,Falle::N,тапӑ,примка
219,Falle::N,капкӑн,примка
220,Schlinge::N,йӑлӑ,клуп
221,Spur::N,йӗр,диря
222,Spur::N,йӗр,следа
223,Asche::N,кӗл,пепел
224,Dreck::N,пылчӑк,кал
225,Eisen::N,тимӗр,желязо
226,Gold::N,ылтӑн,злато
227,Silber::N,кӗмӗл,сребро
228,Kohle::N,кӑмрӑк,въглища
229,Glas::N,кӗленче,стъкло
230,Lehm::N,тӑм,глина
231,Sand::N,хӑйӑр,пясък
232,Mensch::N,ҫын,човек
233,Mensch::N,этем,човек
