,Concept_ID,no,tt
0,Auge::N,øye,күз
1,Ohr::N,øre,колак
2,Nase::N,nese,борын
3,Mund::N,munn,авыз
4,Mund::N,munn,тамак
5,Zahn::N,tann,теш
6,Zunge::N,tunge,тел
7,Lippe::N,leppe,ирен
8,Wange::N,kinn,яңак
9,Gesicht::N,fjes,йөз
10,Gesicht::N,ansikt,йөз
11,Stirn::N,panne,маңгай
12,Haar::N,hår,чәч
13,Schnurrbart::N,bart,мыек
14,Bart::N,skjegg,сакал
15,Kinn::N,hake,ияк
16,Kiefer[Anatomie]::N,kjeve,казналык
17,Kehle::N,strupe,тамак
18,Hals::N,hals,бугаз
19,Genick::N,nakke,җилкә
20,Kopf::N,hode,баш
21,Rücken::N,rygg,сырт
22,Bauch::N,buk,корсак
23,Bauch::N,mage,корсак
24,Nabel::N,navle,кендек
25,Busen::N,barm,түш
26,Brust::N,bryst,имчәк
27,Brust::N,bryst,күкрәк
28,Schulter::N,skulder,иңбаш
29,Schulter::N,skulder,кулбаш
30,Arm::N,arm,кул
31,Ellenbogen::N,albue,терсәк
32,Hand::N,hånd,кул
33,Handfläche::N,håndflate,уч
34,Finger::N,finger,бармак
35,Fingernagel::N,fingernegl,тырнак
36,Nagel[Anatomie]::N,negl,тырнак
37,Zeh::N,tå,бармак
38,Fuß::N,fot,табан
39,Ferse::N,hæl,үкчә
40,Knie::N,kne,тез
41,Oberschenkel::N,lår,бот
42,Bein::N,bein,аяк
43,Körper::N,kropp,тән
44,Körper::N,kropp,җисем
45,Körper::N,legeme,тән
46,Körper::N,legeme,җисем
47,Haut::N,hud,тире
48,Haut::N,skinn,тире
49,Blut::N,blod,кан
50,Ader::N,åre,тамыр
51,Sehne::N,sene,сеңер
52,Knochen::N,bein,сөяк
53,Knochen::N,knokkel,сөяк
54,Gehirn::N,hjerne,ми
55,Herz::N,hjerte,йөрәк
56,Magen::N,mage,ашказаны
57,Leber::N,lever,бавыр
58,Atem::N,pust,сулыш
59,Hunger::N,sult,ачлык
60,Träne::N,tåre,яшь
61,Geschmack::N,smak,тәм
62,Geschmack::N,smak,зәвык
63,Geruch::N,lukt,ис
64,Schlaf::N,søvn,йокы
65,Traum::N,drøm,төш
66,Himmel::N,himmel,күк
67,Sonne::N,sol,кояш
68,Mond::N,måne,ай
69,Stern::N,stjerne,йолдыз
70,Luft::N,luft,һава
71,Wind::N,vind,җил
72,Welle::N,bølge,дулкын
73,Wasser::N,vann,су
74,Stein::N,stein,таш
75,Boden::N,bakke,туфрак
76,Erde::N,jord,җир
77,Staub::N,støv,тузан
78,Rauch::N,røyk,төтен
79,Funke::N,gnist,очкын
80,Feuer::N,ild,ут
81,Licht::N,lys,якты
82,Schatten::N,skygge,күләгә
83,Wetter::N,vær,һава
84,Nebel::N,tåke,томан
85,Wolke::N,sky,болыт
86,Regen::N,regn,яңгыр
87,Schnee::N,snø,кар
88,Eis::N,is,боз
89,Frost::N,frost,суык
90,Frost::N,frost,салкын
91,Kälte::N,kulde,суык
92,Kälte::N,kulde,салкын
93,Hitze::N,hete,эсселек
94,Raureif::N,rimfrost,бәс
95,Raureif::N,rimfrost,сыкы
96,Regenbogen::N,regnbue,салават күпере
97,Donner::N,torden,күкрәү
98,Strömung::N,strømning,агыш'агым
99,Tropfen::N,dråpe,тамчы
100,Schaum::N,skum,күбек
101,Schmutz::N,søl,пычрак
102,Schmutz::N,skitt,пычрак
103,See::N,sjø,күл
104,Sumpf::N,sump,саз
105,Sumpf::N,myrlende,саз
106,Moor::N,myr,торфлык
107,Moor::N,myrhei,торфлык
108,Wiese::N,eng,болын
109,Wald::N,skog,урман
110,Hügel::N,haug,калку
111,Hügel::N,bakke,калку
112,Anhöhe::N,haug,үр
113,Anhöhe::N,bakke,үр
114,Berg::N,berg,тау
115,Berg::N,fjell,тау
116,Gipfel::N,topp,оч
117,Höhle::N,hule,мәгарә
118,Abhang::N,li,кабырга
119,Abhang::N,skråning,кабырга
120,Quelle::N,kilde,чишмә
121,Bach::N,bekk,елга
122,Fluss::N,elv,дәрья
123,Ufer::N,bredd,су кырые
124,Küste::N,kyst,яр буе
125,Festland::N,fastland,коры җир
126,Meer::N,hav,диңгез
127,Bucht::N,bukt,бухта
128,Bucht::N,bukt,култык
129,Insel::N,øy,атау
130,Insel::N,øy,утрау
131,Blume::N,blomst,чәчкә
132,Gras::N,gress,үлән
133,Wurzel::N,rot,тамыр
134,Baum::N,tre,агач
135,Stamm::N,stamme,кәүсә
136,Rinde::N,bark,кабык
137,Ast::N,gren,ботак
138,Zweig::N,kvist,ботак
139,Zweig::N,kvist,тармак
140,Blatt::N,blad,яфрак
141,Birke::N,bjørk,каен
142,Kiefer[Baum]::N,furu,нарат
143,Weide[Baum]::N,selje,тал
144,Weide[Baum]::N,piletre,тал
145,Tanne::N,gran,чыршы
146,Horn::N,horn,мөгез
147,Feder::N,fjær,йон
148,Fell::N,skinn,тире
149,Flügel::N,vinge,канат
150,Klaue::N,klauv,тырнак
151,Kralle::N,klo,тырнак
152,Schwanz::N,hale,койрык
153,Ei::N,egg,күкәй
154,Ei::N,egg,йомырка
155,Nest::N,rede,оя
156,Bau::N,hi,өн
157,Tier::N,dyr,хайван
158,Herde::N,flokk,көтү
159,Kuh::N,ku,сыер
160,Bulle::N,tyr,үгез
161,Pferd::N,hest,ат
162,Schaf::N,får,сарык
163,Schwein::N,gris,дуңгыз
164,Hund::N,hund,эт
165,Katze::N,katt,песи
166,Bär::N,bjørn,аю
167,Eichhörnchen::N,ekorn,тиен
168,Elch::N,elg,поши
169,Fuchs::N,rev,төлке
170,Hase::N,hare,куян
171,Maus::N,mus,тычкан
172,Wolf::N,ulv,бүре
173,Wolf::N,varg,бүре
174,Vogel::N,fugl,кош
175,Schwarm::N,sverm,көтү
176,Huhn::N,høne,тавык
177,Hahn::N,hane,әтәч
178,Gans::N,gås,каз
179,Adler::N,ørn,каракош
180,Ente::N,and,үрдәк
181,Eule::N,ugle,ябалак
182,Kranich::N,trane,торна
183,Krähe::N,kråke,карга
184,Kuckuck::N,gjøk,күке
185,Kuckuck::N,gjøk,кәккүк
186,Schwan::N,svane,аккош
187,Fisch::N,fisk,балык
188,Barsch::N,abbor,алабуга
189,Hecht::N,gjedde,чуртан
190,Schlange[Tier]::N,orm,елан
191,Schlange[Tier]::N,slange,елан
192,Wurm::N,orm,корт
193,Wurm::N,mark,корт
194,Spinne::N,edderkopp,үрмәкүч
195,Ameise::N,maur,кырмыска
196,Laus::N,lus,бет
197,Mücke::N,mygg,черки
198,Mücke::N,mygg,озынборын
199,Fliege::N,flue,чебен
200,Schmetterling::N,sommerfugl,күбәләк
201,Beere::N,bær,җиләк
202,Apfel::N,eple,алма
