,Concept_ID,lbe,bn
0,Auge::N,я,চক্ষু
1,Ohr::N,вичӏи,কর্ণ
2,Nase::N,май,নাক
3,Mund::N,кьацӏ,মুখ
4,Zahn::N,ккарччи,দাঁত
5,Zunge::N,маз,জিহবা
6,Lippe::N,мурччи,অধর
7,Wange::N,чӏав,গণ্ড
8,Gesicht::N,лажин,মুখমণ্ডল
9,Stirn::N,ненттабакӏ,কপাল
10,Haar::N,чӏара,চুল
11,Schnurrbart::N,ссирссилтту,গোঁফ
12,Bart::N,чӏири,শ্মশ্রু
13,Kinn::N,лунттубакӏ,চিবুক
14,Kiefer[Anatomie]::N,ххинчулул,চোয়াল
15,Kehle::N,кьакьари,কণ্ঠ
16,Hals::N,ссурссу,গল
17,Genick::N,махъабакӏ,ঘাড়
18,Kopf::N,бакӏ,মাথা
19,Rücken::N,ттиликӏ,পৃষ্ঠ
20,Bauch::N,лякьа,উদর
21,Nabel::N,цӏумуккутӏ,নাভি
22,Busen::N,ккукку,স্তন
23,Brust::N,хъазам,বুক
24,Schulter::N,хъачӏ,স্কন্ধ
25,Arm::N,ка,বাহু
26,Ellenbogen::N,ссюрхъ,কনুই
27,Hand::N,бартка,হাত
28,Handfläche::N,хъат,করতল
29,Handfläche::N,битӏянхъ,করতল
30,Finger::N,кӏисса,আঙ্গুল
31,Fingernagel::N,михь,হাতের নখ
32,Nagel[Anatomie]::N,михь,নখ
33,Zeh::N,кӏисса,আঙ্গুল
34,Fuß::N,чӏанччан,পা
35,Ferse::N,никъа,গোড়ালি
36,Knie::N,ник,হাঁটু
37,Oberschenkel::N,жира,ঊরু
38,Bein::N,ччан,পা
39,Körper::N,чурх,দেহ
40,Haut::N,бурчу,ত্বক
41,Blut::N,оь,রক্ত
42,Ader::N,тунну,শিরা
43,Sehne::N,хьхьа,কণ্ডরা
44,Knochen::N,ттаркӏ,অস্থি
45,Gehirn::N,ня,মস্তিষ্ক
46,Herz::N,дакӏ,হৃৎপিণ্ড
47,Herz::N,къюкӏ,হৃৎপিণ্ড
48,Magen::N,лякьа,পাকস্থলী
49,Atem::N,ссихӏ ласаву,শ্বাস
50,Atem::N,ссихӏ бигьаву,শ্বাস
51,Hunger::N,ккаши,ক্ষুধা
52,Träne::N,макь,অশ্রু
53,Geschmack::N,тӏин,স্বাদ
54,Geschmack::N,тӏааьн,স্বাদ
55,Geruch::N,кьанкь,গন্ধ
56,Schlaf::N,шану,ঘুম
57,Traum::N,макӏру,স্বপ্ন
58,Himmel::N,ссав,আকাশ
59,Sonne::N,баргъ,সূর্য
60,Mond::N,барз,চন্দ্র
61,Stern::N,цӏуку,নক্ষত্র
62,Luft::N,гьава,বায়ু
63,Wind::N,марч,বাতাস
64,Welle::N,щатӏи,ঢেউ
65,Welle::N,щатӏи,তরঙ্গ
66,Wasser::N,щин,জল
67,Stein::N,чару,ঢিল
68,Stein::N,чару,প্রস্তর
69,Boden::N,аьрщи,ভূতল
70,Erde::N,аьрщи,ভূমি
71,Staub::N,ххит,ধুলা
72,Rauch::N,пуркӏу,ধোঁয়া
73,Funke::N,пиягь,স্ফুলিঙ্গ
74,Feuer::N,цӏу,অগ্নি
75,Licht::N,чани,আলো
76,Schatten::N,ххют,ছায়া
77,Wetter::N,гьава,আবহাওয়া
78,Nebel::N,шархь ттурлу,কুহেলিকা
79,Wolke::N,ттурлу,মেঘ
80,Regen::N,гъарал,বৃষ্টি
81,Schnee::N,марххала,তুষার
82,Eis::N,микӏ,বরফ
83,Frost::N,дяркъу,তুষার
84,Frost::N,замгьар,তুষার
85,Kälte::N,дяркъу,শৈত্য
86,Hitze::N,кӏиришиву,তাপ
87,Raureif::N,сил,তুহিন
88,Raureif::N,бурса,তুহিন
89,Regenbogen::N,ссурул ккуртта,রামধনু
90,Donner::N,къув,বজ্রধ্বনি
91,Strömung::N,экьинанаву,স্রোত
92,Tropfen::N,кӏунтӏ,ফোঁটা
93,Schaum::N,хьама,ফেনা
94,Schmutz::N,кьяркьи,ধুলা
95,See::N,бяр,হ্রদ
96,Sumpf::N,кунцӏа,জলা
97,Wiese::N,кьан,তৃণভূমি
98,Wald::N,вацӏа,বন
99,Hügel::N,бакӏу,পাহাড়
100,Berg::N,зунтту,পর্বত
101,Gipfel::N,мицӏ,শীর্ষ
102,Höhle::N,нух,গুহা
103,Abhang::N,сун,ঢাল
104,Quelle::N,дайдихьу,উৎস
105,Quelle::N,бакӏ,উৎস
106,Bach::N,чӏрир нех,ক্ষুদ্র নদী
107,Fluss::N,нех,নদী
108,Ufer::N,зума,উপকূল
109,Küste::N,зумаинхалу,তীর
110,Küste::N,зуманицӏалу,তীর
111,Festland::N,кьири,ভূমি
112,Meer::N,хьхьири,সমুদ্র
113,Insel::N,жазира,দ্বীপ
114,Blume::N,тӏутӏи,ফুল
115,Gras::N,уртту,ঘাস
116,Wurzel::N,мархха,শিকড়
117,Baum::N,мурхь,গাছ
118,Stamm::N,ттарцӏ,স্কন্ধ
119,Rinde::N,ккамара,বল্কল
120,Ast::N,матӏи,শাখা
121,Zweig::N,къяртта,ডাল
122,Blatt::N,чӏапӏи,পর্ণ
123,Birke::N,кӏялахӏи,ভুর্জ
124,Birke::N,кӏялахӏилул мурхь,ভুর্জ
125,Kiefer[Baum]::N,ттар,পাইন গাছ
126,Kiefer[Baum]::N,ттарлил мурхь,পাইন গাছ
127,Weide[Baum]::N,щавщи,উইলো
128,Tanne::N,ттарлил мурхь,দেবদারূ গাছ
129,Horn::N,хъи,শিং
130,Feder::N,лелуххул тӏиму,পালক
131,Fell::N,бурчу,রোম
132,Flügel::N,хъа,ডানা
133,Flügel::N,ххурупӏайрал тӏиму,ডানা
134,Klaue::N,михь,নখর
135,Kralle::N,ххяппа,নখর
136,Schwanz::N,магъ,লেজ
137,Ei::N,ккунук,ডিম
138,Nest::N,кюру,কুলায়
139,Bau::N,цукъуккутӏ,ডেরা
140,Tier::N,хӏайван,জন্তু
141,Herde::N,газу,ঝাঁক
142,Kuh::N,оьл,গোরু
143,Bulle::N,ниц,বৃষ
144,Pferd::N,чу,ঘোড়া
145,Schaf::N,тта,ভেড়া
146,Schwein::N,дунгъуз,শূকর
147,Hund::N,ккаччи,কুকুর
148,Katze::N,ччиту,বেড়াল
149,Bär::N,цуша,ভল্লুক
150,Eichhörnchen::N,бюрхттукку,কাঠবিড়াল
151,Elch::N,ниц-бюрин,হরিণবিশেষ
152,Fuchs::N,цулчӏа,পাঁতিশিয়াল
153,Fuchs::N,куча цулчӏа,পাঁতিশিয়াল
154,Hase::N,бюрх,শশক
155,Maus::N,кӏулу,নেংটি ইঁদুর
156,Wolf::N,барцӏ,নেকড়ে
157,Vogel::N,лелуххи,পক্ষী
158,Schwarm::N,гьухъала,ঝাঁক
159,Huhn::N,аьнакӏи,মোরগ
160,Hahn::N,ажари,কুক্কুট
161,Gans::N,къаз,হংসী
162,Adler::N,барзу,ইগল
163,Ente::N,урдак,হংসী
164,Eule::N,ису,পেচক
165,Eule::N,ччиккумяв,পেচক
166,Kranich::N,кьурукь,সারস
167,Krähe::N,хъатӏу,কাক
168,Kuckuck::N,ччикку,কোকিল
