,Concept_ID,hy,eu
0,Auge::N,աչք,begi
1,Ohr::N,ականջ,belarri
2,Nase::N,քիթ,sudur
3,Mund::N,բերան,aho
4,Zahn::N,ատամ,hortz
5,Zunge::N,լեզու,mihi
6,Lippe::N,շրթունք,ezpain
7,Wange::N,այտ,masail
8,Wange::N,թուշ,masail
9,Gesicht::N,դեմք,aurpegi
10,Stirn::N,ճակատ,bekoki
11,Haar::N,մազ,ile
12,Haar::N,մազ,bilo
13,Schnurrbart::N,բեղ,bibote
14,Schnurrbart::N,բեղ,sudurpeko
15,Bart::N,մորուք,bizar
16,Kinn::N,կզակ,kokots
17,Kiefer[Anatomie]::N,ծնոտ,masailezur
18,Kehle::N,կոկորդ,eztarri
19,Hals::N,վիզ,sama
20,Hals::N,պարանոց,sama
21,Genick::N,ծոծրակ,garondo
22,Kopf::N,գլուխ,buru
23,Rücken::N,մեջք,bizkar
24,Bauch::N,փոր,sabel
25,Bauch::N,որովայն,sabel
26,Nabel::N,պորտ,zilbor
27,Busen::N,ծոց,titi
28,Busen::N,ծոց,ugatz
29,Brust::N,կուրծք,bular
30,Schulter::N,ուս,besaburu
31,Arm::N,թեւ,beso
32,Arm::N,բազուկ,beso
33,Ellenbogen::N,արմունկ,ukondo
34,Hand::N,ձեռք,esku
35,Handfläche::N,ափ,ahur
36,Finger::N,մատ,hatz
37,Fingernagel::N,եղունգ,azazkal
38,Nagel[Anatomie]::N,եղունգ,azazkal
39,Zeh::N,ոտքի մատ,behatz
40,Fuß::N,ոտք,oin
41,Ferse::N,գարշապար,orpo
42,Ferse::N,գարշապար,oinburu
43,Knie::N,ծունկ,belaun
44,Oberschenkel::N,ազդր,izter
45,Bein::N,ոտք,zango
46,Körper::N,մարմին,soin
47,Haut::N,մաշկ,azal
48,Blut::N,արյուն,odol
49,Ader::N,երակ,zain
50,Sehne::N,ջիղ,gihar-zain
51,Sehne::N,ձգտան,gihar-zain
52,Knochen::N,ոսկոր,hezur
53,Gehirn::N,խելք,garun
54,Gehirn::N,խելք,burmuin
55,Herz::N,սիրտ,bihotz
56,Magen::N,ստամոքս,urdail
57,Leber::N,լյարդ,gibel
58,Atem::N,շունչ,hats
59,Atem::N,շունչ,arnasa
60,Hunger::N,քաղց,gose
61,Träne::N,արտասուք,malko
62,Geschmack::N,համ,dasta
63,Geschmack::N,բուրմունք,dasta
64,Geruch::N,հոտ,usain
65,Geruch::N,բուրում,usain
66,Schlaf::N,քուն,lo
67,Traum::N,երազ,amets
68,Himmel::N,երկինք,zeru
69,Sonne::N,արեւ,eguzki
70,Mond::N,լուսին,ilargi
71,Stern::N,աստղ,izar
72,Luft::N,օդ,aire
73,Wind::N,քամի,haize
74,Welle::N,ալիք,uhin
75,Welle::N,ալիք,olatu
76,Wasser::N,ջուր,ur
77,Stein::N,քար,harri
78,Boden::N,գետին,lur
79,Boden::N,գետին,zoru
80,Erde::N,հող,lur
81,Staub::N,փոշի,hauts
82,Rauch::N,ծուխ,ke
83,Funke::N,կայծ,zirta
84,Funke::N,կայծ,txinparta
85,Feuer::N,կրակ,su
86,Feuer::N,հրդեհ,su
87,Licht::N,լույս,argi
88,Schatten::N,ստվեր,itzal
89,Schatten::N,ստվեր,geriza
90,Wetter::N,եղանակ,eguraldi
91,Nebel::N,մեգ,laino
92,Nebel::N,մառախուղ,laino
93,Wolke::N,ամպ,hodei
94,Regen::N,անձրև,euri
95,Schnee::N,ձյուն,elur
96,Eis::N,սառույց,horma
97,Frost::N,սառնամանիք,izotzaldi
98,Kälte::N,դող,hotz
99,Hitze::N,շոգ,bero
100,Raureif::N,ցօղեղեամ,antzigar
101,Regenbogen::N,ծիածան,ostadar
102,Regenbogen::N,ծիածան,ortzadar
103,Donner::N,որոտ,ostots
104,Donner::N,որոտ,ihurtzuri
105,Strömung::N,հոսանք,laster
106,Tropfen::N,կաթիլ,xorta
107,Schaum::N,փրփուր,bits
108,Schmutz::N,կեղտ,lohi
109,Schmutz::N,կեղտ,zikin
110,See::N,լիճ,laku
111,See::N,լիճ,aintzira
112,Sumpf::N,ճահիճ,zingira
113,Moor::N,ճահիճ,zohikaztegi
114,Wiese::N,մարգագետին,larre
115,Wiese::N,մարգագետին,belardi
116,Wald::N,անտառ,baso
117,Wald::N,անտառ,oihan
118,Hügel::N,բլուր,muino
119,Hügel::N,բլուր,pentoka
120,Anhöhe::N,բարձունք,garai
121,Anhöhe::N,բարձունք,goragune
122,Berg::N,լեռ,mendi
123,Gipfel::N,գագաթ,gain
124,Gipfel::N,գագաթ,tontor
125,Gipfel::N,կատար,gain
126,Gipfel::N,կատար,tontor
127,Höhle::N,քարայր,kobazulo
128,Abhang::N,լանջ,aldapa
129,Abhang::N,զառիվայր,aldapa
130,Quelle::N,աղբյուր,iturri
131,Quelle::N,աղբյուր,iturbegi
132,Bach::N,վտակ,lats
133,Bach::N,վտակ,erreka
134,Fluss::N,գետ,ibai
135,Fluss::N,գետ,uhaitz
136,Ufer::N,ծովափ,bazter
137,Küste::N,ափ,itsasalde
138,Küste::N,ծովափ,itsasalde
139,Festland::N,ցամաք,lehor
140,Meer::N,ծով,itsaso
141,Bucht::N,հաչիւն,golko
142,Insel::N,վղզի,irla
143,Insel::N,վղզի,uharte
144,Blume::N,ծաղիկ,lili
145,Gras::N,խոտ,belar
146,Wurzel::N,արմատ,zuztar
147,Wurzel::N,արմատ,sustrai
148,Baum::N,ծառ,zuhaitz
149,Stamm::N,իրան,enbor
150,Rinde::N,կեղեւ,azal
151,Rinde::N,հաչոց,azal
152,Ast::N,ճյուղ,adar
153,Zweig::N,ճյուղ,abar
154,Blatt::N,տերեւ,hosto
155,Birke::N,ցարասի,urki
156,Kiefer[Baum]::N,սոճի,ler
157,Weide[Baum]::N,ուռենի,zume
158,Weide[Baum]::N,ուռենի,sahats
159,Tanne::N,եղեւին,izei
160,Feder::N,փետուր,luma
161,Feder::N,փետուր,hegaki
162,Fell::N,մորթի,ile
163,Fell::N,մորթի,larru
164,Flügel::N,թեւ,hego
165,Klaue::N,չանչ,atzapar
166,Kralle::N,ճանկ,erpe
167,Kralle::N,ճանկ,atzapar
168,Schwanz::N,պոչ,isats
169,Schwanz::N,պոչ,buztan
170,Ei::N,ձու,arrautza
171,Nest::N,բույն,habia
172,Bau::N,որջ,ohantze
173,Bau::N,բայոց,ohantze
174,Tier::N,կենդանի,abere
175,Tier::N,կենդանի,piztia
176,Herde::N,հոտ,saldo
177,Herde::N,հոտ,abere talde
178,Kuh::N,կով,behi
179,Bulle::N,ցուլ,zezen
180,Pferd::N,ձի,zaldi
