,Concept_ID,hy,el
0,Auge::N,աչք,μάτι
1,Auge::N,աչք,οφθαλμός
2,Ohr::N,ականջ,αυτί
3,Nase::N,քիթ,μύτη
4,Mund::N,բերան,στόμα
5,Zahn::N,ատամ,δόντι
6,Zunge::N,լեզու,γλώσσα
7,Lippe::N,շրթունք,χείλος
8,Wange::N,այտ,παρειά
9,Wange::N,այտ,μάγουλο
10,Wange::N,թուշ,παρειά
11,Wange::N,թուշ,μάγουλο
12,Gesicht::N,դեմք,πρόσωπο
13,Stirn::N,ճակատ,μέτωπο
14,Haar::N,մազ,μαλλιά
15,Schnurrbart::N,բեղ,μουστάκι
16,Bart::N,մորուք,γένια
17,Kinn::N,կզակ,πιγούνι
18,Kiefer[Anatomie]::N,ծնոտ,σαγόνι
19,Kehle::N,կոկորդ,λαρύγγι
20,Hals::N,վիզ,λαιμός
21,Hals::N,պարանոց,λαιμός
22,Genick::N,ծոծրակ,σβέρκος
23,Kopf::N,գլուխ,κεφάλι
24,Rücken::N,մեջք,ράχη
25,Bauch::N,փոր,κοιλιά
26,Bauch::N,որովայն,κοιλιά
27,Nabel::N,պորտ,αφαλός
28,Busen::N,ծոց,στήθος
29,Brust::N,կուրծք,στήθος
30,Schulter::N,ուս,ώμος
31,Arm::N,թեւ,χέρι
32,Arm::N,թեւ,μπράτςο
33,Arm::N,բազուկ,χέρι
34,Arm::N,բազուկ,μπράτςο
35,Ellenbogen::N,արմունկ,αγκώνας
36,Hand::N,ձեռք,χέρι
37,Handfläche::N,ափ,παλάμη
38,Finger::N,մատ,δάχτυλο
39,Fingernagel::N,եղունգ,νύχι
40,Nagel[Anatomie]::N,եղունգ,νύχι
41,Zeh::N,ոտքի մատ,δάχτυλο του ποδιού
42,Fuß::N,ոտք,πόδι
43,Ferse::N,գարշապար,φτέρνα
44,Knie::N,ծունկ,γόνατο
45,Oberschenkel::N,ազդր,μηρός
46,Bein::N,ոտք,πόδι
47,Körper::N,մարմին,σώμα
48,Körper::N,մարմին,κορμί
49,Haut::N,մաշկ,πετσί
50,Blut::N,արյուն,αίμα
51,Ader::N,երակ,φλέβα
52,Sehne::N,ջիղ,νεύρο
53,Sehne::N,ջիղ,τένοντας
54,Sehne::N,ձգտան,νεύρο
55,Sehne::N,ձգտան,τένοντας
56,Knochen::N,ոսկոր,οστό
57,Knochen::N,ոսկոր,κόκκαλο
58,Gehirn::N,խելք,μυαλό
59,Gehirn::N,խելք,εγκέφαλος
60,Herz::N,սիրտ,καρδιά
61,Magen::N,ստամոքս,στομάχι
62,Leber::N,լյարդ,ήπαρ
63,Leber::N,լյարդ,συκωτί
64,Atem::N,շունչ,αναπνοή
65,Hunger::N,քաղց,πείνα
66,Träne::N,արտասուք,δάκρυ
67,Geschmack::N,համ,γεύση
68,Geschmack::N,բուրմունք,γεύση
69,Geruch::N,հոտ,οσμή
70,Geruch::N,հոտ,μυρωδία
71,Geruch::N,բուրում,οσμή
72,Geruch::N,բուրում,μυρωδία
73,Schlaf::N,քուն,ύπνος
74,Traum::N,երազ,όνειρο
75,Himmel::N,երկինք,ουρανός
76,Sonne::N,արեւ,ήλιος
77,Mond::N,լուսին,σελήνη
78,Mond::N,լուսին,φεγγάρι
79,Stern::N,աստղ,άστρο
80,Stern::N,աստղ,αστέρι
81,Luft::N,օդ,αέρας
82,Wind::N,քամի,αέρας
83,Wind::N,քամի,άνεμος
84,Welle::N,ալիք,κύμα
85,Wasser::N,ջուր,νερό
86,Stein::N,քար,πέτρα
87,Boden::N,գետին,χώμα
88,Erde::N,հող,γη
89,Staub::N,փոշի,σκόνη
90,Rauch::N,ծուխ,καπνός
91,Funke::N,կայծ,σπίθα
92,Funke::N,կայծ,σπινθήρας
93,Feuer::N,կրակ,φωτιά
94,Feuer::N,հրդեհ,φωτιά
95,Licht::N,լույս,φως
96,Schatten::N,ստվեր,σκιά
97,Schatten::N,ստվեր,ίσκιος
98,Wetter::N,եղանակ,καιρός
99,Nebel::N,մեգ,ομίχλη
100,Nebel::N,մառախուղ,ομίχλη
101,Wolke::N,ամպ,σύννεφο
102,Regen::N,անձրև,βροχή
103,Schnee::N,ձյուն,χιόνι
104,Eis::N,սառույց,πάγος
