,Concept_ID,,la
0,Auge::N,,oculus
1,Ohr::N,,auris
2,Nase::N,,nasus
3,Mund::N,,os
4,Zahn::N,,dens
5,Zunge::N,,lingua
6,Lippe::N,,labrum
7,Wange::N,,gena
8,Gesicht::N,,vultus
9,Stirn::N,,frons
10,Haar::N,,capillus
11,Schnurrbart::N,,barba labri superioris
12,Bart::N,,barba
13,Kinn::N,,mentum
14,Kiefer[Anatomie]::N,,mala
15,Kehle::N,,iugulums
16,Hals::N,,collum
17,Genick::N,,cervices
18,Kopf::N,,caput
19,Rücken::N,,tergum
20,Bauch::N,,venter
21,Nabel::N,,umbilicus
22,Busen::N,,sinus
23,Brust::N,,pectus
24,Schulter::N,,umerus
25,Arm::N,,bracchium
26,Ellenbogen::N,,cubitum
27,Hand::N,,manus
28,Handfläche::N,,palma
29,Finger::N,,digitus
30,Fingernagel::N,,unguiculus
31,Nagel[Anatomie]::N,,unguis
32,Zeh::N,,digitus
33,Fuß::N,,pes
34,Ferse::N,,calx
35,Knie::N,,genu
36,Oberschenkel::N,,femur
37,Bein::N,,crus
38,Körper::N,,corpus
39,Haut::N,,cutis
40,Haut::N,,pellis
41,Blut::N,,sanguis
42,Ader::N,,vena
43,Sehne::N,,nervus
44,Knochen::N,,os
45,Gehirn::N,,cerebrum
46,Herz::N,,cor
47,Herz::N,,animus
48,Magen::N,,stomachus
49,Leber::N,,iecur
50,Atem::N,,spiritus
51,Hunger::N,,fames
52,Träne::N,,lacrima
53,Geschmack::N,,sapor
54,Geschmack::N,,gustus
55,Geruch::N,,odor
56,Schlaf::N,,somnus
57,Traum::N,,somnium
58,Himmel::N,,caelum
59,Sonne::N,,sol
60,Mond::N,,luna
61,Stern::N,,sidus
62,Stern::N,,stella
63,Luft::N,,aer
64,Wind::N,,ventus
65,Welle::N,,unda
66,Wasser::N,,aqua
67,Stein::N,,lapis
68,Boden::N,,solum
69,Erde::N,,terra
70,Staub::N,,pulvis
71,Rauch::N,,fumus
72,Funke::N,,scintilla
73,Feuer::N,,ignis
74,Licht::N,,lux
75,Licht::N,,lumen
76,Schatten::N,,umbra
77,Wetter::N,,caelum
78,Wetter::N,,tempestas
79,Nebel::N,,nebula
80,Wolke::N,,nubes
81,Regen::N,,imber
82,Regen::N,,pluvia
83,Schnee::N,,nix
84,Eis::N,,glacies
85,Frost::N,,gelu
86,Kälte::N,,frigus
87,Hitze::N,,calor
88,Hitze::N,,aestus
89,Raureif::N,,pruina
90,Regenbogen::N,,arcus
91,Donner::N,,tonitrus
92,Strömung::N,,fluctus
93,Tropfen::N,,gutta
94,Schaum::N,,spuma
95,Schmutz::N,,sordes
96,Schmutz::N,,squalor
97,See::N,,lacus
98,Sumpf::N,,palus
99,Moor::N,,palus
100,Wiese::N,,pratum
101,Wald::N,,silva
102,Hügel::N,,collis
103,Anhöhe::N,,specula
104,Berg::N,,mons
105,Gipfel::N,,vertex
106,Höhle::N,,caverna
107,Höhle::N,,spelunca
108,Abhang::N,,declivum
109,Quelle::N,,fons
110,Bach::N,,rivus
111,Fluss::N,,flumen
112,Ufer::N,,ripa
113,Küste::N,,litus
114,Festland::N,,continens
115,Meer::N,,mare
116,Bucht::N,,sinus
117,Insel::N,,insula
118,Blume::N,,flos
119,Gras::N,,herba
120,Gras::N,,gramen
121,Wurzel::N,,radix
122,Baum::N,,arbor
123,Stamm::N,,truncus
124,Rinde::N,,cortex
125,Ast::N,,ramus
126,Zweig::N,,ramus
127,Blatt::N,,folium
128,Birke::N,,betulla
129,Kiefer[Baum]::N,,pinus
130,Weide[Baum]::N,,salix
131,Tanne::N,,abies
132,Horn::N,,cornu
133,Feder::N,,penna
134,Fell::N,,pellis
135,Flügel::N,,ala
136,Klaue::N,,unguis
137,Kralle::N,,unguis
138,Schwanz::N,,cauda
139,Ei::N,,ovum
140,Nest::N,,nidus
141,Bau::N,,cavum
142,Bau::N,,latibulum
143,Tier::N,,bestia
144,Herde::N,,grex
145,Kuh::N,,vacca
146,Bulle::N,,taurus
147,Pferd::N,,equus
148,Schaf::N,,ovis
149,Schwein::N,,sus
150,Schwein::N,,porcus
151,Hund::N,,canis
152,Katze::N,,felis
153,Bär::N,,ursus
154,Eichhörnchen::N,,sciurus
155,Elch::N,,alces
156,Fuchs::N,,vulpes
157,Hase::N,,lepus
158,Maus::N,,mus
159,Wolf::N,,lupus
160,Vogel::N,,avis
161,Schwarm::N,,examen
162,Huhn::N,,gallina
163,Hahn::N,,gallus
164,Gans::N,,anser
165,Adler::N,,aquila
166,Ente::N,,anas
167,Eule::N,,ulula
168,Eule::N,,noctua
169,Kranich::N,,grus
170,Krähe::N,,cornix
171,Kuckuck::N,,cuculus
172,Schwan::N,,olor
173,Schwan::N,,cycnus
174,Fisch::N,,piscis
175,Barsch::N,,perca
176,Hecht::N,,esox
177,Schlange[Tier]::N,,serpens
178,Wurm::N,,vermis
179,Spinne::N,,aranea
180,Ameise::N,,formica
181,Laus::N,,pediculus
182,Mücke::N,,culex
183,Fliege::N,,musca
184,Schmetterling::N,,papilio
185,Beere::N,,baca
186,Apfel::N,,malum
187,Pilz::N,,fungus
188,Zwiebel::N,,cepa
189,Saat::N,,seges
190,Korn::N,,granum
191,Heu::N,,faenum
192,Schale::N,,putamen
193,Grube::N,,fovea
194,Falle::N,,pedica
195,Schlinge::N,,laqueus
196,Spur::N,,vestigium
197,Asche::N,,cinis
198,Dreck::N,,lutum
199,Eisen::N,,ferrum
200,Gold::N,,aurum
201,Silber::N,,argentum
202,Kohle::N,,carbo
203,Glas::N,,vitrum
204,Lehm::N,,lutum
205,Sand::N,,arena
206,Mensch::N,,homo
207,Mann::N,,vir
208,Frau::N,,mulier
209,Kind::N,,puer
210,Kind::N,,infans
211,Junge::N,,puer
212,Mädchen::N,,puella
213,Familie::N,,familia
214,Großvater::N,,avus
215,Großmutter::N,,avia
216,Eltern::N,,parentes
217,Vater::N,,pater
218,Mutter::N,,mater
219,Sohn::N,,filius
220,Tochter::N,,filia
221,Bruder::N,,frater
222,Schwester::N,,soror
223,Onkel::N,,patruus
224,Onkel::N,,avunculus
225,Tante::N,,amita
226,Ehemann::N,,maritus
227,Ehefrau::N,,uxor
228,Freude::N,,gaudium
229,Freude::N,,laetitia
230,Gelächter::N,,risus
231,Glück::N,,felicitas
232,Kummer::N,,aegritudo
233,Wunsch::N,,voluntas
234,Wunsch::N,,desiderium
235,Lust::N,,libido
236,Lust::N,,voluptas
237,Geist::N,,mens
238,Geist::N,,animus
239,Gedanke::N,,sententia
240,Gedächtnis::N,,memoria
241,Verstand::N,,ratio
242,Verstand::N,,ingenium
243,Sinn::N,,sensus
244,Grund::N,,causa
245,Wahrheit::N,,veritas
246,Gespräch::N,,sermo
247,Märchen::N,,fabula
248,Erzählung::N,,fabula
249,Erzählung::N,,narratio
250,Nachricht::N,,nuntius
251,Neuigkeit::N,,novitas
252,Name::N,,nomen
253,Rätsel::N,,aenigma
254,Rede::N,,oratio
255,Sprache::N,,lingua
256,Stimme::N,,vox
257,Wort::N,,verbum
258,Wort::N,,vocabulum
259,Zeichen::N,,signum
260,Ruf::N,,clamor
261,Lärm::N,,strepitus
262,Laut::N,,sonus
263,Ton::N,,sonus
264,Lied::N,,carmen
265,Ruhe::N,,quies
266,Leute::N,,homines
267,Volk::N,,populus
268,Arbeit::N,,labor
269,Gast::N,,hospes
270,Gast::N,,conviva
271,Geschenk::N,,munus
272,Spiel::N,,ludus
273,Gesellschaft::N,,societas
274,Hilfe::N,,auxilium
275,Hilfe::N,,subsidium
276,Freund::N,,amicus
277,Kamerad::N,,socius
278,Angelegenheit::N,,res
279,Anzahl::N,,numerus
280,Art::N,,genus
281,Stück::N,,frustum
282,Stück::N,,fragmentum
283,Teil::N,,pars
284,Hälfte::N,,dimidium
285,Kreis::N,,orbis
286,Kreis::N,,circus
287,Kreuz::N,,crux
288,Linie::N,,linea
289,Strich::N,,lineamentum
290,Abstand::N,,intervallum
291,Entfernung::N,,spatium
292,Gegend::N,,loca
293,Gegend::N,,regio
294,Platz::N,,locus
295,Ort::N,,locus
296,Seite::N,,latus
297,Mitte::N,,medium
298,Gegenstand::N,,res
299,Sache::N,,res
300,Rand::N,,margo
301,Kante::N,,angulus
302,Ecke::N,,angulus
303,Spitze::N,,cacumen
304,Ende::N,,caput
305,Loch::N,,foramen
306,Winkel::N,,angulus
307,Muster::N,,exemplum
308,Größe::N,,magnitudo
309,Länge::N,,longitudo
310,Höhe::N,,altitudo
311,Gewicht::N,,pondus
312,Menge::N,,copia
313,Haufen::N,,acervus
314,Reihe::N,,ordo
315,Boot::N,,navicula
316,Ruder::N,,remus
317,Schlitten::N,,sclodia
318,Ski::N,,narta
319,Lagerfeuer::N,,ignis
320,Last::N,,onus
321,Gang::N,,cursus
322,Schritt::N,,gradus
323,Norden::N,,septentriones
324,Süden::N,,meridies
325,Westen::N,,occidens
326,Osten::N,,oriens
327,Holz::N,,lignum
328,Brett::N,,tabula
329,Platte::N,,lamina
330,Stütze::N,,adminiculum
331,Stange::N,,pertica
332,Stock::N,,baculum
333,Stab::N,,scipio
334,Rohr::N,,tubus
335,Haus::N,,aedes
336,Heim::N,,domicilium
337,Ofen::N,,fornax
338,Fußboden::N,,solum
339,Tisch::N,,mensa
340,Stuhl::N,,sella
341,Wiege::N,,cunae
342,Bett::N,,lectus
343,Regal::N,,foruli
344,Kiste::N,,cista
345,Fenster::N,,fenestra
346,Tür::N,,ianua
347,Tor::N,,porta
348,Zaun::N,,saepes
349,Dach::N,,tectum
350,Leiter::N,,scalae
351,Besen::N,,scopae
352,Spaten::N,,pala
353,Schaufel::N,,pala
354,Gabel::N,,fuscinula
355,Löffel::N,,coclear
356,Messer::N,,culter
357,Nagel::N,,clavus
358,Netz::N,,rete
359,Haken::N,,hamus
360,Griff::N,,manubrium
361,Schloss::N,,claustra
362,Bild::N,,tabula
363,Bild::N,,pictura
364,Figur::N,,statunculum
365,Puppe::N,,pupa
366,Beutel::N,,sacculus
367,Bündel::N,,fascis
368,Tasche::N,,sacculus
369,Eimer::N,,situla
370,Deckel::N,,operculum
371,Geschirr::N,,vasa
372,Sack::N,,saccus
373,Tasse::N,,pocillum
374,Topf::N,,olla
375,Kessel::N,,aenum
376,Essen::N,,cena
377,Nahrung::N,,cibus
378,Nahrung::N,,alimenta
379,Speise::N,,cibus
380,Fleisch::N,,caro
381,Getreide::N,,frumentum
382,Brei::N,,puls
383,Brot::N,,panis
384,Scheibe::N,,frustum
385,Fett::N,,pingue
386,Butter::N,,butȳrum
387,Öl::N,,oleum
388,Salz::N,,sal
389,Suppe::N,,ius
390,Honig::N,,mel
391,Milch::N,,lac
392,Tee::N,,thea
393,Leder::N,,corium
394,Wolle::N,,lana
395,Stoff::N,,textum
396,Nadel::N,,acus
397,Faden::N,,filum
398,Knopf::N,,bulla
399,Knoten::N,,nodus
400,Farbe::N,,pigmentum
401,Kleidung::N,,vestimenta
402,Hemd::N,,tunica
403,Kragen::N,,collare
404,Ärmel::N,,manica
405,Hose::N,,bracae
406,Gürtel::N,,cingulum
407,Mütze::N,,pilleus
408,Schuh::N,,calceus
409,Stiefel::N,,pero
410,Stiefel::N,,caliga
411,Ring::N,,anulus
412,Band::N,,redimiculum
413,Kamm::N,,pecten
414,Spiegel::N,,speculum
415,Riemen::N,,lorum
416,Schnur::N,,linum
417,Leine::N,,retinaculum
418,Decke::N,,lodix
419,Kissen::N,,pulvinus
420,Tuch::N,,velum
421,Handtuch::N,,mantele
422,Kraft::N,,vis
423,Stärke::N,,robur
424,Gesundheit::N,,valetudo
425,Krankheit::N,,morbus
426,Schmerz::N,,dolor
427,Wunde::N,,vulnus
428,Fieber::N,,febris
429,Arznei::N,,remedium
430,Brücke::N,,pons
431,Brunnen::N,,puteus
432,Weide::N,,pascua
433,Pfad::N,,semita
434,Weg::N,,iter
435,Straße::N,,via
436,Dorf::N,,vicus
437,Stadt::N,,urbs
438,Stadt::N,,oppidum
439,Brief::N,,epistula
440,Buch::N,,liber
441,Buchstabe::N,,littera
442,Zeitung::N,,diurnum
443,Leben::N,,vita
444,Tod::N,,mors
445,Grab::N,,sepulcrum
446,Kirche::N,,ecclesia
447,Sünde::N,,peccatum
448,Gott::N,,deus
449,Arbeiter::N,,operarius
450,Chef::N,,praefectus
451,Meister::N,,magister
452,Arzt::N,,medicus
453,Lehrer::N,,magister
454,Geld::N,,aes
455,Geld::N,,pecunia
456,Geschäft::N,,negotium
457,Laden::N,,taberna
458,Preis::N,,pretium
459,Ware::N,,merx
460,Nutzen::N,,utilitas
