,Concept_ID,udm,ce
0,Auge::N,син,бӏаьрг
1,Ohr::N,пель,лерг
2,Nase::N,ныр,мара
3,Mund::N,ым,бага
4,Zahn::N,пинь,церг
5,Zunge::N,кыл,мотт
6,Lippe::N,ымдур,балда
7,Wange::N,бам,бесни
8,Gesicht::N,ымныр,юьхь
9,Stirn::N,кымес,хьаж
10,Haar::N,йырси,мас
11,Schnurrbart::N,мыйык,мекх
12,Bart::N,туш,маж
13,Kinn::N,ангес,чӏениг
14,Kiefer[Anatomie]::N,ан,мочхал
15,Kiefer[Anatomie]::N,анлы,мочхал
16,Kehle::N,гульым,къамкъарг
17,Hals::N,чырты,ворта
18,Genick::N,йырбер,кӏесаркӏаг
19,Kopf::N,йыр,корта
20,Rücken::N,мыш,букъ
21,Bauch::N,кӧт,кийра
22,Nabel::N,гогы,цӏонга
23,Busen::N,ноны,зударийн накха
24,Brust::N,мӧля,накха
25,Schulter::N,пельпум,белш
26,Arm::N,суй,пхьарс
27,Ellenbogen::N,гырпум,пхьаьрсан гола
28,Hand::N,ки,куьг
29,Handfläche::N,ки пыдэс,кераюкъ
30,Handfläche::N,кырым пыдэс,кераюкъ
31,Finger::N,чиньы,пӏелг
32,Fingernagel::N,гижы,мӏара
33,Fingernagel::N,гиждӥнь,мӏара
34,Nagel[Anatomie]::N,гижы,мӏара
35,Zeh::N,пыдчиньы,кога пӏелг
36,Fuß::N,пыд,ког
37,Ferse::N,пыдбер,кӏажа
38,Knie::N,пыдес,гола
39,Oberschenkel::N,макес,варе
40,Bein::N,пыд,ког
41,Körper::N,мугор,хӏума
42,Körper::N,вылтыр,хӏума
43,Haut::N,ку,чкъор
44,Blut::N,вир,цӏий
45,Ader::N,вирсэр,пха
46,Sehne::N,вуж,хьорзам
47,Knochen::N,лы,даьӏахк
48,Gehirn::N,вим,хье
49,Herz::N,сюлэм,дог
50,Magen::N,ӝуш,зорх
51,Leber::N,мус,доӏах
52,Atem::N,лул,садеӏар
