,Concept_ID,ca,av
0,Auge::N,ull,
1,Ohr::N,orella,гӏин
2,Nase::N,nas,мегӏер
3,Mund::N,boca,кӏал
4,Zahn::N,dent,гӏус
5,Zunge::N,llēngua,мацӏ
6,Lippe::N,llavi,кӏветӏ
7,Wange::N,galta,гӏоно
8,Gesicht::N,cara,гьумер
9,Stirn::N,front,нодо
10,Haar::N,cabēll,рас
11,Schnurrbart::N,bigoti,михъ
12,Bart::N,barba,мегеж
13,Kinn::N,mentó,нилъу
14,Kinn::N,barbeta,нилъу
15,Kiefer[Anatomie]::N,queix,чанагъ
16,Kiefer[Anatomie]::N,mandíbula,чанагъ
17,Kehle::N,gola,щекъер
18,Kehle::N,gorja,щекъер
19,Hals::N,coll,габур
20,Genick::N,nuca,гъванща
21,Kopf::N,cap,бетӏер
22,Rücken::N,esquena,мугъ
23,Bauch::N,panxa,чехь
24,Nabel::N,llombrígol,цӏину
25,Busen::N,pit,керен
26,Busen::N,mama,керен
27,Brust::N,pit,керен
28,Schulter::N,espatlla,гъажазубетӏер
29,Arm::N,braç,гъеж
30,Ellenbogen::N,colze,гӏункӏрукь
31,Hand::N,mà,квер
32,Handfläche::N,palma,огъохъат
33,Handfläche::N,palma,жанисахъат
34,Finger::N,dit,килищ
35,Fingernagel::N,ungla,малъ
36,Nagel[Anatomie]::N,ungla,малъ
37,Zeh::N,dit del peu,килищ
38,Fuß::N,peu,хӏетӏ
39,Fuß::N,peu,хӏетӏе
40,Ferse::N,taló,эгъе
41,Knie::N,genoll,наку
42,Oberschenkel::N,cuixa,мачӏ
43,Bein::N,cama,бох
44,Körper::N,cos,къаркъала
45,Haut::N,pell,тӏом
46,Blut::N,sang,би
47,Ader::N,vena,бидурихь
48,Sehne::N,tendó,
49,Knochen::N,os,ракьа
50,Gehirn::N,cervell,гӏадалнах
51,Herz::N,cor,ракӏ
52,Magen::N,estómac,кванирукъ
53,Leber::N,fetge,тӏул
54,Atem::N,alè,хӏухь
55,Atem::N,hàlit,хӏухь
56,Hunger::N,fam,ракъи
57,Hunger::N,gana,ракъи
58,Träne::N,llàgrima,магӏу
59,Geschmack::N,gust,тату
60,Geschmack::N,sabor,тату
61,Geruch::N,olor,махӏ
62,Schlaf::N,son,макьу
63,Traum::N,somni,макьу
64,Himmel::N,celm,зоб
65,Sonne::N,sol,бакъ
66,Mond::N,lluna,моцӏ
67,Stern::N,estel,цӏва
68,Stern::N,estrella,цӏва
69,Luft::N,aire,гьава
70,Wind::N,vent,гьури
71,Welle::N,ona,карачел
72,Wasser::N,āigua,лъим
73,Stein::N,pedra,гьецӏо
74,Boden::N,sòl,ракь
75,Erde::N,terra,ракь
76,Erde::N,terra,дуниял
77,Staub::N,pols,хӏур
78,Rauch::N,fum,кӏкӏуй
79,Funke::N,guspira,
80,Funke::N,centella,
81,Feuer::N,foc,цӏа
82,Licht::N,llum,канлъи
83,Schatten::N,ombra,рагӏад
84,Wetter::N,temps,гьава-бакъ
85,Nebel::N,boira,гӏодобнакӏкӏ
86,Wolke::N,núvol,накӏкӏ
87,Regen::N,pluja,цӏад
88,Schnee::N,neu,гӏазу
89,Eis::N,gel,цӏер
90,Eis::N,glaç,цӏер
91,Frost::N,glaçada,замгьари
92,Kälte::N,fred,квач
93,Hitze::N,calor,багӏари
94,Raureif::N,gebre,мартӏ
95,Regenbogen::N,arc iris,нур
96,Regenbogen::N,arc iris,чамбара
97,Donner::N,tro,гъугъай
98,Donner::N,tro,гъугъади
99,Strömung::N,corrent,чвахи
100,Tropfen::N,gota,резел
101,Tropfen::N,gota,тӏинкӏ
102,Tropfen::N,gota,къатӏра
103,Tropfen::N,gota,тӏенкӏел
104,Schaum::N,escuma,полоп
105,Schmutz::N,brutícia,чороклъи
106,See::N,llac,хӏор
107,Sumpf::N,pantà,хьуцӏ
108,Moor::N,pantà,
109,Wiese::N,prat,мегъ
110,Wiese::N,prat,гӏурдаллъи
111,Wiese::N,prada,мегъ
112,Wiese::N,prada,гӏурдаллъи
113,Wald::N,bosc,рохь
114,Hügel::N,puig,гохӏ
115,Hügel::N,pujol,гохӏ
116,Anhöhe::N,turó,сийитма
117,Berg::N,muntanya,мегӏер
118,Gipfel::N,cim,тӏогь
119,Höhle::N,cova,нохъо
120,Abhang::N,coster,лабаллъи
121,Quelle::N,font,ицц
122,Bach::N,riera,лъар
123,Fluss::N,riu,гӏор
124,Ufer::N,riba,рагӏал
125,Küste::N,costa,рагӏал
126,Festland::N,terra ferma,ракь
127,Festland::N,terra ferma,ракъдаллъи
128,Meer::N,mar,ралъад
129,Bucht::N,cala,кӏветӏ
130,Bucht::N,badia,кӏветӏ
131,Insel::N,illa,чӏинкӏиллъи
132,Blume::N,flor,тӏегь
133,Gras::N,herba,хер
134,Wurzel::N,rel,кьибил
135,Wurzel::N,arrel,кьибил
136,Baum::N,arbre,гъветӏ
137,Stamm::N,tronc,рохти
138,Rinde::N,escorça,макъар
139,Ast::N,branca,ноцӏ
140,Zweig::N,ram,гӏаркьел
141,Blatt::N,fulla,тӏамах
142,Birke::N,bedoll,мах
143,Birke::N,bedoll,махигъветӏ
144,Kiefer[Baum]::N,pi,накӏкӏигъветӏ
145,Weide[Baum]::N,salze,рицӏцӏ
146,Weide[Baum]::N,salze,рицӏцӏигъветӏ
147,Tanne::N,avet,ёлка
148,Horn::N,corn,лълъар
149,Horn::N,banya,лълъар
150,Feder::N,ploma,хӏули
151,Fell::N,pell,тӏом
152,Fell::N,pell,цӏоко
153,Flügel::N,ala,кваркьи
154,Klaue::N,urpa,галъ
155,Kralle::N,grapa,квачӏ
156,Kralle::N,grapa,катиквачӏ
157,Schwanz::N,cua,рачӏ
158,Ei::N,ou,хоно
159,Nest::N,niu,бусен
160,Bau::N,cau,каратӏ
161,Tier::N,animāl,хӏайван
162,Herde::N,ramat,рехъен
163,Herde::N,ramat,рехъед
164,Kuh::N,vaca,гӏака
165,Bulle::N,toro,оц
166,Pferd::N,cavāll,чу
167,Schaf::N,be,чахъу
168,Schaf::N,ovella,чахъу
169,Schwein::N,bacó,болъон
170,Hund::N,ca,гьой
171,Hund::N,gos,гьой
172,Katze::N,gat,кету
173,Bär::N,ós,ци
174,Eichhörnchen::N,esquirol,гвангва
175,Elch::N,ant,
176,Fuchs::N,guilla,цер
177,Hase::N,llebre,гӏанкӏ
178,Maus::N,ratolí,гӏункӏкӏ
179,Wolf::N,llop,бацӏ
180,Vogel::N,au,хӏинчӏ
181,Vogel::N,ocēll,хӏинчӏ
182,Schwarm::N,bandada,тӏел
183,Huhn::N,gallina,гӏанкӏу
184,Hahn::N,gall,хӏелеко
185,Gans::N,oca,хъаз
186,Adler::N,àguila,цӏум
187,Ente::N,ànec,ордек
188,Eule::N,òliba,беццаруз
189,Eule::N,mussol,беццаруз
190,Kranich::N,grua,къункъра
191,Krähe::N,cornella,гъеду
192,Kuckuck::N,cucut,гагу
193,Schwan::N,cigne,хӏанкъва
