,Concept_ID,ca,ga
0,Auge::N,ull,súil
1,Ohr::N,orella,cluas
2,Nase::N,nas,soc
3,Mund::N,boca,béal
4,Zahn::N,dent,fiacail
5,Zunge::N,llēngua,teanga
6,Lippe::N,llavi,liopa
7,Wange::N,galta,grua
8,Wange::N,galta,leiceann
9,Gesicht::N,cara,éadan
10,Gesicht::N,cara,aghaidh
11,Stirn::N,front,baithis
12,Stirn::N,front,clár éadain
13,Haar::N,cabēll,gruaig
14,Schnurrbart::N,bigoti,croiméal
15,Bart::N,barba,féasóg
16,Kinn::N,mentó,smig
17,Kinn::N,barbeta,smig
18,Kiefer[Anatomie]::N,queix,giall
19,Kiefer[Anatomie]::N,mandíbula,giall
20,Kehle::N,gola,scornach
21,Kehle::N,gorja,scornach
22,Hals::N,coll,muinéal
23,Genick::N,nuca,baic
24,Kopf::N,cap,ceann
25,Rücken::N,esquena,droim
26,Bauch::N,panxa,bolg
27,Nabel::N,llombrígol,imleacán
28,Busen::N,pit,cíoch
29,Busen::N,mama,cíoch
30,Brust::N,pit,brollach
31,Schulter::N,espatlla,gualainn
32,Arm::N,braç,lámh
33,Ellenbogen::N,colze,uillinn
34,Hand::N,mà,lámh
35,Handfläche::N,palma,bos
36,Finger::N,dit,méar
37,Fingernagel::N,ungla,ionga
38,Nagel[Anatomie]::N,ungla,ionga
39,Zeh::N,dit del peu,ladhar
40,Fuß::N,peu,cos
41,Fuß::N,peu,troigh
42,Ferse::N,taló,sáil
43,Knie::N,genoll,glúin
44,Oberschenkel::N,cuixa,ceathrú
45,Bein::N,cama,cos
46,Körper::N,cos,corp
47,Körper::N,cos,colainn
48,Haut::N,pell,cneas
49,Haut::N,pell,craiceann
50,Blut::N,sang,fuil
51,Ader::N,vena,
52,Sehne::N,tendó,teannán
53,Sehne::N,tendó,féitheog
54,Knochen::N,os,cnámh
55,Gehirn::N,cervell,inchinn
56,Herz::N,cor,croí
57,Magen::N,estómac,bolg
58,Magen::N,estómac,goile
59,Leber::N,fetge,ae
60,Atem::N,alè,anáil
61,Atem::N,hàlit,anáil
62,Hunger::N,fam,ocras
63,Hunger::N,gana,ocras
64,Träne::N,llàgrima,deoir
65,Geschmack::N,gust,blas
66,Geschmack::N,sabor,blas
67,Geruch::N,olor,boladh
68,Schlaf::N,son,suan
69,Schlaf::N,son,codladh
70,Traum::N,somni,taibhreamh
71,Himmel::N,celm,spéir
72,Sonne::N,sol,grian
73,Mond::N,lluna,ré
74,Mond::N,lluna,gealach
75,Stern::N,estel,rinn
76,Stern::N,estel,réalta
77,Stern::N,estrella,rinn
78,Stern::N,estrella,réalta
79,Luft::N,aire,aer
80,Wind::N,vent,gaoth
81,Welle::N,ona,tonn
82,Wasser::N,āigua,uisce
83,Stein::N,pedra,cloch
84,Boden::N,sòl,talamh
85,Erde::N,terra,cré
86,Erde::N,terra,ithir
87,Staub::N,pols,dusta
88,Staub::N,pols,deannach
89,Rauch::N,fum,toit
90,Rauch::N,fum,deatach
91,Funke::N,guspira,drithle
92,Funke::N,centella,drithle
93,Feuer::N,foc,tine
94,Licht::N,llum,solas
95,Schatten::N,ombra,scáth
96,Wetter::N,temps,aimsir
97,Nebel::N,boira,ceo
98,Wolke::N,núvol,néal
99,Wolke::N,núvol,scamall
100,Regen::N,pluja,báisteach
101,Regen::N,pluja,fearthainn
102,Schnee::N,neu,sneachta
103,Eis::N,gel,oighear
104,Eis::N,glaç,oighear
105,Frost::N,glaçada,sioc
106,Kälte::N,fred,fuacht
107,Hitze::N,calor,teas
108,Hitze::N,calor,teocht
109,Raureif::N,gebre,sioc bán
110,Regenbogen::N,arc iris,stua ceatha
111,Regenbogen::N,arc iris,bogha báistí
112,Donner::N,tro,toirneach
113,Strömung::N,corrent,sruth
114,Tropfen::N,gota,deoir
115,Schaum::N,escuma,cúr
116,Schmutz::N,brutícia,salachar
117,See::N,llac,loch
118,Sumpf::N,pantà,portach
119,Moor::N,pantà,caorán
120,Moor::N,pantà,móinteán
121,Wiese::N,prat,cluain
122,Wiese::N,prat,móinéar
123,Wiese::N,prada,cluain
124,Wiese::N,prada,móinéar
125,Wald::N,bosc,coill
126,Wald::N,bosc,foraois
127,Hügel::N,puig,ard
128,Hügel::N,pujol,ard
129,Anhöhe::N,turó,ard
130,Anhöhe::N,turó,ardán
131,Berg::N,muntanya,sliabh
132,Gipfel::N,cim,barr
133,Gipfel::N,cim,mullach
134,Höhle::N,cova,uaimh
135,Höhle::N,cova,pluais
136,Abhang::N,coster,fána
137,Quelle::N,font,foinse
138,Bach::N,riera,sruthán
139,Fluss::N,riu,abhainn
140,Ufer::N,riba,bruach
141,Küste::N,costa,cósta
142,Küste::N,costa,cladach
143,Festland::N,terra ferma,míntír
144,Meer::N,mar,muir
145,Meer::N,mar,farraige
146,Bucht::N,cala,bá
147,Bucht::N,cala,cuan
148,Bucht::N,badia,bá
149,Bucht::N,badia,cuan
150,Insel::N,illa,inis
151,Insel::N,illa,oileán
152,Blume::N,flor,bláth
153,Gras::N,herba,féar
154,Wurzel::N,rel,rúta
155,Wurzel::N,rel,fréamh
156,Wurzel::N,arrel,rúta
157,Wurzel::N,arrel,fréamh
158,Baum::N,arbre,crann
159,Stamm::N,tronc,stoc
160,Stamm::N,tronc,tamhan
161,Rinde::N,escorça,coirt
162,Rinde::N,escorça,craiceann
163,Ast::N,branca,géag
164,Zweig::N,ram,géag
165,Zweig::N,ram,craobh
166,Blatt::N,fulla,duille
167,Blatt::N,fulla,duilleog
168,Birke::N,bedoll,beith
169,Birke::N,bedoll,crann beithe
170,Kiefer[Baum]::N,pi,péine
171,Weide[Baum]::N,salze,saileach
172,Tanne::N,avet,giúis
173,Horn::N,corn,adharc
174,Horn::N,banya,adharc
175,Feder::N,ploma,cleite
176,Fell::N,pell,clúmh
177,Flügel::N,ala,eite
178,Flügel::N,ala,sciathán
179,Klaue::N,urpa,crúb
180,Klaue::N,urpa,crobh
181,Kralle::N,grapa,crobh
182,Schwanz::N,cua,eireaball
183,Ei::N,ou,ubh
184,Nest::N,niu,nead
185,Bau::N,cau,brocais
186,Tier::N,animāl,ainmhí
187,Tier::N,animāl,beithíoch
188,Herde::N,ramat,tréad
189,Kuh::N,vaca,bó
190,Bulle::N,toro,tarbh
191,Pferd::N,cavāll,each
192,Pferd::N,cavāll,capall
193,Schaf::N,be,caora
194,Schaf::N,ovella,caora
195,Schwein::N,bacó,muc
196,Hund::N,ca,madra
197,Hund::N,gos,madra
198,Katze::N,gat,cat
199,Bär::N,ós,béar
200,Eichhörnchen::N,esquirol,iora
201,Elch::N,ant,eilc
202,Fuchs::N,guilla,sionnach
203,Fuchs::N,guilla,madra rua
204,Hase::N,llebre,giorria
205,Maus::N,ratolí,luch
206,Wolf::N,llop,mac tíre
