,Concept_ID,kk,ku
0,Auge::N,көз,çav
1,Ohr::N,құлақ,guh
2,Nase::N,мұрын,bêvil
3,Mund::N,ауыз,dev
4,Zahn::N,тіс,didan
5,Zunge::N,тіл,ziman
6,Lippe::N,ерін,lêv
7,Wange::N,ұрт,dêm
8,Wange::N,ұрт,hinarik
9,Gesicht::N,бет-аузы,rû
10,Stirn::N,маңдай,enî
11,Haar::N,қыл,por
12,Schnurrbart::N,мұрт,simbêl
13,Bart::N,сақал,rih
14,Kinn::N,иек,zenî
15,Kiefer[Anatomie]::N,жақ,arguşk
16,Kehle::N,алқым,qirik
17,Hals::N,мойын,stû
18,Hals::N,мойын,qirik
19,Genick::N,желке,stû
20,Kopf::N,кәллә,serî
21,Rücken::N,арқа,pişt
22,Bauch::N,қарын,ûr
23,Bauch::N,қарын,zik
24,Nabel::N,кіндік,navik
25,Busen::N,омырау,sîng
26,Brust::N,кеуде,sîng
27,Schulter::N,иық,mil
28,Arm::N,қол,çepil
29,Ellenbogen::N,шынтақ,enîşk
30,Hand::N,қол,dest
31,Handfläche::N,алақан,kefadest
32,Finger::N,саусақ,tilî
33,Fingernagel::N,тырнақ,neynuk
34,Nagel[Anatomie]::N,тырнақ,bizmar
35,Zeh::N,тырнақ,tilî linga
36,Zeh::N,тұяқ,tilî linga
37,Fuß::N,аяқ-басы,ling
38,Ferse::N,өкше,pahnî
39,Ferse::N,өкшелік,pahnî
40,Knie::N,тізе,kabok
41,Oberschenkel::N,жамбас,rahn
42,Bein::N,аяқ,çip
43,Körper::N,дене,laş
44,Körper::N,дене,gowde
45,Haut::N,тері,çerm
46,Blut::N,қан,xwîn
47,Ader::N,көктамыр,reh
48,Ader::N,күретамыр,reh
49,Sehne::N,сіңір,reh
50,Knochen::N,жілік,hestî
51,Gehirn::N,ми,mêjî
52,Herz::N,жүрек,dil
53,Magen::N,асқазан,navêş
54,Leber::N,бауыр,kezeb
55,Atem::N,леп,hilm
56,Hunger::N,ашаршылық,birçîtî
57,Träne::N,жас,hêstir
58,Geschmack::N,дәм,tam
59,Geschmack::N,татым,tam
60,Geschmack::N,талғам,tam
61,Geruch::N,иіс,bêhn
62,Schlaf::N,ұйқы,xew
63,Schlaf::N,ұйықтау,xew
64,Traum::N,түс,xewn
65,Himmel::N,аспан,ezman
66,Himmel::N,көқ,ezman
67,Himmel::N,таңдай,ezman
68,Sonne::N,күн,roj
69,Mond::N,ай,heyv
70,Stern::N,жұлдыз,stêrk
71,Luft::N,әуе,ba
72,Wind::N,жел,ba
73,Welle::N,толқын,şewl
74,Wasser::N,су,av
75,Stein::N,тас,kevir
76,Boden::N,қыртыс,herd
77,Erde::N,топырақ,ax
78,Staub::N,шаң,toz
79,Rauch::N,түтін,dû
80,Funke::N,ұшқын,çirûşk
81,Feuer::N,алау,agir
82,Licht::N,шұғыла,ronahî
83,Schatten::N,көлеңке,sî
84,Wetter::N,ауа райы,hewa
85,Nebel::N,тұман,mij
86,Wolke::N,бұлт,ewr
87,Regen::N,жаңбыр,baran
88,Schnee::N,қар,berf
89,Eis::N,мұз,qeşa
90,Frost::N,суық,xûsik
91,Kälte::N,ызғар,serma
92,Kälte::N,суықтық,serma
93,Hitze::N,аптап,germayî
94,Raureif::N,қырау,şext
95,Regenbogen::N,кемпірқосақ,heftreng
96,Donner::N,күн күркіреу,gire-gir
97,Strömung::N,ағын,şewl
98,Tropfen::N,тамшы,dilop
99,Schaum::N,көбік,kef
100,Schmutz::N,кір,gemar
101,See::N,көл,gol
102,Sumpf::N,саз,hezek
103,Moor::N,саз,mafêl
104,Wiese::N,шалғын,sûrik
105,Wald::N,орман,çiya
106,Wald::N,орман,daristan
107,Hügel::N,төбе,gir
108,Hügel::N,белес,gir
109,Hügel::N,белес-белес,gir
110,Anhöhe::N,дөң,sere gir
111,Anhöhe::N,адыр,sere gir
112,Anhöhe::N,қырат,sere gir
113,Berg::N,тау,kaş
114,Gipfel::N,төбе,sere gir
115,Höhle::N,үңгір,şikeft
116,Abhang::N,бауыр,kaş
117,Quelle::N,қайнар,kanî
118,Bach::N,жылға,çem
119,Fluss::N,өзен,çem
120,Fluss::N,өзен,rûbar
121,Ufer::N,жиек,kevî
122,Küste::N,жиегі,berav
123,Küste::N,жағалау,berav
124,Festland::N,құрылық,bejahî
125,Meer::N,теңіз,behr
126,Bucht::N,шығанақ,derav
127,Insel::N,арал,girav
128,Blume::N,гүл,kulînk
129,Gras::N,от,giha
130,Wurzel::N,түбір,reh
131,Baum::N,ағаш,dar
132,Baum::N,дарақ,dar
133,Stamm::N,сояу,bavik
134,Stamm::N,оқпан,bavik
135,Rinde::N,қабық,qaqil
136,Ast::N,бұтақ,gulî
137,Zweig::N,шыбық,şax
138,Blatt::N,жапырақ,pel
139,Birke::N,қайың,dara sipî
140,Kiefer[Baum]::N,қарағай,dara bî
141,Weide[Baum]::N,тал,dara belalûk
142,Tanne::N,шырша,merx
143,Horn::N,мүйіз,strô
144,Feder::N,қаламұш,pîrtîk
145,Fell::N,тері,heyar
146,Flügel::N,қанат,per
147,Klaue::N,тырнақ,napîk
148,Kralle::N,аяқ,dinik
149,Kralle::N,аяқ,dirnax
150,Schwanz::N,құйрық,dûv
151,Ei::N,жұмыртқа,hêk
152,Nest::N,ұя,hêlîn
153,Bau::N,жатақ,avahî
154,Tier::N,айуан,heywan
155,Tier::N,жануар,heywan
156,Herde::N,пада,hoz
157,Kuh::N,сиыр,çêlek
158,Bulle::N,өгіз,ga
159,Pferd::N,жылқы,hesp
160,Schaf::N,қой,mîh
161,Schwein::N,шошқа,beraz
162,Hund::N,ит,seh
163,Katze::N,мысық,pişîk
164,Bär::N,аю,hirç
165,Eichhörnchen::N,тиін,pilûr
166,Elch::N,бұғы,pazkovî
167,Fuchs::N,түлкі,rovî
168,Hase::N,қоян,kîroşk
169,Maus::N,қаптесер,mişk
170,Wolf::N,бөрі,gur
171,Wolf::N,қасқыр,gur
172,Vogel::N,құс,çûk
173,Schwarm::N,топ,lufik
174,Schwarm::N,үйір,lufik
175,Huhn::N,тауық,mirîşk
176,Huhn::N,мекиен,mirîşk
177,Hahn::N,әтеш,dîk
178,Hahn::N,қораз,dîk
179,Gans::N,қаз,qaz
180,Adler::N,бүркіт,eylo
181,Ente::N,үйрек,werdek
182,Eule::N,жапалақ,bûm
183,Eule::N,жапалақ,kund
184,Kranich::N,тырна,quling
185,Krähe::N,қарға,qijik
186,Kuckuck::N,көкек,pepûk
187,Schwan::N,аққу,qû
188,Fisch::N,балық,masî
189,Barsch::N,алабұға,okûn
190,Hecht::N,шортан,mesîyê lûf
191,Schlange[Tier]::N,жылан,mar
192,Wurm::N,шұбалшаң,kurm
193,Spinne::N,өрмекші,pîrê
194,Ameise::N,қүмырска,mîro
195,Ameise::N,қүмырска,gêrîk
196,Laus::N,бит,spi
197,Mücke::N,маса,mêş
198,Fliege::N,шыбын,mêş
199,Schmetterling::N,көбелек,perperîk
200,Beere::N,жидек,hirç
201,Apfel::N,алма,sêv
202,Pilz::N,қозықұйрық,bîrov
203,Pilz::N,саңыраукулақ,bîrov
204,Zwiebel::N,жуа,pîvaz
205,Saat::N,тұқым,tov
206,Korn::N,дән,dexl
207,Heu::N,шөп,sap
208,Schale::N,қабық,qaşik
209,Schale::N,қабығы,qaşik
210,Grube::N,ор,çahl
211,Falle::N,дұзақ,dafik
212,Falle::N,қақпан,dafik
213,Schlinge::N,ілмек,dahf
214,Spur::N,із,rêç
215,Asche::N,күл,xweli
216,Dreck::N,былғаныш,gemarî
217,Eisen::N,темір,hesing
218,Gold::N,алтын,zêr
219,Silber::N,күміс,zîv
220,Kohle::N,көмір,komir
221,Glas::N,шыны,qedeh
222,Lehm::N,балшық,kelpîç
223,Sand::N,құм,qûm
224,Mensch::N,адам,mirov
225,Mann::N,еркек,mêr
226,Mann::N,ер адам,mêr
227,Frau::N,бике,jin
228,Frau::N,қатын,jin
229,Kind::N,бала,zarok
230,Kind::N,перзент,zarok
231,Junge::N,бала,kur
232,Junge::N,ер бала,kur
233,Mädchen::N,қыз,keç
234,Mädchen::N,қыз,keçik
235,Familie::N,жанұя,malbat
236,Großvater::N,ата,bapîr
237,Großmutter::N,әже,pîrik
238,Großmutter::N,әжей,pîrik
239,Eltern::N,ата-аналар,bavudê
240,Vater::N,әке,bav
241,Mutter::N,ана,dê
242,Mutter::N,ана,dayik
243,Sohn::N,ұл,kur
244,Tochter::N,қызым,keç
245,Bruder::N,бауырым,bira
246,Schwester::N,әпке,xweh
247,Onkel::N,көке,am
248,Onkel::N,көке,xal
249,Tante::N,тәте,metik
250,Tante::N,тәте,xaltîk
251,Ehemann::N,ер,mêr
252,Ehefrau::N,зайып,kulfet
253,Freude::N,қуаныш,kêfxweşî
254,Freude::N,сүйініш,kêfxweşî
255,Freude::N,шат-думан,kêfxweşî
256,Freude::N,қуаныштылық,kêfxweşî
257,Gelächter::N,күлу,pîrqînî
258,Glück::N,бақыт,bext
259,Glück::N,бақыттылық,bext
260,Kummer::N,аза,derd
261,Kummer::N,қайғы,derd
262,Kummer::N,қасырет,derd
263,Wunsch::N,мүдде,daxwaz
264,Wunsch::N,мүдде,xwestek
265,Lust::N,тәбет,şewq
266,Lust::N,ынтызар,şewq
267,Lust::N,құштарлық,şewq
268,Geist::N,рух,aqil
269,Gedanke::N,ой,fikir
270,Gedächtnis::N,ес,aqil
271,Gedächtnis::N,жады,aqil
272,Gedächtnis::N,ақыл-ес,aqil
273,Verstand::N,ақыл,fêm
274,Verstand::N,парасат,fêm
275,Sinn::N,мән,aqil
276,Sinn::N,маныз,aqil
277,Sinn::N,мағына,aqil
278,Sinn::N,мән-мағына,aqil
279,Grund::N,себеп,asas
280,Wahrheit::N,рас,rastî
281,Gespräch::N,әңгіме,guftûgo
282,Märchen::N,ертеп,çirok
283,Märchen::N,ертек,çirok
284,Erzählung::N,әңгіме,çirok
285,Erzählung::N,әңгіме,vegotin
286,Nachricht::N,хабар,nûçe
287,Neuigkeit::N,жаңалық,hewal
288,Name::N,ат,nav
289,Name::N,ат,paşnav
290,Name::N,атау,nav
291,Name::N,атау,paşnav
292,Rätsel::N,жұмбақ,tiştonek
293,Rede::N,сөз,gotar
294,Rede::N,сөз,axavtin
295,Sprache::N,тіл,ziman
296,Stimme::N,үн,pejn
297,Stimme::N,әуен,pejn
298,Stimme::N,дауыс,pejn
299,Wort::N,сөз,gotin
300,Zeichen::N,ишара,şanek
301,Ruf::N,айғай,hawar
302,Lärm::N,айғай-шу,xarbalix
303,Lärm::N,айғай-ұйғай,xarbalix
304,Laut::N,дыбыс,deng
305,Laut::N,дыбыс,hês
306,Laut::N,дауыс,deng
307,Laut::N,дауыс,hês
308,Ton::N,әуен,awaz
309,Lied::N,ән,sitran
310,Lied::N,жыр,sitran
311,Lied::N,ән-жыр,sitran
312,Ruhe::N,тыныштық,rihetî
313,Leute::N,кісілер,xelk
314,Volk::N,халық,xelk
315,Arbeit::N,еңбек,xebat
316,Gast::N,қонақ,mêvan
317,Gast::N,мейман,mêvan
318,Geschenk::N,қадия,diyarî
319,Spiel::N,ойын,lîstik
320,Gesellschaft::N,қауым,komal
321,Gesellschaft::N,жұртшылық,komal
322,Hilfe::N,жэрдем,alîkarî
323,Freund::N,дос,heval
324,Kamerad::N,дос-жар,heval
325,Angelegenheit::N,жұмыс,pirsgirêk
326,Anzahl::N,сан,çend
327,Anzahl::N,саны,çend
328,Art::N,түр,çeh
329,Stück::N,тілім,lib
330,Stück::N,тілім,parçe
331,Teil::N,үлес,parçe
332,Teil::N,бөлшек,parçe
333,Hälfte::N,жарты,nîvî
334,Kreis::N,шеңбер,çemil
335,Kreuz::N,крест,xaç
336,Linie::N,сызық,xezik
337,Strich::N,сызық,xezik
338,Abstand::N,ара,dûrahî
339,Abstand::N,аралық,dûrahî
340,Entfernung::N,аралық,dûrahî
341,Gegend::N,өңір,dever
342,Platz::N,орны,çih
343,Ort::N,орын,dever
344,Seite::N,жақ,rûpel
345,Seite::N,бүйір,rûpel
346,Mitte::N,ортасы,nav
347,Mitte::N,ортасы,nabênê
348,Gegenstand::N,зат,tişt
349,Gegenstand::N,нәрсе,tişt
350,Sache::N,бұйым,tişt
351,Rand::N,шет,kevî
352,Rand::N,шеті,kevî
353,Kante::N,қыр,kevî
354,Kante::N,қыры,kevî
355,Ecke::N,қыры,qunç
356,Ecke::N,бұрыш,qunç
357,Spitze::N,ұшы,derzî
358,Ende::N,аяқ,talî
359,Ende::N,соңы,talî
360,Loch::N,тесік,qul
361,Winkel::N,мүйіс,kurnîşk
362,Muster::N,мәнер,desen
363,Größe::N,ауқым,mezinî
364,Größe::N,көлемдік,mezinî
365,Länge::N,бой,dirêjahî
366,Länge::N,ұзындық,dirêjahî
367,Höhe::N,жоғарылық,bilindayî
368,Höhe::N,биіктік,bilindayî
369,Gewicht::N,салмақ,giranî
370,Menge::N,мөлшер,qas
371,Haufen::N,үйме,lod
372,Haufen::N,үйінді,lod
373,Reihe::N,сап,rêz
374,Boot::N,қайық,kelek
375,Ruder::N,ескек,bêrik
376,Schlitten::N,шана,xîjik
377,Ski::N,шаңғы,lakan
378,Lagerfeuer::N,алау,agir
379,Last::N,ауырлық,bar
380,Last::N,ауыр зат,bar
381,Gang::N,жүріс,fîtêz
382,Schritt::N,адым,gav
383,Norden::N,солтүстік,bakur
384,Norden::N,терістік,bakur
385,Süden::N,оңтүстік,başur
386,Westen::N,батыс,rojava
387,Osten::N,күншығыс,rojhilat
388,Holz::N,ағаш,dep
389,Holz::N,сүрек,dep
390,Brett::N,тақта,dep
391,Platte::N,тақта,dep
392,Stütze::N,тіреу,destek
393,Stange::N,қада,sing
394,Stock::N,сойыл,çam
395,Stab::N,сырық,qat
396,Rohr::N,құбыр,borî
397,Haus::N,үй,mal
398,Haus::N,үй,xanî
399,Heim::N,үйлі,mal
400,Heim::N,шаңырақ,mal
401,Ofen::N,ошақ,sobe
402,Ofen::N,пеш,sobe
403,Fußboden::N,еден,binpê
404,Tisch::N,үстел,mase
405,Stuhl::N,орындық,kursî
406,Wiege::N,бесік,derguş
407,Bett::N,кереует,qerewêle
408,Regal::N,сөре,rêbaz
409,Kiste::N,жәшік,sindoq
410,Fenster::N,терезе,çam
411,Fenster::N,терезе,şibeke
412,Tür::N,есік,derî
413,Tor::N,дарбаза,derge
414,Zaun::N,дуал,hejik
415,Dach::N,шатыр,sere xanî
416,Leiter::N,саты,pêling
417,Leiter::N,басқыш,pêling
418,Besen::N,сыпырғыш,melkes
419,Spaten::N,күрек,mer
420,Schaufel::N,қалақ,bêr
421,Gabel::N,аша,çetel
422,Gabel::N,шанышқы,çetel
423,Löffel::N,қасық,kevçî
424,Messer::N,пышақ,kêr
425,Nagel::N,мық,bizmar
426,Nagel::N,шеге,bizmar
427,Netz::N,керегекөз,tor
428,Haken::N,ілмек,çenqel
429,Griff::N,сап,destî
430,Griff::N,тұтқа,destî
431,Schloss::N,құлып,qonax
432,Schloss::N,бекіткіш,qonax
433,Bild::N,сурет,dimen
434,Figur::N,тұлға,figûr
435,Puppe::N,қуыршақ,bûk
436,Beutel::N,қапшық,kîsik
437,Bündel::N,байлам,pêçek
438,Tasche::N,дорба,bêrîk
439,Eimer::N,шелек,dewl
440,Deckel::N,жапқыш,devik
441,Geschirr::N,ыдыс,ferax
442,Sack::N,қап,tûr
443,Tasse::N,шыныаяқ,kada
444,Topf::N,кәстрөл,beroş
445,Kessel::N,қазан,şîril
446,Essen::N,ас,xwarin
447,Nahrung::N,ас,xwarin
448,Nahrung::N,тамақ,xwarin
449,Speise::N,тағам,xwarin
450,Fleisch::N,ет,goşt
451,Getreide::N,дәнді,zad
452,Brei::N,ботқа,hewdêl
453,Brot::N,күлше,
454,Scheibe::N,тілім,parçe
455,Fett::N,май,rûn
456,Butter::N,май,rûn
457,Öl::N,май,rûn
458,Salz::N,тұз,xwe
459,Suppe::N,көже,şorbe
460,Honig::N,бал,hingiv
461,Milch::N,сүт,şîr
462,Tee::N,шай,çay
463,Leder::N,көн,çerm
464,Wolle::N,жүн,herî
465,Stoff::N,мата,paç
466,Stoff::N,кездеме,paç
467,Nadel::N,ине,derzî
468,Faden::N,жіп,ta
469,Knopf::N,түйме,bişkok
470,Knoten::N,түйін,girêk
471,Farbe::N,рең,boyax
472,Kleidung::N,киім,çil
473,Hemd::N,жейде,qutik
474,Hemd::N,жейде,miltan
475,Kragen::N,жаға,stûvang
476,Ärmel::N,жең,hûçik
477,Hose::N,шалбар,şewel
478,Gürtel::N,белбеу,qayiş
479,Mütze::N,қалпақ,fîno
480,Schuh::N,кебіс,şêkal
481,Stiefel::N,етік,gizme
482,Stiefel::N,етік,çizme
483,Ring::N,жүзік,xelek
484,Band::N,таспа,band
485,Kamm::N,тарақ,şeh
486,Spiegel::N,айна,eynik
487,Riemen::N,қайыс,qayiş
488,Schnur::N,жіп,doxin
489,Leine::N,тізгін,şirît
490,Decke::N,көрпе,bataniye
491,Kissen::N,жастық,balgî
492,Tuch::N,орамал,şar
493,Handtuch::N,сүлгі,dezmal
494,Kraft::N,қуат,hêz
495,Kraft::N,қуат,qewet
496,Kraft::N,қарқын,hêz
497,Kraft::N,қарқын,qewet
498,Kraft::N,әл-шама,hêz
499,Kraft::N,әл-шама,qewet
500,Kraft::N,әл-дәрмен,hêz
501,Kraft::N,әл-дәрмен,qewet
502,Stärke::N,әл,xurtî
503,Stärke::N,күш,xurtî
504,Gesundheit::N,денсаулык,nojdarî
505,Krankheit::N,ауру,nexweşî
506,Schmerz::N,ауру,êş
507,Wunde::N,зақым,kul
508,Wunde::N,жарақат,kul
509,Fieber::N,безгек,ta
510,Fieber::N,қалтырау,ta
511,Fieber::N,қызу көтерілуі,ta
512,Arznei::N,дәрі,derman
513,Arznei::N,дәрі-дәрмек,derman
514,Brücke::N,көпір,kopî
515,Brunnen::N,құдық,çal
516,Brunnen::N,құдық,kani
517,Weide::N,өріс,beyar
518,Weide::N,жайылым,beyar
519,Pfad::N,жол,xaçirek
520,Weg::N,жол,rê
521,Straße::N,жол,rê
522,Dorf::N,ауыл,gund
523,Stadt::N,қала,baçar
524,Stadt::N,шаһар,baçar
525,Brief::N,хат,name
526,Brief::N,жазу,name
527,Buch::N,кітап,kitêb
528,Buch::N,кітап,pirtûk
529,Buchstabe::N,әріп,herf
530,Buchstabe::N,қаріп,herf
531,Zeitung::N,газет,rojname
532,Leben::N,өмір,jiyan
533,Leben::N,тіршілік,jiyan
534,Tod::N,опат,mirin
535,Grab::N,мола,mezel
536,Grab::N,мазар,mezel
537,Kirche::N,шіркеу,gilyas
538,Sünde::N,күнә,guneh
539,Gott::N,алла,xwedê
540,Gott::N,құдай,xwedê
541,Gott::N,тәңірі,xwedê
542,Gott::N,пәруардігер,xwedê
543,Gott::N,жаратқан тәңірі,xwedê
544,Arbeiter::N,жүмысшы,hîşçî
545,Chef::N,басшы,bêg
546,Chef::N,жұмыс басқарушысы,bêg
547,Meister::N,шебер,hoste
548,Meister::N,өнерпаз,hoste
549,Arzt::N,дәрігер,doktor
550,Lehrer::N,мұғалім,mamoste
551,Geld::N,пұл,pere
552,Geschäft::N,бизнес,firoşgeh
553,Laden::N,дүкен,dikan
554,Preis::N,ақы,buha
555,Preis::N,құны,buha
556,Preis::N,нарық,buha
557,Ware::N,тауар,tişt
558,Nutzen::N,пайда,fêde
559,Reichtum::N,бақ-дәулет,serwet
560,Welt::N,әлем,dinya
561,Welt::N,жиһан,dinya
562,Land::N,аймақ,welat
563,Staat::N,мемлекет,dewlet
564,König::N,патша,şah
565,König::N,патша,qral
566,Macht::N,өкімет,qewet
567,Macht::N,өкімет,destihilat
568,Macht::N,қожалық,qewet
569,Macht::N,қожалық,destihilat
