,Concept_ID,pl,hy
106,Schmutz::N,brud,կեղտ
107,See::N,jezioro,լիճ
108,Sumpf::N,bagno,ճահիճ
109,Moor::N,bagno,ճահիճ
110,Wiese::N,łąka,մարգագետին
111,Wald::N,las,անտառ
112,Hügel::N,pagórek,բլուր
113,Anhöhe::N,wzgórze,բարձունք
114,Berg::N,góra,լեռ
115,Gipfel::N,szczyt,գագաթ
116,Gipfel::N,szczyt,կատար
117,Gipfel::N,wierzchołek,գագաթ
118,Gipfel::N,wierzchołek,կատար
119,Höhle::N,pieczara,քարայր
120,Abhang::N,stok,լանջ
121,Abhang::N,stok,զառիվայր
122,Abhang::N,zbocze,լանջ
123,Abhang::N,zbocze,զառիվայր
124,Quelle::N,zdrój,աղբյուր
125,Quelle::N,źródło,աղբյուր
126,Bach::N,potok,վտակ
127,Bach::N,strumień,վտակ
128,Fluss::N,rzeka,գետ
129,Ufer::N,brzeg,ծովափ
130,Küste::N,wybrzeże,ափ
131,Küste::N,wybrzeże,ծովափ
132,Festland::N,ląd,ցամաք
133,Meer::N,morze,ծով
134,Bucht::N,zatoka,հաչիւն
135,Insel::N,wyspa,վղզի
136,Blume::N,kwiat,ծաղիկ
137,Gras::N,trawa,խոտ
138,Wurzel::N,korzeń,արմատ
139,Baum::N,drzewo,ծառ
140,Stamm::N,pień,իրան
141,Rinde::N,kora,կեղեւ
142,Rinde::N,kora,հաչոց
143,Ast::N,gałąź,ճյուղ
144,Zweig::N,gałąź,ճյուղ
145,Blatt::N,liść,տերեւ
146,Birke::N,brzoza,ցարասի
147,Kiefer[Baum]::N,sosna,սոճի
148,Weide[Baum]::N,wierzba,ուռենի
149,Tanne::N,jodła,եղեւին
150,Horn::N,róg,
151,Feder::N,pióro,փետուր
152,Fell::N,futro,մորթի
153,Flügel::N,skrzydło,թեւ
154,Klaue::N,szpon,չանչ
155,Kralle::N,pazur,ճանկ
156,Schwanz::N,ogon,պոչ
157,Ei::N,jajko,ձու
158,Nest::N,gniazdo,բույն
159,Bau::N,nora,որջ
160,Bau::N,nora,բայոց
161,Tier::N,zwierzę,կենդանի
162,Herde::N,stado,հոտ
163,Herde::N,trzoda,հոտ
164,Kuh::N,krowa,կով
165,Bulle::N,byk,ցուլ
166,Pferd::N,koń,ձի
167,Schaf::N,owca,ոչխար
168,Schwein::N,świnia,խոզ
169,Hund::N,pies,շուն
170,Katze::N,kot,կատու
171,Katze::N,kotka,կատու
172,Bär::N,niedźwiedż,արջ
173,Eichhörnchen::N,wiewiórka,սկյուռ
174,Elch::N,łóś,հիւսիսային եղջերու
175,Fuchs::N,lis,աղվես
176,Hase::N,zając,նապաստակ
177,Maus::N,mysz,մուկ
178,Wolf::N,wilk,գայլ
179,Vogel::N,ptak,թռչուն
180,Schwarm::N,stado,երամ
181,Huhn::N,kura,հավ
182,Hahn::N,kogut,աքաղաղ
183,Gans::N,gęś,սագ
184,Adler::N,orzeł,արծիվ
