,Concept_ID,no,br
0,Auge::N,øye,lagad
1,Ohr::N,øre,skouarn
2,Nase::N,nese,fri
3,Mund::N,munn,genoù
4,Zahn::N,tann,dant
5,Zunge::N,tunge,teod
6,Lippe::N,leppe,muzell
7,Wange::N,kinn,chot
8,Gesicht::N,fjes,dremm
9,Gesicht::N,ansikt,dremm
10,Stirn::N,panne,tal
11,Haar::N,hår,blev
12,Schnurrbart::N,bart,mourenn
13,Bart::N,skjegg,barv
14,Kinn::N,hake,groñj
15,Kiefer[Anatomie]::N,kjeve,javed
16,Kehle::N,strupe,gouzoug
17,Hals::N,hals,gouzoug
18,Genick::N,nakke,choug
19,Kopf::N,hode,penn
20,Rücken::N,rygg,kein
21,Bauch::N,buk,kof
22,Bauch::N,mage,kof
23,Nabel::N,navle,begel
24,Busen::N,barm,bronn
25,Brust::N,bryst,bruched
26,Schulter::N,skulder,skoaz
27,Arm::N,arm,brec'h
28,Ellenbogen::N,albue,ilin
29,Hand::N,hånd,dorn
30,Handfläche::N,håndflate,palv
31,Finger::N,finger,biz
32,Fingernagel::N,fingernegl,ivin
33,Nagel[Anatomie]::N,negl,ivin
34,Zeh::N,tå,biz-troad
35,Fuß::N,fot,troad
36,Ferse::N,hæl,seul
37,Knie::N,kne,glin
38,Oberschenkel::N,lår,morzhed
39,Bein::N,bein,gar
40,Körper::N,kropp,korf
41,Körper::N,legeme,korf
42,Haut::N,hud,kroc'hen
43,Haut::N,skinn,kroc'hen
44,Blut::N,blod,gwad
45,Ader::N,åre,gwazhi
46,Sehne::N,sene,stir
47,Knochen::N,bein,askorn
48,Knochen::N,knokkel,askorn
49,Gehirn::N,hjerne,empenn
50,Herz::N,hjerte,kalon
51,Magen::N,mage,stomog
52,Leber::N,lever,avu
53,Atem::N,pust,anal
54,Hunger::N,sult,naon
55,Träne::N,tåre,daer
56,Geschmack::N,smak,blaz
57,Geruch::N,lukt,c'hwezh
58,Schlaf::N,søvn,kousked
59,Traum::N,drøm,hune
60,Himmel::N,himmel,oabl
61,Sonne::N,sol,heol
62,Mond::N,måne,loar
63,Stern::N,stjerne,steredenn
64,Luft::N,luft,aer
65,Wind::N,vind,avel
66,Welle::N,bølge,houlenn
67,Wasser::N,vann,dour
68,Stein::N,stein,maen
69,Boden::N,bakke,tachenn
70,Erde::N,jord,douar
71,Staub::N,støv,poultr
72,Rauch::N,røyk,moged
73,Funke::N,gnist,ful
74,Feuer::N,ild,tan
75,Licht::N,lys,gouloù
76,Schatten::N,skygge,disheol
77,Wetter::N,vær,amzer
78,Nebel::N,tåke,brumenn
79,Wolke::N,sky,koumoulenn
80,Regen::N,regn,glav
81,Schnee::N,snø,erc'h
82,Eis::N,is,skorn
83,Frost::N,frost,rev
84,Kälte::N,kulde,yen
85,Hitze::N,hete,tommder
86,Raureif::N,rimfrost,frim
87,Regenbogen::N,regnbue,gwareg-ar-glav
88,Donner::N,torden,kurun
89,Strömung::N,strømning,red
90,Tropfen::N,dråpe,bannac'h
91,Tropfen::N,dråpe,takenn
92,Schaum::N,skum,spoum
93,Schmutz::N,søl,fank
