,Concept_ID,ro,ab
0,Auge::N,ochi,ала
1,Ohr::N,ureche,алымҳа
2,Nase::N,nas,аҧынҵа
3,Mund::N,gură,аҧышə
4,Zahn::N,dinte,ахаҧыц
5,Zunge::N,limbă,абз
6,Lippe::N,buză,ақьышə
7,Wange::N,bucă,аӡамҩа
8,Wange::N,obraz,аӡамҩа
9,Gesicht::N,față,аҿы
10,Gesicht::N,figură,аҿы
11,Stirn::N,frunte,алахь
12,Haar::N,păr,ахəыц
13,Schnurrbart::N,mustață,аҧаҵа
14,Bart::N,barbă,ажакьа
15,Kinn::N,bărbie,ацламкəыгə
16,Kiefer[Anatomie]::N,falcă,ацламҳəа
17,Kehle::N,beregată,ахəда
18,Hals::N,gât,ахəда
19,Genick::N,ceafă,ахəдаџьал
20,Kopf::N,cap,ахы
21,Rücken::N,dos,азқəа
22,Rücken::N,spate,азқəа
23,Rücken::N,spinare,азқəа
24,Bauch::N,burtă,амгəа
25,Bauch::N,pântece,амгəа
26,Nabel::N,buric,аҷапан
27,Busen::N,sân,агəыҧҳəы
28,Brust::N,piept,агəышҧы
29,Schulter::N,umăr,ажəҩахыр
30,Schulter::N,spate,ажəҩахыр
31,Arm::N,braț,амахəар
32,Ellenbogen::N,cot,амашьхəылҵ
33,Hand::N,mână,анапы
34,Handfläche::N,palmă,анапсаргəыҵа
35,Finger::N,deget,анацəа
36,Fingernagel::N,unghie,анапхыц
37,Nagel[Anatomie]::N,unghie,ашьапхыц
38,Zeh::N,deget de la picior,ашьацəа
39,Fuß::N,picior,ашьапсыргəыҵа
40,Ferse::N,călcâi,ашьхəа
41,Knie::N,genunchi,ашьамхы
42,Oberschenkel::N,coapsă,ауаҭəа
43,Bein::N,picior,ашьапы
44,Körper::N,corp,ацəеижь
45,Haut::N,piele,ацəа
46,Blut::N,sânge,ашьа
47,Ader::N,vână,ада
48,Ader::N,arteră,ада
49,Sehne::N,tendon,адаш
50,Knochen::N,os,абаҩ
51,Gehirn::N,creier,ахшлыбаҩ
52,Gehirn::N,creier,ахшыбаҩ
53,Herz::N,inimă,агəы
54,Magen::N,stomac,аца
55,Magen::N,stomac,ацар
56,Leber::N,ficat,агəаҵəа
57,Atem::N,răsuflare,аҧсыҧлагаҩгара
58,Atem::N,respirație,аҧсыҧлагаҩгара
59,Hunger::N,foame,амла
60,Träne::N,lacrimă,алабжыш
61,Geschmack::N,gust,агьама
62,Geruch::N,miros,афҩы
63,Schlaf::N,somn,ацəа
64,Traum::N,vis,аҧхыӡ
