,Concept_ID,mrj,ps
0,Auge::N,сӹнзӓ,سترګه
1,Ohr::N,пӹлӹш,غوږ
2,Nase::N,нер,پوزه
3,Mund::N,ышма,خوله
4,Zahn::N,пӱ,غاښ
5,Zunge::N,йӹлмӹ,جبه
6,Lippe::N,тӹрвӹ,شونډه
7,Wange::N,шӹргӹ,باړخو
8,Gesicht::N,лицӓ,مخ
9,Stirn::N,лепкӓ,تندی
10,Stirn::N,лепкӓ,وچولی
11,Haar::N,ӱп,وېښته
12,Schnurrbart::N,öрш,برېت
13,Bart::N,пандаш,ږیره
14,Kinn::N,онгылаш,زنه
15,Kiefer[Anatomie]::N,пӱ арата,جامه
16,Kehle::N,логер,غاړه
17,Hals::N,шӱ,غاړه
18,Genick::N,ланга,ورمېږ
19,Kopf::N,вуй,سر
20,Rücken::N,туп,شا
21,Bauch::N,мӹшкӹр,نس
22,Bauch::N,мӹшкӹр,ګېډه
23,Nabel::N,кӹлӹмдӹ,نوم
24,Busen::N,цӹзӹ,تی
25,Brust::N,мел,سینه
26,Schulter::N,ӹнгӹжӓ,اوږه
27,Arm::N,кид,لاس
28,Ellenbogen::N,кӹнервуй,څنګل
29,Hand::N,лапа,لاس
30,Handfläche::N,кид лапа,ورغوی
31,Finger::N,парня,ګوته
32,Fingernagel::N,кӹч,نوک
33,Nagel[Anatomie]::N,кӹч,نوک
34,Zeh::N,парня,ګوته
35,Fuß::N,ял лапа,پښه
36,Ferse::N,ялгавал,پونده
37,Ferse::N,ял кавал,پونده
38,Knie::N,пылвуй,زنګون
39,Oberschenkel::N,ӓрдӹ,پتون
40,Bein::N,ял,پښه
41,Körper::N,монгыр,ځان
42,Haut::N,кавашты,پوټکی
43,Blut::N,вӹр,وینه
44,Ader::N,вӹршӓр,رګ
45,Sehne::N,кукшышӱн,پله
46,Knochen::N,лу,هډوکی
47,Gehirn::N,вим,ماغزه
48,Herz::N,шӱм,زړه
49,Magen::N,шӱм,معده
50,Leber::N,мокш,ينه
51,Leber::N,мокш,ځیګر
52,Atem::N,шӱлӹш,نفس
53,Hunger::N,шужымаш,ولږه
54,Träne::N,сӹнзӓвӹд,اوښکه
