,Concept_ID,bg,ro
0,Auge::N,око,ochi
1,Ohr::N,ухо,ureche
2,Nase::N,нос,nas
3,Mund::N,уста,gură
4,Zahn::N,зъб,dinte
5,Zunge::N,език,limbă
6,Lippe::N,устна,buză
7,Wange::N,буза,bucă
8,Wange::N,буза,obraz
9,Gesicht::N,лице,față
10,Gesicht::N,лице,figură
11,Gesicht::N,образ,față
12,Gesicht::N,образ,figură
13,Stirn::N,чело,frunte
14,Haar::N,коса,păr
15,Haar::N,косъм,păr
16,Schnurrbart::N,мустаци,mustață
17,Bart::N,брада,barbă
18,Kinn::N,брада,bărbie
19,Kinn::N,брадичка,bărbie
20,Kiefer[Anatomie]::N,челюст,falcă
21,Kehle::N,гърло,beregată
22,Hals::N,врат,gât
23,Genick::N,тил,ceafă
24,Kopf::N,глава,cap
25,Rücken::N,гръб,dos
26,Rücken::N,гръб,spate
27,Rücken::N,гръб,spinare
28,Bauch::N,корем,burtă
29,Bauch::N,корем,pântece
30,Nabel::N,пъп,buric
31,Busen::N,бозка,sân
32,Brust::N,гръд,piept
33,Schulter::N,рамо,umăr
34,Schulter::N,рамо,spate
35,Schulter::N,плещи,umăr
36,Schulter::N,плещи,spate
37,Arm::N,ръка,braț
38,Ellenbogen::N,лакът,cot
39,Hand::N,ръка,mână
40,Hand::N,китка,mână
41,Handfläche::N,длан,palmă
42,Finger::N,пръст,deget
43,Fingernagel::N,нокът,unghie
44,Nagel[Anatomie]::N,нокът,unghie
45,Zeh::N,пръст на крак,deget de la picior
46,Fuß::N,крак,picior
47,Fuß::N,нога,picior
48,Ferse::N,пета,călcâi
49,Knie::N,коляно,genunchi
50,Oberschenkel::N,бедро,coapsă
51,Bein::N,крак,picior
52,Bein::N,нога,picior
53,Körper::N,тяло,corp
54,Haut::N,кожа,piele
55,Blut::N,кръв,sânge
56,Ader::N,вена,vână
57,Ader::N,вена,arteră
58,Ader::N,артерия,vână
59,Ader::N,артерия,arteră
60,Sehne::N,жила,tendon
61,Sehne::N,сухожилие,tendon
62,Knochen::N,кост,os
63,Gehirn::N,мозък,creier
64,Herz::N,сърце,inimă
65,Magen::N,стомах,stomac
66,Leber::N,черен дроб,ficat
67,Atem::N,дишане,răsuflare
68,Atem::N,дишане,respirație
69,Hunger::N,глад,foame
70,Träne::N,сълза,lacrimă
71,Geschmack::N,вкус,gust
72,Geruch::N,миризма,miros
73,Schlaf::N,сън,somn
74,Traum::N,сън,vis
75,Himmel::N,небе,cer
76,Sonne::N,слънце,soare
77,Mond::N,луна,lună
78,Mond::N,месец,lună
79,Stern::N,звезда,stea
80,Luft::N,въздух,aer
81,Wind::N,вятър,vânt
82,Welle::N,вълна,val
83,Welle::N,вълна,undă
84,Wasser::N,вода,apă
85,Stein::N,камък,piatră
86,Boden::N,земя,sol
87,Boden::N,земя,pământ
88,Boden::N,почва,sol
89,Boden::N,почва,pământ
90,Erde::N,земя,pământ
91,Erde::N,почва,pământ
92,Staub::N,прах,praf
93,Rauch::N,дим,fum
94,Rauch::N,пушек,fum
95,Funke::N,искра,scânteie
96,Feuer::N,огън,foc
97,Licht::N,светлина,lumină
98,Schatten::N,сянка,umbră
99,Wetter::N,време,timp
100,Wetter::N,време,vreme
101,Nebel::N,мъгла,ceață
102,Nebel::N,мъгла,negură
103,Wolke::N,облак,nor
104,Regen::N,дъжд,ploaie
105,Schnee::N,сняг,zăpadă
106,Eis::N,лед,gheață
107,Frost::N,мраз,ger
108,Kälte::N,студ,frig
109,Hitze::N,жега,arșiță
110,Hitze::N,жега,căldură
111,Hitze::N,горещина,arșiță
112,Hitze::N,горещина,căldură
113,Raureif::N,скреж,chiciură
114,Raureif::N,слана,chiciură
115,Regenbogen::N,дъга,curcubeu
116,Donner::N,гръм,tunet
117,Strömung::N,течение,curent
118,Tropfen::N,капка,picătură
119,Schaum::N,пяна,spumă
120,Schmutz::N,кал,murdărie
121,Schmutz::N,мръсотия,murdărie
122,See::N,езеро,lac
123,Sumpf::N,блато,mlaștină
124,Moor::N,мочурище,bărăgan
125,Wiese::N,ливада,fânaț
126,Wiese::N,ливада,livadă
127,Wald::N,гора,codru
128,Wald::N,гора,pădure
129,Hügel::N,рид,deal
130,Hügel::N,рид,movilă
131,Hügel::N,хълм,deal
132,Hügel::N,хълм,movilă
133,Anhöhe::N,могила,deal
134,Anhöhe::N,могила,ridicătură
135,Anhöhe::N,възвишение,deal
136,Anhöhe::N,възвишение,ridicătură
137,Berg::N,планина,munte
138,Gipfel::N,връх,pisc
139,Höhle::N,пещера,peșteră
140,Abhang::N,склон,pantă
141,Abhang::N,склон,versant
142,Abhang::N,стръмнина,pantă
143,Abhang::N,стръмнина,versant
144,Quelle::N,извор,izvor
145,Bach::N,поток,gârlă
146,Fluss::N,река,râu
147,Fluss::N,река,fluviu
148,Ufer::N,бряг,mal
149,Ufer::N,бряг,țărm
150,Küste::N,бряг,coastă
151,Küste::N,крайбрежие,coastă
152,Festland::N,суша,uscat
153,Meer::N,море,mare
154,Bucht::N,залив,golf
155,Insel::N,остров,insulă
156,Blume::N,цвете,floare
157,Gras::N,трева,iarbă
158,Wurzel::N,корен,rădăcină
159,Baum::N,дърво,copac
160,Baum::N,дърво,arbore
161,Stamm::N,стъбло,tulpină
162,Rinde::N,кора,scoarță
163,Ast::N,клон,cracă
164,Ast::N,клон,creangă
165,Zweig::N,клон,ramură
166,Zweig::N,клон,creangă
167,Blatt::N,лист,frunză
168,Birke::N,бреза,mesteacăn
169,Kiefer[Baum]::N,бор,pin
170,Weide[Baum]::N,върба,salcie
171,Weide[Baum]::N,върба,răchită
172,Tanne::N,ела,brad
173,Horn::N,рог,corn
174,Feder::N,перо,pană
175,Fell::N,кожа,piele
176,Flügel::N,крило,aripă
177,Klaue::N,нокът,gheară
178,Kralle::N,нокът,labă
179,Kralle::N,нокът,gheară
180,Schwanz::N,опашка,coadă
181,Ei::N,яйце,ou
182,Nest::N,гнездо,cuib
183,Bau::N,дупка,bârlog
184,Bau::N,дупка,vizuină
185,Tier::N,животно,animal
186,Herde::N,стадо,turmă
187,Herde::N,стадо,cireadă
188,Kuh::N,крава,vacă
189,Bulle::N,бик,taur
190,Pferd::N,кон,cal
191,Schaf::N,овца,oaie
192,Schwein::N,свиня,porc
193,Hund::N,куче,câine
194,Katze::N,котка,pisică
195,Bär::N,мечка,urs
196,Eichhörnchen::N,катерица,veveriță
197,Elch::N,лос,elan
198,Fuchs::N,лисица,vulpe
199,Hase::N,заек,iepure
200,Maus::N,мишка,șoarece
201,Wolf::N,вълк,lup
202,Vogel::N,птица,pasăre
203,Schwarm::N,рой,cârd
204,Schwarm::N,рояк,cârd
205,Huhn::N,кокошка,găină
206,Hahn::N,петел,cocoș
207,Gans::N,гъска,gâscă
208,Adler::N,орел,vultur
209,Ente::N,патица,rață
210,Eule::N,сова,bufniță
211,Kranich::N,жерав,cocor
212,Krähe::N,врана,cioară
213,Kuckuck::N,кукувица,cuc
214,Schwan::N,лебед,lebădă
215,Fisch::N,риба,pește
216,Barsch::N,костур,biban
217,Hecht::N,щука,știucă
218,Schlange[Tier]::N,змия,șarpe
219,Wurm::N,червей,vierme
220,Spinne::N,паяк,păianjen
221,Ameise::N,мравка,furnică
222,Laus::N,въшка,păduche
223,Mücke::N,комар,țânțar
224,Fliege::N,муха,muscă
225,Schmetterling::N,пеперуда,fluture
226,Beere::N,плод,boabă
227,Apfel::N,ябълка,măr
228,Pilz::N,гъба,burete
229,Pilz::N,гъба,ciupercă
230,Zwiebel::N,лук,ceapă
231,Zwiebel::N,кромид,ceapă
232,Saat::N,семе,semănătură
233,Korn::N,зърно,grâu
234,Heu::N,сено,fân
235,Schale::N,кора,coajă
236,Grube::N,яма,groapă
237,Grube::N,дупка,groapă
238,Falle::N,примка,cursă
239,Falle::N,примка,capcană
240,Schlinge::N,клуп,laț
241,Spur::N,диря,dâră
242,Spur::N,следа,dâră
243,Asche::N,пепел,cenușă
244,Dreck::N,кал,noroi
245,Dreck::N,кал,murdărie
246,Eisen::N,желязо,fier
247,Gold::N,злато,aur
248,Silber::N,сребро,argint
249,Kohle::N,въглища,cărbune
250,Glas::N,стъкло,sticlă
251,Lehm::N,глина,lut
252,Lehm::N,глина,humă
253,Sand::N,пясък,nisip
254,Mensch::N,човек,om
255,Mensch::N,човек,persoană
256,Mann::N,мъж,om
257,Mann::N,мъж,bărbat
258,Frau::N,жена,femeie
259,Kind::N,дете,copil
260,Junge::N,момче,băiat
261,Junge::N,момче,flăcău
262,Mädchen::N,момиче,fată
263,Familie::N,фамилия,familie
264,Familie::N,семейство,familie
