,Concept_ID,fr,kl
0,Auge::N,œil,isi
1,Ohr::N,oreille,siut
2,Nase::N,nez,
3,Mund::N,bouche,paaq
4,Mund::N,bouche,qaneq
5,Zahn::N,dent,kigut
6,Zunge::N,langue,oqaq
7,Lippe::N,lèvre,qarloq
8,Wange::N,joue,ersaq
9,Gesicht::N,face,kiinaq
10,Gesicht::N,visage,kiinaq
11,Stirn::N,front,qaaq
12,Haar::N,cheveu,meqqoq
13,Schnurrbart::N,moustache,
14,Bart::N,barbe,umik
15,Kinn::N,menton,talloq
16,Kiefer[Anatomie]::N,mâchoire,alleroq
17,Kehle::N,gorge,malaq
18,Hals::N,cou,qungaseq
19,Genick::N,nuque,pukusuk
20,Kopf::N,tête,niaqoq
21,Rücken::N,dos,qimerlut
22,Bauch::N,ventre,naaq
23,Nabel::N,nombril,qalaseq
24,Busen::N,sein,iviangeq
25,Brust::N,poitrine,iviangeq
26,Schulter::N,épaule,ersik
27,Schulter::N,épaule,assaqqoq
28,Arm::N,bras,taleq
29,Ellenbogen::N,coude,ikusik
30,Hand::N,main,assak
31,Handfläche::N,paume,itumak
32,Finger::N,doigt,inuak
33,Fingernagel::N,ongle,kikiak
34,Nagel[Anatomie]::N,ongle,kukik
35,Zeh::N,orteil,isigak
36,Zeh::N,doigt de pied,isigak
37,Fuß::N,pied,
38,Ferse::N,talon,kimmik
39,Knie::N,genou,seeqqoq
40,Oberschenkel::N,cuisse,uppat
41,Oberschenkel::N,cuisse,quttoraq
42,Bein::N,jambe,isigak
43,Körper::N,corps,timi
44,Haut::N,peau,mattak
45,Blut::N,sang,aak
46,Ader::N,veine,taqaq
47,Sehne::N,tendon,ujalu
48,Sehne::N,tendon,ujaloq
49,Knochen::N,os,saanikut
50,Gehirn::N,cerveau,qarasaq
51,Herz::N,cœur,uummat
52,Magen::N,estomac,aqajaroq
53,Leber::N,foie,tinguk
54,Atem::N,haleine,anerneq
55,Hunger::N,faim,kaanneq
56,Träne::N,larme,qia
57,Träne::N,larme,qiak
58,Geschmack::N,goût,qilanaartuut
59,Geschmack::N,saveur,qilanaartuut
60,Geruch::N,odeur,tipi
61,Geruch::N,odeur,tipik
62,Schlaf::N,sommeil,
63,Traum::N,songe,sinnattoq
64,Traum::N,songe,sinnattugaq
65,Himmel::N,ciel,qilak
66,Sonne::N,soleil,seqineq
67,Mond::N,lune,qaammat
68,Stern::N,étoile,ulloriaq
69,Luft::N,air,silaannaq
70,Wind::N,vent,anori
71,Wind::N,vent,anorsarik
72,Welle::N,vague,aalappaa
73,Wasser::N,eau,imeq
74,Stein::N,pierre,ujarak
75,Boden::N,sol,nateq
