,Concept_ID,eu,uz
0,Auge::N,begi,ko'z
1,Ohr::N,belarri,quloq
2,Nase::N,sudur,burun
3,Mund::N,aho,og'iz
4,Zahn::N,hortz,tish
5,Zunge::N,mihi,til
6,Lippe::N,ezpain,dudoq
7,Wange::N,masail,bet
8,Gesicht::N,aurpegi,yuz
9,Stirn::N,bekoki,manglay
10,Haar::N,ile,soch
11,Haar::N,bilo,soch
12,Schnurrbart::N,bibote,mo'ylov
13,Schnurrbart::N,sudurpeko,mo'ylov
14,Bart::N,bizar,soqol
15,Kinn::N,kokots,ängak
16,Kiefer[Anatomie]::N,masailezur,iyak
17,Kehle::N,eztarri,bo'g'iz
18,Hals::N,sama,bo'yin
19,Genick::N,garondo,gardan
20,Kopf::N,buru,bosh
21,Rücken::N,bizkar,orqa
22,Bauch::N,sabel,qorin
23,Nabel::N,zilbor,kindik
24,Busen::N,titi,ämchak
25,Busen::N,ugatz,ämchak
26,Brust::N,bular,ko'krak
27,Schulter::N,besaburu,elka
28,Arm::N,beso,bilak
29,Ellenbogen::N,ukondo,tirsak
30,Hand::N,esku,qo'l
31,Handfläche::N,ahur,kaft
32,Finger::N,hatz,barmoq
33,Fingernagel::N,azazkal,tirnoq
34,Nagel[Anatomie]::N,azazkal,tirnoq
35,Zeh::N,behatz,oyoq barmog'i
36,Fuß::N,oin,oyoq
37,Ferse::N,orpo,tovon
38,Ferse::N,oinburu,tovon
39,Knie::N,belaun,tiz
40,Oberschenkel::N,izter,son
41,Bein::N,zango,oyoq
42,Körper::N,soin,badna
43,Haut::N,azal,teri
44,Blut::N,odol,qon
45,Ader::N,zain,qon tomir
46,Sehne::N,gihar-zain,tomir
47,Knochen::N,hezur,suyak
48,Gehirn::N,garun,miya
49,Gehirn::N,burmuin,miya
50,Herz::N,bihotz,qalb
51,Magen::N,urdail,oshqozon
52,Leber::N,gibel,bag'ir
53,Atem::N,hats,dam
54,Atem::N,arnasa,dam
55,Hunger::N,gose,ochlik
56,Träne::N,malko,yosh
57,Geschmack::N,dasta,tam
58,Geruch::N,usain,jid
59,Schlaf::N,lo,uyqu
60,Traum::N,amets,tush
61,Himmel::N,zeru,osmon
62,Sonne::N,eguzki,quyosh
63,Mond::N,ilargi,oy
64,Stern::N,izar,yulduz
65,Luft::N,aire,havo
66,Wind::N,haize,el
67,Welle::N,uhin,to'lqin
68,Welle::N,olatu,to'lqin
69,Wasser::N,ur,suv
70,Stein::N,harri,tosh
71,Boden::N,lur,tuproq
72,Boden::N,zoru,tuproq
73,Erde::N,lur,er
74,Staub::N,hauts,chang
75,Rauch::N,ke,tutun
76,Funke::N,zirta,yalt
77,Funke::N,txinparta,yalt
78,Feuer::N,su,o't
79,Licht::N,argi,yorug'
80,Schatten::N,itzal,soya
81,Schatten::N,geriza,soya
82,Wetter::N,eguraldi,havo
83,Nebel::N,laino,tuman
84,Wolke::N,hodei,bulut
85,Regen::N,euri,yomg'ir
86,Schnee::N,elur,qor
87,Eis::N,horma,muz
88,Frost::N,izotzaldi,ajoz
89,Kälte::N,hotz,ajoz
90,Hitze::N,bero,issiq
91,Raureif::N,antzigar,qirov
92,Regenbogen::N,ostadar,kamalak
93,Regenbogen::N,ortzadar,kamalak
94,Donner::N,ostots,guldur
95,Donner::N,ihurtzuri,guldur
96,Strömung::N,laster,oqim
97,Tropfen::N,xorta,tomchi
98,Schaum::N,bits,ko'pik
99,Schmutz::N,lohi,gard
100,Schmutz::N,zikin,gard
101,See::N,laku,ko'l
102,See::N,aintzira,ko'l
103,Sumpf::N,zingira,botqoq
104,Moor::N,zohikaztegi,qir-adir
105,Wiese::N,larre,o'tzor
106,Wiese::N,belardi,o'tzor
107,Wald::N,baso,o'rmon
108,Wald::N,oihan,o'rmon
109,Hügel::N,muino,tepa
110,Hügel::N,pentoka,tepa
111,Anhöhe::N,garai,adir
112,Anhöhe::N,goragune,adir
113,Berg::N,mendi,tog'
114,Gipfel::N,gain,cho'qqi
115,Gipfel::N,tontor,cho'qqi
116,Höhle::N,kobazulo,kavak
117,Abhang::N,aldapa,to'sh
118,Quelle::N,iturri,buloq
119,Quelle::N,iturbegi,buloq
120,Bach::N,lats,o'zan
121,Bach::N,erreka,o'zan
122,Fluss::N,ibai,daryo
123,Fluss::N,uhaitz,daryo
124,Ufer::N,bazter,sohil
125,Küste::N,itsasalde,qirg'oq
126,Festland::N,lehor,materik
127,Meer::N,itsaso,dengiz
128,Bucht::N,golko,qo'ltiq
129,Insel::N,irla,orol
130,Insel::N,uharte,orol
131,Blume::N,lili,gul
132,Gras::N,belar,sabza
133,Wurzel::N,zuztar,tub
134,Wurzel::N,zuztar,tomir
135,Wurzel::N,sustrai,tub
