,Concept_ID,ja,tr
0,Auge::N,目,göz
1,Ohr::N,耳,kulak
2,Nase::N,鼻,burun
3,Mund::N,口,ağız
4,Zahn::N,歯,diş
5,Zunge::N,舌,dil
6,Lippe::N,唇,dudak
7,Wange::N,頬,yanak
8,Gesicht::N,顔,yüz
9,Stirn::N,額,alın
10,Haar::N,髪,saç
11,Schnurrbart::N,口髭,bıyık
12,Bart::N,髭,sakal
13,Kinn::N,顎,çene
14,Kiefer[Anatomie]::N,顎,çene
15,Kehle::N,喉,boğaz
16,Hals::N,首,boyun
17,Hals::N,首,gerdan
18,Genick::N,首,ense
19,Kopf::N,頭,baş
20,Kopf::N,頭,kafa
21,Rücken::N,背中,arka
22,Bauch::N,腹,karın
23,Bauch::N,お腹,karın
24,Nabel::N,へそ,göbek
25,Busen::N,乳房,koyun
26,Brust::N,胸,göğüs
27,Schulter::N,肩,omuz
28,Arm::N,腕,kol
29,Ellenbogen::N,肘,dirsek
30,Hand::N,手,el
31,Handfläche::N,手のひら,avuç
32,Handfläche::N,手のひら,el ayası
33,Finger::N,指,parmak
34,Fingernagel::N,爪,el tırnağı
35,Nagel[Anatomie]::N,爪,tırnak
36,Zeh::N,足の指,ayak parmağı
37,Fuß::N,足,ayak
38,Ferse::N,かかと,topuk
39,Knie::N,膝,diz
40,Oberschenkel::N,上腿,uyluk
41,Bein::N,足,bacak
42,Körper::N,体,vücut
43,Haut::N,皮膚,cilt
44,Blut::N,血,kan
45,Ader::N,血管,damar
46,Sehne::N,腱,kiriş
47,Knochen::N,骨,kemik
48,Gehirn::N,脳,beyin
49,Herz::N,心,kalp
50,Herz::N,心,yürek
51,Herz::N,心臓,kalp
52,Herz::N,心臓,yürek
53,Magen::N,胃,mide
54,Leber::N,肝臓,karaciğer
55,Atem::N,息,nefes
56,Atem::N,呼吸,nefes
57,Hunger::N,空腹,açlık
58,Träne::N,涙,gözyaşı
59,Geschmack::N,味,tat
60,Geschmack::N,味,lezzet
61,Geruch::N,匂い,koku
62,Schlaf::N,睡眠,uyku
