,Concept_ID,es,zh
0,Auge::N,ojo,眼睛
1,Ohr::N,oreja,耳朵
2,Nase::N,nariz,鼻子
3,Mund::N,boca,嘴
4,Zahn::N,diente,牙齿
5,Zunge::N,lengua,舌头
6,Lippe::N,labio,嘴唇
7,Wange::N,mejilla,面颊
8,Gesicht::N,cara,脸
9,Stirn::N,frente,额
10,Haar::N,cabello,头发
11,Schnurrbart::N,bigote,髭须
12,Bart::N,barba,胡子
13,Kinn::N,barbilla,下巴
14,Kiefer[Anatomie]::N,mandíbula,颌
15,Kehle::N,garganta,嗓子
16,Hals::N,cuello,颈
17,Genick::N,nuca,后颈
18,Genick::N,cerviz,后颈
19,Kopf::N,cabeza,头
20,Rücken::N,espalda,背
21,Bauch::N,vientre,肚子
22,Nabel::N,ombligo,肚脐
23,Busen::N,pecho,胸脯
24,Brust::N,pecho,胸
25,Schulter::N,hombro,肩膀
26,Arm::N,brazo,臂膀
27,Ellenbogen::N,codo,肘
28,Hand::N,mano,手
29,Handfläche::N,palma,手掌
30,Finger::N,dedo,手指
31,Fingernagel::N,uña,指甲
32,Nagel[Anatomie]::N,uña,指甲
33,Zeh::N,dedo del pie,脚趾
34,Fuß::N,pie,脚
35,Ferse::N,talón,后跟
36,Knie::N,rodilla,膝
37,Oberschenkel::N,muslo,大腿
38,Bein::N,pierna,腿
39,Körper::N,cuerpo,身体
40,Haut::N,piel,皮肤
41,Blut::N,sangre,血
42,Ader::N,vena,血管
43,Sehne::N,tendón,腱
44,Knochen::N,hueso,骨
45,Gehirn::N,cerebro,脑
46,Gehirn::N,encéfalo,脑
47,Herz::N,corazón,心
48,Magen::N,estómago,胃
49,Leber::N,hígado,肝
50,Atem::N,aliento,呼吸
51,Hunger::N,hambre,饿
52,Träne::N,lágrima,眼泪
53,Geschmack::N,gusto,味道
54,Geruch::N,olor,气味
55,Schlaf::N,sueño,睡眠
56,Traum::N,sueño,梦
57,Traum::N,ensueño,梦
58,Himmel::N,cielo,天空
59,Sonne::N,sol,太阳
60,Mond::N,luna,月亮
61,Stern::N,estrella,星
62,Luft::N,aire,空气
63,Wind::N,viento,风
64,Welle::N,ola,波
65,Welle::N,onda,波
66,Wasser::N,agua,水
67,Stein::N,piedra,石头
68,Boden::N,suelo,地面
69,Erde::N,tierra,地
70,Staub::N,polvo,灰尘
71,Rauch::N,humo,烟
72,Funke::N,chispa,火花
73,Feuer::N,fuego,火
74,Licht::N,luz,光
75,Schatten::N,sombra,影子
76,Wetter::N,tiempo,天气
77,Nebel::N,niebla,雾
78,Wolke::N,nube,云
79,Regen::N,lluvia,雨
80,Schnee::N,nieve,雪
81,Eis::N,hielo,冰
82,Frost::N,helada,霜冻
83,Kälte::N,frío,寒冷
84,Hitze::N,calor,炎热
85,Raureif::N,escarcha,霜
86,Regenbogen::N,arco iris,虹
87,Donner::N,trueno,雷
88,Strömung::N,corriente,水流
89,Tropfen::N,gota,滴
90,Schaum::N,espuma,泡沫
91,Schmutz::N,suciedad,赃物
92,See::N,lago,湖
93,Sumpf::N,pantano,沼泽
94,Moor::N,turbera,沼泽
95,Wiese::N,prado,草地
96,Wiese::N,pradera,草地
97,Wald::N,bosque,森林
98,Hügel::N,colina,丘陵
99,Anhöhe::N,cerro,山丘
100,Berg::N,monte,山
101,Berg::N,montaña,山
102,Gipfel::N,cima,峰
103,Gipfel::N,cumbre,峰
104,Höhle::N,cueva,洞穴
105,Höhle::N,caverna,洞穴
106,Abhang::N,cuesta,斜坡
107,Abhang::N,declive,斜坡
108,Quelle::N,fuente,泉
109,Quelle::N,manantial,泉
110,Bach::N,arroyo,溪
111,Fluss::N,río,河流
112,Ufer::N,orilla,岸
113,Küste::N,costa,海岸
114,Festland::N,tierra firme,大陆
115,Meer::N,mar,海
116,Bucht::N,cala,海湾
117,Bucht::N,bahía,海湾
118,Insel::N,isla,岛
119,Blume::N,flor,花
120,Gras::N,hierba,草
121,Wurzel::N,raíz,根
122,Baum::N,árbol,树
123,Stamm::N,tronco,树干
124,Rinde::N,corteza,树皮
125,Ast::N,rama,树枝
126,Zweig::N,ramo,树枝
127,Blatt::N,hoja,叶子
128,Birke::N,abedul,桦木
129,Kiefer[Baum]::N,pino,松树
130,Weide[Baum]::N,sauce,柳树
131,Tanne::N,abeto,冷杉
132,Horn::N,asta,角
133,Horn::N,cuerno,角
134,Feder::N,pluma,羽毛
135,Fell::N,piel,皮毛
136,Flügel::N,ala,翅膀
137,Klaue::N,garra,爪子
138,Kralle::N,uña,爪子
139,Kralle::N,garra,爪子
140,Schwanz::N,cola,尾巴
141,Ei::N,huevo,蛋
142,Nest::N,nido,巢
143,Bau::N,madriguera,穴
144,Tier::N,animal,动物
145,Herde::N,rebaño,群
146,Kuh::N,vaca,母牛
147,Bulle::N,toro,公牛
148,Pferd::N,caballo,马
149,Schaf::N,oveja,羊
150,Schwein::N,cerdo,猪
151,Hund::N,perro,狗
152,Katze::N,gato,猫
153,Bär::N,oso,熊
154,Eichhörnchen::N,ardilla,松鼠
155,Elch::N,alce,麋鹿
156,Fuchs::N,zorro,狐狸
157,Hase::N,liebre,兔子
158,Maus::N,ratón,老鼠
159,Wolf::N,lobo,狼
160,Vogel::N,ave,鸟
161,Vogel::N,pájaro,鸟
162,Schwarm::N,bandada,群
163,Huhn::N,gallina,鸡
164,Hahn::N,gallo,公鸡
165,Gans::N,oca,鹅
166,Gans::N,ganso,鹅
167,Adler::N,águila,鹰
168,Ente::N,pato,鸭
169,Eule::N,lechuza,猫头鹰
170,Kranich::N,grulla,鹤
171,Krähe::N,corneja,乌鸦
172,Kuckuck::N,cuco,布谷鸟
173,Schwan::N,cisne,天鹅
174,Fisch::N,pez,鱼
175,Barsch::N,perca,鲈鱼
176,Hecht::N,lucio,狗鱼
177,Schlange[Tier]::N,serpiente,蛇
178,Wurm::N,gusano,蠕虫
179,Spinne::N,araña,蜘蛛
180,Ameise::N,hormiga,蚂蚁
181,Laus::N,piojo,虱子
182,Mücke::N,mosquito,蚊子
183,Fliege::N,mosca,苍蝇
184,Schmetterling::N,mariposa,蝴蝶
185,Beere::N,baya,将果
186,Apfel::N,manzana,苹果
187,Pilz::N,seta,蘑菇
188,Pilz::N,hongo,蘑菇
189,Zwiebel::N,cebolla,洋葱
190,Saat::N,siembra,种子
191,Korn::N,grano,谷粒
192,Heu::N,heno,干草
193,Schale::N,cáscara,壳
194,Grube::N,foso,坑
195,Falle::N,trampa,圈套
196,Schlinge::N,lazo,活扣
197,Spur::N,huella,踪迹
198,Asche::N,ceniza,灰烬
199,Dreck::N,suciedad,污垢
200,Eisen::N,hierro,铁
201,Gold::N,oro,金子
202,Silber::N,plata,银
203,Kohle::N,carbón,煤
204,Glas::N,vidrio,玻璃
205,Glas::N,cristal,玻璃
206,Lehm::N,barro,粘土
207,Sand::N,arena,沙
208,Mensch::N,hombre,人
209,Mensch::N,ser humano,人
210,Mann::N,hombre,男子
211,Frau::N,mujer,妇女
212,Kind::N,niño,小孩
213,Junge::N,chico,男孩
214,Junge::N,muchacho,男孩
215,Mädchen::N,chica,女孩
216,Mädchen::N,muchacha,女孩
217,Familie::N,familia,家庭
218,Großvater::N,abuelo,祖父
219,Großmutter::N,abuela,祖母
220,Eltern::N,padres,父母
221,Vater::N,padre,父亲
222,Mutter::N,madre,母亲
223,Sohn::N,hijo,儿子
224,Tochter::N,hija,女儿
225,Bruder::N,hermano,兄弟
226,Schwester::N,hermana,姐妹
227,Onkel::N,tío,伯父
228,Tante::N,tía,阿姨
229,Ehemann::N,esposo,丈夫
230,Ehefrau::N,esposa,妻子
231,Freude::N,placer,愉快
232,Freude::N,alegría,愉快
233,Gelächter::N,risa,大笑
234,Gelächter::N,carcajada,大笑
235,Glück::N,felicidad,运气
236,Kummer::N,pena,苦恼
237,Wunsch::N,deseo,愿望
238,Lust::N,ganas,乐趣
239,Geist::N,mente,精神
240,Geist::N,espíritu,精神
241,Gedanke::N,idea,思想
242,Gedanke::N,pensamiento,思想
243,Gedächtnis::N,memoria,记性
244,Verstand::N,razón,理智
245,Verstand::N,entendimiento,理智
246,Sinn::N,sentido,感觉
247,Sinn::N,significado,感觉
248,Grund::N,causa,理由
249,Wahrheit::N,verdad,真理
250,Gespräch::N,conversación,谈话
251,Märchen::N,cuento,童话
252,Erzählung::N,cuento,故事
253,Erzählung::N,narración,故事
254,Nachricht::N,mensaje,消息
255,Neuigkeit::N,noticia,新闻
256,Name::N,nombre,名字
257,Rätsel::N,acertijo,谜语
258,Rätsel::N,adivinanza,谜语
259,Rede::N,discurso,讲话
260,Sprache::N,lengua,语言
261,Stimme::N,voz,声音
262,Wort::N,palabra,词
263,Zeichen::N,señal,标记
264,Ruf::N,llamada,呼喊
265,Lärm::N,ruido,噪音
266,Lärm::N,barullo,噪音
267,Laut::N,sonido,响声
268,Ton::N,tono,声音
269,Lied::N,canción,歌曲
270,Ruhe::N,calma,安静
271,Ruhe::N,silencio,安静
272,Leute::N,gente,人们
273,Volk::N,pueblo,人民
274,Arbeit::N,trabajo,劳动
275,Gast::N,huésped,客人
276,Gast::N,invitado,客人
277,Geschenk::N,regalo,礼物
278,Spiel::N,juego,游戏
279,Gesellschaft::N,compañía,陪同
280,Hilfe::N,ayuda,帮助
281,Hilfe::N,socorro,帮助
282,Freund::N,amigo,朋友
283,Kamerad::N,camarada,同志
284,Kamerad::N,compañero,同志
285,Angelegenheit::N,asunto,事情
286,Anzahl::N,cantidad,数目
287,Art::N,tipo,种类
288,Art::N,clase,种类
289,Stück::N,pieza,块
290,Teil::N,parte,部分
291,Hälfte::N,mitad,一半
292,Kreis::N,círculo,圆
293,Kreuz::N,cruz,十字架
294,Linie::N,línea,线条
295,Strich::N,raya,划
296,Strich::N,trazo,划
297,Abstand::N,distancia,距离
298,Entfernung::N,distancia,距离
299,Gegend::N,región,地区
300,Gegend::N,comarca,地区
301,Platz::N,espacio,场所
302,Ort::N,sitio,地点
303,Seite::N,lado,面
304,Seite::N,costado,面
305,Mitte::N,medio,中间
306,Mitte::N,centro,中间
307,Gegenstand::N,objeto,物品
308,Sache::N,cosa,物
309,Rand::N,borde,边
310,Kante::N,borde,棱
311,Ecke::N,esquina,角
312,Spitze::N,punta,尖
313,Ende::N,cabo,结尾
314,Ende::N,extremo,结尾
315,Loch::N,agujero,洞
316,Loch::N,abertura,洞
317,Winkel::N,ángulo,角度
318,Muster::N,dibujo,模型
319,Größe::N,tamaño,大小
320,Länge::N,longitud,长度
321,Höhe::N,altura,高度
322,Höhe::N,altitud,高度
323,Gewicht::N,peso,重量
324,Menge::N,cantidad,数量
325,Haufen::N,montón,堆
326,Reihe::N,fila,行
327,Boot::N,bote,小船
328,Boot::N,barca,小船
329,Ruder::N,remo,奖
330,Schlitten::N,trineo,雪橇
331,Ski::N,esquí,雪板
332,Lagerfeuer::N,hoguera,营火
333,Last::N,carga,负担
334,Gang::N,marcha,行走
335,Schritt::N,paso,步伐
336,Norden::N,norte,北
337,Süden::N,sur,南
338,Westen::N,oeste,西
339,Osten::N,este,东
340,Holz::N,madera,木材
341,Brett::N,tabla,木板
342,Platte::N,placa,平板
343,Platte::N,plancha,平板
344,Stütze::N,sostén,支架
345,Stütze::N,soporte,支架
346,Stange::N,vara,杆
347,Stange::N,percha,杆
348,Stock::N,palo,棒
349,Stock::N,bastón,棒
350,Stab::N,vara,棍
351,Stab::N,bastón,棍
352,Rohr::N,tubo,管子
353,Haus::N,casa,房屋
354,Heim::N,hogar,家
355,Ofen::N,estufa,炉子
356,Fußboden::N,suelo,地板
357,Tisch::N,mesa,桌子
358,Stuhl::N,silla,椅子
359,Wiege::N,cuna,摇蓝
360,Bett::N,cama,床
361,Regal::N,estantería,架子
362,Kiste::N,caja,箱子
363,Fenster::N,ventana,窗户
364,Tür::N,puerta,门
365,Tor::N,puerta,大门
366,Zaun::N,valla,篱笆
367,Zaun::N,cercado,篱笆
368,Dach::N,techo,屋顶
369,Dach::N,tejado,屋顶
370,Leiter::N,escalera,梯子
371,Besen::N,escoba,扫帚
372,Spaten::N,pala,铁锹
373,Schaufel::N,pala,铁锹
374,Schaufel::N,paleta,铁锹
375,Gabel::N,tenedor,叉
376,Löffel::N,cuchara,食匙
377,Messer::N,cuchillo,刀
378,Nagel::N,clavo,钉子
379,Netz::N,red,网
380,Haken::N,gancho,钩子
381,Haken::N,corchete,钩子
382,Griff::N,asa,把柄
383,Griff::N,mango,把柄
384,Schloss::N,cerradura,锁
385,Bild::N,imagen,图画
386,Figur::N,figura,人像
387,Puppe::N,muñeca,娃娃
388,Beutel::N,bolsa,袋子
389,Bündel::N,haz,捆
390,Tasche::N,bolso,手提包
391,Eimer::N,cubo,桶
392,Deckel::N,tapa,盖子
393,Deckel::N,tapadera,盖子
394,Geschirr::N,vajilla,餐具
395,Sack::N,saco,袋子
396,Tasse::N,taza,杯子
397,Topf::N,olla,锅
398,Topf::N,marmita,锅
399,Kessel::N,caldera,水壶
400,Essen::N,comida,进餐
401,Nahrung::N,alimento,食物
402,Speise::N,plato,菜肴
403,Fleisch::N,carne,肉
404,Getreide::N,cereales,谷物
405,Brei::N,puré,粥
406,Brei::N,papilla,粥
407,Brot::N,pan,面包
408,Scheibe::N,lonja,片
409,Scheibe::N,rebanada,片
410,Fett::N,grasa,脂肪
411,Butter::N,mantequilla,黄油
412,Öl::N,aceite,油
413,Salz::N,sal,盐
414,Suppe::N,sopa,汤
415,Honig::N,miel,蜂蜜
416,Milch::N,leche,奶
417,Tee::N,té,茶
418,Leder::N,cuero,皮革
419,Wolle::N,lana,毛线
420,Stoff::N,tela,织物
421,Stoff::N,tejido,织物
422,Nadel::N,aguja,针
423,Faden::N,hilo,线
424,Knopf::N,botón,纽扣
425,Knoten::N,nudo,结
426,Farbe::N,pintura,颜色
427,Kleidung::N,ropa,衣服
428,Kleidung::N,vestidos,衣服
429,Hemd::N,camisa,衬衫
430,Kragen::N,cuello,领子
431,Ärmel::N,manga,袖子
432,Hose::N,pantalón,裤子
433,Gürtel::N,cinturón,腰带
434,Mütze::N,gorro,帽子
435,Schuh::N,zapato,鞋
436,Stiefel::N,bota,靴子
437,Ring::N,anillo,戒指
438,Band::N,cinta,带子
439,Kamm::N,peine,梳子
440,Spiegel::N,espejo,镜子
441,Riemen::N,correa,皮带
442,Schnur::N,cuerda,绳子
443,Leine::N,correa,皮带
444,Decke::N,manta,被子
445,Kissen::N,almohada,软垫
446,Tuch::N,pañuelo,巾
447,Handtuch::N,toalla,手巾
448,Kraft::N,fuerza,力
449,Stärke::N,fuerza,力量
450,Gesundheit::N,salud,健康
451,Krankheit::N,enfermedad,病
452,Schmerz::N,dolor,痛
453,Wunde::N,llaga,伤口
454,Wunde::N,herida,伤口
455,Fieber::N,fiebre,发烧
456,Arznei::N,medicina,药
457,Arznei::N,medicamento,药
458,Brücke::N,puente,桥
459,Brunnen::N,pozo,井
460,Weide::N,pasto,牧场
461,Pfad::N,sendero,小路
462,Weg::N,camino,路
463,Straße::N,vía,街
464,Straße::N,carretera,街
465,Dorf::N,aldea,村庄
466,Dorf::N,pueblo,村庄
467,Stadt::N,ciudad,城市
468,Brief::N,carta,信
469,Buch::N,libro,书
470,Buchstabe::N,letra,字母
471,Buchstabe::N,carácter,字母
472,Zeitung::N,diario,报纸
473,Zeitung::N,periódico,报纸
474,Leben::N,vida,生命
475,Tod::N,muerte,死亡
476,Grab::N,tumba,坟墓
477,Grab::N,sepulcro,坟墓
478,Kirche::N,iglesia,教堂
479,Sünde::N,pecado,罪
480,Gott::N,dios,上帝
481,Arbeiter::N,obrero,工人
482,Arbeiter::N,trabajador,工人
483,Chef::N,jefe,上司
484,Meister::N,maestro,师傅
485,Arzt::N,médico,医生
486,Lehrer::N,profesor,教师
487,Geld::N,dinero,钱
488,Geschäft::N,negocio,交易
489,Laden::N,tienda,商店
490,Preis::N,precio,价格
491,Ware::N,mercancía,商品
492,Nutzen::N,provecho,好处
493,Reichtum::N,riqueza,财富
494,Welt::N,mundo,世界
495,Land::N,país,国家
496,Staat::N,Estado,国家
497,König::N,rey,国王
498,Macht::N,poder,权力
499,Macht::N,potencia,权力
500,Grenze::N,frontera,边界
501,Krieg::N,guerra,战争
502,Feind::N,enemigo,敌人
503,Gewalt::N,violencia,暴力
504,Kampf::N,lucha,战斗
505,Kampf::N,combate,战斗
506,Bogen[Waffe]::N,arco,弓
507,Pfeil::N,flecha,箭
508,Gewehr::N,fusil,枪
509,Gewehr::N,escopeta,枪
510,Fehler::N,error,错误
511,Lüge::N,mentira,谎话
512,Schaden::N,daño,损失
513,Unglück::N,desgracia,不幸
514,Schuld::N,culpa,过错
515,Alter::N,edad,年龄
516,Schluss::N,fin,结束
517,Schluss::N,final,结束
518,Zeit::N,tiempo,时间
519,Tag::N,día,天
520,Morgen::N,mañana,早晨
521,Mittag::N,mediodía,中午
522,Abend::N,noche,晚上
523,Nacht::N,noche,夜
524,Woche::N,semana,星期
525,Monat::N,mes,月
526,Jahr::N,año,年
527,Frühling::N,primavera,春天
528,Sommer::N,verano,夏天
529,Herbst::N,otoño,秋天
530,Winter::N,invierno,冬天
531,Januar::N,enero,一月
532,Februar::N,febrero,二月
533,März::N,marzo,三月
534,April::N,abril,四月
535,Mai::N,mayo,五月
536,Juni::N,junio,六月
537,Juli::N,julio,七月
538,August::N,agosto,八月
539,September::N,septiembre,九月
540,Oktober::N,octubre,十月
541,November::N,noviembre,十一月
542,Dezember::N,diciembre,十二月
543,Montag::N,lunes,星期一
544,Dienstag::N,martes,星期二
545,Mittwoch::N,miércoles,星期三
546,Donnerstag::N,jueves,星期四
547,Freitag::N,viernes,星期五
548,Samstag::N,sábado,星期六
549,Sonntag::N,domingo,星期日
550,groß::A,grande,大
551,klein::A,pequeño,小
552,lang::A,largo,长
553,kurz::A,corto,短
554,breit::A,ancho,宽
555,schmal::A,estrecho,细长的
556,dicht::A,denso,密
557,dick[Gegenstand]::A,grueso,厚
558,dünn::A,fino,薄
559,dünn::A,delgado,薄
560,fein::A,fino,细小
561,fein::A,delicado,细小
562,fest::A,firme,固体
563,fest::A,sólido,固体
564,flach::A,plano,平坦
565,glatt::A,liso,光滑
566,hart::A,duro,硬
567,weich::A,muelle,软
568,rund::A,redondo,圆
569,spitz::A,agudo,尖
570,spitz::A,apuntado,尖
571,scharf::A,agudo,锋利
572,scharf::A,afilado,锋利
573,stumpf::A,sin filo,钝
574,schwer::A,pesado,重
575,schön::A,bello,美丽
576,schön::A,hermoso,美丽
577,heiß::A,caluroso,烫
578,warm::A,cálido,暖和
579,warm::A,caliente,暖和
580,kalt::A,frío,冷
581,kühl::A,fresco,凉
