,Concept_ID,lez,bg
0,Auge::N,вил,око
1,Ohr::N,яб,ухо
2,Nase::N,нер,нос
3,Mund::N,сив,уста
4,Zahn::N,сас,зъб
5,Zahn::N,свах,зъб
6,Zunge::N,мез,език
7,Lippe::N,пӏуз,устна
8,Wange::N,хъвехъ,буза
9,Gesicht::N,ччин,лице
10,Gesicht::N,ччин,образ
11,Stirn::N,пел,чело
12,Haar::N,чӏар,коса
13,Haar::N,чӏар,косъм
14,Schnurrbart::N,спел,мустаци
15,Schnurrbart::N,спелар,мустаци
16,Bart::N,ччуру,брада
17,Kinn::N,чене,брада
18,Kinn::N,чене,брадичка
19,Kiefer[Anatomie]::N,чене,челюст
20,Kehle::N,туьд,гърло
21,Hals::N,гардан,врат
22,Genick::N,кьам,тил
23,Kopf::N,кьил,глава
24,Rücken::N,далу,гръб
25,Bauch::N,руфун,корем
26,Nabel::N,пицӏ,пъп
27,Busen::N,мам,бозка
28,Brust::N,хур,гръд
29,Schulter::N,къуьн,рамо
30,Schulter::N,къуьн,плещи
31,Arm::N,гъил,ръка
32,Ellenbogen::N,кьуьнт,лакът
33,Hand::N,капаш,ръка
34,Hand::N,капаш,китка
35,Handfläche::N,капан юкь,длан
36,Finger::N,тӏуб,пръст
37,Fingernagel::N,кек,нокът
38,Nagel[Anatomie]::N,кек,нокът
39,Zeh::N,кул,пръст на крак
40,Fuß::N,кӏвач,крак
41,Fuß::N,кӏвач,нога
42,Ferse::N,дабан,пета
43,Knie::N,мет,коляно
44,Bein::N,кӏвач,крак
45,Bein::N,кӏвач,нога
46,Körper::N,беден,тяло
47,Haut::N,хам,кожа
48,Blut::N,иви,кръв
49,Ader::N,дамар,вена
50,Ader::N,дамар,артерия
51,Sehne::N,кьуру дамар,жила
52,Sehne::N,кьуру дамар,сухожилие
53,Knochen::N,кӏараб,кост
54,Gehirn::N,мефт,мозък
55,Herz::N,рикӏ,сърце
56,Magen::N,хук,стомах
57,Leber::N,лекь,черен дроб
58,Atem::N,ял,дишане
59,Atem::N,нефес,дишане
60,Hunger::N,каш,глад
61,Träne::N,вилин нагъв,сълза
62,Geschmack::N,дад,вкус
63,Geschmack::N,тӏям,вкус
64,Geruch::N,ни,миризма
65,Schlaf::N,ахвар,сън
66,Traum::N,ахвар,сън
67,Himmel::N,цав,небе
68,Sonne::N,рагъ,слънце
69,Mond::N,варз,луна
70,Mond::N,варз,месец
71,Stern::N,гъед,звезда
72,Luft::N,гьава,въздух
73,Wind::N,гар,вятър
74,Welle::N,лепе,вълна
75,Wasser::N,яд,вода
76,Stein::N,къван,камък
77,Boden::N,накьв,земя
78,Boden::N,накьв,почва
79,Erde::N,ччил,земя
80,Erde::N,ччил,почва
81,Staub::N,руг,прах
82,Rauch::N,гум,дим
83,Rauch::N,гум,пушек
84,Funke::N,цӏелхем,искра
85,Feuer::N,цӏай,огън
86,Licht::N,экв,светлина
87,Schatten::N,серин,сянка
88,Wetter::N,гьава,време
89,Nebel::N,ччилин циф,мъгла
90,Wolke::N,циф,облак
91,Regen::N,марф,дъжд
92,Schnee::N,жив,сняг
93,Eis::N,мурк,лед
94,Frost::N,аяз,мраз
95,Kälte::N,мекь,студ
96,Kälte::N,мекьивал,студ
97,Hitze::N,зегьем,жега
98,Hitze::N,зегьем,горещина
99,Raureif::N,къирав,скреж
100,Raureif::N,къирав,слана
101,Regenbogen::N,яргъируш,дъга
102,Donner::N,цавун ван,гръм
103,Tropfen::N,стӏал,капка
104,Schaum::N,каф,пяна
105,Schmutz::N,чирк,кал
106,Schmutz::N,чирк,мръсотия
107,Schmutz::N,кьуруш,кал
108,Schmutz::N,кьуруш,мръсотия
109,See::N,вир,езеро
110,Sumpf::N,уьлен,блато
111,Wiese::N,векь,ливада
112,Wald::N,там,гора
113,Hügel::N,кӏунтӏ,рид
114,Hügel::N,кӏунтӏ,хълм
115,Anhöhe::N,тепе,могила
116,Anhöhe::N,тепе,възвишение
117,Anhöhe::N,гьуьндуьрвал,могила
118,Anhöhe::N,гьуьндуьрвал,възвишение
119,Berg::N,дагъ,планина
120,Gipfel::N,кӏукӏ,връх
121,Höhle::N,кьветӏ,пещера
122,Abhang::N,гуьне,склон
123,Abhang::N,гуьне,стръмнина
124,Quelle::N,чешме,извор
125,Bach::N,булах,поток
126,Fluss::N,вацӏ,река
127,Ufer::N,къерех,бряг
128,Küste::N,къерех,бряг
129,Küste::N,къерех,крайбрежие
130,Festland::N,кьурамат,суша
131,Meer::N,гьуьл,море
132,Bucht::N,бухта,залив
133,Insel::N,остров,остров
134,Blume::N,цуьк,цвете
135,Gras::N,хъач,трева
136,Wurzel::N,дувул,корен
137,Baum::N,ттар,дърво
138,Stamm::N,тан,стъбло
139,Rinde::N,чкал,кора
140,Ast::N,тӏур,клон
141,Zweig::N,хел,клон
142,Blatt::N,пеш,лист
143,Birke::N,верх,бреза
144,Kiefer[Baum]::N,шамагъаж,бор
145,Weide[Baum]::N,цӏвелин ттар,върба
146,Tanne::N,ель,ела
147,Horn::N,карч,рог
148,Feder::N,цӏакул,перо
149,Fell::N,хам,кожа
150,Flügel::N,лув,крило
151,Klaue::N,къармах,нокът
152,Kralle::N,пац,нокът
153,Kralle::N,тапас,нокът
154,Schwanz::N,ттум,опашка
155,Ei::N,кака,яйце
156,Nest::N,муг,гнездо
157,Bau::N,тӏеквен,дупка
158,Tier::N,гьайван,животно
159,Herde::N,суьруь,стадо
160,Kuh::N,ккал,крава
161,Bulle::N,яц,бик
162,Bulle::N,бугъа,бик
163,Pferd::N,балкӏан,кон
