,Concept_ID,is,ml
151,Bau::N,greni,മാളം
152,Bau::N,bæli,മാളം
153,Tier::N,dýr,മൃഗം
154,Herde::N,hjörð,കൂട്ടം
155,Kuh::N,kýr,പശു
156,Bulle::N,boli,കാള
157,Pferd::N,hestur,കുതിര
158,Schaf::N,kind,ആട്
159,Schwein::N,svín,പന്നി
160,Hund::N,hundur,നായ്
161,Katze::N,köttur,പൂച്ച
162,Bär::N,björn,കരടി
163,Eichhörnchen::N,íkorni,അണ്ണാൻ
164,Elch::N,elgur,കടമാന്
165,Fuchs::N,refur,കുറുക്കൻ
166,Hase::N,héri,മുയൽ
167,Maus::N,mús,ചുണ്ടലി
168,Wolf::N,úlfur,ചെന്നായ
169,Vogel::N,fugl,പക്ഷി
170,Schwarm::N,sægur,കൂട്ടം
171,Huhn::N,hæna,കോഴി
172,Hahn::N,hani,പൂവൻകോഴി
173,Gans::N,gæs,അരയന്നം
174,Adler::N,örn,കഴുകൻ
175,Ente::N,önd,താറാവ്
176,Eule::N,uggla,മൂങ്ങ
177,Kranich::N,trana,കൊക്ക്
178,Krähe::N,kráka,കാക്ക
179,Kuckuck::N,gaukur,കുയിൽ
180,Schwan::N,svanur,അരയന്നം
181,Fisch::N,fiskur,മത്സ്യം
182,Barsch::N,aborri,ഒരിനം മത്സ്യം
183,Hecht::N,gedda,ഒരു മത്സ്യം
184,Schlange[Tier]::N,naðra,പാമ്പ്
185,Wurm::N,ormur,വിര
186,Spinne::N,kónguló,ചിലന്തി
187,Ameise::N,maur,ഉറുമ്പ്
188,Laus::N,lús,പേന്
189,Mücke::N,mý,മശകം
190,Mücke::N,mýfluga,മശകം
191,Fliege::N,fluga,ഈച്ച
192,Schmetterling::N,fiðrildi,ചിത്രശലഭം
193,Beere::N,ber,ബെറി
194,Apfel::N,epli,ആപ്പിൾ
195,Pilz::N,sveppur,കൂൺ
196,Zwiebel::N,laukur,സവാള
197,Saat::N,fræ,വിത്ത്
198,Saat::N,útsæði,വിത്ത്
199,Korn::N,korn,ധാന്യം
200,Heu::N,hey,വയ്ക്കോൽ
201,Schale::N,hýði,തൊലി
202,Grube::N,gryfja,കുഴി
203,Falle::N,gildra,കെണി
204,Schlinge::N,snara,കുടുക്ക്
205,Spur::N,spor,ചുവട്
206,Asche::N,aska,ചാരം
207,Dreck::N,óþverri,അഴുക്ക്
208,Eisen::N,járn,ഇരുമ്പ്
209,Gold::N,gull,സ്വർണ്ണം
210,Silber::N,silfur,വെള്ളി
211,Kohle::N,kol,കൽക്കരി
212,Glas::N,gler,ഗ്ലാസ്
213,Lehm::N,leir,കളിമണ്ണ്
214,Sand::N,sandur,മണൽ
215,Mensch::N,maður,മനുഷ്യർ
216,Mensch::N,manneskja,മനുഷ്യർ
217,Mann::N,maður,പുരുഷൻ
218,Mann::N,karlmaður,പുരുഷൻ
219,Frau::N,kona,സ്ത്രീ
220,Kind::N,barn,കുഞ്ഞ്
221,Kind::N,krakki,കുഞ്ഞ്
222,Junge::N,drengur,ആൺകുട്ടി
223,Mädchen::N,stelpa,പെൺകുട്ടി
224,Familie::N,fjölskylda,കുടുംബം
225,Großvater::N,afi,അപ്പൂപ്പൻ
226,Großmutter::N,amma,അമ്മുമ്മ
227,Eltern::N,foreldrar,മാതാപിതാക്കള്
228,Vater::N,faðir,അച്ഛൻ
229,Mutter::N,móðir,അമ്മ
230,Sohn::N,sonur,മകൻ
231,Tochter::N,dóttir,മകൾ
232,Bruder::N,bróðir,ചേട്ടൻ
233,Bruder::N,bróðir,അനിയൻ
234,Schwester::N,systir,ചേച്ചി
235,Schwester::N,systir,അനിയത്തി
236,Onkel::N,föðurbróðir,അമ്മാവൻ
237,Tante::N,frænka,മാമി
238,Tante::N,móðursystir,മാമി
239,Ehemann::N,eiginmaður,ഭർത്താവ്
240,Ehefrau::N,eiginkona,ഭാര്യ
241,Freude::N,gleði,ആഹ്ലാദം
